评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
7751,854,董雪兵,2015-09-15 12:00:43,-1,9,10,挺负责的老师
22910,854,董雪兵,2016-03-14 13:25:44,1,2,1,讲的一般般 不顺畅
64608,854,董雪兵,2017-12-25 13:35:00,5,10,5,很负责任的老师了
65040,854,董雪兵,2017-12-28 10:18:23,-1,2,3,就像给老师个分数\n\n
104081,854,董雪兵,2019-03-29 03:20:45,3,3,0,讲课自带回音
104106,854,董雪兵,2019-03-12 07:04:49,7,9,2,讲的什么玩意儿…
104110,854,董雪兵,2019-03-12 07:27:28,1,1,0,老师讲课思路不是很清晰。。书上没有的部分讲的很煎熬
104114,854,董雪兵,2019-03-12 08:31:47,2,4,2,高中政治老师讲得比他好?
104556,854,董雪兵,2019-03-23 13:35:45,-4,1,5,其实没上过老师的课...但是之前补选微观经济学 用学校给的学号邮箱给老师发了邮件 后来选上了另外一个老师的经济学...也就没打开邮箱看（因为我平常也不怎么用那个邮箱）..结果过了半个月才看到老师在补选结果出来的时候有给我发邮件...哇简直太感动了..但因为时间有点长 就不太好意思回复...虽然没上过老师的课...但觉得这么负责的老师应该很不错的
176183,854,董雪兵,2023-06-28 04:03:56,1,5,4,怎么没有负分！！！什么玩意儿啊！！！上课不让看电脑、pad，妈的，老子记笔记都不让是吧！\n\n说了不点名可以走，走了就立马点名，什么狗人？？？\n\n还吆五喝六让自己研究生给买水，千年难见的极品！！！
181780,854,董雪兵,2023-10-31 11:53:03,0,2,2,还行。
185689,854,董雪兵,2024-01-03 14:20:24,2,3,1,事情多，只会读ppt还要一直点名
189799,854,董雪兵,2024-01-29 12:02:41,0,1,1,老师什么时候出中国区域经济学的分啊，焦灼等待中...会点名，而且是一个一个念名字，最好每节课都去，我因为生病旷了一次（老师刚好点名了）后面有跟老师讲清楚情况，老师同意补签，总的来说，老师还是好说话的，但是至于老师有没有把我旷课的补上去我就不清楚了，希望帮我补签了吧55555~期末论文个人感觉对本科生要求是有一点高的，尤其是我这样大二的学生，可能也是没搞科研的天份吧。非常忐忑焦灼地等待成绩中，给老师打了10分希望能够保佑我期末有个好成绩吧5555555想过个好年
