评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
183341,4,沈玉,2023-11-24 02:55:33,2,2,0,人文的女神老师，温柔美丽气质佳！行政业务能力据说也过硬
58768,21,池长庆,2017-09-17 04:10:25,0,0,0,hhh
59921,21,池长庆,2017-09-28 07:34:33,0,0,0,艺术水平高，人和蔼~\n\n
64236,21,池长庆,2017-12-22 00:49:41,0,0,0,挺严格的 但是感觉肚子里干货比较多
186394,21,池长庆,2024-01-11 02:44:33,0,1,1,好歹每次发消息都及时回复
190695,21,池长庆,2024-03-15 01:13:39,0,0,0,池老师德艺双馨，对学生确实是好，是学校的正向加持，是难得的好老师。
1302,43,尤淑君,2015-03-21 18:16:57,9,17,8,台湾老师，相当新颖的授课方式，给我们完全不同是叫的历史纬度，虽然要读的书很多，但真的受益匪浅。不水。
3052,43,尤淑君,2015-05-13 07:25:48,7,14,7,萌萌哒班主任〜
19631,43,尤淑君,2016-01-25 03:36:01,4,9,5,。。。。。。
24640,43,尤淑君,2016-05-02 14:49:24,5,24,19,要求高到死
58902,43,尤淑君,2017-09-18 10:38:35,6,10,4,感觉身体被掏空
68056,43,尤淑君,2018-01-22 14:20:57,20,31,11,清代文化史其实要求不高，要读的书都是外国人研究中国历史，写给普通外国人看的书，都是通俗易懂的科普性读物，也没硬性要求读完，上课听其他同学展示，了解个大概就可以了。看看她自己写的书就知道历史哪有这门通识课这几本书这么简单?\n\n最后只能说，老师的世界我不懂??
70175,43,尤淑君,2018-01-26 07:58:48,20,20,0,老师很可爱，讲课好，给分也好~一个长学期下来很开心
70189,43,尤淑君,2018-01-26 08:10:23,10,10,0,可以学到很多东西，可以促进自己平时看很多书
70206,43,尤淑君,2018-01-26 08:41:37,20,23,3,很好，学到了很多知识，一学期看完了18本书
70293,43,尤淑君,2018-01-26 11:26:11,17,24,7,一学期下来真的学到很多东西，感受到了来自台湾老师的活泼与阳光，给分也不错哦，值得你去选择。
71573,43,尤淑君,2018-01-28 15:36:33,21,27,6,老师超可爱的，一开始会装凶吓走一波人，之后相处才发现老师特别随和幽默，真的让我想到了静可爱！严肃的时候是静认真，非常负责，重感冒发烧也坚持上课，特别感动，很庆幸能在最后几个通识学分里遇到这么好的老师
71922,43,尤淑君,2018-01-29 05:46:54,49,69,20,"清代文化史，尤老师是在浙大第一位给我""我在浙江大学这所高等学府念书""的老师，没有功利的恶竞水课，只有踏实学习学问。当然，以上的话仅限竺可桢老校长两问的回答与我相同的志同之友。"
83664,43,尤淑君,2018-07-11 03:19:36,13,16,3,再次感觉到通识课原来是在学东西 而不是水学分
85118,43,尤淑君,2018-07-15 13:31:32,11,12,1,喜欢老师的台湾口音，萌萌的~非常想去台湾和日本玩呢！也喜欢老师的治学态度，给了我很多历史的不同思维。给分超棒的~以后还要选✌
87613,43,尤淑君,2018-10-08 08:00:06,5,6,1,老师超可爱
87911,43,尤淑君,2018-10-17 12:11:16,73,85,12,昨天老师讲到太医院，就回忆起自己大学在中医院打工的经历，还说毕业后想到中 国来学中医，苦于无路。结果下面就有人嘀咕，老师听见了就说:“我在台湾嘛...”话没说完，就有人喊:“台湾也是中国的一部分!”老师就低声说:“你们理解我的意思就好了。”\n\n  老师从来不讳言自己是台湾人，板书有时会写成繁体字，会说自己国庆回花莲开会，会说自己从前在基隆长大(基隆在海边)，所以能当救生员:坐在救生员专属的高处吹哨子——哔——情侣不要抱在一起——哔——小孩子出去，找家长来...如是种种。老师也不讳言丁克的观念，会和我们说台湾不让用塑料吸管怎么喝珍珠奶茶...这些似乎都比不经头脑思考的政治敏感有价值得多!\n\n  奉劝!
90279,43,尤淑君,2018-11-23 02:59:55,7,8,1,上课干货超多，给分又好，上课偶尔讲一讲自己在台湾时候的趣事，最重要的是：老师的讲课风格也太帅了吧
90912,43,尤淑君,2018-11-27 10:40:36,15,15,0,老师笑声很魔性?\n\n至于点名，老师不点名，助教点鸭
93135,43,尤淑君,2019-01-07 14:19:40,11,11,0,让上晚课变成了一种享受，老师个人魅力很强大。
93137,43,尤淑君,2019-01-07 14:23:42,12,12,0,尤老师非常棒哦～～十分幸运选了她的课！高兴可以遇见这么好的老师o(^o^)o也很高兴可以遇见这么棒的助教！！
93736,43,尤淑君,2019-01-12 11:47:29,10,10,0,搞得我想学风水了?
97027,43,尤淑君,2019-01-21 14:54:34,8,8,0,超喜欢了嘻嘻嘻嘻
98104,43,尤淑君,2019-01-23 05:23:25,7,7,0,老师太棒了！！！！有个性也会和同学们互动，超级可爱了！
102343,43,尤淑君,2019-02-01 05:09:44,6,8,2,超喜欢尤老师，为人有趣，三观很正，和我们超多互动～期末也一直给我们拉分调分，真的对学生很好～10分真的不过分
102344,43,尤淑君,2019-02-01 05:10:27,13,16,3,课很不错，但是我的绩点……哎，不说了
102347,43,尤淑君,2019-02-01 05:26:04,5,7,2,老师讲课真得很有趣，助教也非常负责，讨论课都会认真准备。期末考试主要看小组分享的内容，不是很难。老师给分真得很好呀(●°u°●)​ 」。
102436,43,尤淑君,2019-02-02 03:09:55,8,8,0,超级喜欢老师，上课认真回答问题我觉得是对上课内容基本的回应，这个要求我觉得不算苛刻，而且并不是恶竞，一门课学完交到很多的朋友。课上还有马来西亚和韩国的同学给大家分享，真的学到很多知识，有很好的氛围。\n\n老师的授课真的很喜欢，让自己的眼界开阔了许多。而且老师的三观很正，评价历史和世界也都很客观。感觉老师对我有很好的影响。\n\n
102480,43,尤淑君,2019-02-03 07:55:59,2,5,3,老师的课不仅很有意思，而且学到了很多知识，给分也好
102696,43,尤淑君,2019-02-21 02:34:57,3,7,4,少有的一门虽然分低还是努力安利的课
103778,43,尤淑君,2019-03-05 11:44:13,14,16,2,周二晚上只有两节课实在太少了
112109,43,尤淑君,2019-07-03 15:09:33,34,35,1,老师的特点：\n\n1.台湾人，说话很调皮，上课很可爱\n\n2.三观很正，不会怼天怼地，不会疯狂强加给别人自己的观点\n\n3.课堂内容很丰富，博古通今，各种文化知识都能学到，而且期末考试不会考这些，全凭兴趣听课\n\n考试的特点：\n\n1.开卷，提前打印好资料，考前整理资料还能交到好多朋友，我就因此交到一个朋友到现在关系还很好\n\n2.题型为申论，考的是课堂同学展示和书里面的内容，平时认真听课绝对可以得高分，平时水过去用心答卷分数也不会低\n\n学长的建议：\n\n这门课希望大家不要恶竞，更多的去学习知识，培养感情，不要营造剧场效应，把好好的学术课堂变成恶竞现场，坏了同学感情，损伤听课体验。\n\n以上。
114914,43,尤淑君,2019-07-12 17:14:17,8,8,0,老师太可爱了，平时群里晚上10点会发美食照片(哭)，也会给我们推荐好玩的好吃的，说话也萌萌哒。
114921,43,尤淑君,2019-07-12 17:33:05,8,9,1,老师很好，可能是我太菜，绩点暴毙了。
114927,43,尤淑君,2019-07-12 22:15:31,6,11,5,课挺有意思的，但真的绩杀，这门最后出的成绩，均绩被拉低了0.04....
