评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
886,77,李杰,2015-03-18 10:58:49,5,11,6,挺有意识的老师，文化产业概论这堂课不错
2469,77,李杰,2015-05-04 07:10:02,2,7,5,有新鲜想法，不遗余力地鼓励学生的老师
3217,77,李杰,2015-05-21 08:13:34,5,11,6,刚开始觉得挺有新意，几堂课下来就会发现许多重复，收获没有想象那么多。另外路演的展示也存在制度缺陷，不尽完美。给分，一般吧。由于多数是大二大三学生，大一请慎重。
24999,77,李杰,2018-11-30 10:19:32,1,2,1,上课还行，以大二大三居多，按每人在项目中承担的任务份量和整体表现给分，千万不要去人多的组，大一慎选
48707,77,李杰,2017-03-10 01:47:16,-4,0,4,还行吧...
56189,77,李杰,2017-07-03 08:10:59,0,4,4,老师特别亲切，鼓励每个同学的创意想法～
56190,77,李杰,2019-02-28 05:38:22,3,6,3,老师人很好，鼓励我们的创意，也会很耐心的提建议，但给的分比我预期的要低，不知道大家都是几分？感觉自己好菜鸡
56193,77,李杰,2017-07-03 08:17:06,-3,1,4,很好的老师，会很照顾大家
104585,77,李杰,2019-03-24 11:37:42,13,13,0,战狼2战狼2\n\n海军开?我流泪了\n\n老师提前展示我也流泪了
104664,77,李杰,2019-03-26 02:08:00,5,6,1,在课上学会了唱 爸爸的草鞋
105558,77,李杰,2019-04-16 15:36:06,7,7,0,只能说专业知识或许有，但讲课真的讲的不好。偶尔流露出的关于女性的观点真的让人无法苟同。
106554,77,李杰,2019-04-28 05:42:38,10,10,0,实在无感
107415,77,李杰,2019-05-05 03:22:31,13,14,1,上课各种水，各种吹，什么都不管，我也不理解一个学期过去了他竟然还有7分。据说给分还行，但是给分也拉不回查老师评分。
108104,77,李杰,2019-05-15 02:29:35,10,10,0,不怎么样
108410,77,李杰,2019-05-23 05:17:05,10,10,0,啥都没学到
108469,77,李杰,2019-05-26 06:40:01,18,19,1,文化创意产业概论，上课干货不多，吹来吹去的东西都差不多。一个学期一半时间都在小组展示，一个调研一个创业计划书，要有所收获还是得靠自己和小组好好做。到后面来上课的人越来越少。（组号靠前的我感觉每次都第一波展示真的好仓促噢
109773,77,李杰,2019-06-19 06:25:26,9,10,1,啥都没学到
109774,77,李杰,2019-06-19 06:29:14,5,7,2,不是很喜欢老师上课的内容，因为没上内容，这学期除了战狼和老师厉害的学生们啥也没记住。作业要求也挺高的。
111747,77,李杰,2019-07-02 17:40:28,-9,4,13,老师很可爱，很善良，非常喜欢鼓励学生，真的很喜欢老师了。一学期两个大作业，几乎每周都要小组讨论，的确不算水，但认真做的话给分还是不错的。
111768,77,李杰,2019-07-02 22:01:18,-12,2,14,老师太好了，给分超好，爱老师！！
