评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
32871,25,刘英,2016-07-19 14:08:52,12,13,1,给电科开的dsp，讲的不错但很快，最后一节复习课划重点，试卷难度和信通的不能比23333
35104,25,刘英,2016-11-07 00:39:39,-23,1,24,非常差，烂透了
54767,25,刘英,2017-06-30 07:45:05,9,9,0,老师蛮负责的，讲课一般但是很详细，同学有很多讲习题之类的加分机会，后面复习也比较详细\n\n
81438,25,刘英,2018-07-05 05:43:02,8,8,0,信号与系统挂了，但是dsp能过，老师大善
82235,25,刘英,2018-07-07 14:00:39,8,8,0,有时候会点名，讲课还是不错的，给分也还行
89062,25,刘英,2018-11-15 03:35:34,9,9,0,讲课很认真，详细
108850,25,刘英,2019-06-03 07:15:27,8,8,0,讲得很细致，老师人很好！
111486,25,刘英,2019-07-01 19:52:12,6,7,1,声音超小
114443,25,刘英,2019-07-10 03:08:43,8,8,0,电科的dsp还是蛮简单的，老师人也很负责，给分不错啊～
119190,25,刘英,2019-11-11 05:54:43,11,11,0,自动控制还是不错的！老师讲的很详细！虽然人比较少但老师很用心，最后考试难度也不算大，认真做作业都能取得好成绩，老师给分还不错的。课程本身事情很少，只有作业和考试，想轻松一点的同学可以考虑！
141656,25,刘英,2021-10-19 08:00:42,15,15,0,老师水平很高，课程也很有趣，能学到很多有用的。考研多亏了刘英的PPT复习信号，因为于惠敏的垃圾教材
152001,25,刘英,2022-03-23 01:35:38,16,17,1,老师讲课还行，人也很好，就是dsp这门课太难了…
156834,25,刘英,2022-06-21 05:23:26,9,10,1,女神！讲课细致，给分超好！
177673,25,刘英,2023-07-04 07:36:52,3,3,0,还行，历年卷得背
184501,25,刘英,2023-12-21 05:12:58,1,1,0,电科DSP，课程内容有用难度适中，老师讲课好给分也好
193773,25,刘英,2024-06-18 02:27:52,6,6,0,美丽的刘老师捞捞我qwq
195810,25,刘英,2024-06-30 04:06:14,2,2,0,美丽的刘老师 讲课好 给分又超级好 人也超级温柔 看到群里发谢谢老师就偷偷把群解散了
218856,25,刘英,2025-05-09 01:36:43,0,0,0,自动控制讲的很好，给分也很好。
