评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
55640,1278,刘震涛,2017-07-02 05:34:03,3,5,2,好，非常好，给分超好
194904,1278,刘震涛,2024-06-26 01:51:53,2,2,0,给分很不错！课程也比较“水”。\n\n考核：点名10分+一篇论文60分＋一个labview大作业30分。
81007,2354,王慧泉,2018-07-13 06:31:22,2,3,1,给分太差了。不带调分的。
102052,2354,王慧泉,2019-01-30 08:28:08,1,1,0,。。。
160300,2354,王慧泉,2022-09-18 04:13:35,0,3,3,那个叫曾云帆的傻逼能不能闭嘴
160424,2354,王慧泉,2022-09-22 04:42:28,1,3,2,老师还行。\n\n但是曾云帆你给我闭嘴！！！
160425,2354,王慧泉,2022-09-22 04:44:12,1,2,1,那个叫曾云帆的叼毛能不能闭嘴啊
161523,2354,王慧泉,2022-11-08 06:31:50,2,3,1,楼里那几个借着匿名平台实名挂同学的什么玩意不用我多说吧
166533,2354,王慧泉,2023-01-12 15:59:02,4,5,1,给分太差了，复习了这么久，考试也感觉正常多水平发挥，最后成绩很不理想
166578,2354,王慧泉,2023-01-13 01:40:12,1,2,1,垃圾…
187125,2354,王慧泉,2024-01-14 14:54:22,3,3,0,考试好难。。。
187607,2354,王慧泉,2024-01-16 19:55:17,1,1,0,老师上课挺好，考试题和作业题难度相差较大
10135,2442,胡慧珠,2015-11-16 16:48:09,5,7,2,非常催眠
63124,2442,胡慧珠,2017-11-28 13:03:48,0,0,0,NOP
70837,2442,胡慧珠,2018-01-27 15:21:44,0,0,0,。。。
108887,2442,胡慧珠,2019-06-03 15:24:04,0,1,1,数字信号处理实验有点肝…
120213,2442,胡慧珠,2019-11-24 04:31:22,0,0,0,emmmm
125715,2442,胡慧珠,2020-09-13 12:50:00,1,2,1,就...念ppt，实验确实肝
134117,2442,胡慧珠,2021-03-16 08:34:29,0,1,1,嗯...就挺无聊的吧，讲的也不清楚，念ppt...
134435,2442,胡慧珠,2021-03-28 13:29:35,1,3,2,老师，别上课了吧，去做点你擅长的事情吧
182155,2442,胡慧珠,2023-11-10 18:04:20,1,1,0,一个秋学期总共就7个人选，老师实验课没讲过，作业交了也不知道对错，上课讲的贼快，讲的也不清楚，课程设置更是依托答辩，内容多的不想一个半学期的课
46856,2539,叶凌云,2017-01-22 13:45:26,6,8,2,给分真的低啊。承认答题不是很好但是也没有这么恐怖吧
1109,2603,刘刚,2015-03-21 16:10:46,0,1,1,深入浅出循循善诱！
4844,2982,杨春宁,2015-06-29 14:13:27,6,11,5,两次课堂讨论 三次大作业 考试周前一天告诉你10页Word文档 两页手写稿的期末作业复习都没时间 你就等着考完试改签回家的票写他的作业吧 给分坑
6179,2982,杨春宁,2015-07-11 15:54:31,5,9,4,今年是懒得出卷子了么就让我们写十多页的论文？！！
6448,2982,杨春宁,2015-07-14 04:17:36,14,17,3,绩点优秀4.5，良好3.5，中等2.5
6552,2982,杨春宁,2015-07-15 05:50:00,4,4,0,给了我中等啊-_-||
7768,2982,杨春宁,2015-09-15 13:15:50,-1,3,4,好
7769,2982,杨春宁,2015-09-15 13:16:06,4,4,0,课很没意思，给分差异太大，
7866,2982,杨春宁,2015-09-16 00:49:58,3,4,1,很没意思
7953,2982,杨春宁,2015-09-16 07:58:58,3,4,1,每日一分
8312,2982,杨春宁,2015-09-18 08:04:43,0,1,1,好好好好\n\n
9011,2982,杨春宁,2015-10-09 02:59:35,-3,3,6,很好 的老师，能学到很多
9230,2982,杨春宁,2015-10-18 10:12:42,-2,1,3,好    \n\n
10617,2982,杨春宁,2015-11-20 15:34:26,-3,1,4,啊啊啊讲的什么鬼
10653,2982,杨春宁,2015-11-21 14:35:49,5,6,1,挺好的其实，如果自己很水，一直没表现，在课堂上完全是有没有都一样的存在，得分低也是必然的了\n\n
20892,2982,杨春宁,2016-02-03 03:31:57,-3,2,5,就是觉得就觉得就\n\n文二33嗯二人戴菲菲
39729,2982,杨春宁,2016-12-27 07:39:07,1,1,0,辣鸡哦
144949,2982,杨春宁,2021-12-26 04:31:02,0,0,0,。。。
14,3192,董辉跃,2015-03-14 08:51:40,5,8,3,有各种奇怪的作业，讲课比较无聊。。。给分超烂
1410,3192,董辉跃,2015-03-22 02:02:43,0,2,2,给分烂，上课催眠
10387,3192,董辉跃,2015-11-20 08:03:37,2,3,1,认真上课，把握老师上课要点，还是可以考出好成绩的！
21335,3554,俞建杰,2016-02-28 05:21:12,5,7,2,懂的人自然懂 不多说
32918,3554,俞建杰,2016-09-23 11:07:36,3,3,0,渣渣老师
39335,3554,俞建杰,2016-12-22 06:14:18,1,1,0,完全不懂自己上的内容，喜欢搞各种小作业。给分很主观，很坑。
199677,3788,宣海军,2024-09-27 10:30:56,-1,0,1,mdzz
117877,3837,黄瑞,2019-10-07 11:07:44,4,5,1,666
72398,4532,郑旭东,2018-01-30 05:09:11,0,0,0,超级棒
117973,4532,郑旭东,2019-10-17 08:00:15,3,3,0,大面积抽人回答问题，不过都很简单，老师也不会刁难，上课特别轻松，只要稍微听一听就能听懂的\n\n
168134,4532,郑旭东,2023-01-30 01:43:40,0,0,0,上课会抽人回答，但问题不难。讲课节奏很舒服，考试也很简单，上个90轻轻松松
175542,4532,郑旭东,2023-06-25 12:22:14,0,0,0,给分还行，上课会叫人问问题，能学到东西
200369,4532,郑旭东,2024-10-16 09:28:32,0,0,0,东东好。
201068,4532,郑旭东,2024-10-28 06:25:55,5,6,1,航院为数不多认真上课的老师 好好珍惜
214130,4532,郑旭东,2025-01-25 04:06:15,1,1,0,老师平时挺忙的，这门课内容不算多，老师讲课节奏不快。\n\n平时上课讲的和作业做的还有期末考的基本一致，就是第七章Rom那边作业较少考题倒是不少，理解了的话也能做得出来。\n\n平时跟着进度考前复习了一两天，成绩还不错
214153,4532,郑旭东,2025-01-26 01:49:01,0,0,0,老师竟然会在课上帮你装实验课的软件，我哭死
214156,4532,郑旭东,2025-01-26 03:42:52,0,0,0,老师人很好，会真正关心同学有没有听懂。上课会点同学回答问题，但是提问难度不大，回答不出也不会刁难。数字电路上课的例题、作业题、考试题难度基本一致，上课跟着听考试不会有太大问题，给分也挺好的。
160928,4807,邢钱舰,2022-10-20 02:10:17,1,1,0,好好好
142183,5082,马振国,2021-11-08 08:41:18,0,1,1,太逆天了\n\n电脑上的软件没有正版\n\n烧FPGA都烧不进去\n\nWTF？？？？？？？
198089,5589,钟杰,2024-08-30 02:45:34,1,1,0,快跑！
130213,5940,蒋君侠,2021-01-19 04:49:05,8,14,6,蒋老师人很好，会主动关心学生的学习情况，问问题也很耐心地帮你解答，不管最后成绩如何，蒋老师都值得10分。
141537,5940,蒋君侠,2021-10-13 12:33:22,0,1,1,本科见过最好的ppt
145734,5940,蒋君侠,2022-01-03 13:41:05,0,1,1,讲课不错
189657,5940,蒋君侠,2024-01-26 10:40:30,2,2,0,好像很喜欢压学生分呢
189702,5940,蒋君侠,2024-01-28 08:32:14,1,1,0,事多，给分不好
159886,6055,陈杏藩,2022-09-08 02:09:12,2,3,1,老师好好
173808,6159,王磊,2023-06-03 07:13:16,1,2,1,比车双良好多了
192100,6335,赵文杰,2024-05-09 05:43:25,2,3,1,纱布玩意
192111,6335,赵文杰,2024-05-09 08:36:03,1,1,0,节节点名，而且贼喜欢把人点起来拷打
195287,6335,赵文杰,2024-06-27 15:23:55,2,2,0,纯纱布
206101,6440,周一览,2024-12-13 05:26:11,0,0,0,光惯给分严格正太，考核标准就是一个ppt（还没展示）和论文，感觉极其主观
218774,6463,曲巍崴,2025-05-04 12:53:49,0,0,0,点名两次，自己签名，不考试，两个大作业，可以借鉴b站
190242,6556,杨帅,2024-02-26 11:26:55,0,0,0,这个老师上课吃小龙虾
126241,6655,徐兆斌,2020-09-20 15:48:43,2,5,3,放养研究生
