评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
27736,3672,王贵国,2016-06-27 10:22:31,0,13,13,呵呵呵呵
155425,3672,王贵国,2022-06-12 14:12:45,3,12,9,真正的大佬！！！学术和做人都是！！！国经的启蒙老师（尽管本科时已经学过一遍，死记硬背得了高分！但经过老师一讲，就懂了好多）...
159365,3672,王贵国,2022-07-14 16:50:07,0,4,4,好！！大牛！！！
159718,3672,王贵国,2022-08-24 14:39:04,-1,1,2,超级好！！
159770,3672,王贵国,2022-08-28 16:31:08,-2,1,3,超级超级好乘以10086
161740,3672,王贵国,2022-11-11 18:09:38,-3,1,4,好好好
171598,3672,王贵国,2023-03-30 00:32:56,1,5,4,挺一般的
183830,3672,王贵国,2023-11-30 15:33:08,-3,0,3,好好好
17481,3678,章程,2016-01-20 09:34:28,5,19,14,听不懂
18482,3678,章程,2019-10-31 10:27:43,48,138,90,很有情怀
19267,3678,章程,2016-01-23 16:50:53,22,44,22,其实上课认真听了还是能听懂的呀，而且给分已经有进步了
20401,3678,章程,2016-01-27 13:16:00,0,7,7,有情怀的老师，可惜宝宝我听不懂
20553,3678,章程,2016-01-28 10:00:34,0,8,8,物权法被坑耿耿于怀，不过据说现在好很多
21315,3678,章程,2016-02-28 03:55:21,28,56,28,真正的大学启蒙老师
21321,3678,章程,2016-02-28 04:16:43,28,78,50,棒的一塌糊涂
21897,3678,章程,2019-10-31 10:28:22,33,76,43,民法的大半江山都是他的课。最开始物权法并听不懂而且分数也不高，但是静下心来再学合同法发现很多东西可以疏通开了。老师很有情怀，可以看到很多法学以外的世界
22116,3678,章程,2016-03-02 11:32:34,18,32,14,全心全意为学生的老师，对于学术的认真和自身人格魅力都让人心折，大学老师该有的风骨。
23040,3678,章程,2016-03-16 11:03:28,1,8,7,牛逼，可惜我听不懂
25718,3678,章程,2016-06-04 17:10:38,30,67,37,真正的大学老师，却有着邻家哥哥的感觉～
27775,3678,章程,2019-10-31 10:27:37,194,422,228,老师在公邮里有段话   “还是重复一遍第一讲时奉劝大家的话，诸位可以远离民法、远离法学，但请对自己年轻时认定值得投入之物务必尽心尽力，你一定能进入其后非凡的世界，形成自己的判断力。这是我所理解的大学的本义。”   给老师比心
