评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
192188,57,倪旭翔,2024-05-11 06:14:20,1,1,0,5分。话太多，有效信息少，一句话里全都是口头禅，真就是一直讲，无任何重点可言。在无用且无意义的信息里夹杂着上课的知识，听得昏昏欲睡，极易走思。
196729,57,倪旭翔,2024-07-05 02:24:02,3,3,0,助教是个垃圾
379,245,王晓萍,2015-03-15 01:41:47,20,26,6,ppt小天后～好吧。。一直感觉其实她是不会c语言的。。
5924,245,王晓萍,2015-07-10 02:43:31,15,16,1,说话超快，单片机无编程基础的话是坑别选
6737,245,王晓萍,2015-07-20 07:45:16,33,38,5,典型的把3学分上成30学分，把光电系变成微机系的老师
11745,245,王晓萍,2015-12-14 01:26:15,18,19,1,挺坑的，事超多，讲课太快。可怜微机是必修。
22213,245,王晓萍,2016-03-03 03:05:43,-11,21,32,我认为跟着王老师是可以学到很多东西的，尤其是真正想学习单片机的同学可以试着听一听，但是关键是你自己要努力，自己不努力却埋怨老师讲得快讲的多，只能证明你是个废物!
22797,245,王晓萍,2016-03-11 15:35:00,-8,10,18,单片机上课 全干货，想学的来
68587,245,王晓萍,2018-01-23 11:50:58,-17,9,26,王老师上课很认真，她自己的PPT和她自己出的书结合起来上课效果很好，虽然课程事情比较多，但是基本上都是有用的
139763,245,王晓萍,2022-03-14 02:58:02,43,51,8,那个说19级评论区疯了的，差不多得了😅
142386,245,王晓萍,2021-11-11 02:45:56,24,24,0,上课纯念ppt
143650,245,王晓萍,2021-11-30 03:26:03,21,21,0,“C语言大家掌握地都很牢固，所以C51我就不讲了”。\n\n然而事实上课程大作业几乎都需要用到C51来完成，后期时间太紧张又要花大量时间自学C51，真的太难顶了。
145091,245,王晓萍,2022-03-11 16:35:18,-16,24,40,19级的评论区疯了吗？偶然看到老师们的评分，慢慢一个老师一个老师看过来，我觉得这是场有预谋的控评，自己垃圾就别在那喷老师，学弟学妹们看看评论的时间，我觉得是某个寝室或者某几个人，在所有海院老师评论下破口大骂，王老师讲的干货很多，不要被评论里的戾气骗了，好好学，能有很大收获
145141,245,王晓萍,2022-01-09 02:51:52,23,25,2,上课和sb实验 mooc我就不说了，期末考整tm这么多题就算了，你tm期末两小时一直在我面前转来转去干嘛，还一直tm好心提醒我呢，赶紧做后面的，抓紧时间，我tm是不知道吗？？结果做到最后面的设计题，你跟我说延迟十分钟我笑了？我考了tm这么多年试头一次能延时的可真行。\n\n还有最后什么给课程提点建议，我原本想开骂的，妈的你站我旁边看我写什么意思哦，我真无语了，qnmd。\n\n给后来人的建议吧:别听她说C51不怎么用，考试有36分用C51写的你说呢，用汇编写更不够时间 笑死。当然汇编这门社会都淘汰的语言还是要学，毕竟有20多分读程序题目。七八章必看，零零散散加起来也有20多分。\n\n最后关于大作业实验设计真的要去去b站搜51单片机自学，讲了一学期汇编，结果tm每个组的大作业都用c51写，你看不看，无语操。qtm sb玩儿意。\n\nps:这里的妈是虚构的妈，对她家人没有任何意见。
148531,245,王晓萍,2022-01-12 23:54:20,25,28,3,1分的原因是没有0分的选项；\n\n王晓萍基本上可以说是个报复社会的（S）B，一天天除了吹牛不不讲啥实在内容，12年被评上“国家精品课”之后就成精了，三句话不离这破事。\n\n海院的学生真的可怜，学着所谓的21世纪学科，就业平均薪资比不上开挖掘机也就算了，还要在这种毫无意义的课（微机原理与接口技术）上面浪费时间，接受这种蠢币老师的压迫。\n\n上来就直接说我们对C语言已经很熟悉了所以不讲C51了，你他妈不识字是不是，老子压根学都没学过这玩意儿，你他妈动动嘴皮子我就牛逼了是吧?那你他妈还当啥老师，直接去开辅导班啊，布置个完全不会的作业给学生，学生就牛逼了，你他妈肯定可以一本万利。\n\n日常：“这个C51我觉得太简单了，大家自学就行，这个代码我觉得很简单，大家课下自己搞搞清楚。”最可笑的是，自己编的教材错七错八，代码一塌糊涂，老子辛辛苦苦敲上去，结果尼玛根本跑不了。问她，她他妈说什么是很久以前写的，真她妈大言不惭。\n\n然而最垃圾的当属期末，她他妈上课只讲汇编，结果期末大作业全部都要用C51，考试还出了36分的题需要C51来写你敢信？最后一周用不到两节课时间呼呼上完第七章，结果期末还考了一道10分的大题，还他妈让我们写整段代码，这是人能干出来的事你敢信？说是教学大事故都不为过吧？？😅 \n\n看到这个评论的兄弟，如果你还是大一大二，赶紧转专业吧。动科、农学，哪个专业水转哪个。4年紫金港不香吗？要来这么个鸟不拉屎的小岛？腾出时间考研跑路不好吗？要在这么个毫无前途又令人秃头的学院上面耗？如果你大三了，考研准备起来，别在意这种傻逼课的绩点了，纯是坑人的。（以上建议对想要多赚点钱韭菜有效，后浪们就随意吧）
150228,245,王晓萍,2022-01-20 15:58:14,19,20,1,傻逼老师，别留在海院祸害学生了😅
150241,245,王晓萍,2022-01-21 00:59:31,16,17,1,自己不知道自己设计的培养方案是什么B样吗？活该被扇巴掌。就冲这烂成一坨狗屎的培养方案，早晚啊，还会有人大闹教管部
150308,245,王晓萍,2022-01-22 07:30:58,17,18,1,破事多的一批，讲课贼快，上课讲汇编，大作业和期末考C语言，事先却不告知，真有你的。
