评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
8209,453,罗建红,2015-09-17 12:24:16,2,12,10,好老师，循循善诱
25866,453,罗建红,2016-06-13 01:32:59,-2,5,7,不咋样 很水
33154,453,罗建红,2016-09-14 10:58:54,-2,8,10,很认真很好
33155,453,罗建红,2016-09-14 11:13:09,24,41,17,始业教育好无聊\n\n
33156,453,罗建红,2016-09-14 11:20:01,0,7,7,始业教育好无聊，不上他的课了
33157,453,罗建红,2016-09-14 11:21:01,1,11,10,ppt永远是白的，没有背景！始业教育好无聊
33158,453,罗建红,2018-08-26 11:04:53,18,24,6,偶尔来句英文 挺提神的 大家都抬头看\n\n国际化视野
33159,453,罗建红,2016-09-14 11:27:33,-1,4,5,偏题少，课前发纸好评
33164,453,罗建红,2016-09-14 11:55:26,31,40,9,说实话，我觉得老师讲的挺好的，比书记的无聊段子和校长有点空的讲话好多了，我觉得罗副校很不错。
33165,453,罗建红,2016-09-14 11:59:58,6,14,8,始业教育很无聊
33175,453,罗建红,2016-09-14 12:44:31,-3,3,6,报告简短有力，很强
33176,453,罗建红,2016-09-14 12:45:00,7,15,8,都是零分太可怜了，送一分，但始业教育真的无聊
33177,453,罗建红,2016-09-14 12:45:22,1,5,4,一个始业教育讲座讲这么久干嘛←_←
33178,453,罗建红,2016-09-14 12:45:40,0,4,4,真无聊
33179,453,罗建红,2016-09-14 12:46:29,1,4,3,答非所问 说话找不到重点 水淼
33180,453,罗建红,2016-09-14 12:46:20,0,3,3,英语魔性。
33182,453,罗建红,2016-09-14 12:48:49,-4,3,7,讲得很好，逻辑强
33190,453,罗建红,2016-09-15 05:00:32,4,7,3,始业教育不错不错
33238,453,罗建红,2016-09-16 07:10:37,4,8,4,始业教育讲的还是挺好的
50880,453,罗建红,2017-05-08 02:02:12,34,40,6,楼上16级的人不要太偏?，罗建红老师作为医学院神经生物学主要授课老师讲的还是很好的
52821,453,罗建红,2017-06-23 05:28:31,0,0,0,哈哈哈
56774,453,罗建红,2017-07-04 15:01:03,5,6,1,给分极低，改卷过分地严格
77796,453,罗建红,2018-05-08 01:00:31,8,8,0,杨再博又满了
79220,453,罗建红,2018-05-27 16:04:25,4,6,2,对不起上课真的是忍不住睡着了，他一张口我就犯困\n\n而且PPT有毒！QAQ
79342,453,罗建红,2018-05-31 07:48:26,1,2,1,天呐！这个PPT有毒，看的我都心累！能不能有个逻辑，讲课也是
85980,453,罗建红,2019-08-20 12:09:16,63,74,11,始业教育是站着讲的，比较不容易
85983,453,罗建红,2018-08-26 11:09:56,23,26,3,始业教育比吴校和郑书记的有内容
85985,453,罗建红,2018-08-26 11:26:30,28,31,3,正在听始业教育的挺我一下2333
85986,453,罗建红,2018-08-26 11:31:11,6,8,2,We are own brains
85988,453,罗建红,2018-08-26 11:46:03,4,6,2,讲真话，真的始业教育业界良心！
85991,453,罗建红,2018-08-26 12:12:06,3,4,1,始业教育不要讲这么久( ✘_✘ )↯
85992,453,罗建红,2018-08-26 12:12:43,0,1,1,挺好的，站着作报告
85993,453,罗建红,2018-08-26 12:12:45,-3,0,3,一直站着，非常之讲究
85994,453,罗建红,2018-08-26 12:19:10,8,9,1,站着作报告，给个赞
85995,453,罗建红,2018-08-26 12:19:49,0,1,1,语速快，鼓掌少。
85997,453,罗建红,2018-08-26 12:32:54,3,4,1,始业教育一个半小时全程站着讲的，很感动。
85998,453,罗建红,2018-08-26 12:33:20,4,4,0,始业教育除了开始的脑科学科普，比校长讲的好多了
108128,453,罗建红,2019-07-03 01:03:13,1,4,3,给分太太太太太严格了
108204,453,罗建红,2019-05-16 08:54:14,0,0,0,神生讲的还是不错的
109355,453,罗建红,2019-06-13 08:10:22,5,5,0,这老师怎么通识课都能拖堂半个多小时啊
110356,453,罗建红,2019-06-26 02:39:04,0,1,1,老师很可爱啊，讲的也很好
111956,453,罗建红,2019-07-03 04:22:52,7,8,1,神生大概就是一门专门拉大家绩点的课吧
111964,453,罗建红,2019-07-03 11:20:35,6,9,3,别的课都是向上调分，神经生物学就比较厉害了，它向下调，强行把均绩控制在二点几。您给我合格分我也只能给您合格分。
114957,453,罗建红,2019-07-13 03:26:52,4,4,0,脑科学
115791,453,罗建红,2019-08-20 10:18:04,30,34,4,19级听始业教育的顶下(/ω＼)害羞
115795,453,罗建红,2019-08-20 10:26:50,8,11,3,听了老师您的讲座我感到心潮澎湃，思绪万千，
115797,453,罗建红,2019-08-20 10:31:54,2,3,1,还没有听我也不知道
115803,453,罗建红,2019-08-20 11:12:28,2,4,2,一位医学专家讲历史
115805,453,罗建红,2019-08-20 11:16:35,1,5,4,始业教育比吴校长讲的好
115806,453,罗建红,2019-08-20 11:19:52,9,13,4,说好站着，怎么坐着讲
115810,453,罗建红,2019-08-20 11:43:19,7,9,2,我们在天上的父， 愿人都尊你的名为圣。 愿你的国降临。 愿你的旨意行在地上， 如同行在天上。 我们日用的饮食， 今日赐给我们。 免我们的债，如同我们免别人的债，因为国度，荣耀，权柄都是你的，阿门。
115811,453,罗建红,2019-08-20 11:58:07,8,8,0,声音还好，很催眠
115814,453,罗建红,2019-08-20 12:02:06,0,1,1,……无话可说
115816,453,罗建红,2019-08-20 12:05:36,3,4,1,演讲无聊要命，催眠大会
