评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
145236,6020,徐浩,2021-12-28 11:30:47,7,12,5,管乐团总指挥 风趣幽默 对学生非常好
174073,6020,徐浩,2023-06-06 05:31:27,0,0,0,我的徐大！！！！！
219619,6020,徐浩,2025-06-01 13:54:41,0,0,0,神です。
124864,6817,"Demgenski, Philipp",2020-07-14 02:07:02,6,10,4,外专业上了老师的文化人类学，但是因为时差的关系所以一学期都是录播。老师的给分算非常友好的了，抱着不挂的心态交了take-home exam，最后给的分数好过预期很多。这门课是双语授课，因为老师是德国人所以英语有一点点口音，感觉有点严肃（可能是我的刻板印象），但是不妨碍理解，老师的中文也很不错，好像在中国待了十几年了，课程内容适合对人类学有兴趣的同学修读，不会很难。（PS:老师年轻的时候也是美少年一枚啊）
137644,6817,"Demgenski, Philipp",2021-07-05 12:42:34,0,0,0,Philip 老师！可爱！狂粉！嘶哈嘶哈
139198,6817,"Demgenski, Philipp",2021-07-13 08:18:03,4,4,0,人类学概论。这门课春学期生物人类学和考古人类学部分是董绍春老师上的，夏学期文化人类学部分是philipp来上。春学期老师有些观点较为极端，个人认为对于在知识积累和框架建构阶段的本科生并不合适，最后考试复习基本靠把科塔克的教材看一遍。夏学期philipp上得很好，整体框架完整清晰，每一部分内容逻辑清晰，给了10分，去办公室找老师也很和善！
179409,6817,"Demgenski, Philipp",2023-09-14 15:10:06,0,0,0,非常好
196340,6817,"Demgenski, Philipp",2024-07-03 04:31:58,3,3,0,超好超可爱的philipp！
205637,6817,"Demgenski, Philipp",2024-12-10 10:15:40,1,1,0,天使菲利普
220071,6817,"Demgenski, Philipp",2025-06-14 13:36:06,2,2,0,请都来文化人类学欣赏菲菲天使般的笑容，作业少给分高上课有趣，完全是天使！
220072,6817,"Demgenski, Philipp",2025-06-14 13:36:17,2,2,0,全世界最好最可爱的菲菲，给分好人帅心善，菲菲没有你我在这个系可怎么活啊
123533,7024,Jaap Nieuwenhuis,2020-06-09 13:05:50,-4,2,6,海宁校区ZJU-UIUC SOC100社会学导论（英文上课），疫情原因线上上课。\n\n课程：体验还是不错的，每节课把课本上的要点归纳的很好再加上老师自己的理解，生动地展示了社会学的各个方面。不过因为ppt已经是老师归纳过一遍的精华了，在线上课有点读PPT的感觉，线下上应该会好一些。\n\n老师：老师非常认真负责， 每位同学的paper都会看，然后会结合时事和同学们写的话题推荐课外阅读。老师是荷兰人，但谈吐间展现出其对中国社会、历史的了解十分到位，他课堂上的例子也可以当作换个视角看中国。\n\n相比于UIUC其他通识课，课业压力属于正常水平。不知与ZJU通识课相比如何。。
144711,7024,Jaap Nieuwenhuis,2021-12-23 09:04:32,3,4,1,没师德
129925,7480,蒋超,2021-01-13 14:39:19,0,0,0,2021年1月13日，我院蒋超研究员在Nature Protocols上在线发表题为：“Decoding personal biotic and abiotic airborne exposome”的方法学文章。该文章从设备开发、试验流程以及生信分析角度系统的描述了揭秘个体水平空气暴露组组分的研究方法。\n\n\n\nhttps://mp.weixin.qq.com/s/YZgygtI6YI2HyQ_r8fwSuQ
122833,7809,梁永佳,2020-04-12 13:07:57,-2,5,7,看起来很严厉啊 有点担心
123898,7809,梁永佳,2020-06-16 02:00:47,16,21,5,夏学期有幸选中了梁老师的人类学入门，这也是我第一次正式接触人类学。老师授课水平很高，讲授逻辑是非常清晰的，认真听讲再配合阅读一定会收获很多。一周会有4篇文章，全部都是英文，但是我英语太菜了…所以全都偷偷找中译本来看，所以阅读量也不是很大，哈哈。平时作业是一次小组pre，展示布置的阅读文献，也比较轻松。最后没有考试，从老师的书单里选一本去写读书报告，大概占成绩的一半。\n\n老师本身的学术能力是非常好的，北大人类学博士毕业，师从费孝通和王铭铭，所以讲授的专业性是不用怀疑的。并且他会非常耐心的解答学生的疑问，也很能体谅学生的压力，甚至还主动提出延期期末作业，怕我们期末季吃不消。\n\n总后，写一句老师在结课时说的话：“如果你们想学人类学，我办公室的大门随时为你们敞开。”
159202,7809,梁永佳,2022-07-07 18:57:05,1,1,0,非常热爱人类学的一位老师，让我从坚定社会学到在社会学和人类学之间摇摆www
159509,7809,梁永佳,2022-07-29 11:38:00,0,0,0,老师真的超级好，给分也好，人很幽默
163920,7809,梁永佳,2022-12-16 14:22:11,0,0,0,受益匪浅
172324,7809,梁永佳,2023-04-25 05:24:18,0,1,1,老师和助教真的都超级好
174441,7809,梁永佳,2023-06-12 07:40:52,2,2,0,特别好
176379,7809,梁永佳,2023-06-28 15:01:39,1,1,0,非常好的老师，有自己独到的见解，学术水平也很高。人类学概论上课非常享受。唯一需要注意的是课程考核要求比较高。
183587,7809,梁永佳,2023-11-27 13:11:42,1,1,0,突然想起来上学期没评分，特别好的老师，让我的世界观发生了改变，对人类学兴趣极大提升
197462,7809,梁永佳,2024-07-16 06:07:50,1,1,0,人类学概论，老师出分挺慢的，已经一个月了还没出。老师身体可能有些不好，但是上课还是很认真很卖力的。
197645,7809,梁永佳,2024-07-23 15:27:39,1,1,0,人类学概论，上课很好但是给分有点失望…（从来不翘课+上课积极发言还上台+读书报告没有用ai全部自己写（这部分xzzd上得分很高）+团队项目pre完后被老师表扬），最后成绩还是显著低于预期。。。了解老师对于学术的严谨追求但这门课的投入产出比（指功利的绩点产出）还是太低了。。。。\n\n真对人类学感兴趣的很建议去选，随堂听课应该也会很幸福。。。但不要来评分。。。
177953,7952,宋爽,2023-07-05 17:29:47,4,5,1,深夜出分评价，模电挂科边缘选手，上这个课感觉已经尽力了，尽管最终绩点还是挺垃的。老师讲课用的是和tzc班一样的PPT，并没有完全按照拉扎维或者是数集的书的顺序讲，而是把相关的内容整合起来，重点是模拟的部分。老师上课过电路的速度比较快，而且板书使用白色粉笔加上反光看的不太清楚，如果基础不够扎实的话听着会比较费劲，需要自己课后花时间看一看。老师人很好，去问问题的时候会认真回答，然后有时候课后还来问一下同学听懂没有，是个认真负责的好老师！
180708,7952,宋爽,2023-09-25 05:49:51,-1,3,4,laji
182202,7952,宋爽,2023-11-12 13:15:03,3,4,1,老师能力很强，对各种知识信手拈来，经常不屑于推导公式，导致上课体验很差，课后需要很多时间自学……
206077,7952,宋爽,2024-12-13 04:55:41,1,1,0,还可以
206078,7952,宋爽,2024-12-13 04:55:52,1,1,0,很无敌
211218,7952,宋爽,2025-01-17 04:57:06,0,1,1,人好但讲课有点意识流，进度也飞快，需要课后额外花很多时间去理解到底讲了啥
213873,7952,宋爽,2025-01-21 01:15:49,6,8,2,期中期末基本都是那点原题，作业也都是有答案的，怎么最后还是这么点分啊
216001,7952,宋爽,2025-03-09 08:02:00,2,2,0,讲的还可以
161413,8153,赵昱达,2022-11-06 16:36:14,8,9,1,老师真的很好很温柔
164755,8153,赵昱达,2022-12-25 09:44:00,1,1,0,老师讲课超级好。很负责任。
180756,8153,赵昱达,2023-09-26 00:58:05,3,3,0,老师真的很好很负责，PPT非常好而且有什么消息回复都很及时
184461,8153,赵昱达,2023-12-20 06:12:36,1,1,0,感恩😭😭😭
184642,8153,赵昱达,2023-12-22 04:42:36,1,2,1,赵昱达老师人真的超级好！钉钉问他问题都会及时回复，而且很耐心很详细。课上的ppt内容很详细，所有的知识点都会概括到。作业布置的比较多，但是只要好好完成作业期中就不用愁了。很推荐老师很温柔！
200850,8153,赵昱达,2024-10-23 11:03:31,1,1,0,帅帅的老师，讲课又这么清楚，还会带着大家复习，特意找过来给他10分，跟我其他课老师形成鲜明对比
183282,9521,江海腾,2023-11-23 11:44:40,4,5,1,老师人很好，谦虚温和，不过讲课经验可能不是很丰富哈哈哈
181033,9565,杨鸿斌,2023-10-05 15:25:26,1,1,0,很不错的老师，可爱又帅气，上课内容还可以，没有很好但是可以接受
189660,9565,杨鸿斌,2024-01-26 12:24:36,0,0,0,神中神，帅气幽默，讲课清晰，符合我对“青年才俊”的一切幻想
193681,9565,杨鸿斌,2024-06-15 08:21:57,0,0,0,课讲得稀烂，毫无逻辑
198808,9575,贾珂,2024-09-12 00:36:29,10,19,9,很一般
200715,9575,贾珂,2024-10-21 08:30:51,-12,17,29,从《脑与认知》课来的，课程大部分的内容是贾老师来讲。老师的课堂真的很有意思，而且有很多的心理学小实验来帮助理解。这个课程虽然小测很多，但是都很简单。期末有一个文献阅读报告要写，还有一个期末考（写评论的时候还没考）应该不会太难。老师也会发思维导图把知识点列出来，很多知识点要求理解就可以，没有特别多需要死记硬背的。老师也很在意同学们的意见和反馈，之前ppt图太多，文字较少，最近也在返工。他问我哭！这个课作为跨专业很合适www强推强推！老师很年轻，真的是年轻有为，讲课特别棒！夸夸夸夸！
201258,9575,贾珂,2024-11-04 07:04:05,9,19,10,难以评价。。。。。。
201495,9575,贾珂,2024-11-08 02:30:09,8,19,11,ppt返工了但是有用的东西都没有了我请问呢
201496,9575,贾珂,2024-11-04 02:19:53,-2,16,18,绝对是好老师行列的
201545,9575,贾珂,2024-11-04 07:24:57,8,18,10,讲课像是被人赶着，还有拖堂的陋习，回答问题的时候还会被打断，挺打击积极性的……
201546,9575,贾珂,2024-11-04 07:28:19,8,17,9,杠得不行
201568,9575,贾珂,2024-11-04 11:31:23,7,15,8,人其实还行吧，脑与认知这个课确实抽象了
201580,9575,贾珂,2024-11-04 13:00:40,9,20,11,思维导图也没用，就是课件的目录
201693,9575,贾珂,2024-11-05 12:17:57,0,15,15,很认真负责
