评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
4232,19,吴媛媛,2015-06-18 08:17:03,0,6,6,很年轻很有爱的老师～
7981,19,吴媛媛,2015-09-16 10:57:17,0,2,2,很有爱的老师
8898,19,吴媛媛,2015-09-30 03:36:53,17,20,3,讲课无聊
9691,19,吴媛媛,2015-11-04 13:34:34,7,11,4,拖课！
9692,19,吴媛媛,2015-11-04 13:34:46,1,4,3,点名，无聊，拖堂
9693,19,吴媛媛,2015-11-04 13:58:35,0,2,2,无限拖课 有强迫症
9717,19,吴媛媛,2015-11-05 08:45:01,1,3,2,其实老师很好，拖堂的事不能那么片面
10572,19,吴媛媛,2015-11-22 02:31:44,0,3,3,拖堂点名讲的也是我们听不懂的茶与健康改成不考试期末ppt展示加论文第一堂课满怀期待的我看到这样一下就不好了坑课
10606,19,吴媛媛,2015-11-20 13:50:16,-4,2,6,给了我4.4的绩点那么就不黑了。这学期的课很坑，只要点个卯就可以溜、最后两节课展示ppt浪费时间。
10677,19,吴媛媛,2015-11-22 10:14:29,-1,0,1,老师太负责了~希望以后可以用三节课来展示ppt.怎么说呢~这个绩点给的~并不是特别高，但不知道其他同学怎么样。
10706,19,吴媛媛,2015-11-23 02:13:43,-2,0,2,很无聊，给分标准是怎样的，好想问啊
11008,19,吴媛媛,2015-11-24 00:12:48,0,1,1,我只能说，这个成绩不值得！坑
11074,19,吴媛媛,2015-11-24 05:08:24,0,0,0,拖堂一小时其实看在是期末考察还可以理解\n\n人还蛮好的 但是请允许我看着我的绩点哭一会 给分不算差 但是真的PPT考察太坑 交个论文不是差不多了
12155,19,吴媛媛,2015-12-22 06:01:55,1,2,1,给分太低\n\n
12772,19,吴媛媛,2015-12-27 07:59:18,2,4,2,老师人还是蛮好的 只是茶与健康本身内容真的有点无聊
13046,19,吴媛媛,2015-12-24 15:31:37,0,1,1,人很好啊!美美哒~课程结业论文在于看你有没有自己的想法，照抄书本人云亦云的当然拿不到好绩点
14021,19,吴媛媛,2016-01-03 16:38:17,1,3,2,拖课是真的有毒。。不过感觉高分给的还是挺高的，主要是通识的正态
16279,19,吴媛媛,2016-01-17 15:58:16,0,1,1,超级拖堂……坑课 很认真结果给分低
17925,19,吴媛媛,2016-01-21 04:06:29,0,1,1,课挺水的。但是讲的挺好的。
17965,19,吴媛媛,2016-01-21 04:53:31,0,1,1,给分不好，学不到什么东西
24893,19,吴媛媛,2016-05-04 08:39:23,0,1,1,给分差
65380,19,吴媛媛,2018-01-03 12:31:28,2,2,0,太，，负责了
68921,19,吴媛媛,2018-01-24 06:03:00,4,9,5,茶与健康，上课无聊，不停地吹浙大茶学系。事多给分差，似乎还有鼓励恶竞的意思。屠幼英和吴媛媛两位老师让我知道了所谓宇宙第一茶学不过如此。
