评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
27992,302,廖敏,2016-06-28 07:57:38,-4,1,5,老师人很好很热心，但是课有一点乏味，考试不难
41700,302,廖敏,2017-01-12 11:17:52,1,3,2,廖敏无解
43186,302,廖敏,2017-01-16 03:00:40,9,12,3,很惦记师生情 总会有学生下学年继续上他的课
44574,302,廖敏,2017-01-18 03:19:11,18,20,2,给分坑
45331,302,廖敏,2017-01-19 11:06:57,12,13,1,你们说的是环资学院的廖敏老师吧，请问动科院廖敏老师怎么样
45932,302,廖敏,2017-01-20 09:26:58,-1,1,2,垃圾老师
59673,302,廖敏,2017-09-26 00:05:36,-8,1,9,听说给分好？
68360,302,廖敏,2018-01-23 04:57:51,7,7,0,垃圾啊
71662,302,廖敏,2018-01-29 00:16:02,7,7,0,凉凉……
71687,302,廖敏,2018-01-29 00:51:20,7,8,1,这个给分 令人窒息
71784,302,廖敏,2018-01-29 03:05:21,5,7,2,再创新低……
71860,302,廖敏,2018-01-29 04:43:21,12,12,0,那上课语速真的是\n\n不知道专业课为什么对我们这么狠
72213,302,廖敏,2018-01-29 14:37:59,2,3,1,我nyz表示：yakesilalei……救命啊说好的题简单随便考90呢
93747,302,廖敏,2019-01-12 14:22:42,2,2,0,听这课我能折寿1年，环资学院的，我可去您? 的吧
98267,302,廖敏,2019-01-23 08:54:25,-2,0,2,感谢老廖不杀之恩！！！
103678,302,廖敏,2019-03-04 06:12:04,-2,1,3,给分不错，老师讲课生动活泼
130286,302,廖敏,2021-01-28 12:35:10,0,0,0,谢谢你LIO IN
140174,302,廖敏,2021-09-02 10:59:10,-3,0,3,还不错
145803,302,廖敏,2022-01-02 12:28:31,1,2,1,给分真的很差很差
165819,302,廖敏,2023-01-10 02:10:33,6,6,0,上课迷迷糊糊，考试毫无重点，学弟妹自求多福吧
166866,302,廖敏,2023-01-14 03:36:56,3,4,1,什么时候去死啊sb
166868,302,廖敏,2023-01-14 03:48:14,8,9,1,讲课无重点，实验课实验操作交代不明，仪器不会用，上课还一直提问，给分差，环资有这老师是环资的福气，看着干啥，先赶快来谢谢老师吧。
167690,302,廖敏,2023-01-18 10:11:05,2,2,0,哈哈…坑
186989,302,廖敏,2024-01-14 04:44:34,2,2,0,无语了我靠，考试中途别人交卷走了，开始叽里咕噜对剩下的人说一些注意事项，提醒别人，这他爹公平吗？？我真的服了
