评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
34482,266,李卫芬,2016-10-11 15:32:14,0,0,0,非常好
73673,266,李卫芬,2018-02-02 13:36:55,0,1,1,水化学课如其名吧
75168,266,李卫芬,2018-03-08 00:23:45,0,0,0,水化学有点水
172945,266,李卫芬,2023-05-10 08:21:45,0,1,1,非常好的课，爱来自4.5\n\n任务是一篇3000字论文和线上展示，平时有两次简单作业
191897,266,李卫芬,2024-05-04 08:25:37,3,3,0,上课很水，成绩组成是一篇论文+一次展示，教学水平难评，离谱的是学生在上面展示，自己一直在下面玩手机，不听就算了，还经常打断学生讲话，真无语。想要拿高分的别来。
192184,266,李卫芬,2024-05-11 04:27:57,0,1,1,老师要退休了，可能确实讲得有点水了，但给分挺好啊，轻轻松松4.5
140733,882,孙红祥,2021-09-15 12:27:43,36,41,5,垃圾导师
141084,882,孙红祥,2021-09-23 04:56:39,1,1,0,nmsl
141085,882,孙红祥,2021-09-23 05:02:49,8,8,0,听他的学生说，经常辱骂学生，不把学生当人看。比如你们这群垃圾，女生要陪酒，就算身体不舒服也得陪。
141095,882,孙红祥,2021-09-23 08:49:43,1,1,0,垃圾导师不把学生当人看
141098,882,孙红祥,2021-09-23 12:10:41,1,2,1,98观光团
141099,882,孙红祥,2021-09-23 12:14:28,1,1,0,98观光团doge
141101,882,孙红祥,2021-09-23 12:32:18,1,1,0,biao子养的
141102,882,孙红祥,2021-09-23 12:57:59,0,0,0,垃圾就是你
141103,882,孙红祥,2021-09-23 13:45:07,0,0,0,师德师风问题比较突出
141104,882,孙红祥,2021-09-23 13:47:04,0,0,0,垃圾垃圾
141106,882,孙红祥,2021-09-23 14:09:37,0,0,0,骂功非凡，御史大夫的水平
141108,882,孙红祥,2021-09-23 14:43:30,2,2,0,垃圾导师 评价糟糕 PUA学生 生不如死
141110,882,孙红祥,2021-09-23 16:17:50,0,0,0,垃圾导师
141122,882,孙红祥,2021-09-24 02:54:23,0,0,0,垃圾垃圾垃圾人渣人渣人渣畜牲畜牲畜牲去死的了去死去死
141143,882,孙红祥,2021-09-24 12:19:25,0,0,0,。。。
141183,882,孙红祥,2021-09-26 01:32:33,0,0,0,为什么没有零分啊
141666,882,孙红祥,2021-10-19 09:34:59,0,0,0,sb玩意
141680,882,孙红祥,2021-10-20 00:17:23,7,8,1,cc98上面骂的是这位么
142378,882,孙红祥,2021-11-10 19:24:04,6,6,0,这个老师极其可怕，简直就是学生的噩梦，他手下的学生，或多或少有精神问题，而且他会精神控制你，导致无数人想要自杀！太可怕了！人世间怎么有这样的老师？
24490,889,王敏奇,2016-04-30 16:00:42,0,1,1,差评啊
9916,1107,胡松华,2015-11-12 16:20:15,0,1,1,认真 ，耐心
110187,1107,胡松华,2019-06-24 09:11:50,0,0,0,穴位考试太随意
110188,1107,胡松华,2019-06-24 09:12:51,0,0,0,。。。
12837,1113,胡彩虹,2015-12-24 06:15:11,5,5,0,可以的
31164,1113,胡彩虹,2016-07-03 10:08:33,3,4,1,知识点考点讲的很详细
36832,1113,胡彩虹,2016-11-16 07:17:35,2,3,1,老师很和蔼。
36910,1113,胡彩虹,2016-11-16 12:32:10,9,10,1,很容易 满绩 好好背…
37141,1113,胡彩虹,2016-11-17 14:29:33,1,2,1,老师人不要太好
41034,1113,胡彩虹,2017-01-08 13:38:44,2,3,1,人超好，给分超好，大写的赞
42297,1113,胡彩虹,2017-01-14 03:46:54,1,2,1,给分超好
61747,1113,胡彩虹,2017-11-20 14:06:28,1,2,1,给分超好quq
63683,1113,胡彩虹,2017-12-12 14:31:34,1,1,0,人超级耐心超级好
63772,1113,胡彩虹,2017-12-14 12:05:09,1,1,0,老师人很好
84096,1113,胡彩虹,2018-07-12 04:00:58,1,1,0,满?
89193,1113,胡彩虹,2018-11-16 14:23:14,1,2,1,很细致也很照顾人
89304,1113,胡彩虹,2018-11-19 05:28:05,2,2,0,考前两天才开始背题纲，最后满绩
89423,1113,胡彩虹,2019-09-02 10:52:15,-9,7,16,不知道怎么当上教授的
89428,1113,胡彩虹,2018-11-19 05:27:38,2,2,0,老师上课超级温柔！给分也好！！
89429,1113,胡彩虹,2018-11-19 05:32:39,1,1,0,人很亲切！\n\n给分超好！\n\n满分~\n\n
89523,1113,胡彩虹,2018-11-19 11:31:14,1,1,0,轻松满哦  加油背
92289,1113,胡彩虹,2018-12-27 12:42:39,12,15,3,老师超级萌，而且在刚爷面前怂怂哒哈哈哈哈哈，会给复习资料，很有耐心，至今记得老师的豹纹小外套
116062,1113,胡彩虹,2019-09-02 03:14:54,2,2,0,老师太萌了！！！
