评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
19123,39,崔艳丽,2016-01-23 10:02:40,20,23,3,不要选现代分离分析！不要选现代分离分析！不要选现代分离分析！
21711,39,崔艳丽,2016-03-01 01:01:35,16,21,5,大化实在是无聊
22258,39,崔艳丽,2016-03-03 06:25:29,18,20,2,讲的凌乱
22542,39,崔艳丽,2016-03-08 00:36:52,33,37,4,为什么有这么无聊的大化课。。。。
23393,39,崔艳丽,2016-12-21 03:43:46,42,57,15,布置的小论文简直有病，让一群有机化学都没学过的人去写论文，还要5年内中英文各三篇，毛都不懂，写你MB
23643,39,崔艳丽,2016-04-11 11:48:25,16,20,4,讲的差就算了。你倒是别点名啊。
25110,39,崔艳丽,2016-05-05 12:08:59,10,13,3,一个字，服。
25139,39,崔艳丽,2016-05-06 04:31:16,6,9,3,很不爽，无聊乏味
31240,39,崔艳丽,2016-07-03 12:33:09,7,11,4,呵呵呵，无聊，而且自己都不懂
32299,39,崔艳丽,2016-12-23 09:59:46,5,9,4,mdzzmdzzmdzz别选，预置的也退了赶紧…
32300,39,崔艳丽,2016-07-06 06:19:20,8,12,4,给分剧毒 手动再见呵呵哒
32302,39,崔艳丽,2019-11-09 02:09:58,7,11,4,不怎么样
32304,39,崔艳丽,2016-07-06 10:02:50,22,28,6,提醒未来的学弟学妹们，如果预置到了这个zz，请不要犹豫，立即退课，宁愿来年从玉泉跑回来修
32306,39,崔艳丽,2018-10-31 08:49:59,-21,36,57,老师是浙大第一女神，人长得漂亮，对同学也温柔。上课认真，要求严格，能学到很多东西。平时上课经常说段子，她还会剑术，是个高手，据说有许多富二代官二代在追她\n\n
32308,39,崔艳丽,2016-07-06 06:35:08,6,9,3,非常的差，给分不讲理
32309,39,崔艳丽,2016-07-06 06:36:06,37,41,4,浙大最差的老师之一，上课讲不清内容，没有价值。考试内容基本和课堂及作业无关。
32323,39,崔艳丽,2016-07-06 07:08:26,36,40,4,上课不知道在讲什么 她自己也不知道在讲什么 考试她自己也不知道在考什么  给分也不知道怎么给的 上课学不到东西 毫无价值 mdzz
32506,39,崔艳丽,2016-07-07 08:26:49,8,12,4,虽然是开卷，但考的题目真的很诡异，和课堂也没什么关联。讲课实在一般，最重要的是，给分实在太差了啊
39066,39,崔艳丽,2016-12-21 03:25:45,8,10,2,美滋滋
39067,39,崔艳丽,2017-03-13 07:19:15,-14,10,24,老师讲的太差了，我虽然满绩了，但是呵呵
39076,39,崔艳丽,2016-12-21 03:43:07,-9,2,11,还可以
39108,39,崔艳丽,2017-03-29 00:27:04,8,10,2,所有东西都可以涮出来！
48582,39,崔艳丽,2017-03-08 00:41:04,2,5,3,上完课你会后悔的，为什么要选!赶紧退吧，不解释讲课支支吾吾 ，给分迷迷糊糊\n\n
51197,39,崔艳丽,2017-05-24 01:09:12,12,15,3,不讲教学老师人挺好的，但是既然是一名老师，就很多时候都会怀疑这样的讲课水平真的够格在浙大讲课吗
51256,39,崔艳丽,2017-07-02 05:59:33,2,3,1,还行吧
51257,39,崔艳丽,2017-05-26 01:55:25,5,5,0,mdzz，不能给0分差评
51353,39,崔艳丽,2017-06-01 12:10:34,2,4,2,太垃圾
51360,39,崔艳丽,2017-06-02 00:20:27,4,5,1,我就想问问怎么没有0分?qnmb的大化，怎么有这么坑比的老师cyl。有句mmp必须说，谁选谁知道
51362,39,崔艳丽,2017-06-02 00:49:33,-10,0,10,体谅学生的好老师
51363,39,崔艳丽,2017-06-02 01:44:42,2,3,1,云里雾里
51596,39,崔艳丽,2018-09-18 02:00:28,2,5,3,傻逼老师
52826,39,崔艳丽,2017-06-23 05:40:29,7,8,1,讲话比较温和，看得出来在认真上课，但是太差，非常不喜欢。
55655,39,崔艳丽,2017-07-02 06:12:09,-10,2,12,老师很好啊！平时会给你很多认识的启示，给分可以说是非常好。考试看我们做不完还延迟了5分钟收卷，崔老师你值得拥有
