评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
19,3284,夏强,2015-03-14 15:25:40,14,17,3,不知所云，生理组太坑
20,3284,夏强,2015-03-14 15:26:16,20,25,5,不知所云。生理组都是坑爹，什么夏蛤蛤啊赖肾肾啊都是不知所云。上课讲不清楚就算了一定要搞一个不知道怎么做出来的课件。
146,2648,胡讯,2015-03-14 16:09:39,0,0,0,无聊\n\n
352,851,方马荣,2015-03-15 01:19:52,13,19,6,讲课不详细 解剖时人没影 问他怎么解剖或结构死不回答 让咱自己摸索甚至反过来考你 不指导就算 不让切这切那 深层结构因浅表部分不能切除而受阻碍 80字不够吐槽
374,759,王青青,2015-03-15 01:37:17,23,28,5,草鸡清晰有条理！
756,314,那仁满都拉,2019-05-26 12:51:24,3,9,6,很好
862,1573,施卫星,2015-03-18 02:54:48,0,4,4,很有趣！很棒！
894,151,包家立,2015-03-18 12:24:52,25,33,8,一个博学的老头，在他的课上可以学到各种知识，而且很能引人思考
954,2436,余海,2015-03-19 14:28:40,39,69,30,推荐所有学医的和打算学医的孩子去听…能了解很多的东西~\n\n期末是一篇和医学史相关的文章~~
1110,623,朱善宽,2015-03-21 16:11:22,5,23,18,如果你的ppt技术不过关的话，千万不要选实用营养与保健！
1182,2176,王会平,2015-03-21 16:25:56,1,1,0,认真的老师
1570,1573,施卫星,2015-03-22 15:30:54,14,16,2,有激情
1736,1573,施卫星,2015-03-24 01:14:13,1,5,4,老师人好棒！
1788,2177,王建炳,2015-03-25 01:36:40,1,1,0,ppt清晰有条理，但上课实在是太催眠了
1819,575,胡虎,2015-03-25 14:55:21,21,22,1,超级棒的！条理清楚表达流畅气质优雅幽默风趣，狂点赞！
2043,751,林旭瑗,2015-03-30 07:38:53,5,5,0,简直想自杀
2104,1437,周韧,2015-04-01 12:04:31,22,29,7,最喜欢周韧的课了，周韧的人格魅力是医学院很多老师没有的
2158,3069,柳华,2015-04-03 05:39:10,5,8,3,柳华老师讲课技能点满，听她上课一点都不瞌睡，放的视频资料也是很好的听力材料( •ิ_• ิ)上她的医学细胞生物学
2366,751,林旭瑗,2015-04-27 13:41:16,5,6,1,狗屎啊！超坑爹的！\n\n讲课像是自言自语，完全靠自习！！
2426,1437,周韧,2015-04-30 11:43:53,46,57,11,周老师简直医学院男神
2456,13,张咸宁,2015-06-24 04:50:26,87,98,11,都是为了活着
2614,594,徐立红,2015-05-04 17:32:55,24,29,5,像妈妈一样的老师 会不停重复重点 人很好 关系学生 喜欢和学生交流 很博学 带动我们也不小心就想去多看书～给分不知道 但是上她的课有种在家的感觉
2615,3405,沈颖,2015-05-04 17:34:36,13,40,27,老师很博学啊 讲的很有意思 对于大一新生来说都能听得懂大部分 给分很好！
2619,1019,郑莲顺,2015-05-04 23:05:59,9,13,4,超赞，漂亮幽默有重点，还有故事听
2775,1287,杜亚平,2015-05-07 06:27:03,5,7,2,飞一般的感觉
2845,3284,夏强,2015-05-08 14:04:05,-14,5,19,温和，慈祥～课听的不多，但人很棒～
2879,1573,施卫星,2015-05-10 08:22:02,7,9,2,赞，课上的有意思
2984,1573,施卫星,2015-05-12 07:58:30,-1,6,7,老师讲课 有意思 例子有很多 虽然有正态分布但给分还是很好的
2985,1573,施卫星,2015-05-12 08:08:07,7,11,4,老师挺好的，但给我的分不算高，不知道其他人怎么样
3099,2453,骆严,2015-09-14 11:28:27,43,57,14,骆老师对于课程的用心程度值得很多浙大老师学习\n\n
3180,623,朱善宽,2015-05-19 07:31:20,15,41,26,毫无防备 出成绩了 助教才说 我们这门课是打等级的 课程考核也是最后两周出的 超级无聊 别选了
3221,3152,黄河,2015-05-21 09:00:58,-2,1,3,严谨全面
3278,969,焦晶晶,2015-05-26 02:48:15,1,5,4,很恶心的人，甚选
3341,1267,郑树森,2015-06-03 02:34:56,8,9,1,非常好
3365,1573,施卫星,2015-06-07 07:20:43,11,11,0,可以很水，听了也可以挺有意思
3491,1573,施卫星,2015-06-16 14:50:20,3,7,4,听施老师的课，有一种发自内心的激动，逢人必推荐
3531,314,那仁满都拉,2015-06-17 01:29:02,25,48,23,给分好，讲的内容也很充实。
3665,1702,毛峥嵘,2015-06-17 02:08:42,-44,4,48,不按课本讲课 最不能理解的是实验课的时候讲课ppt和下发ppt不一样 下发ppt是删减版 这是让我们少学一点的意思吗
3978,1573,施卫星,2015-06-17 11:44:00,0,4,4,老师讲课超赞 人很nice
4015,1092,沈岳良,2015-06-17 13:56:18,0,4,4,水\n\n
4076,1416,沈晓红,2015-06-17 16:08:34,-17,7,24,论文破了万，给分挺好看
4096,1556,王鑫慧,2015-06-17 16:50:56,2,6,4,通识讲的很一般。收获不大。太年轻
4437,1416,沈晓红,2015-06-23 05:17:04,84,119,35,很温柔  上课会讲很多例子 重口治愈都有 一共就两篇2000+的论文 给分也不错
4504,1573,施卫星,2015-06-24 04:20:23,-1,5,6,老师很赞，讲课有激情，给我打分不错，考试挺轻松
4528,2728,竺可青,2015-06-24 07:28:25,19,22,3,必须的我男神，深入浅出拎重点的男神
5061,2436,余海,2015-07-03 02:58:26,11,15,4,老师讲得很好很有趣！
5150,2436,余海,2015-07-05 04:42:41,6,7,1,讲课很好  强烈推荐
5174,1573,施卫星,2015-07-05 14:34:07,3,6,3,课堂很生动！像讲评书！
5321,1556,王鑫慧,2015-07-06 14:55:15,3,11,8,感觉还是不错的 人很好 上课很轻松
5425,710,欧阳宏伟,2015-07-07 09:49:18,-12,13,25,副院长，有情怀的好老师
5532,2176,王会平,2015-07-08 05:29:18,0,1,1,生理学催眠大师，人还可以
5843,3069,柳华,2015-07-09 15:02:09,1,2,1,很温和
5844,3069,柳华,2015-07-09 15:02:15,2,2,0,哈哈
5845,3116,赖蒽茵,2015-07-09 15:03:31,17,19,2,无聊
