评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
171762,9331,董子云,2023-04-04 10:17:52,5,7,2,课程很无聊，但是董师还是很有意思的，总体水水的，给分应该不错（老学长淋过雨，就给我们撑伞啦哈哈哈哈哈哈哈
191755,9331,董子云,2024-04-30 00:09:11,1,2,1,事少分好
191850,9331,董子云,2024-05-02 04:21:53,1,1,0,董老师人非常好，会很用心地准备上课内容，最后的讨论课也很积极地在组织，有特殊的亲和力。如果要学习更多的史学理论内容肯定要多读课外的。
194270,9331,董子云,2024-06-23 04:38:39,1,1,0,董老师其实是竺混出身，年轻活泼，很乐意和大家互动。很有意思的老师。
204939,9331,董子云,2024-11-29 01:02:58,5,5,0,是一位很有能力的老师
217899,9331,董子云,2025-04-17 16:33:42,2,2,0,【史学理论】\n\n评分：9/10\n\n评价：不点名，但对发言有要求，至少发言1次，有2周讨论课，蛮好玩的，很能训练思维能力。作业就是期末一个论文，有一定学术性要求，老师也会与你沟通选题。整个课程理论性较强，比较抽象，个人不大感兴趣，这也是没打10分的原因。最后，给分nice～
172383,9662,潘敦,2023-04-26 06:33:05,0,2,2,为敦哥打call！
172390,9662,潘敦,2023-04-26 03:25:40,0,1,1,敦哥yyds
183086,9662,潘敦,2023-11-22 05:50:57,0,1,1,他好可爱
189763,9662,潘敦,2024-01-28 13:12:12,2,2,0,潘老师人很好。课堂也比较轻松。你玩的什么游戏老师也会玩，很有趣的老师。
185369,9977,YOU MINJUNG,2023-12-28 12:00:18,-8,2,10,这学期上了韩语1，老师上课非常用心，谢谢老师
187569,9977,YOU MINJUNG,2024-01-16 15:01:51,6,10,4,老师人不错但讲的没有重点，肯定挂科，快跑
189366,9977,YOU MINJUNG,2024-01-23 12:14:51,8,10,2,绩杀，出题巨难快跑
189439,9977,YOU MINJUNG,2024-01-24 07:31:22,-9,3,12,老师人很好的，期末出得很难，但应该是捞了
189536,9977,YOU MINJUNG,2024-01-25 09:38:35,13,14,1,虽然老师人还行，但题太难，不可能拿高分，还费时间
190212,9977,YOU MINJUNG,2024-02-26 00:59:16,-6,2,8,点名较多，老师中文不好所以讲的不太清楚，但是韩语主要是背背单词，而且老师期末会捞的，认真的话分不会低
190730,9977,YOU MINJUNG,2024-03-16 08:34:36,7,8,1,不仅题难而且讲的不清楚
192996,9977,YOU MINJUNG,2024-06-02 06:41:05,2,5,3,老师人挺好的，会邀请同学一起交流、吃东西、喝喝下午茶（虽然我没有去过）。老师的中文虽然不太好，但是进步的速度比我的韩语快多了。如果上课坐前面的话还是能与老师比较好的互动，能听懂她在说什么的。小组展示关于韩国的文化的时候，老师也会发表自己的观点，我觉得这是课堂中比较有意思的环节。会有几次点名，雷达，数字，念名单都有。小测是一个单元一次，背背单词、语法、文章是可以获得一个不错的成绩的。但是期末考试是有点难的，有一些看不懂，只能靠猜。我是工科生，之前也没有学过韩语，但是自认为对已经学习过的知识的准备还是比较充足的，最后期末成绩也还可以。就是当时考试做得有点痛苦，不过老师上个学期也是第一次上课，本身也是历史学院的老师，不是外语学院的，或许以后会越来越好吧。
199137,9977,YOU MINJUNG,2024-09-18 05:09:00,1,1,0,人挺可爱但是上课实在不知道在干嘛 可能让我去教外国人中文我也不知道该从哪讲起进度是快是慢吧
210046,9977,YOU MINJUNG,2025-01-08 04:13:14,3,3,0,是结课后会请大家吃韩国烤肉的温柔大姐姐！！！
210684,9977,YOU MINJUNG,2025-01-09 17:30:30,3,4,1,出题太难，语法和句式很多完全不是平时教的，没有完全理解动词变形的话真的很容易完全看不懂，甚至有一些题目超纲了，不过老师人挺好的。
