评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
185057,9416,Bruno Bentzen Aguiar,2023-12-26 04:41:01,4,7,3,全英文授课，但是老师备课很认真，作业要求也很严谨。上课内容都会以讲义的形式发放下来。轻松有趣，值得一选。
207037,9416,Bruno Bentzen Aguiar,2024-12-19 04:50:09,0,1,1,老师讲课超级精彩，幽默又严谨，是这学期最喜欢的老师之一了！😘
209144,9416,Bruno Bentzen Aguiar,2025-01-04 16:34:39,2,2,0,特别好的老师
212638,9416,Bruno Bentzen Aguiar,2025-01-14 10:25:45,3,3,0,2024-2025冬学期的哲学逻辑，考评是90%的平时作业（6次）和10%的平时分，如果没有学习过逻辑学前期课程的同学不太建议选，课程内容比中文的《逻辑学导论》要深入的多、困难的多，平时作业可以用AI参考思路，但直接复制粘贴肯定不行，如果被发现可能会有严厉处罚。老师讲课还是很认真风趣的，给分全靠自己吧，完全求是的～
214663,9416,Bruno Bentzen Aguiar,2025-02-16 04:40:01,2,2,0,好课好课
168254,9419,李明书,2023-02-06 15:08:46,3,5,2,挺好的，老师非常喜欢小狗，每次会用小狗“保吉”来举例论述美学话题\n\n考试形式本来是随堂开卷，后来因为疫情原因改成自行论述三个给定的话题。不得不说，如果说线下考试，那三个题目还是有一定难度的，但是自行解答就好多了，准备材料也会比较充分
169283,9419,李明书,2023-02-25 08:26:16,3,4,1,老师人很好，上课也比较有趣，很喜欢小狗勾，会希望跟学生多互动
172969,9419,李明书,2023-05-10 12:59:12,1,2,1,老师上课很有趣，知识点也讲得很清楚，平常会点名，给分比较严格
194100,9419,李明书,2024-06-22 03:58:30,7,11,4,中哲史I：四次小测各占20%，平时分20%，没有期末考所以小测的分量很重。小测开卷，采分很像高中政治题，点踩没到会扣很多分，看清楚题目设问掌握答题技巧还是很重要的。另外就是用好ppt和教材（马工程，你没听错）；老师人很和蔼但给分求是，最后拿到分数有点受伤，大家上这门课的一定要重视小测就是了。
194116,9419,李明书,2024-06-22 05:26:09,7,9,2,老师是好人，也很可爱，但讲课毫无波澜总能让人昏昏欲睡，以及给分差。
