评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
5487,2153,朱佐想,2015-07-08 02:32:06,-3,10,13,一天到晚就知道吹创业，还是个五毛，不过没作业挺好的，有时也会介绍一些工作经验
6892,2153,朱佐想,2015-07-30 13:27:21,1,4,3,挺水的
8339,2153,朱佐想,2015-09-18 14:01:47,0,2,2,不咋地
10595,2153,朱佐想,2015-11-20 10:27:14,0,2,2,呵呵呵
11375,2153,朱佐想,2015-11-29 10:09:54,0,2,2,一般水吧\n\n
13088,2153,朱佐想,2015-12-25 00:11:35,4,7,3,很好的老师
16980,2153,朱佐想,2016-01-19 11:04:06,1,3,2,事情多给分少  没学到任何东西 什么都没教过就叫你写创业计划书 反正是无语
18263,2153,朱佐想,2016-01-21 10:42:52,2,3,1,上的大学生kab，干货挺多，但是给分比想象低
29042,2153,朱佐想,2016-06-29 07:18:50,3,5,2,给分⋯⋯不靠谱。
29170,2153,朱佐想,2016-06-29 10:22:54,0,1,1,………
29243,2153,朱佐想,2016-06-29 13:20:41,4,5,1,给分机制不知道是怎么样的 认真看完了提纲还背了好久 可能填空写的不好 但是我同学填空也只写出几个人家还4+ 我都要上天了 严重怀疑如果没背后面大题会不会挂...
29909,2153,朱佐想,2016-06-30 13:27:32,12,23,11,渣…\n\n给分是不是随机给的\n\n每节课都去签到\n\n期末考试题目完全按照答案背的\n\n结果！\n\n不说了\n\n让我哭会\n\n虽然只有一个学分啊，但是自己毕竟付出了，感觉没有被肯定…
35223,2153,朱佐想,2016-11-06 15:34:20,0,2,2,觉得有些自负
53246,2153,朱佐想,2017-06-26 08:51:34,-1,3,4,原谅我从来不想听他瞎说。
53297,2153,朱佐想,2017-06-26 10:10:33,-3,4,7,给分差
81775,2153,朱佐想,2018-07-06 07:04:30,-6,2,8,傻逼课程毫无卵用，还给我正太了枉我准备那么认真
81808,2153,朱佐想,2018-07-06 08:31:44,3,15,12,形策真的很不错啊 ，唯一要做的就是签到（每次都代签老师也从来不查飘过…   出分很快。最后形策考试前好好背了下思考题结果拿了4.8…
111805,2153,朱佐想,2019-07-02 23:41:20,7,18,11,上过行策，从不听课，签到都签。课后两个小作业做得很好，期末错好多选择，大题文科生答法，绩点满了……我觉得给分还挺好的吧……
111812,2153,朱佐想,2019-07-02 23:51:57,-6,2,8,什么垃圾老师，选上就等着倒霉吧
118057,2153,朱佐想,2019-10-19 15:37:03,6,6,0,就想问问今年浙江省的新生奖学金什么时候结一下啊，招生的时候明明说好了的。
120107,2153,朱佐想,2019-11-17 12:37:54,2,4,2,听他说话水平就很菜 还拖课
120119,2153,朱佐想,2019-11-17 14:15:44,2,2,0,六六六
125954,2153,朱佐想,2020-09-16 03:40:01,3,4,1,事很少，两个学期就交了一份寒假作业和一篇观后感。寒假作业的实践可以做回访母校真的简单了很多…这个做的还挺认真的+考前主要看了思考题，最后给分还不错
126983,2153,朱佐想,2020-11-01 12:30:00,3,5,2,讲课内容很不错，形式多样有干货，绝不像楼下其他同学说的五毛
137292,2153,朱佐想,2021-07-03 02:39:14,2,3,1,挺好的吧
138290,2153,朱佐想,2021-07-08 10:58:19,2,3,1,还不错
138474,2153,朱佐想,2021-07-09 11:11:48,-1,1,2,一般一般太一般了
141909,2153,朱佐想,2021-10-31 10:52:13,-1,0,1,老师不错，就是说话有点二倍速
156593,2153,朱佐想,2022-06-20 11:06:51,-3,0,3,好老师，事少分高
156929,2153,朱佐想,2022-06-21 10:52:16,-1,0,1,老师不错的，在行测课老师里面算是任务少给分好的了
175944,2153,朱佐想,2023-06-27 08:20:02,1,1,0,很烂啊
176026,2153,朱佐想,2023-06-27 12:36:46,1,1,0,行测给分很差
176973,2153,朱佐想,2023-07-06 04:05:06,-2,0,2,来改评论了，今天志愿者小时数到手了
194558,2153,朱佐想,2024-06-24 10:49:44,-1,0,1,形策 给分高
194574,2153,朱佐想,2024-06-24 11:37:40,-1,0,1,中规中矩，可以选择。
194781,2153,朱佐想,2024-06-25 11:31:18,-1,0,1,事少分高
220127,2153,朱佐想,2025-06-15 07:40:34,-1,0,1,形策，给分好
636,3031,郑玲玲,2015-03-15 09:08:20,66,79,13,呵呵嗒
2478,3031,郑玲玲,2015-05-04 12:44:44,49,61,12,我就笑笑，你们就懂了\n\n
8159,3031,郑玲玲,2015-09-24 00:53:28,40,46,6,只能说她脑有病
8293,3031,郑玲玲,2015-09-30 08:50:54,25,30,5,呵呵\n\n
8294,3031,郑玲玲,2015-09-18 04:13:56,19,25,6,呵呵哒
8304,3031,郑玲玲,2015-09-18 05:31:40,-5,7,12,她好苦
8315,3031,郑玲玲,2015-09-18 08:44:25,5,14,9,看评分你懂的
8316,3031,郑玲玲,2015-09-18 08:44:33,14,19,5,老是喷麦。
9730,3031,郑玲玲,2016-12-20 12:36:02,-51,5,56,玲姐是辅导员女神
9731,3031,郑玲玲,2016-12-20 12:35:57,-42,5,47,玲玲女神
10499,3031,郑玲玲,2015-11-19 07:58:53,3,6,3,我就呵呵
10502,3031,郑玲玲,2015-11-19 08:10:33,20,26,6,爽（sheng）到（bu)飞（ru)起（si)
10541,3031,郑玲玲,2015-11-19 14:31:11,14,17,3,呵呵哒
11285,3031,郑玲玲,2015-11-26 08:53:36,3,7,4,呵呵哒
11286,3031,郑玲玲,2016-12-20 12:35:28,-10,12,22,玲姐总让我感觉幸福来玲
11827,3031,郑玲玲,2015-12-16 12:42:49,37,47,10,不好意思 没找到0分
12059,3031,郑玲玲,2015-12-21 15:14:10,5,7,2,呵呵呵呵
12060,3031,郑玲玲,2015-12-24 03:09:22,8,14,6,虽然上课很能说，但其实并没有什么干货⋯⋯
12061,3031,郑玲玲,2015-12-21 15:13:46,2,4,2,...
12255,3031,郑玲玲,2015-12-22 14:40:19,4,6,2,…………呵呵
12257,3031,郑玲玲,2015-12-22 14:40:44,4,7,3,呵呵哒
12355,3031,郑玲玲,2015-12-23 05:09:24,2,4,2,………
13428,3031,郑玲玲,2015-12-28 03:41:02,4,6,2,呵呵哒。
19806,3031,郑玲玲,2016-01-25 09:56:37,17,19,2,呵呵 正态我 有病
20286,3031,郑玲玲,2016-01-27 02:46:16,2,4,2,……………
20663,3031,郑玲玲,2016-01-29 13:40:43,3,7,4,微积分自学课
20864,3031,郑玲玲,2016-02-02 14:25:32,5,10,5,上课拿出手机，下课，电量只剩百分之1，自动关机..
20916,3031,郑玲玲,2016-02-04 00:43:56,-23,6,29,不懂为啥她的评分会这么低\n\n思修本来就是自习课啦，你还期望老师讲点什么？讲道理她布置的作业.任务也不算多啊（比宿友的思修老师少多了）\n\n被正态了就跑来这报社？
21143,3031,郑玲玲,2016-02-21 06:44:22,31,37,6,为什么没有零分？做老师做辅导员做成这样也是醉了，根本没有师德，为什么浙大会有这种老师？
21877,3031,郑玲玲,2016-03-01 11:10:30,-2,5,7,不说话 看评分
22165,3031,郑玲玲,2016-03-03 00:40:03,4,6,2,呵呵呵
23250,3031,郑玲玲,2016-03-23 03:30:36,44,53,9,不知道楼上微积分是什么情况 以下针对辅导员 期待中是爱和理解的角色 由她传递出来是不许不能 净说一通七大姑八大姨说的有的没的 如果社会本就这样那我也无怨言 但曾经期盼的 现在很失望
26101,3031,郑玲玲,2016-06-15 16:47:08,4,6,2,自行体会
27636,3031,郑玲玲,2016-12-20 12:36:08,-21,4,25,我觉得做辅导员是尽职尽责的
33075,3031,郑玲玲,2016-09-12 02:55:49,4,6,2,呵呵。。
33232,3031,郑玲玲,2016-12-20 12:36:30,-16,5,21,大家不要太苛刻了，这老师不错
33310,3031,郑玲玲,2016-12-20 12:35:50,-10,4,14,很好的老师啊，第一节课很好，真不懂你们\n\n
33931,3031,郑玲玲,2017-01-18 11:35:56,-7,4,11,老师真挺好 除了三观有点江化，给分真的很不错
34237,3031,郑玲玲,2016-09-29 02:40:18,5,9,4,为什么没有0分
34990,3031,郑玲玲,2017-01-20 12:24:11,5,8,3,相当糟糕的老师
36727,3031,郑玲玲,2017-01-18 11:42:25,-12,3,15,给分真心好！！
37205,3031,郑玲玲,2018-09-21 05:17:38,3,8,5,额，还好啊，最后绩点还可以
38160,3031,郑玲玲,2016-12-22 07:41:33,4,9,5,LOW and CHEAP and BORING
40132,3031,郑玲玲,2016-12-29 10:46:25,-4,6,10,不至于吧 玲姐挺好的啊
40208,3031,郑玲玲,2016-12-30 03:50:40,4,6,2,呵呵……自行体会
40225,3031,郑玲玲,2016-12-30 08:34:08,-16,1,17,辅导员还是挺好的嘛
40901,3031,郑玲玲,2017-01-06 07:15:07,5,14,9,思修。不明白这低分。思修课任务不是太多，上课水过就行了。老师讲得不差啊，放的视频都挺好看的。
44854,3031,郑玲玲,2017-01-18 11:46:32,-10,3,13,绩点很棒棒
44871,3031,郑玲玲,2017-01-18 12:07:06,-9,3,12,老师人很好，给分也很好
44950,3031,郑玲玲,2017-01-18 15:06:49,-12,3,15,膜！给分好
45252,3031,郑玲玲,2017-01-19 08:13:53,-2,3,5,不至于如此低分。
48233,3031,郑玲玲,2018-03-07 08:29:33,1,2,1,呵呵呵
