评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
32976,2671,吴行,2016-09-07 02:22:51,17,25,8,特别特别好的老师
58487,2671,吴行,2017-08-30 12:07:15,9,13,4,帅----
60829,2671,吴行,2017-10-31 02:21:22,4,8,4,嘻嘻嘻.\n\n
61228,2671,吴行,2017-11-12 15:43:07,10,14,4,行长帅啊emmmm\n\n特别好
64717,2671,吴行,2017-12-27 02:10:28,6,8,2,行长ww
79192,2671,吴行,2018-05-26 16:40:37,1,4,3,行长啊哈哈哈哈哈哈
90793,2671,吴行,2018-11-26 05:32:34,1,4,3,好啊好啊
118411,2671,吴行,2019-10-27 01:35:02,5,7,2,人很好，很同学处得来的辅导员
139963,2671,吴行,2021-08-22 14:26:46,-3,19,22,说话不负责任，十分油腻
143810,2671,吴行,2021-12-07 08:47:01,6,9,3,每天都在想念行长
162460,2671,吴行,2022-11-23 01:28:06,-7,12,19,说话十分油腻
173956,2671,吴行,2023-06-05 07:53:12,7,7,0,最少做事情还算靠谱
182178,2671,吴行,2023-11-11 13:08:37,19,21,2,今天行长带我们去海宁校区参观，讲解海宁校区的办学理念，中午请我们所有人吃的饭，大爱行长🥰
182614,2671,吴行,2023-11-18 09:32:11,9,9,0,怎样才能成为行长这样的完美男人
184735,2671,吴行,2023-12-22 10:58:11,6,6,0,行长太帅啦啊啊啊啊\n\n人是真的好
185500,2671,吴行,2023-12-31 11:39:58,8,8,0,我觉得不给行长打10分这学期白导上了。幽默风趣，讲课也不是只念PPT。特别有意思
185702,2671,吴行,2024-01-03 15:42:46,6,6,0,帅男，还不错
186092,2671,吴行,2024-01-08 09:09:41,6,6,0,幽默风趣、事少反卷的好老师，我男神！
186302,2671,吴行,2024-01-10 11:47:27,3,4,1,有很多有趣的想法，也很亲民，讲课生动，有正气，很好的老师~
186427,2671,吴行,2024-01-11 04:39:56,6,6,0,全世界最好的德法课老师不接受反驳!感觉自己预置到行长的德法课真是太幸运了!课上请过港大前校长和我们交流分享。深秋的时候带我们逛海宁国际校区。钉钉上经常跟我们分享有趣的日常。我真的超爱!!!现在有些后悔有几节课在赶DDL没有好好听讲555
187849,2671,吴行,2024-01-17 14:55:10,1,2,1,这学期能预置到行长的课真的太幸福了！o(*￣▽￣*)o
189358,2671,吴行,2024-01-23 11:21:38,5,5,0,真的太棒啦！小组展示做的很一般但是给分也超级超级好！冲冲冲！行长太帅了！是真正为学生着想的好老师，带我们去海宁玩，请我们所有人吃饭，还经常在钉钉上跟我们分享日常，会看98上面的帖子并且发出自己的意见和建议！平时作业也不多，真是爱惨了~~
192494,2671,吴行,2024-05-22 02:40:34,0,1,1,行长帅
192796,2671,吴行,2024-05-30 12:30:09,2,3,1,还可以
200062,2671,吴行,2024-10-12 04:25:35,0,1,1,行长生日快乐!
200114,2671,吴行,2024-10-13 10:26:39,-1,0,1,行长赛高（＞ｙ＜）
200505,2671,吴行,2024-10-18 02:19:23,-1,0,1,特别棒！
203213,2671,吴行,2024-11-18 05:07:20,0,1,1,行长永远的神！！
207532,2671,吴行,2024-12-23 01:24:16,0,1,1,行长永远的神！上课非常有意思更有深度，作业少分好，还带我们去海宁
207799,2671,吴行,2024-12-24 09:57:22,-2,0,2,行长好
219048,2671,吴行,2025-05-20 02:53:05,0,0,0,真的油腻，不懂这些爱他的人
219212,2671,吴行,2025-05-23 04:16:31,0,0,0,挺好哒
128584,5243,刘琬璐,2020-12-24 07:57:40,4,6,2,很好的老师
137021,5243,刘琬璐,2021-06-29 13:24:56,4,5,1,老师很好
192451,5243,刘琬璐,2024-05-20 10:30:42,0,0,0,我爱琬璐
192452,5243,刘琬璐,2024-05-20 10:31:05,0,0,0,我也爱琬璐
192535,5243,刘琬璐,2024-05-23 07:05:39,2,2,0,很好👌
199439,5243,刘琬璐,2024-09-23 15:31:53,0,0,0,⭐⭐⭐⭐⭐⭐\n\n妈妈
128599,5529,胡欢,2020-12-24 11:07:00,-2,11,13,想要和他击剑
145683,5529,胡欢,2021-12-31 07:19:07,-2,0,2,，，，
171635,5529,胡欢,2023-03-30 10:20:01,22,23,1,画饼一流
174325,5529,胡欢,2023-06-18 04:25:27,16,16,0,wdnmd闸总都能当老师啊都？？？？真小丑，希斯莱杰看了都要复活
174787,5529,胡欢,2023-06-18 04:26:49,11,11,0,建议重开
178886,5529,胡欢,2023-07-28 05:39:52,13,13,0,纯纯弱智
179024,5529,胡欢,2023-08-22 03:28:54,10,11,1,此生难得一遇的差老师人品学品教品差到极点了
180852,5529,胡欢,2023-11-30 03:17:02,14,14,0,和邵小姐有异曲同工之妙，区别就是邵不把本科生当人，他把本科生当爹。
188097,5529,胡欢,2024-01-18 07:51:08,5,6,1,体验很好，认真学了一个学期，俯冲C
220049,5529,胡欢,2025-06-14 07:07:35,1,1,0,b事多，给分低，期末汇报喜欢压力你，课程内容找工作就业没啥用，想刷GPA慎选
129983,5567,陈文超,2021-01-14 14:29:16,31,38,7,个人感觉这个老师并没有把学生当回事，有没有点尊重学生的意识???
130037,5567,陈文超,2021-01-15 12:17:39,18,24,6,老师发邮件态度极差……
130279,5567,陈文超,2021-01-20 12:16:14,13,19,6,“听懂了吗？”\n\n“你自己不会看吗？”\n\n您真厉害，国际校区的学生们不配听您的课。话都讲不灵清耶，噢噢是我耳朵的问题是吗？
133734,5567,陈文超,2021-03-04 09:48:36,19,24,5,知乎搜索陈文超
133743,5567,陈文超,2021-03-04 11:11:35,10,13,3,讲话中气不足 PPT制作极其精良 其审美标准难以被普通大众理解
134122,5567,陈文超,2021-03-16 12:07:28,-13,10,23,不知道楼上的同学是不是对陈老师有什么误解，老师上课会问大家有没有问题 有问题就会耐心的解答鸭 不存在什么对学生不耐烦什么的  也没有不尊重学生。
134138,5567,陈文超,2021-03-17 02:43:44,29,34,5,哥哥不是渣男 同学们不要开他玩笑了
134200,5567,陈文超,2021-03-19 05:56:32,2,3,1,老师口音难以接受有点(指双语)
134221,5567,陈文超,2021-03-19 15:26:34,-3,1,4,老师讲的还行
134531,5567,陈文超,2021-03-31 13:56:05,-2,3,5,专业水平高
134575,5567,陈文超,2021-04-02 12:01:24,5,7,2,我觉得吧，讲的还可以，起码讲的清楚，后面的那个热力学老师讲了讲了个寂寞，还没有prelecture讲的好。
142202,5567,陈文超,2021-11-08 12:14:19,4,6,2,邮件态度较差，到办公室找人听了他骂研究生骂了半小时，中英文都含糊不清，课件是照搬UIUC的，至少我自己是不知道这哥们拿这么高课时费干了些啥
150677,5567,陈文超,2022-02-11 21:11:35,-12,1,13,总体上不错的老师，讲课有点问题但不能全怪他，美国人课程大纲到了中国水土不服嘛\n\n给分偏低，不过认真一点还是能拿高分的
153718,5567,陈文超,2022-05-09 06:42:51,13,15,2,期末course feedback好评+截图返现0.5哦，拒绝刷单行为🤗
