评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
221564,22,王帮兵,2025-06-24 14:13:30,0,0,0,闭眼选就完了
34352,306,汪波,2017-01-17 12:54:19,3,7,4,我有时在想啊，如果什么时候地理老师能不把地理这个名词挂在嘴边上，再胡扯些乱七八糟玄之又玄的东西，那么地理才算是真正的学科了。
35069,306,汪波,2016-11-30 16:23:44,-4,5,9,男神！！！我永远爱你！！！
38772,306,汪波,2019-09-02 12:38:58,-5,5,10,对学生非常关心
38944,306,汪波,2016-12-27 07:15:00,-3,6,9,很幽默，上课很棒
43270,306,汪波,2017-01-16 05:09:10,-6,7,13,讲课超级有意思，期末也不给人压力。很赞的老师，讲出了地理学的味道！很想再上老师的课。
47109,306,汪波,2017-01-24 01:23:41,-9,4,13,讲课非常有味道，大赞！
70349,306,汪波,2018-01-26 13:28:00,3,4,1,整体进程偏慢，没有给我们看他的一些经历，而是将课本的内容投影到ppt上
70374,306,汪波,2018-01-26 14:11:58,2,3,1,考试给重点…但是和理解的重点不太一致…?
70400,306,汪波,2018-01-26 14:41:34,9,10,1,评分高于正常水准。。
73659,306,汪波,2018-02-02 10:06:14,4,4,0,散漫。
74052,306,汪波,2018-02-04 14:32:40,3,4,1,非常水
75848,306,汪波,2018-03-20 01:59:13,3,8,5,上课很水，没有什么实质性的东西，小组调研报告＋个人读书报告＋期末闭卷考，给分比较差，能上80的很少
87676,306,汪波,2018-10-10 02:31:41,9,10,1,格局小，水准低
87904,306,汪波,2018-10-17 10:01:57,7,15,8,【不建议非人文地理专业学生选人文地理学】\n\n作为一个专业课的老师麻烦你有点轻重缓\n\n急先把专业课的知识讲好再来扯点有的没的，开学第五周了你才刚讲了10分钟的绪论是个什么逼情况\n\n报着本身也对人文地理有点兴趣而且以后做GIS方面的东西可能也会用到相关知识来选修这课，怎曾想连续五个礼拜一点知识都没学到\n\n假大空不知所云的垃圾课，说是水课都是在侮辱“水课”这个词
102467,306,汪波,2019-02-03 04:34:19,2,3,1,水准低给分低事情多  要选的慎重
102768,306,汪波,2019-02-22 15:22:27,-2,4,6,对于一个3学分的课程来说，一篇读书报告，一个小组作业，再加一个重点划得很清楚的期末考试，事情不算多。老师给分很好，很有人格魅力，会介绍具体的研究和他的经历
149521,306,汪波,2022-01-15 22:04:07,3,3,0,哈哈大保健做做
166522,306,汪波,2023-01-12 15:11:34,5,6,1,给分是真的不好啊……也不理解这课为什么要占四分......
166528,306,汪波,2023-01-12 15:38:51,5,5,0,完全不知道给分的标准是什么...垃圾课
166590,306,汪波,2023-01-13 02:47:52,5,5,0,人文地理学。。。。\n\n被狠狠背刺了
166691,306,汪波,2023-01-13 08:48:20,12,13,1,刈剦丁真\n\n鉴定为：草里麻利割栽种，锄剩生出的杂种
166948,306,汪波,2023-01-14 10:21:59,3,3,0,课上的非常一般，给分也不好，不知道给分标准怎么定的
166987,306,汪波,2023-01-14 13:16:04,-5,0,5,学者风范，成绩差距大，主要看期末考试
167078,306,汪波,2023-01-15 01:50:39,2,2,0,人文地理学均绩真的有3.44吗
167216,306,汪波,2023-01-15 06:01:59,6,6,0,期末考试给分极差，平时分也就给八十多，四学分大寄课
180274,306,汪波,2023-09-21 02:28:07,1,1,0,语速奇慢无比，上课要睡着了
181017,306,汪波,2023-10-03 06:54:35,16,18,2,“一些老师上课鼓励学生使用电子设备，方便学生查更多资料，并且言要用课堂内容而不是点名留下学生。\n\n一些老师上课禁止学生使用电脑，美其名曰自己看不惯装模作样的学生，殊不知自己这种莫名其妙的规定就是最大的装模作样。”\n\n讲课全是观点而不见论据，并且此君观点令人不敢苟同，给人一种民科的感觉。
181835,306,汪波,2023-11-02 03:34:14,8,8,0,比如今天吧 我已经打了一把王者一把lol了 但是还是有一节课 真不想上这唐氏地理学了
183771,306,汪波,2023-11-30 02:26:25,1,1,0,呵呵呵
184242,306,汪波,2023-12-14 01:06:06,0,0,0,不知所云
188739,306,汪波,2024-01-19 18:07:42,4,7,3,不知道除了脑瘫还有什么词语形容这个b更合适，所有任务都认真完成了，期末考也背了，给你一个超低的分数。他的讲课水平就是一坨狗屎，和一个傻逼民科一样给你灌输一堆理论，只见观点不见论据，听他的课就是一种折磨，一种比浪费时间更折磨的痛苦，建议这种傻逼课早点滚出gis培养方案，我真是草了，大一下两节一某一样内容的地理课，大二上也是这种傻逼课，他妈的学院能不能想一想gis是干嘛的啊？这种傻逼老师没地方去没工作开除不了就塞我们课表里浪费我们时间是吧，wb这傻逼写出过什么产出啊，你去搜他发现最多是你妈杂志上的论文，他配来教课么？？？
188900,306,汪波,2024-01-20 13:30:33,-4,3,7,给分不错，谢谢老师
193471,306,汪波,2024-06-11 08:28:28,0,1,1,睿智老师，虽然我最后得分还行，但是tm这玩意真的是个睿智。不讲课不讲知识点，天天和吹牛皮一样乱讲，不知道意义何在
47861,537,汤燕冰,2017-02-26 13:01:42,0,0,0,兢兢业业
117604,593,厉子龙,2019-09-26 14:47:02,-1,2,3,专业，深入浅出，分析的很透彻
118125,593,厉子龙,2019-10-21 06:12:06,-5,2,7,老师人很好，讲课也挺生动的~旅游地学与国家公园学概论 这堂课是这学期刚开，感觉还是挺不错的，一起的金平斌老师讲得也很好，可选可支持，能学到不少干货。
118372,593,厉子龙,2019-10-26 04:00:14,12,15,3,旅游地学。一门通识选修。作业很多！拉黑了
119389,593,厉子龙,2019-11-12 14:13:37,0,1,1,人真的挺好
120239,593,厉子龙,2019-11-25 05:50:42,-2,2,4,作业多但是给分好
120331,593,厉子龙,2019-11-28 16:41:11,-4,1,5,旅游地学与国家公园学概论，作业多但给分非常好，不过毕竟是科技创新，作业多但难度是可以接受的，平时上课就是PPT欣赏。总之非常推荐上这门课，想要高分的积极当课代表或者经常发言吧。
120352,593,厉子龙,2019-11-30 00:45:14,-2,2,4,作业挺多，但给分超级好！而且老师本身人也很好，挺关心学生的。
122137,593,厉子龙,2020-02-16 13:02:44,-7,3,10,旅游地学这门课事多给分好 临近期末会有一次实地考察的机会 我们是去了良渚 \n\n老师很用心的\n\n最后期末论文写了12k就满了
128438,593,厉子龙,2020-12-23 05:06:44,6,7,1,事多分差，慎选
143544,593,厉子龙,2021-11-26 09:41:59,-2,2,4,厉老师虽然有的时候上课讲的让人抓不住头绪和重点，但是带我们去野外实习的时候，超级和蔼，很棒的老师！
143553,593,厉子龙,2021-11-26 13:08:43,7,7,0,事情真的多，给分真的差。几篇论文事情多，ddl又挨着紧，最后出分被卡绩，千万不要想不开报这门课
143554,593,厉子龙,2021-11-26 13:08:48,6,6,0,老师很好，但是事情很多，组长纯纯工具人，通识课真的不值得。。。。
143572,593,厉子龙,2021-11-27 09:31:49,-2,1,3,不知道厉老师是不是有看过评论，秋学期战战兢兢选的课以为事情多，然而并没有特别多（个人觉得），交了两三次作业，一次小组报告（出去玩考察，我们小组大家都很用心，耗时也不多），还有就是一篇课程论文两千字以内（多了扣分那种），除了论文太赶之外其他作业还好，（不过感觉课堂上上课有点水学不到什么东西），认真完成注意格式给分也不错，感谢老师！
143611,593,厉子龙,2021-11-29 02:17:39,7,7,0,老师不错，但上课完全不知道在讲什么，没有体系，逻辑混乱，我都尽量每次把上课拍的照片重新梳理了一遍做笔记认真学，但是我就是拉低均绩被卡绩的那个人，一看评论就是旅游地学满绩的大佬推荐这门课，仔细一看发现评论里有几个同个学期一起选这门课的同学给的评价都是不行被卡绩和组长纯纯工具人，唉，该做的都做了，对地理热爱才来选这门课，实在没学到什么东西，虽然因为身体不太好军训没参加什么加分活动，但比我军训绩点还低，挺想不开的，如果要选这门课大家争取坐前排刷脸吧，坐后排看分屏就跟我一样了，点名也是课代表代点，基本每节课都点名，同学跟我说一般都是不交作业不去上课的人被正态，从来没有拖交过作业没有迟到过也被正态，如果每次三节课就这种结果，还不如多花点时间去做有意义的事情
144205,593,厉子龙,2021-12-20 11:34:12,3,3,0,十多分少 绩杀
150012,593,厉子龙,2022-01-18 09:25:24,7,7,0,别选别选不要让自己受罪，1.5分的课作业比得上2.5分，给分还差，没有考试全凭感觉给分，助教一言难尽，活受罪这课
150553,593,厉子龙,2022-01-30 07:45:15,3,5,2,讲课水平不高，给分超级拉胯😅 。
21797,649,柴登峰,2016-03-22 06:03:31,11,15,4,讲课烂而且还管学生……
23825,649,柴登峰,2016-04-18 06:50:28,4,6,2,可讲的超级无聊、还管得严，实验教程没备课 无语，，，，，
25393,649,柴登峰,2016-05-17 05:25:34,9,11,2,根本不知道他上课在讲什么。
30866,649,柴登峰,2016-07-02 16:42:56,6,9,3,完全不会教书，毫无教学思想
31464,649,柴登峰,2016-07-04 02:47:05,-21,6,27,老师挺好的啊，讲的很细，反正我是学了很多东西，考前复习一天就可以满了。
77224,649,柴登峰,2018-05-04 03:16:12,-4,3,7,挺好的呀
115628,649,柴登峰,2019-08-12 05:18:24,0,5,5,一般般吧，期末不考计算，大家放心。
139363,649,柴登峰,2021-07-14 18:08:20,0,3,3,讲得一般，但我们这次考试比较简单
