评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
6531,2504,刘加海,2015-07-15 00:58:29,7,14,7,讲的很差
6532,2504,刘加海,2015-07-15 01:00:21,12,20,8,上课没有条理，而且知识点有时只讲一半，而且不是那种启发思考的停止，而是硬生地中断掉了，就说这个我不讲了
6534,2504,刘加海,2015-07-15 02:06:26,3,8,5,基本上所有人都不知道他在说什么，动不动就叫你自学，知识点讲一半，感觉什么都没有讲到。
6697,2504,刘加海,2015-07-19 05:11:46,2,6,4,只听了一节课。短学期要把这么厚的一本Linux上完完全不可能呀，与其这么随便讲一遍，还不如抓几个重点章节讲呢ヽ(`Д´)ﾉ
6840,2504,刘加海,2015-07-24 08:02:18,-4,1,5,我类个去。。。。
6898,2504,刘加海,2015-07-31 15:43:16,2,5,3,作业多死...关键讲的太粗。就书上随便找了几个程序跑一跑，这种自学也可以做啊！但是又不讲重点，也是醉了...\n\n
6901,2504,刘加海,2015-07-31 16:04:45,3,7,4,讲课没有条理异常混乱 自动认为学生都懂 （回去自己看书自学 那要你何用呢...） 此外会有几次点名 课上得不行学生不来也没有办法咯...
8552,2504,刘加海,2015-09-22 08:35:42,5,8,3,辣鸡老师\n\n
33016,2504,刘加海,2016-09-10 05:20:21,2,5,3,感觉老师自己对linux都不熟悉还来上这门课\n\n
40321,2504,刘加海,2017-01-02 17:44:41,0,3,3,这大计基要命啊，讲得揪心
61643,2504,刘加海,2017-11-19 14:16:32,1,3,2,自己什么都不懂也敢出来讲课。。。。。
86749,2504,刘加海,2018-09-18 09:56:37,-7,4,11,很认真的一个人
105740,2504,刘加海,2019-04-19 11:38:01,-4,1,5,有时候不懂还来讲课，从不辅导，还嫌学生做的差，自己搞错了还怪学生，千万别选他做导师，会后悔到要死，一次都没辅导过，辛辛苦苦写的被他说不认真，真逗，明明什么都不教
108714,2504,刘加海,2019-05-31 16:11:27,-4,0,4,哈哈哈
214408,2504,刘加海,2025-02-02 15:00:44,0,0,0,555
501,2544,应晶,2015-03-15 03:36:08,42,45,3,老师人很好呢 回答问题很热情 给分也很赞
1387,2544,应晶,2015-03-22 01:28:03,26,28,2,非常好。不点名，没有平时作业，解决学生的问题非常热情。
2434,2544,应晶,2015-05-01 06:46:55,15,18,3,老师人很好，讲课也棒！
2534,2544,应晶,2015-05-04 13:39:01,29,29,0,应晶老师的C程非常简明易懂，许多时候会刻意避免使用术语，能够让学生理解的非常透彻，我觉得这点特别厉害。
14622,2544,应晶,2016-01-08 03:37:49,31,32,1,真的是一个好老师，适合大一新生，会给你讲人生的道理，讲你的大学应该怎么度过，希望大家多听听他的话，他真的是为学生着想。
14845,2544,应晶,2016-01-10 04:47:50,12,14,2,好老师 不多提
14958,2544,应晶,2016-01-11 09:22:13,14,16,2,非常好的老师，上课耐心细致，生动有趣，很关心学生，也注重培养学生的各方面能力！赞赞赞！
15017,2544,应晶,2016-01-11 14:07:35,15,16,1,绝对的好老师，真心为学生，喜欢O(∩_∩)O
15109,2544,应晶,2016-01-12 05:48:37,13,15,2,应老师真的人超级超级好 上课超级超级赞 每节课都坐前排听听得很认真！可惜这个学期上完了唉
20070,2544,应晶,2016-01-26 04:42:53,12,13,1,十分都不足以表达我对应老师的爱❤️
20093,2544,应晶,2016-01-26 05:25:43,8,9,1,超级好评！
20110,2544,应晶,2016-01-26 06:28:38,6,9,3,应老师超级好
20122,2544,应晶,2016-01-26 07:08:01,4,7,3,真的一级棒 简直享受
20208,2544,应晶,2016-01-26 13:58:58,9,10,1,应老师真是太好啦！！！ 讲课容易懂 大作业出了点BUG也不计较 给分也很好～
20219,2544,应晶,2016-01-26 14:29:37,3,5,2,讲课特别好，而且给分很棒\n\n
20556,2544,应晶,2016-01-28 10:07:39,7,9,2,应男神 上课炒鸡棒 语气温柔 给分超好\n\n
25981,2544,应晶,2016-06-14 17:21:44,3,5,2,非常棒
26250,2544,应晶,2016-06-16 12:00:05,9,10,1,老师真的很nice～讲解问题很用心，还会以一个老学长的身份讲述大学该怎么过，而且给分也很好～
33092,2544,应晶,2016-09-12 14:07:48,5,5,0,我想给应老师100分，对学生真的特别好，很乐于与学生交谈
33723,2544,应晶,2017-01-14 09:13:08,0,4,4,超级棒！！！
33724,2544,应晶,2016-09-21 07:12:32,4,5,1,很舒服，给人的感觉很亲切.非常棒的老师，强烈推荐
34274,2544,应晶,2016-09-29 12:32:04,5,5,0,很好的老师啊，给分也不错\n\n
34732,2544,应晶,2016-10-19 12:35:14,4,4,0,讲课很清楚，避免使用术语，都能听懂
35954,2544,应晶,2016-11-10 09:07:57,5,6,1,很不错
39890,2544,应晶,2016-12-28 06:29:16,2,4,2,太享受
40585,2544,应晶,2017-01-04 07:30:52,1,3,2,不仅仅是学业上的老师，同样也是人生的导师
42472,2544,应晶,2017-01-14 09:17:29,0,2,2,非常好的老师，上课经常与学生互动，还会讲一些人生的经验，人生导师～
43078,2544,应晶,2017-01-15 15:57:24,2,4,2,亲切的老师！点赞！
46518,2544,应晶,2017-01-22 01:42:55,3,4,1,大爱！
46600,2544,应晶,2017-01-22 03:38:59,3,5,2,应晶爸爸。上课超级细致认真到位，一旦有一人没听懂立即停下来答疑，人超级好给分也好。可惜大一下都没有他的课了。
47630,2544,应晶,2017-02-09 05:34:11,4,5,1,人生导师，超赞！！
48056,2544,应晶,2017-02-28 07:34:07,6,6,0,老师上课从来不点名，但会叫同学回答问题...\n\n但真的是超级好的老师，感觉听他的课会有一种想做码农的冲动~真男神！~\n\n还会以学长的身份讲人生道理~\n\n给分也很好！
48062,2544,应晶,2017-02-28 08:22:06,0,3,3,非常好，人生导师，跟吴朝晖一起写代码的大神。给分满绩的不少
48220,2544,应晶,2017-03-01 09:30:12,2,5,3,最喜欢的老师！很惭愧没有按照他的要求把书啃完……
50063,2544,应晶,2017-04-29 05:06:52,1,3,2,最爱的老师，应男神，细致耐心人超好，给分也好
51542,2544,应晶,2017-06-07 03:54:18,3,4,1,好好好
52250,2544,应晶,2017-06-16 11:03:50,5,8,3,好得没话说，没上老师的课了有的时候都会想他
63744,2544,应晶,2017-12-14 02:14:46,2,4,2,应老师真男神，谆谆教诲，不仅讲课好，还是人生导师。非常敬业，真心为了学生的未来着想。最后一节课差点感动哭
64082,2544,应晶,2017-12-21 02:16:04,14,17,3,炒鸡赞\n\n课堂讲授如何盗号\n\n
66199,2544,应晶,2018-01-13 02:59:01,4,4,0,老师真的超级好，刚开始时我还有一些听不懂，自己学了一些，但后来发现老师真的讲的很好，上机考试时我不在状态没过，重考时老师一直很耐心温柔地安慰我，给我讲道理，真的是个不可多的的好老师呀！只是大作业对小白来讲，真的挺难
67579,2544,应晶,2018-01-21 14:53:55,4,4,0,是真男神 讲课温柔细致型
68809,2544,应晶,2018-01-24 02:24:43,2,4,2,男神，特别有耐心
69274,2544,应晶,2018-01-24 11:48:59,0,6,6,还没出分，感觉程序设计是我这学期收获最多的一门课了，大作业要认真做，考前刷几套历年的题，这样就挺不错了。希望给我满绩?
72468,2544,应晶,2018-01-30 07:21:12,1,4,3,男神，不解释
72592,2544,应晶,2018-01-30 12:54:49,3,4,1,老师人挺好 但是成绩还是靠自己
73415,2544,应晶,2018-02-01 14:04:30,-2,1,3,很开心
74091,2544,应晶,2018-02-05 04:49:54,2,3,1,老师超级男神了！！！！！讲课也特别清晰！
74452,2544,应晶,2018-02-25 04:58:34,3,5,2,应老师太好了 从此爱上c语言 讲题超认真细心 能学到很多东西 长得也很帅 人超级好超级好 完全是男神 还是人生导师 最后一节课真的听哭了就
74600,2544,应晶,2018-03-04 13:26:23,7,7,0,讲课水平见仁见智，但是人绝对好，给分也绝对赞
75413,2544,应晶,2018-03-11 11:03:32,9,11,2,老师很温柔，带着磁性的声音让人上课忍不住认真听。课后也会很耐心地解答我们的问题。老师也会以我们学长的身份来指点迷津。\n\n记得最清楚的就是最后一节课的时候老师在黑板上写下  1/8  ，意思就是我们大学的四年已经过去八分之一了（当时为大一上学期），想想时间真是过得很快，但很庆幸在这美好的八分之一里遇到了这么好的C程老师。
75835,2544,应晶,2018-03-19 12:00:13,1,1,0,爽！真的很好
86835,2544,应晶,2018-09-19 04:08:05,-3,1,4,老师幽默风趣，学识很高
95924,2544,应晶,2019-01-20 08:27:53,1,3,2,认真听课会很有收获
97147,2544,应晶,2019-01-28 17:54:37,7,8,1,出分前夕……我只想问均绩是真的吗
98796,2544,应晶,2019-01-24 02:47:32,2,2,0,应晶老师真的非常非常好，感谢男神带我苟了一学期程设。。
100759,2544,应晶,2019-01-26 17:50:59,6,8,2,应老师不止说C程老师了\n\n还是人生导师\n\n听老师的课 心中多一份感动\n\n
102069,2544,应晶,2019-01-30 09:18:21,4,5,1,勇不出分应晶哥
102265,2544,应晶,2019-01-31 15:41:09,12,13,1,啊吹爆我应男神啊啊啊啊啊！平时讲课深入浅出，个人认为老师讲课水平完全不在翁恺老师之下。给分更是好出高度有木有！考试自己估分就七十几，上机有一题做错，大作业感觉也中规中矩，最后竟然得到4.5……总之，感谢老师三点:教授我程设知识，挽救我于退院边缘，在大一的萌新时期给我方向与动力！
102298,2544,应晶,2019-02-01 00:56:34,0,3,3,非常好
102321,2544,应晶,2019-02-01 01:48:21,5,7,2,出分啦来评论～讲课超级好～大程序有的组写了八千行，我们组改编了一半只有六百行，老师还是肯定了我们……上课也会注重让大家发言锻炼信心，分数也超好（师生情）
102729,2544,应晶,2019-02-22 04:00:45,2,4,2,老师的课讲得简明易懂，无基础的同学也能比较快地跟上，还一直教我们长期的学习方法，启发我们多去思考，真的是特别棒的一位老师！
105155,2544,应晶,2019-04-05 06:59:28,1,4,3,教育学家
112587,2544,应晶,2019-07-04 20:01:04,4,5,1,是大一刚开学上的老师的课，现在才来评论，真的是吹爆的一个老师，温柔体贴，特别的有耐心，非常适合刚入门的同学，因为可以讲的很细致易懂，让人觉得有趣，是男神！能选上的一定不要犹豫！以后还是好想上男神的课啊呜，看上去好像没啥机会了，好难过
117645,2544,应晶,2019-09-27 12:18:04,3,4,1,超好的老师哈哈哈
121175,2544,应晶,2020-01-20 02:38:32,-1,2,3,老师超好的，一点一点指导同学们生怕有人听不懂，最后给分更是没话说，调分力度很大。爱了爱了！
123281,2544,应晶,2020-05-29 02:49:41,-2,1,3,太爱了
125387,2544,应晶,2020-09-08 03:49:10,3,3,0,老师主要长得帅，爱死了
129337,2544,应晶,2021-01-04 10:06:56,0,2,2,非常适合初学，巨细
130031,2544,应晶,2021-01-15 07:25:41,6,10,4,为什么不能给老师打100分？应晶老师上课从来都不点名，但会叫同学回答问题，虽然提的问题对于我这种计算机小白有点难，但老师提的问题一针见血，每提一个问题都能讲清楚一个知识点，这种授课方式简直不能再爱了好吗？平常回答问题也非常耐心，不论我的问题又多么的蠢都会非常细心的讲解，还会反复询问是否清楚了。个人感觉应晶老师更像是一名人生导师，除了会给学生传授知识，还会给学生讲他的大学经历和学习经验。期末的大作业虽然有点难，但确实学到了很多，老师给分也很给力。能在大一遇到这么好的老师真是太幸运了！！！
130449,2544,应晶,2021-01-22 12:29:06,7,8,1,这学期对自己的学习很是惭愧，没有按老师的要求啃完原版书。立下flag寒假要补完。老师的谆谆教诲会让我发自内心的认可并觉得没有去看原版书是一件天理难容的事情。应晶老师不只是一位老师，更以学长的身份带领着我们走进大学，在混合班立身。老师非常鼓励上课问问题、发言，并一步一步的引导思考；用他自己的经历一点点引导着我，个人非常的喜欢。//回想自己这一学期的学习，靠着高中选考技术的老本然后不去认真对待C程，也没有主动的去学习，考试成绩也是理所应当的不够理想，非常惭愧。
132963,2544,应晶,2021-02-05 13:44:54,8,12,4,应老师人真的超好！\n\n相信我，如果你没有编程基础，一定要选应老师的课！\n\n他上课条理非常清晰，会让同学来一起一步一步将讲课的逻辑推下去。\n\n就算是编程小白，也能够快速在应老师的课上面上手C！\n\n他从第一节课就和我们以学长学弟学妹相称（老师也是混合班毕业的）。\n\n最后一节课的1/8，真的差点把我看哭了（指大学本科已经过去了1/8）。\n\n讨论课都是亲自来上，会讲许多有用的东西。\n\n平常会有一个大作业，2~4人小组合作，用C语言写一个小程序（比如俄罗斯方块、贪吃蛇、钢琴这种），大作业可以借鉴网上的代码，但一定要有自己的思考，当然完全原创分会更高。\n\n最后期末考试的时候也会提醒我们不要打成全角的标点符号，不要多出莫名其妙的空格。\n\n尽管他第一节课就和我们说大学的成绩不重要，但他期末的给分真的好到飞起！\n\n这真的是一位好老师。
133375,2544,应晶,2021-02-26 11:24:37,8,9,1,我爱应晶老师呜呜。奠定了我学习计科的基础。讲得特别细致，完全小白也能很快掌握，而且能乐在其中。讲课儒雅风趣，当时他结课时说大学已经1/8，现在我的大学已经5/8了，把老师的10分补上。能不能再回来教课啊！
147185,2544,应晶,2022-01-09 04:32:09,1,3,2,应老师人生导师！人真的很好
147839,2544,应晶,2022-01-11 03:33:35,3,4,1,就是好棒
149918,2544,应晶,2022-01-18 03:34:28,4,6,2,调分力度也太大了吧 怒赞
154155,2544,应晶,2022-05-25 01:11:13,14,22,8,老师名字好怪😅
167484,2544,应晶,2023-01-16 15:41:27,0,2,2,人生导师！
167490,2544,应晶,2023-01-16 16:07:51,0,3,3,男神！给分贼好！
167493,2544,应晶,2023-01-16 16:11:49,8,8,0,呜呜  应晶老师太棒啦  激动得连夜来写评论！！！\n\n本人C零基础，整个学期也都学的很忐忑。\n\n老师让看英文原著，可我一个学期就啃下来三章[暴风哭泣]\n\n老师让做小组作业，看到队友的各种高级操作，分给我的任务也做的一塌糊涂（最后队友把我做的全改了（此处匿名感谢[合十]\n\n不过惊喜的是，期末竟然飘过啦。\n\n应老师讲课循循善诱，课间课后去问问题也都超级耐心。记得刚开始我经常去问一些现在看来很低级的问题，但是老师还是会一点一点的解释，并且还会给我一些小问题让我回去自己编编试验。\n\n应老师讲课幽默风趣，伴随着一些他与师兄(zhgg)的小故事，以及窃取别人账号（bushi）的各种故事让我对于知识的记忆也更加深刻。\n\n应老师为人和蔼可亲，刚开始我不知道选课原理就退掉了C小，但是和应老师邮件沟通后他很爽快的就同意了我的补选，后期在钉钉上也很和蔼，从来不会已读不回[可怜]尤其线上考试以及模拟测试的时候，老师的话语都让我莫名的心暖。\n\n顺便bd缪学长（助教），PTA上的无数bug，mfgg都是一点一点帮我找的（其实我做的思路特别绕，完全不是出题人要的那种），但是每次学长都会先指出我编的问题然后才会告诉我更好的思路，而不是直接就告诉我标准答案。这一点吹爆mfgg!\n\n感谢应老师和缪学长，大家都来选吖！
167507,2544,应晶,2023-01-17 00:37:16,2,3,1,应老师非常温柔和蔼，对待同学很亲切。
167729,2544,应晶,2023-01-18 15:57:18,3,3,0,应晶老师yyds
167799,2544,应晶,2023-01-19 06:18:12,1,3,2,认真有趣
168986,2544,应晶,2023-02-24 02:36:34,-4,0,4,好好好
