评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
167885,9214,Dominic Mark Graham,2023-01-20 01:12:44,6,6,0,Not bad
168025,9214,Dominic Mark Graham,2023-01-23 03:04:08,24,27,3,Very good. A very kind and humorous person.
168044,9214,Dominic Mark Graham,2023-01-24 07:45:26,15,15,0,他真的很好！！
168559,9214,Dominic Mark Graham,2023-02-19 11:51:37,13,13,0,很照顾我们 总是给机会我们讲英语 如果讲不出来他也会耐心地提示 真的很友善的老师
169388,9214,Dominic Mark Graham,2023-02-26 01:50:30,3,3,0,很好的老师！
169501,9214,Dominic Mark Graham,2023-02-26 13:14:20,2,2,0,nice and kind xdm快冲吧
169715,9214,Dominic Mark Graham,2023-02-27 13:34:57,2,2,0,老师人很好 Very nice and patient！
169717,9214,Dominic Mark Graham,2023-02-27 13:36:01,2,2,0,Dominic和蔼慈祥
170313,9214,Dominic Mark Graham,2023-03-02 16:39:00,1,1,0,很友善很幽默，很容易沟通。\n\n给分中规中矩，但是课堂上比其他几位外教舒适多了。
170552,9214,Dominic Mark Graham,2023-03-06 10:45:47,5,5,0,认真细致的英国外教
170563,9214,Dominic Mark Graham,2023-03-06 14:09:54,2,2,0,世界上最好的口语老师
170772,9214,Dominic Mark Graham,2023-03-09 10:15:40,2,3,1,Dominic这么好的老师还不速速选！谁选上谁赚！really niceeeeee！kind， patient and humorous. 很喜欢他的课！
170883,9214,Dominic Mark Graham,2023-03-11 08:50:06,2,3,1,超级超级超级好的老师！！！
172974,9214,Dominic Mark Graham,2023-05-10 15:03:15,-1,1,2,老师人很温和。但是上课有点无聊，我每节课都会发呆。学到的不是特别多。不过过去坐着还行。
173881,9214,Dominic Mark Graham,2023-06-04 05:41:27,6,6,0,大一两个学期都是Dominic教，特别好
174589,9214,Dominic Mark Graham,2023-06-14 09:42:36,10,10,0,真的特别好！！口语考试会认真和蔼地听你讲话，会积极互动，会引导你往下说，到后面更像是一种对话而不是一场考试！！他真的我哭死人真的很好！！
174624,9214,Dominic Mark Graham,2023-06-14 16:10:57,5,5,0,今天就口语期末，和Domi愉快地聊了10分钟，他说时间到了的时候还有一点难过，没说够哈哈哈哈哈\n\n口语课堂是很轻松的 除了每节课必点名之外，想水也可以水，但是他也确实会准备一些非母语者可能没见过的习语和绕口令教大家，也可以学到东西\n\n如果有不会的词什么的他会用通俗的英语解释 但是他不太会讲中文 说中文带口音还很好玩哈哈哈有些时候会问我们某些词中文怎么说\n\n另，他对英国文学是很了解的，个人觉得英国文学相关的课如果能选也可以冲
174873,9214,Dominic Mark Graham,2023-06-19 08:34:24,2,3,1,英语辩论，上课要求不多，到课加小组展示加期末一切顺利，就看给分了，估计也会不错的。
175243,9214,Dominic Mark Graham,2023-06-22 19:53:02,6,6,0,不想说太多，一句话够了：我遇过外院最好的外教
176256,9214,Dominic Mark Graham,2023-06-28 07:25:03,6,6,0,English is the most interesting subject. It's not controversial at all in his class.
178973,9214,Dominic Mark Graham,2023-08-10 02:19:30,1,2,1,多米尼克我真的 他真的太好了 大家都去选他求求了
180898,9214,Dominic Mark Graham,2023-09-28 02:50:25,2,2,0,关心学生的好老师
183918,9214,Dominic Mark Graham,2023-12-03 17:10:13,9,9,0,老师人很好，英音超级好听\n\n为啥看不到均绩
184356,9214,Dominic Mark Graham,2023-12-18 06:59:25,1,1,0,开学以来遇到的最负责任且水平高的老师！真希望能把下学期预制的那位换成dominic
185363,9214,Dominic Mark Graham,2023-12-28 10:54:23,-2,2,4,正在上英美文学赏析，正如前面关于他其他课的评价，Dom人挺好的，这门课主要是介绍英语文学的发展史，还连带着一部分赏析的知识，所以非常浅而泛。主要需要做的就是课前阅读材料（其实不读也行），写四个要求不高的Creative Writing，再就是一个期末论文。但是期末论文要求英语1500词真的很多现在正在写要写疯了啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊冲着这一点其实不太建议选，因为选题和写作都会很折磨，最好有一篇自己非常喜欢且熟悉的英语作品再来上这门课，还是劝大家慎重。出分以后我再来追评。
186258,9214,Dominic Mark Graham,2024-01-10 06:47:01,1,1,0,人真的蛮好的！不知道给分如何，之前听说比较求是？但是也很好啦，上他的课很轻松愉快～
188611,9214,Dominic Mark Graham,2024-01-19 11:29:09,2,2,0,老师的口语很清晰，上课绝对不会有听力上的压力！而且老师人很好，给分也尚可。不过英美文学赏析这门课还是有点硬核的，经常会出现老师讲得很激情台下没什么反应的情况，有时候感觉老师也挺无奈的
188731,9214,Dominic Mark Graham,2024-01-19 17:40:53,1,3,2,给分太求是了，好低，难过一整天
188754,9214,Dominic Mark Graham,2024-01-20 00:32:35,3,5,2,【英美文学赏析】事少给分不错\n\n上过老师的英语演讲和英美文学赏析，老师超级温柔，对我这样一个英语不好的人都非常友好！（指老师本人和给分上）\n\n估计之后不会再上他的课了，非常感谢老师
189034,9214,Dominic Mark Graham,2024-01-21 10:10:34,-17,5,22,给分超级烂。。。哪来的那么多好评，身边朋友几乎都被绩杀了。。。\n\n绩点比我的大英4低了整整0.9，分数无所谓的随便选，要分的快跑！！！
189190,9214,Dominic Mark Graham,2024-01-22 09:40:35,-22,2,24,每节课都点名，然后给分不好，感觉有点偏袒女生，不建议选
192974,9214,Dominic Mark Graham,2024-06-01 12:48:37,3,3,0,英美文学赏析每节课点名，但是每节课都很有意思，上课交流环节可以跟小伙伴练练口语。差不多就像高中语文课一样吧，学不到太多很深的知识，但是对英美文学可以有一个粗浅的了解，下课了跟老师聊天也挺好的，除了最后的1500字课程论文，平时任务量几乎为0，英语还不错的可以考虑。
195370,9214,Dominic Mark Graham,2024-06-28 01:32:06,2,2,0,上的是英语辩论，平时没啥事，老师特别特别亲切和友善，上课内容也很有趣，会有讨论环节和组内辩论环节，一般都很轻松，只有期中一个pre和期末的辩论考试，抽到了最难的题目时，感觉都要寄了，但最后给分超级好！ 记得上课多跟老师互动
196431,9214,Dominic Mark Graham,2024-07-03 10:08:46,2,2,0,一百昏！上的是英美文学赏析，老师人非常非常nice，虽然内容讲的不是很深，但是可以学到不少东西。最后期末1500词英文论文写完好有成就感🤤给分的话感觉是比较求是的，我论文和creative writing好好写了，最后给分非常满意。
199054,9214,Dominic Mark Graham,2024-09-14 11:55:56,0,0,0,外教老师特别可爱，而且发音很清晰标准，真的能听懂哈哈哈哈，是我来大学上的第一堂课，一下子就爱上了，并且敢说话了，十分！！！
201313,9214,Dominic Mark Graham,2024-10-31 12:28:27,6,6,0,老师超好，很温柔又有趣，永远都在笑啦，不会因为指到你回答问题时说不出来生气
204716,9214,Dominic Mark Graham,2024-11-27 13:12:32,1,1,0,Dominic，有耐心得不得了，和幼教一样。事情很少，也会很鼓励你发言。情绪稳定得没话说。纯正英国人，口音大家都放心昂。
206542,9214,Dominic Mark Graham,2024-12-16 03:03:51,4,4,0,Very kind，very patient，very humorous.You can learn a lot from him.
208311,9214,Dominic Mark Graham,2024-12-26 17:32:51,0,1,1,和评论说的一模一样，kind， humorous and patient，笑起来超级温柔可爱，脾气很好，上英美文学鉴赏学到很多，非常好的老师。
211405,9214,Dominic Mark Graham,2025-01-11 10:38:41,2,2,0,急刹，但人很好，人很nice，但是为了绩点还是别选他了吧。。。。。。
211408,9214,Dominic Mark Graham,2025-01-11 10:43:33,1,1,0,Dominic很绅士，英美文学赏析这门课相对比较浅，但事情比较少，整体也比较轻松，最后给分应该算比较求是
212980,9214,Dominic Mark Graham,2025-01-15 11:51:43,0,1,1,给分超级烂，绩杀，懂得都懂，建议追求绩点的朋友不要选择他的课程
213599,9214,Dominic Mark Graham,2025-01-18 12:47:35,1,1,0,超级好的外教老师，很绅士，也会鼓励大家在课堂上多互动。\n\n个人对英语口语和英语写作的绩点比较满意，\n\n不过选英语写作前建议先考虑一下自己能否比较高质量地完成1500词的论文。（当然写完了还是很有成就感的）
214868,9214,Dominic Mark Graham,2025-02-18 13:23:23,0,0,0,老师非常好！很有耐心，经常鼓励我们开口交流，但我英语口语分数稀烂，一定是我自己的问题😭
217839,9214,Dominic Mark Graham,2025-04-17 06:22:19,0,0,0,上课很有趣，口语完全轻松听懂无压力，课后几乎无作业，也会鼓励学生的pre。期末考氛围轻松，给分还挺好的，可能这几年有改进。
221067,9214,Dominic Mark Graham,2025-06-21 05:39:08,2,2,0,纸质点名，平时事很少，上课完全不用听，但大作业尽量早点做，不然堆到周末会及其痛苦（我做了三个周末加两个晚上才做完）\n\n推荐英语水平比较好的同学选这门课，Dominic是真会检查你有没有用AI，我找Dominic交流了好几次，写了三周的论文可能因为AI用的有点多被发现直接给毙了，喜提85卡绩3.9（what can i say）
221112,9214,Dominic Mark Graham,2025-06-21 09:33:27,1,1,0,认真写其实也能拿挺高的分
221126,9214,Dominic Mark Graham,2025-06-21 11:01:25,0,0,0,英美文学赏析：老师人很好，温柔幽默，上课也很有意思，每节课纸质点名。平时事情也比较少，主要是每周看一些老师提供的文章，最后交四篇小作文和一篇英语论文。比较认真地完成，老师就会给不错的分数。
221162,9214,Dominic Mark Graham,2025-06-21 15:27:40,0,0,0,刚刚看了朵朵 发现大家都被卡绩了 但是老师可能不知道卡绩呜呜呜
221482,9214,Dominic Mark Graham,2025-06-24 04:19:49,1,1,0,每节课都点名，给分一般，论文难度不小，如果有更好的选择，还是不要选了
171442,9215,Dylan Rimpault,2023-03-24 11:01:16,17,19,2,温柔可爱的法国老师
179466,9215,Dylan Rimpault,2023-09-16 11:53:18,4,7,3,很爱的老师
179685,9215,Dylan Rimpault,2023-09-19 09:20:46,3,6,3,parfait！
179686,9215,Dylan Rimpault,2023-09-19 09:20:46,3,6,3,parfait！
179693,9215,Dylan Rimpault,2023-09-19 10:44:58,6,9,3,温柔邻家大哥哥
184324,9215,Dylan Rimpault,2023-12-17 06:16:15,33,34,1,王迪你怎么黑化了
184669,9215,Dylan Rimpault,2023-12-22 06:26:00,19,21,2,老师人很好，肢体语言和绘画技术很强，très bien！
186027,9215,Dylan Rimpault,2024-01-08 01:22:06,14,15,1,人还可以，上课水平也可以，但是这学期不知为什么突然开始特别喜欢搞创新，pre和各种作业真的有点多，最后期末了又突然加了小测
187214,9215,Dylan Rimpault,2024-01-15 05:51:15,14,17,3,J’aime bien Dylan 💙
188666,9215,Dylan Rimpault,2024-01-19 13:28:23,4,7,3,兄弟我爱你，我的法国义父
188832,9215,Dylan Rimpault,2024-01-20 06:34:45,10,13,3,人挺好，上课水平可以，之前给分不太好是因为按法国的给分方式在给分，这学期除了pre什么的事情有点多以外给分变好了！
191370,9215,Dylan Rimpault,2024-04-18 14:53:10,18,18,0,论文是真的很麻烦，作为选修课来说并没有那么轻松😂
191451,9215,Dylan Rimpault,2024-04-22 15:18:31,11,11,0,没事别逃他的课，他看见人少了真的会点名，毕竟本来上课的人就不多
191904,9215,Dylan Rimpault,2024-05-04 11:58:34,8,8,0,论文真的有点麻烦
193192,9215,Dylan Rimpault,2024-06-04 09:28:02,7,9,2,滴狼！你是我的神！！喜欢Dylan一万年！！！！！！！！
193246,9215,Dylan Rimpault,2024-06-05 05:28:55,-4,4,8,emmmm
193344,9215,Dylan Rimpault,2024-06-06 16:01:39,4,5,1,emmmm虽然他确实有时候有点迷但有些事也不能全怪他吧。
193635,9215,Dylan Rimpault,2024-06-14 14:42:27,5,5,0,还好吧，期末小测也不是很难，只要不是一点都没听课都不至于写不出来，而且他说他给分还是gentil的，关键词写出来就给分
195120,9215,Dylan Rimpault,2024-10-14 12:03:23,7,7,0,dylan你是真的火了
195658,9215,Dylan Rimpault,2024-06-29 09:36:07,2,3,1,王迪虽然说是黑化了，但给分还行
197508,9215,Dylan Rimpault,2024-07-17 17:48:42,4,8,4,上课很水\n\n给分也迷\n\n不知道他的查老师九分是怎么给出来的\n\n只能说同学们真的很宽容
197687,9215,Dylan Rimpault,2024-07-29 18:13:43,4,4,0,Dylan超温柔啊！
207294,9215,Dylan Rimpault,2024-12-20 07:49:29,3,4,1,虽然作业不算少，但是给分很捞，而且平时情绪价值给得很足，跟他交流真的很治愈
208312,9215,Dylan Rimpault,2024-12-26 17:35:07,5,5,0,备课非常认真，上他的课能学到很多很多东西，人也很风趣幽默，很喜欢的老师!
209849,9215,Dylan Rimpault,2025-01-07 08:55:52,4,4,0,法国义父求求不要挂我不要挂我（求佛（求佛（求佛
210923,9215,Dylan Rimpault,2025-01-10 07:13:00,7,7,0,谢谢义父，下学期努力不en retard！！给你做更多小周边！！
211043,9215,Dylan Rimpault,2025-01-10 11:43:35,6,6,0,💙🤍❤️
212904,9215,Dylan Rimpault,2025-01-15 08:09:14,1,4,3,je t'aime dylan!\n\nJ'ai de la chance que tu me donnes des cours\n\n满绩点回来还愿，开心
172887,9216,Jarula Maria Immanouel Wegner,2023-05-09 07:20:23,0,3,3,不谈论教学态度，仅谈论教学质量，课堂对我没有任何帮助...难度完全超纲，全靠ai翻译。
179498,9216,Jarula Maria Immanouel Wegner,2023-09-17 14:38:18,0,2,2,感觉wegner对学术是有追求的，人也不错，但实在不适合本科生。一个学期上了两门他的课，一开始还有热情读文献听课，现在看见专业必修课授课教师是他会两眼一黑的程度。上课感觉不太能学到东西，本身中文读起来都有难度的文献变成德语真的很要命。期末两篇德语论文一起写得想死，给分还一般般。\n\n说这么多只是致敬我苦难的上学期，反正你也没得选对吧，哈哈。
180368,9216,Jarula Maria Immanouel Wegner,2023-09-21 08:45:50,1,1,0,老师水平太高，对于成绩差的同学这里特指我本人真的很不友好，因为他准备的文献阅读材料实在太长也太难了，并且我觉得在一定程度上那些文献和课程的名字也并不完成相符，总之什么也没学会，整个学期都是战战兢兢地度过的
185958,9216,Jarula Maria Immanouel Wegner,2024-01-06 13:44:43,3,4,1,很认真负责的老师，是德语所少见的认真负责的老师。讲课也是德语所少见的有干货还调理清楚的老师。太珍贵了
186131,9216,Jarula Maria Immanouel Wegner,2024-01-08 19:43:35,3,3,0,很好的老师~备课认真，上课能学到很多东西，课后有问题也会认真解答。课程设置很清晰，每门课都会布置阅读材料，看下来德语进步很大。他的课作业不多，但是考核确实有难度。不适合想水课的同学。
189883,9216,Jarula Maria Immanouel Wegner,2024-02-01 05:40:20,1,1,0,好老师，适合真的想学东西的同学，讲义难度高一些，但是认真参与的话会尽量往满绩给
201831,9216,Jarula Maria Immanouel Wegner,2024-11-06 18:23:52,2,2,0,认真对待课堂和学生的负责任的好老师！
