评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
1815,15,郑惠卿,2015-03-25 11:12:11,12,16,4,语言太差给分悲伤…
4609,15,郑惠卿,2015-06-25 03:18:59,26,42,16,口语听得有捉急
5255,15,郑惠卿,2015-07-06 05:30:48,5,7,2,话说不清楚
9526,15,郑惠卿,2015-10-29 08:15:56,-8,6,14,很有气质，就是年纪大了讲课有些慢
16975,15,郑惠卿,2016-01-19 10:30:18,11,13,2,没见过口语这么差的老师 给分也呵呵
22629,15,郑惠卿,2016-03-09 02:38:49,12,15,3,中文和英文都听得我想自杀
23186,15,郑惠卿,2016-03-21 07:02:34,1,7,6,就是个傻逼
23885,15,郑惠卿,2017-08-29 04:52:19,8,13,5,非常捉急，非常傻逼
25622,15,郑惠卿,2016-05-29 14:04:03,4,11,7,评论里有些人说的也太难听了……不过既然你们把我想说的都说了我就不用说了，选这个老师的课请做好心理和生理上的准备
26564,15,郑惠卿,2016-06-20 06:26:32,10,20,10,你说你年纪大了说话不清楚也还可以理解，但上课节奏拖沓甚至给人一种上不上都无所谓想翘课那就不大对劲了。开始还觉得老师很认真很负责人很好，到后来真的想编个理由逃课了#真的# 给分反正大家都说了，给跪。
27720,15,郑惠卿,2016-06-27 09:31:34,4,9,5,讲的不好，给分很低，不信的就去上她的课
28613,15,郑惠卿,2016-06-28 11:01:01,12,15,3,教的一般，给分低。
29373,15,郑惠卿,2016-06-29 15:52:39,7,10,3,挺尽心的，但说实话讲得不好，没头绪
33599,15,郑惠卿,2016-09-20 08:13:51,3,4,1,口语听不懂\n\n
34560,15,郑惠卿,2016-10-13 13:06:06,4,5,1,听和不听一个样
35674,15,郑惠卿,2016-12-29 07:11:09,-2,4,6,老师很可爱
35873,15,郑惠卿,2016-11-10 08:36:45,4,5,1,完全听不懂
35940,15,郑惠卿,2016-11-10 08:59:00,7,10,3,预置的话赶紧退吧
36722,15,郑惠卿,2016-11-15 13:57:10,1,3,2,一般般吧
38776,15,郑惠卿,2016-12-19 01:47:38,0,1,1,gg
39134,15,郑惠卿,2016-12-21 09:49:55,-14,1,15,很不错
40131,15,郑惠卿,2016-12-29 10:45:33,-8,1,9,老师其实很好的，自己不想学的话，真的谁也没办法。
41050,15,郑惠卿,2017-01-10 01:00:58,5,6,1,有毒，不知道在讲什么
42448,15,郑惠卿,2017-01-14 08:44:37,-1,4,5,老师虽然口语不是很好但是对学生还是蛮负责的 平时好好学好好考试写作业分数还是可以的 老师蛮可爱哒也很和善
42513,15,郑惠卿,2017-01-14 10:09:40,2,9,7,老师是个好人，但是大英这个东西本来就是靠自学的，我是低空飞过，顺便说老师给分很严格，没有人情分给的，平时作业认真做才有可能拿高分，最让我无语的是老师的五分钟讲精读课文……
49204,15,郑惠卿,2017-03-29 07:30:12,6,7,1,自己学吧，能不选就不选
51570,15,郑惠卿,2017-06-07 08:31:09,1,2,1,两分。\n\n一分给老师表面上还算和蔼的态度，虽然事实上每个回答问题的人都会被各种纠错。\n\n一分给老师还算负责的教学，虽然经常大半节课扯题外话。\n\n教学质量？不存在的。
66508,15,郑惠卿,2018-01-17 05:15:27,15,17,2,对对对就是“捉急”这个词，上课像在赶场，让我感觉很不舒服。中文和英文都不怎么听得懂，而且老师的很多观点很奇怪? 不怎么能理解。笑起来有点可怕。反正我不喜欢。
70330,15,郑惠卿,2018-01-26 12:53:18,5,6,1,那简直就是垃圾啊，口语烂的要死，考了57不让过的人我也是第一次看到
74927,15,郑惠卿,2018-03-06 12:50:38,1,1,0,其实老师人很好也很可爱 但就是发音不标准吧
75254,15,郑惠卿,2018-03-08 07:36:20,5,5,0,给分低
75490,15,郑惠卿,2018-03-12 11:11:00,5,5,0,体验极差
75896,15,郑惠卿,2018-03-21 07:17:47,5,5,0,不想说什么了，挂了，劝你别选这个老师，预置就退掉吧，上课跟赶场子似的，没有效率 就是个傻逼，真的杀??
86898,15,郑惠卿,2018-09-19 09:32:53,5,5,0,呵呵哒
86899,15,郑惠卿,2018-09-19 09:35:43,0,2,2,我为什么给10分 因为有毒 我已经迷失了自己 我什么都听不懂 对不起祖国的培养
88221,15,郑惠卿,2018-10-24 07:10:13,2,2,0,很一般
88490,15,郑惠卿,2018-10-31 08:56:25,3,4,1,除了性格还比较温柔。\n\n上课根本找不到节奏啊。还有让人……的口音……
88645,15,郑惠卿,2018-11-05 03:16:07,17,18,1,聽她的課真的是煎熬啊? ?
89412,15,郑惠卿,2018-11-19 03:29:44,16,18,2,每节课，真的每节课都在拖堂
89814,15,郑惠卿,2018-11-21 02:08:00,2,3,1,极差的体验\n\n几乎节节不按时下课，上课也不知道在讲什么东西。对同学的鼓励极少，喜欢纠缠于错误。从小到大第一次上这种氛围的英语课。
89815,15,郑惠卿,2018-11-21 02:08:45,6,6,0,就是个辣鸡，口语不如初学的小学生，中文也听不懂，还爱挑剔。上课没内容，听课真的是浪费时间，学不到任何东西，全靠自己。反正我就真的没有听过多少，全程低头。
92313,15,郑惠卿,2018-12-27 15:26:35,-1,1,2,老师人超级好，每天劝我们早点睡觉，说身体最重要，对学生也特别关心
93051,15,郑惠卿,2019-01-07 06:44:11,12,18,6,我不对老师评价，我只说建议\n\n如果你还没选，一定要退！一定要退！\n\n如果你实在不幸选上了，给你一个很好的建议。\n\n第一节课找一个角落，老师不会注意到的位置之后上课一直坐那里闭目养神就好 这样时间还算没有浪费\n\n然后你的演讲她一定会鸡蛋里挑骨头\n\n你不要反驳，左耳进右耳出就好
93153,15,郑惠卿,2019-01-07 16:46:11,-5,6,11,说真的 我觉得老师超温柔 你们说他口语不好 你们很好吗 我也听不太懂 但是我不怪他 生而为人 请你们善良 不要眼高手低 自己觉得很牛逼 其实你们算个毛 还在这里吐槽老师 你也当个浙大教授看看？
93849,15,郑惠卿,2019-01-14 03:59:12,0,5,5,郑老师虽然口语有时候不太标准，但是老师亲切和蔼 对学生很好 老师很纯真老师挺好的 分数不该这么低
94091,15,郑惠卿,2019-01-15 07:20:42,9,11,2,说句公道话吧，摸着良心说老师人挺好的，性格也挺温柔，各有不同的感受有些人觉得她性格不好的虽然也不是没道理，但是换过来想想老师年纪挺大了有些事还是要理解，但是另一方面，这门课上我说实话没学到什么，任何小组的合作讨论或者是演讲要么是不了了之要么是毫无氛围，半年的课下来英语水平毫无提高，期末考等于要全部自学，从没上过体验呢么差的课，注意是“课”！！！不是英语课！！！这谁顶得住。希望老师上课能够有点点逻辑，至少把内容讲清楚了。如果你的预置是她但是想认真学英语的话尽量换一个吧，如果是想上个水课，那找个后面的位置打盹就好了
94231,15,郑惠卿,2019-01-16 02:36:41,2,2,0,掀起po澜，抛弃了我～～～
95012,15,郑惠卿,2019-01-18 15:07:01,1,2,1,一般般一般般
95055,15,郑惠卿,2019-01-18 15:43:51,-1,0,1,老师确实有口音，上课对时间的把握也一般，总的来说老师是一个蛮好的人，但不算是一个好的老师，想学到知识可能要换一个老师或者自学吧，给分比较实事求是
95064,15,郑惠卿,2019-01-18 15:54:16,2,3,1,预置就退吧。我宁愿自学大英。这给分低的，逼死人不偿命。
