评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
80753,4823,许宣,2018-06-30 10:33:08,1,2,1,事不多
80762,4823,许宣,2018-06-30 12:18:48,0,2,2,没有作业hhhhhh，事情好少
83846,4823,许宣,2018-07-11 10:05:00,7,13,6,特么到底是不是全校正态？？这么晚出分是不是想拉低均绩？？上了一年课好好复习你就让我被正态？？？一点解释都不给，有意思吗？
83867,4823,许宣,2018-07-11 11:29:41,5,6,1,出分慢\n\n给分差\n\n声音难听
87344,4823,许宣,2018-09-27 06:49:39,3,4,1,每节课要写几道小题目和反馈作为点名，上课平平淡淡，没什么额外作业。期末出分是真的慢，就算出来澄清说不是全校正态，那么多3.3你又怎么解释？天天关注时事考试认真复习就这点回报真的心寒。
110315,4823,许宣,2019-06-25 14:28:03,0,2,2,老师挺和蔼的，就是上课有点无聊
110326,4823,许宣,2019-06-25 15:57:56,2,4,2,事情少但是绩点不高（本人背了一天形策最后绩点3.9，不知道高绩点的人都是怎么样的...
110336,4823,许宣,2019-06-25 16:22:41,6,6,0,无语。给分贼低，建议退了
110343,4823,许宣,2019-06-25 23:29:14,-1,2,3,老师准备挺好的，但是行策嘛，听的人不多。要高绩点可能感觉运气挺重要的，毕竟这个很难区分
110344,4823,许宣,2019-06-26 00:05:24,9,9,0,给分差
110345,4823,许宣,2019-06-26 00:09:12,5,5,0,这给分也太差了吧，我复习了好久，考完觉得自己考得挺好，才3.0？我怀疑老师没有改卷，直接随机给分
110348,4823,许宣,2019-06-26 01:12:47,3,3,0,每节课都去作业都交考试感觉也海星，结果只有3，绩杀。真不知道3.86的均绩怎么来的：）
110349,4823,许宣,2019-06-26 01:18:33,3,3,0,3.0 枯了，觉得自己答的挺好的
110360,4823,许宣,2019-06-26 04:16:17,4,5,1,上4的都是什么人？
110361,4823,许宣,2019-06-26 04:24:04,3,3,0,绝了...我爆哭
110634,4823,许宣,2019-06-28 00:16:51,3,3,0,楼上的3.9是我见过最高的几点了 别选 选就是正态
110957,4823,许宣,2019-06-28 22:19:20,0,0,0,生气无语自闭
110970,4823,许宣,2019-06-29 02:13:52,1,1,0,每次都到作业也按时完成，考试我也觉得还行，那样的卷子应该区分不会太大吧，结果绩点只有二点几，真的挺让人寒心的
126069,4823,许宣,2020-09-17 04:57:03,0,0,0,老师平时作业没有，但是给分真的好坑\n\n期末考试，我出考场就和朋友对答案，选择题只有一俩不一样的，大题还是我写的多，结果人家别的班的，满绩了，我4.2，看了以前的评分发现我4.2在老师这里已经很高了。真的不明白，难道所有形策课的绩点压力全到您这了😞
126378,4823,许宣,2020-09-24 10:01:46,0,0,0,呵呵了，出分慢，分巨低
126380,4823,许宣,2020-09-24 11:25:38,0,0,0,给分真的差，考到的内容很多都背了结果分这么低
