评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
288,507,周天华,2015-03-15 00:17:26,-14,26,40,很棒！提供最前沿的科学发展状况和直接接触诺贝尔奖获得者的信息，一种绝佳享受！
6592,507,周天华,2016-09-10 05:25:37,1,13,12,挺好的
10563,507,周天华,2015-11-20 02:31:57,-16,6,22,好老师，上课节奏快
21574,507,周天华,2017-06-30 23:48:55,17,28,11,唉⋯⋯\n\n
21601,507,周天华,2016-02-29 10:19:59,5,13,8,上课前说每堂课一次测试
22067,507,周天华,2016-03-02 08:42:04,-4,5,9,挺有趣的
22124,507,周天华,2016-03-02 11:56:21,6,14,8,挺好的  40多岁看上去很年轻 有活力
22292,507,周天华,2016-03-03 09:11:11,4,9,5,喜欢讲故事。
22510,507,周天华,2016-03-07 05:56:07,-1,8,9,好极了
23491,507,周天华,2016-03-31 14:57:49,6,15,9,细生被讲得如此无聊 也是醉了\n\n清明的课非要补就占其他时间逼我逃课呵呵呵
26055,507,周天华,2016-06-15 09:07:21,0,6,6,anyway，很激情
26226,507,周天华,2016-06-16 10:03:44,-5,12,17,超级棒的老师啊，哈佛的Prof，讲课生动有趣！大学老师就该这样！
28016,507,周天华,2016-06-28 07:59:38,2,6,4,呵呵哒
28242,507,周天华,2016-06-28 08:20:07,0,5,5,比较激情
30824,507,周天华,2016-07-02 14:41:41,6,12,6,就是在吹牛逼 其他没什么
31411,507,周天华,2016-07-04 01:14:42,1,5,4,鸡血教师
31790,507,周天华,2016-07-05 02:21:26,1,5,4,喜欢说anyway哈哈哈哈哈
32661,507,周天华,2016-07-09 01:01:01,-10,3,13,挺有趣的老师，但最后真的不知道自己分扣在哪里
32940,507,周天华,2016-08-11 13:25:00,13,26,13,用每节课随堂测试来避免学生逃课，至于期末打分简直瞎搞，我一同学几乎不会，考了半小时交卷，平时经常逃课，另一同学全答上了信心满满，平时几乎不逃课，结果前者比后者高十多分，看来都不用学习了
32941,507,周天华,2016-08-11 13:30:33,-7,5,12,垃圾，有神经病
48212,507,周天华,2017-03-01 09:10:36,1,5,4,棒棒哒
50868,507,周天华,2017-05-07 14:46:23,0,6,6,教材垃圾 讲的一般
52004,507,周天华,2017-06-14 06:11:21,1,5,4,我觉得挺好的
52088,507,周天华,2017-06-14 14:08:22,1,5,4,讲的很不错，虽然点名但是去了平时分基本就给满了
53725,507,周天华,2017-06-27 11:28:43,7,17,10,主要吹逼，只会谈诺贝尔奖
54525,507,周天华,2017-06-29 13:36:13,4,9,5,天天说诺贝尔奖就能拿诺贝尔奖了？
54724,507,周天华,2017-06-30 05:59:19,-12,3,15,还是给他好点的分，希望他给我分也好点
54831,507,周天华,2017-06-30 09:21:52,1,4,3,觉得讲得还不错吧虽然时不时来一句英文让我突然听不懂
57357,507,周天华,2017-07-07 03:45:36,-2,6,8,一门中文课搞成英文有意思嘛
57405,507,周天华,2017-07-07 10:26:23,3,8,5,教么教不好，吹逼巨会吹。
57600,507,周天华,2017-07-10 13:05:46,3,8,5,教材垃圾，助教不如以前的给分好
57911,507,周天华,2017-07-22 02:15:33,8,13,5,老师讲的很有激情，但这门课程真的好糟糕\n\n首先考试比较难，但有45分的平时分，代价是每次都有小测验\n\n每周两次课，内容乱糟糟，老师质量参差不齐，教材几乎没用\n\n最后助教是个逗逼，喜欢水群
58000,507,周天华,2017-07-22 02:16:09,2,5,3,挺好的，比较生动
58110,507,周天华,2017-07-31 17:57:44,-2,2,4,
58152,507,周天华,2017-08-09 07:25:19,11,13,2,蛮好的，讲得很投入
74133,507,周天华,2019-07-13 14:20:40,-6,9,15,这老师不错不过课是无比垃圾，其他上课老师参差不齐，平时分乱来，教材算是刷新了对最烂教材的认识，语言狗屁不通，专业名词错误百出，配图也很不负责任，助教也是个sb，整天水群还自认为对我们很好，考试试卷也跟傻逼一样，鼓励抱佛脚
75317,507,周天华,2018-03-12 05:14:28,0,5,5,像个zz
75321,507,周天华,2018-03-09 02:20:31,15,19,4,人生有三大追求：快乐，超能，永生
75477,507,周天华,2018-03-12 08:59:10,5,7,2,什么狗屎课假期还补课的......
75613,507,周天华,2018-03-14 05:40:15,0,4,4,吹逼大王
78971,507,周天华,2018-05-18 07:01:17,0,2,2,呵呵呵
80648,507,周天华,2018-06-29 01:45:38,20,28,8,周天华老师是所有细生老师里难得在“讲课”的老师，讲得很有激情，听听很不错的。ppt很多英文，不过后面同学和他反映看不懂以后，就尽量减少了。总得来说，这课是挺烂的，但老师还是很不错的，虽然总提诺贝尔奖，但吹逼也说不上吧，挺好的一个老师。
80649,507,周天华,2018-06-29 01:51:18,13,15,2,激情but no use
82727,507,周天华,2018-07-09 04:34:47,11,13,2,我不想要诺贝尔奖，只想要不凉
82986,507,周天华,2018-07-09 12:05:09,5,6,1,我倒觉得，他是个好老师。
83300,507,周天华,2018-07-10 04:59:28,1,3,2,还行吧?
84394,507,周天华,2018-07-12 16:54:32,2,4,2,我觉得挺好的，很有激情的老师~
84906,507,周天华,2018-07-14 10:00:11,1,2,1,呵呵呵
84960,507,周天华,2018-07-14 15:02:44,0,2,2,3.6
85231,507,周天华,2018-07-16 08:38:51,12,15,3,期末给分太特么迷了....\n\n我期末63？？？？\n\n感觉分数特么是随机的\n\n周天华英文ppt全靠装逼，好了我知道您的老师朋友同事都是诺贝尔得主了?
85349,507,周天华,2018-07-17 07:37:58,4,6,2,是个好老师，教学观念很超前
85382,507,周天华,2018-07-17 10:12:51,4,6,2,太不会挂但给分不太友善
106661,507,周天华,2019-04-29 00:43:25,-7,2,9,弱智一般
106671,507,周天华,2019-04-29 02:03:31,10,12,2,或者可以考虑去开门通识
107743,507,周天华,2019-05-09 01:37:57,1,9,8,周天华是细胞生物学老师中最烂的一个
110223,507,周天华,2019-07-06 09:05:08,11,12,1,如果有学弟学妹们看到了，要记住，细生是一门专业课呢！
112497,507,周天华,2019-07-04 13:29:40,-7,1,8,为什么都要黑老师？别忘了老师主讲的细胞信号转导部分有最有趣的、科研味浓浓的“小测”！
113016,507,周天华,2019-07-05 17:45:29,2,3,1,?️
113120,507,周天华,2019-07-05 23:50:30,6,7,1,这个老师讲些什么不知道，考的东西，也不告诉我们，PPT全用英文讲的，也不是书上的内容。期末给分真的随机的吧，我稍微对了答案感觉还行，但是......一言难尽
113124,507,周天华,2019-07-05 23:56:45,1,2,1,不知道在讲什么
113202,507,周天华,2019-07-06 01:32:20,3,4,1,老师讲的那部分一定要好好听，绝对考呀！
113349,507,周天华,2019-07-06 09:25:26,0,1,1,同学们见了千万别选，专业课乱给分真的迷。期末考试基本上都是复习过的题，但绩点太出乎意料，不知道是自己真的菜别人真的强，还是随机看心情……
113964,507,周天华,2019-07-08 03:36:56,1,2,1,给分超坑 感觉学这门课是在浪费人生
114656,507,周天华,2019-07-11 02:53:27,0,2,2,记得找助教核分！平时小测的纸有可能会被弄丢所以要用大一点的
114850,507,周天华,2019-07-12 03:44:43,6,7,1,明明期末每道题都没问题啊，该写的都写出来了，还挺有信心，但是期末只有60+，晕！给分到底是怎么回事啊
114979,507,周天华,2019-07-13 14:19:09,-2,1,3,超级垃圾
125532,507,周天华,2020-09-11 04:27:49,1,1,0,给分有点迷。。。明明复习很久了绩点还是很差
126424,507,周天华,2020-09-26 08:44:45,0,0,0,暑假两个月用心出卷子，好老师！
156625,507,周天华,2022-06-20 12:11:40,6,6,0,最迷的一门专业课，教材他编的，一团糟，干嘛不用翟中和的？上课不讲考试内容
158101,507,周天华,2022-06-27 04:02:30,1,1,0,sb老师
158168,507,周天华,2022-06-27 08:59:20,1,1,0,呵呵，喜提大学最低绩点
158232,507,周天华,2022-06-27 15:34:00,1,1,0,2.7，寄了
164189,507,周天华,2022-12-19 03:35:09,3,4,1,一门总共32节的专业课，周老师作为主讲老师只讲了两节，一节是绪论，另一节是让别的老师来做讲座，他当主持人。个人意见：干行政岗就不要再当老师了，也建议他把自己那个上课提问就期末成绩加三分的教学方法改一改，期末成绩评定真是一点头脑摸不着。至于他的教学水平，我真的没法评价，都不备课，不上课哪里能见到教学水平？
177670,507,周天华,2023-07-04 06:47:49,0,0,0,好老师！
