评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
14581,1276,俞欢军,2016-01-08 01:11:13,0,11,11,真不知道在讲什么
14630,1276,俞欢军,2018-01-20 15:45:36,-10,15,25,不好好管实验仪器，来教c语言祸害一方。另外，这老师c语言是自学的。
23264,1276,俞欢军,2016-03-23 06:24:11,30,44,14,挺关心学生的。老师人也挺好
23454,1276,俞欢军,2016-06-18 13:59:50,25,34,9,胖胖的大叔，我喜欢。人很好，备课很用心，看不懂前面两条差评怎么来的
26401,1276,俞欢军,2016-06-18 01:40:08,1,5,4,人真的挺好的，很关心学生
27001,1276,俞欢军,2016-06-22 06:33:00,8,12,4,水平有限\n\n
30576,1276,俞欢军,2016-07-02 03:59:15,10,31,21,讲几句公道话吧！这个老师c语言水平的确一般，讲习题的时候，有的时候自己都不确定。但态度很好，很关心学生其实我觉得可以选这个老师去听别老师的课，竞争没有那么激烈
38438,1276,俞欢军,2016-12-26 14:36:35,-18,7,25,老师没耐心，在群里问问题答着答着还生气
39653,1276,俞欢军,2016-12-26 14:35:04,8,12,4,老师人很好
44984,1276,俞欢军,2017-01-18 17:25:59,-10,3,13,一般般，上课挺水的，给分不怎么样。
45059,1276,俞欢军,2017-01-19 02:01:39,5,8,3,老师挺好的，人品特别好，讲课略水，不过大家讲课不都是很水吗？俞老师基本没有什么作业，考前还认真帮大家解答问题，浓浓师生情\n\n
47734,1276,俞欢军,2017-02-22 08:15:27,0,7,7,人好  给分不错
48876,1276,俞欢军,2017-03-15 09:02:39,0,6,6,真的好老师
49543,1276,俞欢军,2017-04-18 06:29:16,-8,6,14,简直是要死，为什么会有这样的老师，学校真的是缺老师了吗
51184,1276,俞欢军,2017-05-23 07:21:47,-15,6,21,你知道什么叫?️?嘛？来听他的c语言吧
51497,1276,俞欢军,2017-06-06 13:41:45,-11,2,13,真的菜
52076,1276,俞欢军,2017-06-14 12:29:24,16,23,7,人特别好，在qq上答疑特别耐心，最重要的是，他每次布置的上机作业都只有三四道题！！！每次我室友都面对自己的十来道题瑟瑟发抖我都想仰天大笑哈哈哈哈哈哈！而且除了上机就没有别的作业了哈哈哈哈哈哈室友都在苦逼的写课后习题哈哈哈哈哈哈
52442,1276,俞欢军,2017-06-20 05:54:00,2,4,2,很关心学生
55359,1276,俞欢军,2017-07-01 10:46:41,0,5,5,很好的老师，赞?
56747,1276,俞欢军,2017-07-04 13:42:16,18,27,9,据说会私戳挂科的同学\n\n还会说是自己辜负同学的信任 \n\n瞬间被圈粉。。。\n\n老师c语言确实不太熟练吧\n\n我觉得很正常啊\n\n然而很耐心啊 问问题有问必答 好老师
57419,1276,俞欢军,2017-07-07 12:47:24,23,27,4,人很好，不知道评分怎么只有这么点。比那些评分高而徒有虚名的老师好太多了
57487,1276,俞欢军,2017-07-08 16:36:53,5,6,1,老师真的对学生很负责，很负责。绝对是个好老师，老师可能水平上限不是很高，但是教c完全足够了。
59078,1276,俞欢军,2017-09-19 10:48:25,0,2,2,好老师，会给你耐心讲题目
59369,1276,俞欢军,2017-09-21 05:01:28,0,4,4,虽然还是挂了 补考也没过
61030,1276,俞欢军,2017-11-07 07:02:17,3,4,1,有点水，不错了，当休息\n\n\n\n
65343,1276,俞欢军,2018-01-03 07:07:23,11,13,2,很关心学生的老师，不会让学生做那些形式上的作业，无用功少，超棒的老师，强烈安利！！
67302,1276,俞欢军,2018-01-20 15:47:01,2,4,2,很负责任的老师，对学生真的很好，虽然讲课的水平可能不是特别高，应付考试还是足足够的
73228,1276,俞欢军,2018-02-01 08:07:00,0,3,3,虽然上课水了一点（大计基这门课一般都这样），但给分还是不错的，自己看看书就行了，老师还会给课后和模拟卷答案，很好的。
73420,1276,俞欢军,2018-02-01 14:18:35,1,2,1,老师上课挺水的，作业很少，不用花太多的时间，考试前做一下模拟卷，看一遍书就好了，老师给分很好很好(✪▽✪)，谢谢老师o(^o^)o
