评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
14493,107,林芝,2016-01-07 08:53:50,29,74,45,我那个KAB班上退课率是我见的最多的一个班....如果你是比较收敛的人你会觉得为什么其他人都这么自负和具有较强的进攻性....
14788,107,林芝,2016-01-09 07:00:15,12,22,10,区别对待真是太明显了。任务多的不得了。一门通识上出了专业课撕逼的感觉也是呵呵
19538,107,林芝,2016-01-24 15:00:24,11,18,7,kab简直是天下最烦的通识课，果断退
27846,107,林芝,2016-06-27 19:57:50,-13,4,17,给分高
50946,107,林芝,2017-05-09 14:55:16,-7,5,12,老师人很好，会给我们带来一些学长和创业者的经验讲座，给分靠谱，只要你认真签到
51907,107,林芝,2017-06-15 01:58:38,8,11,3,真是不能更垃圾了…
54134,107,林芝,2017-06-28 14:00:38,-9,2,11,给分不错，会请老师和前辈讲座
63070,107,林芝,2017-11-28 06:35:40,-6,3,9,怎么说，职规这门课作业超级多，不过给分还不错
63675,107,林芝,2017-12-14 00:42:56,6,8,2,事情比较多吧
63768,107,林芝,2018-06-13 04:01:23,-13,4,17,老师其实人很好，给我们布置的作业也是真心为我们好，培养我们各方面的能力，课上的也很有趣，踏实去做得分不低的
71914,107,林芝,2018-01-29 05:37:14,-25,5,30,上课基本就是玩，我大一选上的，全程划水，上课打王者，不用表现的多有攻击性，和组员合作好就好了。课下作业认真写，毕竟按这个给分。好了，谢谢老师的5.0。\n\n哈，我开玩笑的，其实这个课想要学东西夸张了，就一个短学期，但是真的可以开拓眼界，了解到很多不知道的事情。通识嘛，不就是多了解些东西吗
75781,107,林芝,2018-03-17 14:41:50,7,9,2,作业真的超级多，是职业生涯规划课里面最!多!的!其实我有点不明白这么多作业真的会对我们职业生涯规划有帮助吗？？？
75894,107,林芝,2018-03-21 05:39:41,5,5,0,体验极差，事情太多，每节课都要展示，都有课后讨论，都有作业
76045,107,林芝,2018-03-25 14:43:56,6,6,0,作业太多
76680,107,林芝,2018-04-18 05:53:46,1,1,0,迷之水课
76682,107,林芝,2018-04-18 07:27:17,1,4,3,只能说一句呵呵，真是浙大最垃圾的课，没有之一，事情比专业课还多，感觉这个老师自己都拎不清……跟她说作业多了能不能少一点，她就说你态度有问题，呵呵
78668,107,林芝,2018-05-14 09:54:27,-2,1,3,无话可说
78700,107,林芝,2018-05-14 14:35:56,-6,0,6,作业多 给分好
78709,107,林芝,2018-05-14 15:19:45,-1,3,4,作业多，给分好
84211,107,林芝,2018-07-12 08:41:36,0,0,0,给分不好?上课还行一般般
84235,107,林芝,2018-07-12 10:13:22,3,4,1,事情多给分差，要是遇到坑队友那就完蛋
90247,107,林芝,2018-11-22 17:12:31,-4,3,7,老师给满了，感觉没之前他们说的没之前说的那么差，人挺好的。
90727,107,林芝,2018-11-25 12:06:09,-19,3,22,老师还是比较随和的，给分很好，我这种文科渣渣拿了5.0
91816,107,林芝,2018-12-21 05:09:55,-3,2,5,老师给分很好啊！认真一点做作业就好啦，笔芯
96247,107,林芝,2019-01-20 14:59:05,2,3,1,这个课真的一点收获也没有 事情多 课无聊 真的真的不建议选
99355,107,林芝,2019-01-24 15:26:00,7,8,1,沟领课是一个被气死的过程。\n\n收获在于修行。
102088,107,林芝,2019-01-30 11:15:59,7,7,0,不知道老师给分的标准是什么?小组分工的作业都认真在做，也没有鸽过讨论。整个冬学期几乎每周都有作业，分数出来后3.3，感觉这个成绩不值得这八周来的付出。
121300,107,林芝,2019-12-23 07:45:10,-6,0,6,只要抱到组员大腿轻松拿高分，老师也很温柔很好说话，非常棒的课～
123128,107,林芝,2020-05-11 09:19:58,7,7,0,想拿高分只能多在老师面前舞，这门课闷声干事吃力不讨好……
124479,107,林芝,2020-07-01 23:52:18,-4,1,5,我觉得林芝老师挺好的呀，人比较温柔，我上的是KAB，给分不错，事情多主要是因为这门课就是这样安排的。
127395,107,林芝,2020-11-22 11:08:20,5,5,0,求求你们了，干啥不好非要上kab，求求你们快回去啊，不要来送啊
127548,107,林芝,2020-11-24 07:34:46,15,17,2,我从来没上过KAB这么令人厌恶的课，平时事情多而且能让人社死，期末考试各种恶竞，不明白为什么所有人都有这么强的攻击性和表现欲
132912,107,林芝,2021-02-05 01:20:32,8,9,1,专业课模电概统往死了考，好不容易上90，一个kab一个通核，直接送回石器时代，真不错。这种课有些n t是真的能卷
135375,107,林芝,2021-05-09 00:12:03,-4,1,5,这门课也没有之前评论的那么不堪，作业的确很多，不过给分还不错？课内的游戏和最后的实践参观也比较有趣。另外感觉我在的这个班里同学们都很友好，没有恶竞，甚至有点佛系。
