评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
6404,63,金南国,2015-07-13 15:53:16,8,9,1,老师讲课还行，但是不给ppt，也不怎么强调重点，搞得学生复习时头很大，给分也不好
31265,63,金南国,2016-07-03 13:34:02,3,3,0,悲伤逆流成河
31880,63,金南国,2016-07-05 04:56:56,3,3,0,粉笔破坏者……讲抗折强度要折粉笔，劈裂强度要劈粉笔，软化系数要蘸湿粉笔(✘﹏✘ა)给分还行吧
50917,63,金南国,2017-05-09 02:21:29,1,1,0,据说绩杀……挂科率也比其他老师高
56680,63,金南国,2017-07-04 09:00:08,3,4,1,为老师正名，并不绩杀，给分挺不错的，均绩应该也没这么低
139121,63,金南国,2021-07-13 02:54:48,1,1,0,讲课抑扬顿措，表情丰富
90971,96,郑卫,2018-11-28 07:41:50,7,8,1,惊天动地的绝世大水逼
91028,96,郑卫,2018-11-29 05:37:48,10,10,0,明明是导引课，结果自己倒是不怎么讲，非让没有什么理论基础的大一新生作报告！还临时改分组规则…
91644,96,郑卫,2018-12-17 05:18:00,6,6,0,毫无技术含量，每节课让学生作报告，用学生的报告来水课，这种老师无敌好当!
91740,96,郑卫,2018-12-19 04:32:46,7,7,0,101次想退课的冲动。一门短学期的课能搞出每组四次展示？几乎全都是展示，讲课少的可怜，偶尔讲课也几乎都是水?
95022,96,郑卫,2019-01-18 15:08:39,3,3,0,惊天动地的绝世大水逼，恨不得把他从讲台上踹下来我自己讲。浙大的老师这么好混也是迷幻额
99564,96,郑卫,2019-01-25 03:25:16,6,7,1,为什么不能评0分，本来他水课我水绩点也没什么可说的。但辛辛苦苦做四次报告，整个学期都为报告和ppt担惊受怕跑来跑去，最后给我卡绩，还卡3.9，不知道多一分少一分有什么实质性的区别。
99570,96,郑卫,2019-01-25 03:30:48,5,5,0,太水了从不点名连同学都不认识就在那里随便打分\n\n就这么短学期的课四次展示\n\n辛辛苦苦调研了三四次就是被不停嘲讽大一新生怎么可能会知道怎么做\n\n自己讲课就是拿以前的同学的调研资料读一次动不动就讲自己在台湾大学干嘛干嘛\n\n看不起这里就别来教书啊\n\n这样对学生有什么好的
