评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
179561,6460,陈瑜,2023-09-18 08:34:11,3,4,1,我爱你陈瑜老师 你的课讲的实在是太好了
198415,6587,董丹申,2024-09-08 16:03:16,0,0,0,oooo
160243,6896,陆激,2022-09-15 15:11:58,23,24,1,我不允许这个老师的评分不是十分。这个老师风趣幽默又有人文情怀，他的无障碍融合也可以给人带来很多感动和思考！！
160657,6896,陆激,2022-09-29 11:44:36,11,12,1,好老师！！人很好也会讲故事人也很幽默！带给我们很多思考
160764,6896,陆激,2022-10-10 07:17:49,11,11,0,和蔼可亲 风趣幽默
160997,6896,陆激,2022-10-23 15:47:52,15,15,0,老师真的很好!!很有自己的思想也很可爱，讲课风格活泼幽默，也很认真负责，课堂氛围很好!也让我感受到了无障碍融合真的是一门很有意义的课!
163471,6896,陆激,2022-12-14 11:48:25,9,9,0,陆老师的课真的很棒！课堂氛围很轻松休闲，陆老师一直在输出正能量观点，给我蛮多启发的。而且还有机会与盲人交流/跟手语姐姐学手语，这样的课不香吗！！
163755,6896,陆激,2022-12-16 05:11:06,7,7,0,在陆老师的课上真的能学到很多东西，能让我们有与盲人，聋人等残障人士交流的机会，让我们体会到站在不同视角看世界的机会。
167283,6896,陆激,2023-01-16 04:51:06,0,3,3,课上的好的
167286,6896,陆激,2023-01-15 11:46:41,13,13,0,这才是一门真正的大学通识课😭，一门通识课多元融合了各学科各领域的知识。没有点名，没有作业（可以不做），只是用生动的课程和老师的激情来吸引着我们。【关于绩点】无论是否听课，老师的目的是广泛宣传无障碍，让无障碍深入人心😍。只要认真了解无障碍，认真理解无障碍理念，就能轻松写好论文，拿个4.5是一定没有问题的！
167299,6896,陆激,2023-01-15 12:19:21,7,7,0,作为通识来说课程有点长，是3学分长学期课，但是没有小组作业哎！课堂总的来说还是很有趣的，两位助教xgg呆呆的好可爱，陆老师看起来颇有美院风范，非常能讲，虽然有时候会觉得好像有点扯（因为课程大纲上标题取得太好带来了超高期待），但还是的的确确通过这堂课接触到了一些新东西，在生活中有了新的视角，从此过马路会关注红绿灯有没有提供声音提示、电梯有没有装镜子、坡道是否可用，你会见到生活中的障碍者，意识到他们的生活是怎样的，而无障碍的概念也会通过每一个细节真正步入你的思维。课程任务不重，平时每节课思考题，期末论文，而且老师给分超好的！！大家快选！
167314,6896,陆激,2023-01-15 13:26:51,7,7,0,老师好，课也好，绩点给的对我这种想用通识课拉高数大英大计基均绩的人来说也还行
167321,6896,陆激,2023-01-15 14:01:07,5,6,1,陆老师给了我4.8呜呜呜，但是即便只有3.3我也心甘情愿选这门课，老师是好老师，很渊博很有趣很随和，让我觉得绩点没有那么重要了，学到知识，开拓眼界就够了。
167348,6896,陆激,2023-01-15 14:48:23,-8,3,11,平时认真写作业的孩子想拿满绩
167403,6896,陆激,2023-01-16 05:00:24,7,7,0,课十分精彩，见识了许多，老师十分有激情。\n\n这门课融汇了建筑学，美学，传统文化等知识，又兼具人文关怀和科技创新，是一门不可错过的通识课。\n\n事少，没有小组讨论，没有期末考试。期末就一篇2000字论文。\n\n我感觉给分不错，几乎没有什么缺点。
169053,6896,陆激,2023-02-24 06:47:02,1,1,0,很好的老师，很有人文情怀
169863,6896,陆激,2023-02-28 06:52:30,1,1,0,好老师，幽默风趣，课事还不多，不点名
169929,6896,陆激,2023-02-28 13:00:52,0,1,1,很负责，见识广博，又平易近人，他说出了我心中通识课的模样～
179591,6896,陆激,2023-09-18 12:35:27,0,0,0,不用多说\n\n陆激老师yyds\n\n10分没跑
179726,6896,陆激,2023-09-19 13:52:39,0,0,0,陆激老师在下课后收获的掌声比我上过的任何课的都响，绝对的好老师
182686,6896,陆激,2023-11-19 12:59:39,3,3,0,与陆老师闲谈了一番，醍醐灌顶
185590,6896,陆激,2024-01-02 12:43:45,2,2,0,可爱的老师，真正的通识课
185695,6896,陆激,2024-01-03 15:12:07,1,1,0,老师是“一名拥有教师资格证的建筑师”，也是一位诗人。老师上课很风趣，非常乐意与同学们交流，在无障碍融合课程上为同学们讲述了许多无障碍相关的知识。同时老师邀请了许多特别的嘉宾来到课堂与同学们进行分享，例如亚残运冠军、中国残联主席吕世明、手语姐姐、盲人钢琴调律师与她的导盲犬……在课后老师乐于为同学们解答问题，向同学们分享自己的观点。
187058,6896,陆激,2024-01-14 09:34:24,1,1,0,不点名，不鼓励恶竞，无障碍文明与人居课上的很好
189322,6896,陆激,2024-01-23 08:09:56,7,7,0,先生之风，山高水长。
