评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
199394,9496,高大为,2024-09-23 01:20:41,0,0,0,上课照着ppt念。。。
181457,9547,任堃,2023-10-18 06:43:57,0,0,0,还不错
198219,9562,张运炎,2024-09-05 07:43:21,3,3,0,上课三句话不离自己的出国留学生活，期末pre每个人都要喷一边
199125,9562,张运炎,2024-09-18 03:20:24,7,8,1,上课纯念ppt，作业虾🏆布置
199210,9562,张运炎,2024-09-29 01:20:19,10,12,2,讲得太烂了 不会讲可以不讲\n\n为什么浙大招老师不卡本科
199507,9562,张运炎,2024-09-24 23:56:12,9,9,0,勾吧老子想问个问题，他说一句“这有什么好问的，之后去找助教”。sb老师
199723,9562,张运炎,2024-09-28 07:08:25,3,3,0,PPT念的不如直接看
200811,9562,张运炎,2024-10-23 01:28:28,5,5,0,电基电路部分还好，模电部分讲的极其混乱，语言组织能力差，上课头都要炸了
200962,9562,张运炎,2024-10-25 11:53:35,9,9,0,这就一纯傻逼 声音小得跟阳痿一样
204903,9562,张运炎,2024-11-28 12:02:45,4,4,0,🗑️
204937,9562,张运炎,2024-11-29 00:43:18,10,11,1,讲完还需要搭班老师给重新补，真的6
209506,9562,张运炎,2025-01-06 06:37:42,4,4,0,还要搭班老师给你擦屁股，这种老师评分没下2我不认可
213260,9562,张运炎,2025-01-16 13:26:41,0,0,0,整个学期被这个b毁了\n\n全靠qwy擦屁股，那就意味着qwy也得赶进度了，选你这辈子有了
214925,9562,张运炎,2025-02-19 06:32:48,0,0,0,纯纯的初生
216837,9562,张运炎,2025-03-26 11:05:31,1,1,0,傻逼。
219094,9562,张运炎,2025-05-21 10:10:10,-1,0,1,老师很好，请我们免费吃饭
