评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
176830,9261,胡春男,2023-06-30 09:49:12,0,3,3,觉得老师的课堂氛围可以再活跃一些～
176841,9261,胡春男,2023-06-30 10:47:32,11,12,1,爱胡老师！胡老师的朋辈心理辅导非常好，胡老师很真诚可爱！
183455,9261,胡春男,2023-11-26 11:58:03,2,2,0,朋辈课挺好啊
185307,9261,胡春男,2023-12-27 16:48:25,3,3,0,上的朋辈课，很喜欢胡老师
190974,9261,胡春男,2024-03-27 03:30:02,3,3,0,胡老师讲话慢条斯理的，但朋辈课挺好的，可以在活跃一点啦
190975,9261,胡春男,2024-03-27 03:31:27,2,2,0,朋辈课非常很好，胡老师人很好，推荐。
195145,9261,胡春男,2024-06-27 02:56:30,0,0,0,很好的朋辈课
200447,9261,胡春男,2024-10-17 05:36:05,1,1,0,朋辈课很有意思啊，胡老师讲话慢条斯理的，很耐听
167183,9262,黄皓明,2023-01-15 04:59:42,22,40,18,【自我探索与心理成长】首先，老师人好到爆，且从未点过名。\n\n其次，整整一个学期一个小组作业＋一篇成长报告（并且老师反内卷设置2000字上限），事情巨少无比，钉钉群一个学期下来甚至没有多少条消息。\n\n最后，分数超级无敌好。答主91，4.5（个人感受是小组作业还可以，成长报告写的不太好）\n\n一句话，这个课选了就是赚了。考虑考虑？
176401,9262,黄皓明,2023-06-28 17:11:27,7,9,2,老师人很好，事少分高
184171,9262,黄皓明,2023-12-11 16:11:28,4,12,8,你这个狗，我大四回来专门给你打分，四年了你还是n/a
184172,9262,黄皓明,2023-12-11 16:13:27,-15,4,19,烂中烂
184327,9262,黄皓明,2023-12-17 12:20:06,-10,1,11,一般般
185427,9262,黄皓明,2023-12-29 07:19:41,12,15,3,为啥会有差评，想不通
187457,9262,黄皓明,2024-01-16 08:11:43,7,7,0,老师很温和上课讲的东西也蛮有意思的，比较轻松，课程任务也不多，一篇成长报告和一次小组展示，不会点过名
190882,9262,黄皓明,2024-03-23 13:03:53,0,1,1,分多事少
191804,9262,黄皓明,2024-04-30 10:09:44,0,1,1,挺暖的一个老师
193963,9262,黄皓明,2024-06-21 06:14:45,5,5,0,分多事少
194879,9262,黄皓明,2024-06-26 04:34:37,5,8,3,懂的都懂
200127,9262,黄皓明,2024-10-13 12:26:29,-1,3,4,形势与政策拖堂25min并且不觉得有问题
200697,9262,黄皓明,2024-10-21 05:15:59,1,2,1,感觉还行
206024,9262,黄皓明,2024-12-13 03:16:52,0,0,0,挺好的 老师提前下课
207349,9262,黄皓明,2024-12-20 18:44:30,1,1,0,讲课有深度
209883,9262,黄皓明,2025-01-07 10:13:16,0,0,0,大学生心理健康和发展，懂的都懂
209901,9262,黄皓明,2025-01-07 11:03:52,0,0,0,娓娓道来，每次小组展示后的点评都能学到很多
209909,9262,黄皓明,2025-01-07 11:24:01,2,3,1,大学生心理健康与发展\n\n事很少，给每个小组展示的反馈都很积极。期末的报告分析了一通自己的心理状况，最后竟然满了啊呜呜呜\n\n老师太好了！！
211110,9262,黄皓明,2025-01-10 19:26:32,2,2,0,自我探索与心理成长非常好的课，无脑入，事少分高。老师人很好，讲课很有意思！！！
211636,9262,黄皓明,2025-01-12 05:45:59,1,2,1,老师布置的任务挺少的，但给的绩点也挺低的･᷄‎･᷅
214718,9262,黄皓明,2025-02-17 04:52:37,-1,0,1,一般般
216075,9262,黄皓明,2025-03-10 07:27:17,1,1,0,老师人很好，就是绩点有点低，没上4
219378,9262,黄皓明,2025-05-26 07:04:37,1,1,0,老师很好，会对小组展示有比较积极的点评，只上了一节课，但是足够展示很高的心理学水平
219385,9262,黄皓明,2025-05-26 07:46:12,0,0,0,声音很好听
219764,9262,黄皓明,2025-06-05 08:47:40,2,2,0,老师人很好~既风趣幽默，又讲得内容很深入很有思考。\n\n形策课：真的讲出了很多不一样的东西，分享了自己的看问题的角度，讲时事热点（让我一个政治经济小白也听懂了\n\n老师说分数尽量不为难大家\n\n自我成长和心里探索：水平很高，能提供很多不一样的见解（但是这个是几个老师合上，其他老师就上水平的一般般了）\n\n小组展示后有点评：积极鼓励+ 提出一些思考角度\n\n\n\n总结：老师水平很高，上他的课是享受~  给分正常。
220904,9262,黄皓明,2025-06-20 09:51:34,0,0,0,老师挺好的，平时上课很有趣，就是最后没上4
172522,9263,金真皓,2023-04-30 00:13:39,15,16,1,金老师！哇能评分了终于。之前一直查不到，教务系统里也没有评价。开盲盒选了金老师的课，真的有赚到！老师很年轻，没有架子，但是专业能力很强，关键是人很温柔很幽默！
172929,9263,金真皓,2023-05-10 03:34:22,7,8,1,之前开盲盒选了金老师的心理成长与自我探索课，感觉真的有赚到。老师非常温柔也很幽默，会用一些工作中的案例来阐述，真的会让我有共鸣到一些心理问题。并且老师挺年轻的，整体课堂氛围很好，不像一些年纪大的老师死板。对了，开学的时候老师说会点三次名，但是最后一次也没有点。期末的作业是交论文，感觉只要认真听了课，这个论文还是挺容易的，因为真的深有感触。
174868,9263,金真皓,2023-06-19 06:41:49,4,5,1,金老师超帅
174871,9263,金真皓,2023-06-19 08:30:49,4,4,0,超级棒！
177447,9263,金真皓,2023-07-03 09:46:22,1,3,2,好好好
179035,9263,金真皓,2023-08-23 17:20:48,5,7,2,超级好的哇，很温柔很温暖
181424,9263,金真皓,2023-10-17 11:40:06,5,6,1,很好的老师，很温柔而且很帅（）
184016,9263,金真皓,2023-12-06 07:36:40,3,4,1,很帅很温柔
185418,9263,金真皓,2023-12-29 04:55:30,1,2,1,金老师真的好！强烈推荐！\n\n\n\n但是本人并不推荐他的课。因为是自主分组，你永远不知道你的组员是什么水怪。\n\n作为大一新生对高年级的生活真是越来越期待了呢～
185538,9263,金真皓,2024-01-02 04:29:58,2,2,0,老师是好老师，小组作业是真恶心（不是说老师，而是遇到了很nt的队友）
188051,9263,金真皓,2024-01-18 06:08:25,-1,2,3,emmmmm上课很无聊\n\n给分也没有很好
188062,9263,金真皓,2024-01-19 02:14:45,3,7,4,打9分。老师很面善，声音也好听，是理想中大学老师的样子。就是举手发言占20%可能对我这种比较内向的孩子不太友好，2次发言+组长，个人成长报告自我感觉写得还行，最后4.2，emmm还是比较OK的分数。谢谢老师啦
188083,9263,金真皓,2024-01-18 07:22:45,1,2,1,老师给分很好，上课很有趣，讲的东西接地气
188189,9263,金真皓,2024-01-18 11:20:13,-9,2,11,挺差的就是。。
196563,9263,金真皓,2024-07-04 05:39:09,-2,0,2,老师人挺好的，说要点名其实最后也没点。一学期没怎么去上过课，小组作业有幸遇上好组长，没发生不愉快的事情，汇报中规中矩。报告写了个流水账，还略带了点青春疼痛文学（写的时候在看校园恋爱小说）。最后得分4.2，超出我投入的成本，知足了。
196586,9263,金真皓,2024-07-04 06:35:37,3,3,0,自我探索与心理成长\n\n一学期没点过名，最后个人报告结合真情实感去写，小组汇报水过去\n\n上课不必听，和线上考试没啥关系\n\n线上考试认真做了，内容全在智慧树的课里能找到，或在PPT上或在讲解者的话里，线上考试我期末134/150\n\n在cc98传了一份线上考试的回忆卷\n\n最终总评97，个人认为给分不错，供参考
207811,9263,金真皓,2024-12-24 11:11:38,3,4,1,3.6…
210447,9263,金真皓,2025-01-09 15:40:11,7,8,1,老师不点名就是给分有点迷，问卷3次都做了，报告非常认真地写了，智慧树也都完成最后期末考也上9了，被绩杀了。。。悲伤
210464,9263,金真皓,2025-01-09 08:01:11,-3,0,3,老师好温柔，上课很有趣
210467,9263,金真皓,2025-01-09 08:05:36,4,5,1,讲真，三次问卷6分，都填了，pre和成长报告也认真做了，报告真情实感一个字一个字写的，最后3.6，也就是说没有三次问卷搞不好绩点都不上三，怎么，我是犯天条了吗？这只是一个心理课通识，，应该是我做得最认真但是分最低的一个，讲课也只能说有30%左右的东西有用有趣，总体来说不推荐。
210485,9263,金真皓,2025-01-10 15:27:42,1,1,0,自我探索与心理成长。慎选吧。给分真的莫名其妙。按要求完成了，智慧树期末90分，最后总评84，绩点3.9。
210531,9263,金真皓,2025-01-09 10:06:30,0,0,0,给分有点迷
210646,9263,金真皓,2025-01-09 14:22:13,1,1,0,最认真的一门课3.9直接灭杀我对认真上通识水课的幻想
211691,9263,金真皓,2025-01-12 07:39:24,1,1,0,给分特别迷
212060,9263,金真皓,2025-01-13 06:29:34,0,0,0,给分不好
217680,9263,金真皓,2025-04-15 05:49:02,0,0,0,只点了一次名，老师人超级好
220615,9263,金真皓,2025-06-19 02:24:16,0,0,0,老师人很好，但就是这个评分制度有点为难i人了，发言占比多，大家记得发言呀\n\n这学期没有期末考，我是因为没有考试才选的hhhh
221136,9263,金真皓,2025-06-21 11:28:15,0,0,0,给分太迷了
210487,10661,丁汝楠,2025-01-10 15:29:15,5,5,0,自我探索与心理成长。慎选。真不知道怎么给的分。
210532,10661,丁汝楠,2025-01-09 10:07:21,0,2,2,给分挺迷的
211690,10661,丁汝楠,2025-01-12 07:38:21,0,0,0,给分很迷
212062,10661,丁汝楠,2025-01-13 06:30:09,-1,0,1,给分不好
