评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
7473,64,万慧进,2015-09-14 14:47:10,-2,8,10,呵呵
8587,64,万慧进,2015-09-23 01:07:40,27,30,3,挺好的，不刻板，有思想\n\n
9006,64,万慧进,2015-10-09 00:14:02,2,4,2,总觉得她说话说不清楚
9046,64,万慧进,2015-10-11 08:23:55,20,21,1,还不错的，有思想的老师
9549,64,万慧进,2015-10-30 03:24:55,-3,4,7,烦烦烦烦烦烦
10936,64,万慧进,2015-11-23 11:12:54,27,28,1,我觉得老师挺和蔼的 就是上课不让我们玩手机. 也没什么.
12143,64,万慧进,2015-12-22 04:46:25,4,6,2,挺好的很喜欢和她交流嘞
12266,64,万慧进,2015-12-22 15:42:46,40,44,4,讲起她儿子来历历在目犹如昨日
13094,64,万慧进,2015-12-25 00:54:04,9,11,2,有思想，高效率
13095,64,万慧进,2015-12-25 00:57:26,12,13,1,负责的好老师，还会秀\n\n
13296,64,万慧进,2015-12-26 09:18:10,2,4,2,万老师人很好 上课讨论棒棒哒
14374,64,万慧进,2016-01-06 14:23:13,-2,1,3,事很多
15030,64,万慧进,2016-01-21 09:01:01,7,8,1,很棒的老师
15186,64,万慧进,2016-11-13 05:50:21,-14,2,16,傻逼玩意
17941,64,万慧进,2016-01-21 04:33:48,-3,1,4,略无聊吧
17942,64,万慧进,2016-01-21 04:34:24,4,6,2,老师很有思想，虽然事情较多，不过给分确实好
17947,64,万慧进,2016-01-21 04:40:25,8,9,1,给分不错，也不红不专。
17956,64,万慧进,2016-01-21 04:47:56,2,2,0,老师很好有想法有用心
17972,64,万慧进,2016-01-21 05:02:26,3,3,0,听故事，蛮不错。老师挺和蔼的
18460,64,万慧进,2016-01-21 16:13:01,1,1,0,给分很好，上课不错
18507,64,万慧进,2016-01-22 00:48:25,3,3,0,不错，老师很好，上课需要积极发言，经常扯她儿子当教材
18850,64,万慧进,2016-01-22 15:35:46,1,1,0,老师人很好 很有自己的想法
19051,64,万慧进,2016-01-23 06:47:46,7,8,1,她儿子有很多故事
19632,64,万慧进,2016-01-25 03:35:57,2,2,0,给分真的好
19749,64,万慧进,2016-01-25 08:24:38,0,1,1,好老师 破事多 但是给分好
20199,64,万慧进,2016-01-26 13:41:33,6,7,1,我思修得了4.8，谢谢老师对我思想的教育！
21437,64,万慧进,2016-02-29 00:36:44,2,2,0,不能水手机一定要记住吖
21820,64,万慧进,2016-03-01 07:22:16,11,12,1,老师萌萌哒！作业不多，说了好多次要点名后来都作罢hhh。老师挺好的，给分也不错，不红不专挺实在的老师。蛮喜欢听她的思想的。\n\n话说没有微电影哦！这个真心好！
23143,64,万慧进,2016-03-19 14:43:05,1,1,0,给分好
34356,64,万慧进,2016-10-06 07:07:43,1,1,0,老师很好，讲了很多事，感觉自己学到了很多。
