评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
35300,20,杨秦敏,2016-11-08 03:18:30,-6,8,14,很棒的老师，上课也上的蛮好的
109331,20,杨秦敏,2019-06-13 06:43:03,12,16,4,比较自傲  说话自顾自 咄咄逼人 不给人辩解的机会
117713,20,杨秦敏,2019-09-30 00:59:08,7,13,6,sb专业认知随机给分nmsl
118260,20,杨秦敏,2019-10-24 04:29:24,-2,1,3,啦啦啦\n\n
119130,20,杨秦敏,2019-11-10 23:32:27,5,7,2,磨磨唧唧
125057,20,杨秦敏,2020-08-22 04:41:16,19,28,9,专业认知给分太迷了
125114,20,杨秦敏,2020-09-01 02:21:09,9,10,1,严格5级制给分，只有5个等级，这不闹吗
126018,20,杨秦敏,2020-09-26 14:25:39,-1,9,10,很好的老师！上课认真！
139857,20,杨秦敏,2021-08-03 09:57:07,1,3,2,给分挺迷的
140954,20,杨秦敏,2021-09-18 08:51:15,-2,8,10,经常性地骂学生脏话
144107,20,杨秦敏,2021-12-17 16:09:41,-6,7,13,千万要避开这个脏话骂人的b
151975,20,杨秦敏,2022-03-22 07:58:57,14,18,4,跟杨老师从本科到博士毕业，科研上很严谨，要求很高，但从来没有用脏话骂过我，倒是这上面的一些同学口吐芬芳
152572,20,杨秦敏,2022-04-15 02:27:36,13,17,4,自控双语班，春学期上课体验还是很不错的，比隔壁院长班好多了
155482,20,杨秦敏,2022-06-13 12:10:37,3,7,4,上了老师的自控课 个人认为讲的很好 没有评论说的那些情况
159399,20,杨秦敏,2022-07-16 05:08:17,-4,2,6,专业认知给分出乎预期的高
173877,20,杨秦敏,2023-06-04 04:48:01,0,0,0,111
182571,20,杨秦敏,2023-11-17 14:40:51,3,5,2,现控讲的非常好，评分不能反映上课水平。不过给分还不知道怎么样。
188464,20,杨秦敏,2024-01-19 04:43:19,2,3,1,上了杨老师的自控和现控，老师真的讲的特别清楚，而且上课也很有激情，和同学也会有交流\n\n非常推荐！！\n\n但是杨老师班里的平时分不是作业交了就有的，所以作业要好好做（
13769,37,王慧,2015-12-30 18:32:29,16,23,7,老师人特别好！是控制学院的主任，非常和蔼负责，也是自控原理主编之一
24044,37,王慧,2016-04-26 06:03:01,-7,5,12,信号与系统基本是念PPT，教材也有很多印刷错误，什么都没学到
25118,37,王慧,2016-06-25 01:10:37,0,6,6,说没学到东西的，你是上课没好好听课吧
