评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
56,106,陈昆福,2018-08-26 06:11:02,295,345,50,给分坑得不行
475,106,陈昆福,2015-03-15 03:02:07,75,81,6,给分坑
508,106,陈昆福,2015-03-15 03:41:21,91,105,14,分坑 慎选
969,106,陈昆福,2015-03-19 16:24:54,67,72,5,给分坑
1453,106,陈昆福,2015-03-22 04:54:47,-136,26,162,满绩路过，难道我是那幸运的登分出错的1％？上课确实无聊，也不是很友善，给2分。
1798,106,陈昆福,2015-03-25 04:41:07,166,190,24,给分神坑，论文奇葩，孙杨的老师就是任性！\n\n
2372,106,陈昆福,2015-04-27 13:55:21,71,76,5,不负责任给分的老师
2946,106,陈昆福,2015-05-11 11:57:03,58,65,7,给分超级坑，上课也无聊
3863,106,陈昆福,2015-08-31 03:14:59,51,54,3,不负责任给分的老师，\n\n
4220,106,陈昆福,2015-06-18 06:50:07,32,37,5,坑
4424,106,陈昆福,2015-06-22 16:36:27,122,133,11,就知道吹吹牛，没什么干货，给分还低
4933,106,陈昆福,2015-07-01 07:13:31,-131,27,158,为什么大家都说坑呢？满绩飘过~
5073,106,陈昆福,2015-07-03 08:27:06,49,58,9,垃圾，装逼，给分坑
5669,106,陈昆福,2015-07-09 05:51:48,97,114,17,上课其实挺无聊的，莫名其妙一个人在那里慷慨激昂，给分再次刷新了我的课程最低分下限（不是平均）
5709,106,陈昆福,2015-07-09 07:45:18,28,33,5,从来不听
5714,106,陈昆福,2015-07-09 07:49:01,43,47,4,坑
5779,106,陈昆福,2015-07-09 10:25:26,39,44,5,大坑
6094,106,陈昆福,2015-07-11 00:43:15,29,31,2,这特么
6133,106,陈昆福,2015-07-11 05:52:21,40,47,7,不说了，不在乎绩点的可以上
6708,106,陈昆福,2015-07-19 09:02:15,34,38,4,傻逼老师
6873,106,陈昆福,2015-07-27 12:34:03,62,67,5,坑 绩杀 还登错分 给了我0分
6939,106,陈昆福,2015-08-21 16:59:18,76,85,9,怎么没有0分这个选项
7197,106,陈昆福,2015-09-10 10:24:54,52,62,10,傻逼老师 毁我青春
7236,106,陈昆福,2015-09-12 03:44:36,14,20,6,坑
7302,106,陈昆福,2015-09-13 09:06:02,230,252,22,不要相信绩杀改过自新的话
7341,106,陈昆福,2015-09-14 01:34:43,23,25,2,上不了3
7405,106,陈昆福,2015-09-14 08:18:12,-35,2,37,好
7415,106,陈昆福,2015-09-14 09:04:01,19,25,6,傻逼老师，自顾自讲话，自顾自傻笑
7439,106,陈昆福,2015-09-14 11:26:55,16,20,4,无聊！没听过！上课从来都是戴耳机写作业    耳机都挡不住他自嗨讲课的声音。。给分低
7451,106,陈昆福,2015-09-14 12:16:55,-35,5,40,很幽默，上课很有意思
7535,106,陈昆福,2015-09-15 02:47:50,12,28,16,听说姓陈的可以满绩
7595,106,陈昆福,2015-09-15 06:20:48,35,38,3,大学第一门通识，只想说SB老师
7644,106,陈昆福,2015-09-15 07:24:11,12,15,3,超坑的
7680,106,陈昆福,2015-09-15 08:35:59,22,25,3,巨坑 各种坑
7691,106,陈昆福,2015-09-15 09:13:22,-45,2,47,给力\n\n
8081,106,陈昆福,2015-09-17 02:30:45,6,11,5,就是一sb\n\n
8581,106,陈昆福,2015-09-22 17:16:09,-29,2,31,比较幽默。
8649,106,陈昆福,2015-09-23 13:33:12,15,18,3,不知道是他坑还是助教坑
8668,106,陈昆福,2015-09-24 01:10:40,39,44,5,看到这么多人骂我就果断决定退课了
9645,106,陈昆福,2015-11-03 15:46:14,11,17,6,就知道吹逼，写的书还要当作教材，没什么干货，上课时间最好还是拿来自习，但要小心突击的点名（例如国庆前最后一节课）
9672,106,陈昆福,2015-11-04 07:09:52,-37,2,39,老师讲课比较激动，虽然学生不跟他一起嗨⋯给分的话我还好吧，论文题目比较奇葩
9845,106,陈昆福,2015-11-11 03:25:20,4,10,6,绩杀啊……
10398,106,陈昆福,2015-11-18 11:51:40,15,18,3,呵呵呵
10411,106,陈昆福,2015-11-18 13:07:14,13,17,4,给分巨坑爹，sb老师
10413,106,陈昆福,2015-11-18 13:29:08,-24,4,28,老师很逗，讲的许多东西也特别有内涵。偶尔会听不清在说什么，重点是给我的分还不错
10421,106,陈昆福,2015-11-18 14:17:25,12,14,2,sbsb
10479,106,陈昆福,2015-11-19 04:47:15,13,16,3,……传说中的制作ppt的个人论文满分呢？我们几个制作ppt的人分数这么低……
10508,106,陈昆福,2015-11-19 10:07:54,-34,1,35,interesting
11030,106,陈昆福,2015-11-24 02:31:23,8,11,3,给分坑，绩杀
