评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
212367,9284,宋旭华,2025-01-14 02:17:59,1,1,0,已老实，求出分
214097,9284,宋旭华,2025-01-24 05:19:44,1,1,0,已出分，已老实
167642,9285,王挺斌,2023-01-18 03:22:24,13,17,4,首评，承自裘老一脉，古文字造诣自不必多说。平时说话喜欢打太极
167649,9285,王挺斌,2023-01-18 04:35:41,21,22,1,很帅很亲切捏！老师水平很高，好好听会有很多收获！古文字学冲冲～～
168906,9285,王挺斌,2023-02-23 10:25:47,20,20,0,学科能力毋庸置疑，教学态度也很认真，顺手还送了我几本书，对专业的认识相当深刻，是相当好的老师。
171077,9285,王挺斌,2023-03-15 13:15:11,10,11,1,给我的tbgg打call！
173253,9285,王挺斌,2023-05-17 04:34:55,-5,7,12,古文字当然重要。但讲古代汉语，对解释原文完全没帮助的地方也要花大篇幅讲古文字，就有专业病发作之嫌。
173644,9285,王挺斌,2023-05-31 03:34:43,-25,5,30,为什么没有0分
173681,9285,王挺斌,2023-06-01 06:41:29,8,10,2,斌哥早日做大做强！
184313,9285,王挺斌,2023-12-16 14:27:46,5,5,0,所以虽然还没出成绩，但是先来给淘宝老师打个高分
186882,9285,王挺斌,2024-01-13 11:00:48,5,6,1,老师居然也看death note！（夜神月推狂喜）\n\n上课很有意思！给分也不错嘻嘻（感谢）
189304,9285,王挺斌,2024-01-23 03:40:37,9,9,0,喜欢听淘宝哥课前唠嗑，像朋友一样聊几句。
190719,9285,王挺斌,2024-03-15 14:27:11,-10,3,13,耳朵有点太好使了，和同学坐教室最后一排小声讨论上课内容也能打断他的讲课思路耶～
190854,9285,王挺斌,2024-03-21 15:33:30,6,6,0,淘宝哥！满分！
191047,9285,王挺斌,2024-03-30 06:15:04,3,4,1,每周上淘宝哥的课是我最幸福的时候[疯狂哭泣]我爱文字学啊啊啊啊啊！！！很纯粹地对自己的专业抱有热情的老师，也很有趣很耐心解决同学的问题。水平太高了。
191908,9285,王挺斌,2024-05-04 14:17:33,4,4,0,爱淘宝哥！！！文字学从开始学到考完试都一整个忐忑因为真的很硬核……但是淘宝哥讲课真的是深入浅出，古汉基础没打好但也能听得很明白；出题也还比较友好，基本都是上课强调的重点。老师人也特别好，疯狂赞美！
191982,9285,王挺斌,2024-05-06 16:14:05,4,4,0,文字学 外专业最后拿了2.4（没挂我已经很感激了）\n\n真的很难，教务网上没有标预修要求，但老师在最后几次课才说没上过古汉语的别选这门课，这课还是短学期的弃修不了，最后硬着头皮考的闭卷考试。一个短学期根本没办法入门，而且外专业曾向老师发钉钉求助也没有得到回应。所以外专业的真的不建议选。\n\n老师上课不错，课堂氛围很好，知识也很渊博，个人素养很高，但这课没点基础真学不明白。
193165,9285,王挺斌,2024-06-04 06:17:56,1,1,0,真的赞，王老师很厉害，看得出治学的严谨态度和高超的文字学素养，不得不佩服
202752,9285,王挺斌,2024-11-14 07:04:31,1,1,0,文字学背的昏天地暗总算没挂。除了裘锡圭，感觉《章太炎说文解字授课笔记》也可以看看。
213888,9285,王挺斌,2025-01-21 04:25:30,1,1,0,上的是老师的古典文献学课，因为是给强基班开的所以集中学先秦部分的，老师的课程准备的很充分，也很博学，笨人收获很大，尽管感觉自己很菜。tb老师为了给我们减压把期末考也给取消了，只让我们写论文和做展示。爱他😭
217790,9285,王挺斌,2025-04-16 12:39:50,1,1,0,上的春学期古文字学研究，平时从来不点名，作业很轻松，期末考也不难（和98回忆卷相似度极高
218177,9285,王挺斌,2025-04-22 02:07:59,1,1,0,能学到很多东西\n\n最后考试很难，但是被捞了
218179,9285,王挺斌,2025-04-22 02:24:38,1,1,0,伟大无需多言。古文字你崛起吧！
218181,9285,王挺斌,2025-04-22 02:27:07,1,1,0,特别喜欢淘宝哥，上过三次淘宝哥的课，平时是很小透明不敢找老师说话的那种，，淘宝哥真的很努力的在记每一个人，很尊重每一个学生，应该是考试的时候交论文到讲台上那一下，淘宝哥竟然就记住我的名字了！！很受宠若惊\n\n很喜欢老师上课，文字学概要那本书真的很专业，但是在淘宝哥的帮助下学到了很多东西（其实考试完还会怀疑这一点，会思考是不是我学这门课程只是为了应付考试，，，）直到看到什么文献和字形，立马下意识去分析它的字形结构和本义，从而很好的成为了一个辅助工具，所以真的很感谢老师带来的很优质的课程。\n\n老师给分也不会为难人，综上所述，我不允许任何人忤逆淘宝哥，，，
218283,9285,王挺斌,2025-04-22 10:52:55,1,1,0,感谢tb老师放大一乱选课的小登一条生路，最后恶补一周，成效还不戳
190409,9286,余欣,2024-03-01 08:03:20,4,5,1,“中国古代博物学”课程让我对“博物学”产生了全新的认知——中国博物学不仅是一个知识体系，更是我们在人文语境下理解世界的方式。余老师的讲授与每一次课堂讨论都让人收获颇丰。出土文献、传世史志、域外典籍、考古文物的互证，启发着我们通过思索知识-信仰整体视角下器物的历史学意义，进一步理解“人与物”的关系。
190456,9286,余欣,2024-03-04 15:56:14,2,2,0,2023年2月的某一天，正在选课的我在选课界面的搜索引擎上输入“博物”二字，尝试找寻一门与我专业相关的课程。在选择当儿，我赫然看见余欣老师的“中国古代博物学”课程，便选择了这门课。幸运的是我成功选上，并在余老师的教导下开启我对中国古代博物学的认识。\n\n与西方以“自然”概念和科学观念所构建的“博物学”不同，中国古代博物学中的自然知识构架皆起源于先秦时期的方术，不只是关于自然中“（异）物”本身，还包括了天道人伦等不同的学说，乃至囊括了对于异域的想象和建构。在老师的带领下，我们也从古代中国博物学所塑造的知识，得以一窥当时对世界的想象。\n\n对我来说，这门课程启发了我从博物学的路径，让我认知了不同时代的知识、物质文明和时代精神的趋向，使我获益良多。我由衷地希望，在未来的学习和研究道路上，能结合和运用这堂课上所学习到的知识和研究方法，书写历史上的声音。
190733,9286,余欣,2024-03-16 12:34:44,5,6,1,先生之风，山高水长。另外：助教小姐姐呆呆的好可爱
195036,9286,余欣,2024-06-26 12:52:00,0,3,3,老师讲的不错，但给分在通识课里算低的了
205517,9286,余欣,2024-12-08 12:02:57,6,8,2,本来不是通核的，但也按照通核的形式来上（一节理论课一节讨论课）\n\n讨论课分六组，基本三周一次pre，期中期末另开\n\n主要看分到的小组怎么样，碰到摆的就会辛苦一些\n\n老师博闻多识，是从复旦挖过来的\n\n但是博物学内容比较艰深，需要一定的古代知识基础\n\n不过分组时会尽量保证每组有文史类的同学\n\n好像只有春夏学期会开，总体还是挺好的
169375,9287,张逸旻,2023-02-25 17:02:02,-12,24,36,老师美听课有收获助教善良，好好好好好
169864,9287,张逸旻,2023-05-10 02:50:46,8,32,24,事情真多 听了课之后发现上课不仅语速毫无起伏很无聊而且并没有什么知识性，可能也不是她的研究范围，所以讲的东西并不深入也没有很多价值。或许老师应该思考如何提升自己的课堂内容质量吸引同学听课而不是强制点名且不让用电子设备。
