评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
133975,8356,郏耀鹏,2021-03-11 05:15:24,4,15,11,老师风趣幽默，是中戏毕业的，世界剧作鉴赏课就是边讲解边带着你一起看剧，超级有趣～作业就是交赏析，如果忘记交作业老师也会给机会说课下发就好啦！就是一个性格很好，也很棒的老师，给分估计不低～整体感觉就是终于可以有人引导我看我有时候看不懂的剧还有人一起分享啦
134640,8356,郏耀鹏,2021-04-07 07:36:35,8,17,9,老师还行吧人蛮好的，如果头发多点可能课程体验会更好（kaiwanxiao）~
134641,8356,郏耀鹏,2021-04-07 07:39:16,23,32,9,啊啊啊啊啊郏老师啊啊啊啊啊啊喜欢死了呜呜呜能上这门课也太开心了吧！
136731,8356,郏耀鹏,2021-06-23 15:00:25,0,8,8,看得出来老师知识很渊博
140229,8356,郏耀鹏,2021-09-06 04:56:49,0,4,4,还不错
145980,8356,郏耀鹏,2022-01-05 01:22:07,5,12,7,老师目前只开研究生的课，本来在本科阶段就能上这门课该多好TT
150426,8356,郏耀鹏,2022-01-25 04:56:02,2,12,10,很好的老师，上课认真，上课就像一场show，可以看到不一样的文化和世界，期末作业是到现场看剧并写观后感，因为疫情选择在b站上看剧写观后感，就两次作业，能增加不少对戏剧的了解。
150795,8356,郏耀鹏,2022-02-18 15:43:53,4,13,9,老师真的超好 还给我们看他的猫猫（有两只是收养的 老师真的很善良），思想开放，鼓励不同见解，给分超高，一百个推荐~
160698,8356,郏耀鹏,2022-10-02 04:41:08,6,12,6,郏老师人超好的，但是上戏剧课需要很多课下时间希望大家谨慎选择（不得不说，快乐是真的快乐）
163403,8356,郏耀鹏,2022-12-14 08:26:12,6,12,6,既是博雅技艺也是美育课，老师第一次在本科生开课啦，选上的时候很激动。老师人很好，但事儿无敌多且花时间。期中改编小说成剧本并表演，期末表演经典剧本，本人已卒。。
163499,8356,郏耀鹏,2022-12-14 13:33:38,2,7,5,事是真的多，不觉得学到东西了。可能期望太高了，天天做小组作业，说实话真的挺累的。全凭兴趣支持吧
163610,8356,郏耀鹏,2022-12-15 15:25:46,1,7,6,老师人很幽默风趣，年轻帅气，很尊重人，可以跟他朋友一样相处，为他打call～但是戏剧课排练的耗时长，虽然这段回忆很美好，但是太靠自主发挥了，感觉学到的东西不多😂
165929,8356,郏耀鹏,2023-01-10 12:07:45,0,6,6,其实本身对戏剧是一般般感兴趣，但是非常幸运选上这门课。不要被学校官网的文青范照片骗了，郏老师本人非常阳光开朗，细腻温和有才（后来人需要注意老师姓郏jiá，哈哈哈哈老师自己强调过），在进教室的路上会主动跟我们打招呼，会给我们看他和夫人养的三只猫（阿橘妈妈爱你！）。给分比较模糊，我可能是小组比较给力，自己贡献度一般也有不错的成绩，心满意足了。课可以不听，感觉其实课上没学到什么，主要是和小组成员一起排戏，老师会给非常精妙的指导。可能事情略多，不过对戏剧感兴趣的同学报了不亏啊！
166266,8356,郏耀鹏,2023-01-11 15:03:50,0,3,3,通识课来的。感觉老师性格很好，上课很认真，猫咪很可爱，还有就是羊了之后还坚持给我们上课，让人挺感动的。成绩的话就是看出勤以及期中期末的两次表演，期中是把契诃夫的小说改编成剧本，期末是表演经典剧目，像雷雨、哈姆雷特。另外戏剧课不是戏曲课哦，不是咱古典的越剧京剧啥的。唯一不满的地方就是期中的改编剧本！！！我们组改了好几次，每次都大改，真的有时候挺绝望的。不过期末表演还挺有意思的。给分应该算不错？最后，感谢郏老师的教诲！（虽然学期过了一半的时候还是经常叫错您的名字，soryyyyy！
168730,8356,郏耀鹏,2023-02-21 13:04:44,0,2,2,事多，但老师有在摸索和改进，第一次给本科生上通识任务量略不合理也可以理解
174625,8356,郏耀鹏,2023-06-14 16:22:22,-1,2,3,老师是真的很温柔啊！不过戏剧这一门课事情较多吧，主要是在于剧本的改编和排练，会需要较多的课下时间，但是小组讨论排练的时候是真的很快乐啊！
178831,8356,郏耀鹏,2023-07-24 16:28:15,0,2,2,戏剧课。算是戏剧课开课的第二个学期。平时事情挺多的，如果对戏剧不是很热爱的话探索剧本会很痛苦。最后的表演还是能锻炼自己的。最后总评89，估计被正太辽。
179748,8356,郏耀鹏,2023-09-19 16:36:22,0,1,1,上课很认真
186503,8356,郏耀鹏,2024-01-11 11:15:32,0,2,2,老师真的太好了！支持郏老师！！作为戏剧门外汉排练戏剧的时候真的感觉到了其中艰辛与不易，而且老师真的好前卫哈哈哈会给出一些很新颖的观点，如果你加老师微信会发现跟老师交流毫无代沟！唯一的缺点就是事情有点多，虽然我并不觉得他是缺点。真的很喜欢每一次排练的时光，好怀念大家。
188592,8356,郏耀鹏,2024-01-19 10:25:33,-1,2,3,排练还是挺花时间的，但是确实是很好的回忆呀！这段经历比课堂讲授知识可能还要宝贵许多。
188716,8356,郏耀鹏,2024-01-19 16:32:54,3,6,3,如果单从课程本身评价，不考虑个人兴趣爱好的话，戏剧课比一般的通识课事情要多，会占用较多的课后时间。并且给分只能说中规中矩，也不太符合这课的工作量（感觉有点刷脸，老师对比较熟的分会高点，但有些工作量很高的同学反而分没那么高。）\n\n然后从个人主观层面讲，这门课让我这个e人也有点社恐...本身对戏剧兴趣也一般般，真觉得他它过于占用课后时间了，但认识了挺多朋友的也还算不错。\n\n然后从更主观层面上讲，感觉郏老师一直给我一种外热内冷的感觉，就怎么说呢，可能我比较理想吧，有些时候有些场合明明可以像朋友一样 但依然像是个老师。
199579,8356,郏耀鹏,2024-09-25 17:46:53,6,6,0,。。。
199765,8356,郏耀鹏,2024-09-29 07:37:57,10,14,4,程蝶衣他师父都没你这么土皇帝
207106,8356,郏耀鹏,2024-12-19 08:59:02,4,4,0,一拖答辩
212689,8356,郏耀鹏,2025-01-14 13:08:03,3,3,0,快跑。。
213613,8356,郏耀鹏,2025-01-18 14:35:35,1,2,1,戏剧这门课总体来说算是有收获，但是并没有预想的多。给分其实可以接受但是远比预期的要低，跟小组的贡献量是非常不符的。老师可能还是比较偏向于上课比较眼熟的同学而对小组中做出实质性贡献的程度把握不够。戏剧这门课事情非常多，而且几乎所有的成绩都跟小组挂钩，所以组员就非常重要了。
