评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
125499,5764,金芳芳,2020-09-10 13:15:53,20,24,4,“师者，传道授业解惑也。”人民教师是人类灵魂的工程师，因为怕摊上事儿错判学生，让自己的学生名誉荡然无存，师生情何在？请问金副部长师德何存？
125885,5764,金芳芳,2020-09-15 09:43:20,3,5,2,金芳芳老师和谭芸老师一起上的形策课，知道自己期末考的应该不好，老师给分应该挺求是的
125890,5764,金芳芳,2020-09-15 10:09:53,6,10,4,形策别选这个老师！！！\n\n给分尼玛跟开玩笑一样
125902,5764,金芳芳,2020-09-15 12:14:33,2,4,2,行策分好低啊啊啊啊啊啊啊啊啊啊啊
156496,5764,金芳芳,2022-06-20 04:21:31,3,4,1,感觉很好的老师，行策课不会很无聊，会讲一些事实和看法，还是很贴近生活的，发言还会给小奖品，平时也有一些小礼物什么的，真的很棒的老师，给分也超棒！
156669,5764,金芳芳,2022-06-20 14:33:29,1,6,5,给分忒好...金老师超棒！！！！！
156670,5764,金芳芳,2022-06-20 14:38:27,1,3,2,给分不错
156671,5764,金芳芳,2022-06-20 14:45:18,1,2,1,老师给分很好~
156699,5764,金芳芳,2022-06-20 16:11:45,1,2,1,给分很好，会准备很多诱人小礼物（很馋但是害怕发炎www），课也上的很好，不拖堂，放心冲好了。
176088,5764,金芳芳,2023-06-27 15:32:14,2,3,1,老师挺好的 给分也不错
176141,5764,金芳芳,2023-06-28 02:50:55,1,3,2,形策这玩意....选择大于努力，我只能说当时预置的没换老师有些后悔
176154,5764,金芳芳,2023-06-28 03:19:21,5,5,0,老师人超好，上课还有小零食吃
176176,5764,金芳芳,2023-06-28 03:49:55,2,2,0,形策课不会很无聊，老师也不会管做别的事。给分应该也不低。
180242,5764,金芳芳,2023-09-20 16:39:59,9,12,3,我以为只有我一个原来还有，考试非说我作弊，申诉信写了快十个，奈何官大一级压死人。谁形策作弊，这么课怎么作弊，期末考核作弊对我有什么意义？她不去看监控就断定人家作弊，还让前后左右同学签字，结果我问他们，他们只知道老师让签字，而且我考完收了试卷告诉我，有话和我讲……我不签字不让我走，我也不知道签什么字，签完结果发现是违纪作弊，什么也不懂以为就像她说的那样可以后续申诉查监控自证清白，结果就是笑话，没人理我，到现在都不知道我是怎么形策作弊的，我只收到一个通告，找学院，学院说我自己签的字承认，找金芳芳，说她不管这事，让我自己申诉，申诉信不停写不停送，没人理，结果不变，找监控室不给监控。谢谢你，金大部长，两袖清风，正直无私~
194834,5764,金芳芳,2024-06-25 15:04:15,1,1,0,特别好！！！！很好的老师！！！还会给小零食
194921,5764,金芳芳,2024-06-26 02:39:25,2,2,0,形策给分挺好的
194966,5764,金芳芳,2024-06-26 05:46:27,2,2,0,满绩打卡
213946,5764,金芳芳,2025-01-22 03:00:36,1,2,1,感觉蛮假惺惺的一个老师，表面功夫做得挺好的，总体一般般。
220167,5764,金芳芳,2025-06-16 02:58:04,0,0,0,形策讲得一般，纯念PPT，还卡绩，别选！！
220226,5764,金芳芳,2025-06-16 13:33:02,1,1,0,给分巨差
220553,5764,金芳芳,2025-06-18 12:38:43,0,0,0,给分还行吧，签到都是固定课前签，签完可以run的（bushi
198015,5800,姚立敏,2024-08-24 02:20:04,0,0,0,excellent
198382,5800,姚立敏,2024-09-08 10:54:31,0,0,0,很好很认真解答问题
123249,5849,郑尧丽,2020-05-26 05:04:00,7,13,6,有谁科普一下嘛。\n\n在上职规A，但是在冰果英语里也是可以选择的。莫非专业是英语？
123438,5849,郑尧丽,2020-06-09 02:22:45,-15,20,35,职业生涯规划A，每节课后都有一定的小作业完成，比如战略十问、彩虹图、十年计划、目标职业选择、成就故事，然后要课后刷就创业平台的视频。最后职规报告5000字，组内展示，小组内选出最优秀的一位，大班展示。\n\n郑老师人很温柔，上课听听蛮有趣的。\n\n因为频繁发言和展示刷脸的缘故，我猜，于是我满了。\n\n采访了我职规小组成员，都表示给分不错。（当然有可能是因为幸存者偏差）\n\n当然我们也需要辩证地看，给分好和事情少是不可能兼得的（对大多数情况下），所以我给老师主观评分9分，仅供参考。
123506,5849,郑尧丽,2020-06-09 08:05:42,16,28,12,郑尧丽老师真的是个良心好老师，非常神奇。布置作业从来不说清楚，而且我真的搞不懂一下课就下线，回答问题就像是你在求她她在施舍你。真的是个鬼人。蛇皮怪吧。
127546,5849,郑尧丽,2020-11-24 07:23:39,30,41,11,就1. 5学分的通识水课，还找不清自己的定位，事情超级多，鼓励放纵学生卷卷卷。\n\n上课喜欢秀英语，中英夹杂。
128009,5849,郑尧丽,2020-12-03 08:02:49,18,27,9,感觉靠不住
128010,5849,郑尧丽,2020-12-03 07:55:48,11,16,5,无语了
128011,5849,郑尧丽,2020-12-03 07:55:53,-18,12,30,非常好的老师，超nice
128012,5849,郑尧丽,2020-12-03 08:01:33,30,42,12,想学职业生涯规划知识的请不要来，想回味幼儿园教学的千万要来！这课上的内容感觉有点低智。课程出分极慢，助教已经很努力在旅游了。最后，这门课还很浪费时间，即使很认真的做也只能拿个3点多的绩点，感觉靠不住啊！
