评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
8780,24,何再兴,2015-09-26 13:49:02,45,61,16,迷之困倦。。。。。。。\n\n
9515,24,何再兴,2015-10-29 06:21:07,3,6,3,想睡觉
11773,24,何再兴,2015-12-15 04:12:09,26,32,6,人生导师
13433,24,何再兴,2015-12-28 03:47:24,14,17,3,绝对的人生导师！
14026,24,何再兴,2016-01-04 00:54:28,7,8,1,老师人很可爱，和数学系的王晓光老师有蜜汁CP感。。。讲课一般，水准够但也没什么特别的感觉O.O
15587,24,何再兴,2016-01-15 13:14:21,7,8,1,三观很正
17712,24,何再兴,2016-01-20 16:55:29,17,18,1,上课仔细，回答问题耐心，上课讲的考试考到一模一样的喽～很随和很负责的一个老师～
18914,24,何再兴,2016-01-22 18:48:36,10,12,2,还是蛮好的老师 就是可能我和工图八字不合（？）所以每次上课都困得要命… 期末老师给分很好 可以体会到老师是一个很好的人 偶尔会有非常逗比的一面
20861,24,何再兴,2016-02-02 14:20:33,1,2,1,z z z z
22249,24,何再兴,2016-03-03 05:59:48,4,6,2,又红又专
24202,24,何再兴,2016-04-28 08:13:01,3,3,0,interesting
31208,24,何再兴,2016-07-03 11:17:56,8,8,0,老师很幽默   给分也不错
31244,24,何再兴,2016-07-03 12:39:14,3,4,1,老师可好了！一定要选他啊！！！
31274,24,何再兴,2016-07-03 13:56:28,-9,9,18,绝对的男神！！上课超水，也不布置大作业，最后出分简直感动！！
31336,24,何再兴,2016-07-03 16:19:12,3,3,0,完美！
32078,24,何再兴,2016-07-05 14:31:35,2,2,0,上课超级棒，年轻要活力，关键给分好啊
34831,24,何再兴,2016-11-21 06:46:57,4,4,0,老师真是可爱hhh\n\n
35236,24,何再兴,2017-01-20 10:26:14,3,4,1,好评好评好评！好评返现！给分666！
38258,24,何再兴,2016-11-28 10:24:47,8,8,0,何老师的课讲得很好，知识面广，教的理论让人很好理解，教的方法很独到实用。
41077,24,何再兴,2017-01-09 06:10:27,2,3,1,好，很好
42444,24,何再兴,2017-01-14 08:33:31,3,3,0,好可爱的老师
45981,24,何再兴,2017-01-20 10:41:08,4,7,3,第一个满绩嘻嘻\n\n爱死老师了\n\n上课超级萌的\n\n考试如果考到了教的范围外的内容\n\n还会考场现场教学嘻嘻\n\n还可以偷偷的问他\n\n真的很好哦
46374,24,何再兴,2017-01-21 11:07:56,4,4,0,浓浓的师生情 给分特别好 好老师
52343,24,何再兴,2017-06-18 15:38:16,5,5,0,兴哥大好人！
52360,24,何再兴,2017-06-19 05:02:11,9,9,0,先把成绩给分什么的放到一边吧，老师可爱炸(๑•̀ω•́ )و✧
52371,24,何再兴,2017-06-19 07:32:47,6,6,0,超棒！老师太萌了!上课也很有趣，有自己的一套方法，重点是真的太萌了！！
53081,24,何再兴,2017-06-25 10:56:43,4,4,0,老师，我们不想重考啊……
57592,24,何再兴,2017-07-10 09:27:41,8,9,1,男神！能把工图讲的如此浅显易懂 真的非常棒 上课各种段子 最后期末下来问我是不是没好好复习 考的不是很好 感觉有些对不起老师 关心学生 真正的人生导师
63602,24,何再兴,2017-12-08 13:14:18,-19,3,22,从不点名，也从不管学生掌握情况
73724,24,何再兴,2018-02-03 04:21:35,7,8,1,老师超可爱的莫 虽然考试结束后那个qq群里翻脸不认人比较恐怖 副教授小姐姐超漂亮的 助教小哥哥也超可爱的 耶 总之老师还是很有意思的啦
73734,24,何再兴,2018-02-03 04:52:47,3,3,0,感谢老师不挂之恩，老师最帅！
73736,24,何再兴,2018-02-03 04:54:31,4,4,0,老师给分好，谢谢老师不挂之恩！讲课有趣
73914,24,何再兴,2018-02-03 14:08:14,2,3,1,很喜欢何老师！
82963,24,何再兴,2018-07-09 11:27:36,1,2,1,可爱的老师，讲课浅显易懂!给分也很不错!
