评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
2293,35,郭兴忠,2015-04-16 12:24:18,1,1,0,无聊，，
12686,35,郭兴忠,2015-12-24 01:52:08,3,7,4,很有亲和力
31645,35,郭兴忠,2016-07-04 10:37:31,0,1,1,很和蔼的一个老师
61433,35,郭兴忠,2017-11-17 07:34:54,0,1,1,讲课有内容，有认真准备，就是ppt给的不及时
78019,35,郭兴忠,2018-05-09 05:04:27,0,1,1,老师人很好，也不卡绩点
85029,35,郭兴忠,2018-07-15 04:47:23,0,0,0,讲的很清楚
106650,35,郭兴忠,2019-04-28 15:58:01,0,2,2,老师人很好，就是上课内容平淡了一点，课堂展示学到了很多，期末考打印ppt心疼money
135248,35,郭兴忠,2021-05-06 18:03:23,7,8,1,上课必点名（签到） 感觉付出与回报根本不成正比 而且查老师上均绩虚高
135290,35,郭兴忠,2021-05-07 15:46:55,3,3,0,感觉老师非常古板 不想吸收学生的有益建议……
153339,35,郭兴忠,2022-04-28 08:32:23,-1,1,2,坐标2022年春学期，上课基本上都点名，有点无聊，但是老师人还算和蔼可亲，展示+课程论文，我承认自己是大意了写的有点跑题废话比较多，最后4.2，也还好吧
185841,35,郭兴忠,2024-01-05 00:46:30,0,0,0,🐶🐱🐭
1398,174,吴进明,2015-03-22 01:43:12,2,11,9,刚好我上了工程材料和材料科学与人类文明。建议大家不要选，看上面的平均绩点就知道了
2628,174,吴进明,2015-05-05 01:21:20,4,11,7,老师人很好，但建议社科类同学不要选这门课\n\n
3219,174,吴进明,2015-05-21 08:57:16,2,7,5,社科的满了。老师讲得不错，关键是要自己认真不要归结于老师，毕竟只是通识
4438,174,吴进明,2015-06-23 05:42:45,6,13,7,讲得可以，理工科表示压力不大，但文科估计觉得挺难的。
5310,174,吴进明,2018-06-19 03:55:00,-17,18,35,傻逼一样老师，这个老师过于死板，瞎鸡巴搞
6572,174,吴进明,2015-07-15 13:55:24,2,9,7,材料力学上老师讲的内容很丰富，很充实。。不过零基础的同学就悲剧了\n\n
6722,174,吴进明,2015-07-20 03:36:08,1,6,5,不错
17779,174,吴进明,2016-01-21 01:17:14,2,6,4,老师上课很有趣  知识点讲的浅显易懂
20952,174,吴进明,2018-06-19 03:54:46,-14,15,29,简直一个鸡巴老师，不说了，给分超坑
24085,174,吴进明,2016-04-26 16:02:19,2,5,3,明天考试希望考好的。233 老师手下留情
24907,174,吴进明,2016-05-04 09:35:54,1,9,8,垃圾老师！
24942,174,吴进明,2016-05-04 11:24:50,1,5,4,老师很好，社科的。。工程材料和材料科学与人类文明都给分不错
27682,174,吴进明,2016-06-27 08:11:18,1,2,1,挺好的，很有意思的课
47018,174,吴进明,2017-01-23 09:46:05,4,5,1,上得还算ok吧，相对于其他水课，材基章节的课时分配不合理
49563,174,吴进明,2017-04-18 13:39:05,5,13,8,一匿名我浙的有些学生和低素质的人就雌雄难辨了
