评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
10811,1378,李英奇,2015-11-23 05:56:13,3,6,3,讲课挺有意思的，给分也不错
11028,1378,李英奇,2015-11-24 02:24:25,13,18,5,给的绩点很低，根本不知道为什么
11050,1378,李英奇,2015-11-24 04:04:51,-7,10,17,给分还可以吧，4.4，平时也挺水的，不过开卷考的话我以为翻书会很快，但挺多没找到
11354,1378,李英奇,2015-11-28 12:07:00,14,20,6,平时分全满了，开卷考试自信地提前15分钟交卷，本以为能上个4，最后莫名其妙3.4了。哈哈哈
12553,1378,李英奇,2015-12-23 12:58:45,19,31,12,巨坑…点名几乎没用…最后还是看考试成绩。考的有很多既不是书上的也不是PPT上的…想考好平时还是多关注医疗方面的事吧。考前在书上抄下各种世界卫生日什么的日期。
18153,1378,李英奇,2016-01-21 08:26:01,13,15,2,李英奇是退休的前校医院院长，这课只是挂了其名字，实际上是由校医院不同科系的医师来上课，找不往年的卷子。
19872,1378,李英奇,2016-01-25 12:40:02,-3,0,3,还不错，考试大部分都能翻到，就是几个纪念日不了解
20525,1378,李英奇,2016-01-28 05:53:23,0,3,3,关注一下最近的节日，他们的日期，口号，组织宗旨，颁布的条例等等即可。其他书上都有，考试时间充足
21262,1378,李英奇,2016-02-27 15:18:10,1,3,2,一点都不水  考试内容很多超出书本  基本每次都考勤  给分也不好
21824,1378,李英奇,2016-03-01 07:26:22,2,3,1,考试一定要认真复习！考试考得好分数就高～老师人很好，每节课点名，人到了就行
25050,1378,李英奇,2016-05-05 04:07:19,8,8,0,给分没有传说的那么好
25239,1378,李英奇,2016-05-09 00:09:22,-7,1,8,这么好的老师  给分这么好！你们还说他  自己考试不好好复习的缘故
27485,1378,李英奇,2016-06-26 13:01:11,2,2,0,还行吧，考试挺难的
43820,1378,李英奇,2017-01-17 04:14:02,6,6,0,基本每节课都点名。考试看了书一点都没什么优势，考书上的都很简单，一翻就找到，根本没必要看书；然而，大部分在考艾滋病、啥啥病节日是哪天，主题是什么，红十字精神是什么，都是找不到的东西。
45415,1378,李英奇,2017-01-19 13:56:31,7,7,0,超棒的课啊！认真上绝对能学到很多！期末开卷，但很多找不到，看平时积累了。每节课都点名。给绩点真的超好！
45429,1378,李英奇,2017-01-19 14:09:29,-1,1,2,大水课！课刷分必备！！！平时只有点名。\n\n给分不错的，考试略坑，书上并不一定全找得到，要自己打印关于医疗卫生方面的节日以及近年来的产物，关注有关时事！
