评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
3409,3070,罗卫东,2015-06-10 05:57:49,5,9,4,没听过\n\n
4988,3070,罗卫东,2015-07-02 02:28:11,55,61,6,很好的老师，个人很儒雅，讲课很有趣，特别喜欢他。
7194,3070,罗卫东,2015-09-10 09:25:17,19,22,3,我在学校听过最好的演讲就是他的了。
7706,3070,罗卫东,2015-09-15 10:21:44,13,13,0,内涵丰富，善于演讲！
7747,3070,罗卫东,2015-09-15 11:34:43,24,27,3,现实中的白子画！嗯！人帅有内涵，男神！
7845,3070,罗卫东,2015-09-15 15:05:24,2,6,4,虽然有点扯，但确实有学识，对学生的帮助很大。
8203,3070,罗卫东,2015-09-17 12:16:09,4,6,2,好老师好校长
9663,3070,罗卫东,2015-11-04 02:49:35,6,8,2,帅气的男神，儒雅儒雅儒雅！就是有点拖课
23445,3070,罗卫东,2016-03-30 04:13:18,3,3,0,很有趣
48787,3070,罗卫东,2017-03-13 03:50:00,9,9,0,博学多识，很有自己的见解和看法?期末考试大家投票，最后一篇论文
50865,3070,罗卫东,2017-05-07 13:16:24,5,5,0,很幽默很有才，读书时唯一可以让我不请假不迟到的课
52562,3070,罗卫东,2017-06-21 06:14:54,11,12,1,每次听罗老师的课都觉得心灵被洗涤了...
77929,3070,罗卫东,2018-05-08 15:32:34,12,12,0,罗校是我心目中男神和智者形象本人了！
80495,3070,罗卫东,2018-06-27 06:52:20,17,17,0,很有文人风骨的老师，经济思想史真的上的超好。这学期听得最认真的一节课。
80718,3070,罗卫东,2018-06-29 16:13:25,20,20,0,讲课很棒，有自己的想法与见解
82266,3070,罗卫东,2019-05-31 03:15:41,-56,10,66,文科烂成这个样子，虽然不能完全怪他，但多多少少是有责任的
109845,3070,罗卫东,2019-06-19 16:15:55,-19,3,22,期末作业乱搞一通，差评！
116706,3070,罗卫东,2019-09-13 17:10:06,3,4,1,说实话，我真的不太喜欢经济思想史这门课，也不喜欢罗老师的讲法，但是给分真香……
116711,3070,罗卫东,2019-09-14 01:01:01,5,5,0,讲的好，事情少，给分好。这样老师谁不爱呢
116738,3070,罗卫东,2019-09-14 10:55:28,-28,5,33,或许是期望太高了吧，没觉得给分好，认认真真写，4.2，是我不会恶竞吗？
116739,3070,罗卫东,2019-09-14 11:24:14,6,6,0,是我论文写的字数太少吗，只有3.9，不过老师讲的还是很好的，当个性来修的
123085,3070,罗卫东,2020-05-09 02:02:01,5,5,0,有思想有深度
123463,3070,罗卫东,2020-06-09 05:04:19,7,8,1,听经济思想史真的是享受！
123812,3070,罗卫东,2020-06-14 12:41:34,3,3,0,好好好
124927,3070,罗卫东,2020-07-21 03:29:49,7,7,0,很有思想性
126197,3070,罗卫东,2020-09-19 05:25:00,-13,3,16,努力写了论文，很晚出分不说，给分标准也不明
133590,3070,罗卫东,2021-03-02 11:49:23,35,38,3,老师现在担任浙江大学城市学院的校长，还跑到紫金港上课，希望完成教学四十年到夙愿，这份态度就很值得尊敬。当然，也很忙，所以会有几次缺课。\n\n上课是很有趣也比较有收获，不只是经济学，会有许多其他社会科学的知识，也有很多有意思的故事，值得一听。\n\n期末是论文，emm只能说好好写吧，分数一般不会低，但个人感觉也不算特别好，当然每个人标准也不同。出分倒是真的晚。。。一般要开学以后。。。\n\n此外，可以多找老师提问交流，有针对性可能更有收获，个人论文选题之后一直毫无头绪，和老师交流之后豁然开朗。
141062,3070,罗卫东,2021-09-22 11:57:31,11,11,0,老师真的太好了
150774,3070,罗卫东,2022-02-18 06:09:54,2,8,6,老师再为浙大文科引进一些人才吧！第二轮双一流浙大人文社科好惨！
158453,3070,罗卫东,2022-06-29 10:57:13,-31,3,34,臭名昭著的天则研究所成员
158755,3070,罗卫东,2022-07-02 01:52:15,9,13,4,那个说天则研究所的您是有大病吧，红小兵。天则研究所的特约研究员多的去了，一堆著名经济学家都是。这个智库被封杀本来在民间就很有争议，上来就扣帽子搞文革2.0啊
158960,3070,罗卫东,2022-07-04 03:46:54,10,10,0,非常敬业
158988,3070,罗卫东,2022-07-04 08:36:32,-13,5,18,天则研究所的成员说过什么做过什么有目共睹，是要让三座大山继续欺压国家和人民。罗卫东当年做过什么，后来又在纪念什么，你也可以去查。下面那个，你人身攻击的样子，实在有失体统。
171783,3070,罗卫东,2023-04-25 16:16:33,8,8,0,校长真不愧是校长
179989,3070,罗卫东,2023-09-20 06:14:05,-9,0,9,呵呵呵
190998,3070,罗卫东,2024-03-28 00:47:25,8,8,0,亚当斯密附体，真正的经济学和哲学大师
204519,3070,罗卫东,2024-11-26 11:37:17,1,1,0,很好的老师
208715,3070,罗卫东,2024-12-31 09:38:40,5,5,0,想念罗校长，他和朝晖在的时候浙大文科大牛云集，气象万千
216167,3070,罗卫东,2025-03-11 11:48:07,2,2,0,经济思想史 老师上课讲得很精彩 听得作业都写不下去了，写着写着就忍不住听课了🥹🥹☺
218862,3070,罗卫东,2025-05-09 09:48:14,1,1,0,罗老师是为数不多还有人文精神与理想的学者了
1918,3416,吴朝晖,2015-03-26 08:03:23,17,34,17,新校长！！
1919,3416,吴朝晖,2015-03-26 08:09:32,14,18,4,没听过，有课吗
1930,3416,吴朝晖,2015-03-26 10:26:42,18,33,15,校长大大，火钳刘明
2646,3416,吴朝晖,2015-05-05 03:05:52,-27,10,37,萌萌哒。
3249,3416,吴朝晖,2019-05-21 10:31:47,2719,2863,144,希望取消正态分布
3818,3416,吴朝晖,2015-06-17 05:11:58,-7,4,11,前排
4464,3416,吴朝晖,2015-06-23 09:25:12,-28,4,32,名师
4671,3416,吴朝晖,2015-06-26 03:19:17,-5,5,10,哦
4912,3416,吴朝晖,2015-06-30 11:24:47,3,10,7,然并卵
5045,3416,吴朝晖,2017-08-30 10:44:17,-28,7,35,何厚铧
5538,3416,吴朝晖,2015-07-08 05:50:38,3,6,3,校长
6137,3416,吴朝晖,2015-07-11 06:58:03,0,3,3,没上过
6525,3416,吴朝晖,2015-07-14 18:36:36,-107,17,124,校长男神爱死了！
6526,3416,吴朝晖,2015-07-14 18:40:04,-48,3,51,棒棒嗒！
7015,3416,吴朝晖,2015-08-28 11:02:13,11,14,3,话经常连续说两遍…
7825,3416,吴朝晖,2015-09-15 14:11:01,45,52,7,校长讲话不咋滴
7895,3416,吴朝晖,2017-08-30 15:55:07,1260,1454,194,恳切希望校长不要再对外省招生缩招了
8254,3416,吴朝晖,2015-09-18 01:02:58,378,402,24,不要正太！
9405,3416,吴朝晖,2019-08-20 09:19:51,2018,2167,149,快点取消正态分布，不然要你这个校长何用
10485,3416,吴朝晖,2015-11-19 05:35:35,1470,1543,73,正态分布太过僵化，适得其反，应当在执行上给予更多弹性
10921,3416,吴朝晖,2015-11-23 09:58:44,-5,3,8,。。。
12082,3416,吴朝晖,2018-07-01 06:28:21,307,328,21,有些渣制度该改改了
13166,3416,吴朝晖,2015-12-25 04:07:12,-3,5,8,身高 不多说了
13239,3416,吴朝晖,2015-12-25 11:24:47,-2,2,4,哈哈哈
13440,3416,吴朝晖,2019-08-19 07:22:57,940,1072,132,快取消体育运动刷卡制度！这只是形式！
14160,3416,吴朝晖,2019-09-08 00:29:03,1033,1115,82,正态分布太坑爹了。。。。。。。。认真上课写论文，通识课都能挂
14603,3416,吴朝晖,2016-01-08 02:34:45,603,633,30,希望老师取消正太分布，大家都很认真，这不公平
17143,3416,吴朝晖,2016-01-19 16:33:42,-6,26,32,你就是傻X
17446,3416,吴朝晖,2019-02-01 16:17:12,273,302,29,没事弄什么三分一等啊，差评差评，均绩生生就被拉下来了，坑死了坑死了
17458,3416,吴朝晖,2016-01-20 08:47:20,227,245,18,绩点3分一级不合理
18394,3416,吴朝晖,2019-09-20 07:01:11,1442,1595,153,你到底是叫吴zhao辉还是吴chao辉？？
18452,3416,吴朝晖,2017-08-30 11:34:39,521,572,51,望取缔水课乃是我浙成一流之本！
18673,3416,吴朝晖,2016-01-22 09:13:03,33,43,10,说真的。。。正态分布的比例设置弹性应该大一点......说3分一档的，只要大家都公平其实也没什么，该说有利有弊吧。。。
19621,3416,吴朝晖,2016-01-25 03:15:47,151,161,10,自从新校长来了，教学抓的更紧了，正态分布更严了！
21963,3416,吴朝晖,2016-03-02 02:44:45,13,14,1,智谋不足
22755,3416,吴朝晖,2016-03-10 15:43:00,57,62,5,正态什么的都去死吧
22792,3416,吴朝晖,2016-03-11 09:42:16,-1,1,2,唉呵呵
25049,3416,吴朝晖,2019-01-23 18:56:11,675,708,33,正态没取消，还对15级开始启用三分一档…昏招不迭
25458,3416,吴朝晖,2019-05-20 07:38:21,5693,6297,604,我对学院有些事情有意见\n\n写了校长信箱，留了电话\n\n第二天班主任就在班群里问xxx是谁的电话号码\n\n\n\n拜托我浙学子顶我上前排
26172,3416,吴朝晖,2016-06-16 07:06:06,18,20,2,取消正态！
26540,3416,吴朝晖,2016-06-20 04:38:51,94,118,24,你们在这里说有个卵用\n\n
26797,3416,吴朝晖,2016-06-21 06:32:30,44,48,4,取消正态分布！！！
26849,3416,吴朝晖,2016-06-21 09:58:23,-1,1,2,哈哈哈
30501,3416,吴朝晖,2016-07-01 18:51:11,302,323,21,通核课为什么要分级给分还正态（心好痛）……马原毛概为什么要闭卷（so sad）……
30671,3416,吴朝晖,2016-07-02 07:34:48,916,964,48,一个学期有7门课被卡在三分一档的线上是什么感觉。最垃圾的政策不是正态分布，绝对是15级开始的三分一档。凭什么86和88一样的绩点，89和91一样的绩点。感情88与89， 91与92都成天壤之别了。原来86和91差5分也只是88与89一分的差别啊
33128,3416,吴朝晖,2017-01-12 10:47:28,1,4,3,呵呵呵
33135,3416,吴朝晖,2016-09-13 11:39:22,3,4,1,新校长
33144,3416,吴朝晖,2016-09-14 03:36:23,1,3,2,话太多
33148,3416,吴朝晖,2016-09-14 06:26:06,-19,4,23,非常好
33194,3416,吴朝晖,2016-09-15 12:28:45,41,43,2,校长回答学生问题答非所问啊。空
33641,3416,吴朝晖,2016-09-20 14:41:36,-24,1,25,好好好
33912,3416,吴朝晖,2016-09-22 14:05:14,-36,6,42,好校长
34301,3416,吴朝晖,2017-08-30 11:18:55,-66,11,77,好校长
34474,3416,吴朝晖,2016-10-11 11:20:14,0,2,2,不知道
34997,3416,吴朝晖,2016-10-28 13:46:08,78,86,8,我心目中，身陷囹圄中的CJ前校长更担得起这个职位。
35433,3416,吴朝晖,2016-11-10 07:16:07,355,381,26,取消正态之日 我浙一流之时
35720,3416,吴朝晖,2017-03-30 08:59:57,3,7,4,。。。
35965,3416,吴朝晖,2017-02-14 08:39:56,-21,21,42,学术能力强，国际化视野开阔，比北大某校长高到不知道哪里去了
36497,3416,吴朝晖,2016-11-14 09:37:17,5,6,1,正态分布害了多少学生。。。
36827,3416,吴朝晖,2016-11-16 07:01:35,-5,1,6,没有感觉
37180,3416,吴朝晖,2016-11-18 00:06:03,49,54,5,学术官僚
37421,3416,吴朝晖,2016-11-18 16:45:30,10,11,1,垃圾正态
39190,3416,吴朝晖,2016-12-21 13:56:18,0,2,2,呵呵呵
39667,3416,吴朝晖,2016-12-27 02:22:40,0,2,2,正态蓝瘦香菇
39741,3416,吴朝晖,2016-12-27 08:26:20,7,9,2,真不知道浙大想培养什么样的学生。还是说能培养什么样的学生
39879,3416,吴朝晖,2017-01-18 04:58:28,3,5,2,不要正太就好了
40017,3416,吴朝晖,2016-12-28 17:46:40,-4,0,4,。。。
40192,3416,吴朝晖,2016-12-30 01:37:51,-5,1,6,哈哈哈
40325,3416,吴朝晖,2017-01-02 21:22:57,6,10,4,歌唱的不错hhh
40455,3416,吴朝晖,2017-01-03 12:19:01,6,11,5,唱歌还行
40517,3416,吴朝晖,2017-01-04 02:52:49,8,8,0,取消正态
40666,3416,吴朝晖,2017-01-05 01:35:50,382,399,17,既然学校都不承认我们优秀，那又怎么和清北比呢?
40792,3416,吴朝晖,2017-01-05 13:59:06,0,3,3,垃圾正太\n\n
40813,3416,吴朝晖,2017-01-05 15:26:09,-19,1,20,很好\n\n
41157,3416,吴朝晖,2017-01-09 14:20:54,-5,0,5,
41463,3416,吴朝晖,2017-04-15 03:05:04,-6,9,15,垃圾！
41722,3416,吴朝晖,2017-01-12 12:09:08,23,23,0,取消正太之时。我浙一流之日！
42033,3416,吴朝晖,2017-01-13 12:44:50,-4,8,12,唱歌把后面的老师逗笑了，笑死老子了，哈哈哈
42172,3416,吴朝晖,2017-01-13 23:54:54,14,21,7,日你哥的绩点计算方法，85分3.9，86分4.2，去你妈的吧，辣鸡，搞得这一分差别这么大，什么狗屁3分一级，呵呵了
42272,3416,吴朝晖,2017-01-14 03:20:05,276,291,15,三分一档真的很恶心 85就3.9 86就4.2 也许就是一分的差距硬生生绩点掉了0.3 这本身就不公平 正态分布也非常恶心 只认为学生成绩跟态度有关 考试论文展示等都能体现态度 没必要硬生生分出三六九等吧？ 这样的制度难道不应该反思吗
42562,3416,吴朝晖,2017-01-14 13:01:32,30,31,1,三分一档能不能去掉。正态能不能去掉。
42767,3416,吴朝晖,2017-01-18 04:58:22,4,5,1,希望取消正太分布\n\n
42768,3416,吴朝晖,2017-01-15 05:06:38,60,68,8,不要正态分布了，通识课认认真真，5000字论文写下来就一个3.3，正个鬼啊！
43398,3416,吴朝晖,2017-01-16 08:12:51,17,19,2,正态真的太挫伤学习积极性了
46980,3416,吴朝晖,2017-01-24 11:28:50,-32,4,36,好校长
47331,3416,吴朝晖,2017-01-25 09:56:55,-12,7,19,校长挺帅的，嘿嘿
48287,3416,吴朝晖,2017-03-02 02:25:47,7,7,0,取消正态
48635,3416,吴朝晖,2017-03-09 00:18:18,8,10,2,一分不解释
