评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
5697,1237,吴为进,2015-07-09 07:25:32,48,69,21,超级无聊 真心听不下去 就是想给学生洗脑 给分低到一个境界了
7800,1237,吴为进,2015-09-15 13:32:11,28,33,5,垃圾
7802,1237,吴为进,2015-09-15 13:32:46,8,9,1,口口相传
7832,1237,吴为进,2015-09-15 14:24:09,22,27,5,自以为是的垃圾
9377,1237,吴为进,2015-10-25 12:20:18,-10,3,13,还可以听听
12348,1237,吴为进,2015-12-23 04:39:23,45,48,3,所有班里最晚放。两节课拖得比三节课还久。前半节课闲扯。等人家班放了开始着急，连ppt都读不完了
12522,1237,吴为进,2015-12-23 12:01:23,5,10,5,声音尖锐，没有美感，可惜没有零分选项。大一听了半学期他的课，吓得我赶紧退了\n\n
12920,1237,吴为进,2015-12-24 10:20:50,10,13,3,能零分吗
12961,1237,吴为进,2015-12-24 11:47:17,24,27,3,人家八点半放学他可以九点十五再放，每节课课堂有作业检查，期末要写读书报告，别的老师并没有这么多事
13228,1237,吴为进,2015-12-25 09:28:42,10,13,3,写你妹的读书报告，喝喝
14738,1237,吴为进,2016-01-08 14:50:13,1,3,2,事情多
15228,1237,吴为进,2016-01-13 01:50:44,15,17,2,事情多，无聊至极，还乱吹牛
15765,1237,吴为进,2016-01-16 08:43:11,-14,1,15,真好！
17163,1237,吴为进,2016-01-19 21:39:56,7,9,2,辣鸡一只 满口军事常识性错误
20911,1237,吴为进,2016-02-03 15:35:35,4,5,1,一直在写作业呗
20938,1237,吴为进,2016-02-04 14:04:50,6,8,2,辣鸡中的战斗机
21571,1237,吴为进,2016-02-29 08:22:08,32,35,3,一分我都嫌多，有零分早打了(๑• . •๑)
22455,1237,吴为进,2016-03-06 10:32:29,13,20,7,为什么没有零分选项，为什么这种垃圾还能进浙大，还有没有天理了？校领导也不看看学习帝里对老师的评价，麻烦快点炒了他好吗
22457,1237,吴为进,2016-03-06 10:40:22,2,2,0,哦？？？
22837,1237,吴为进,2016-03-13 10:06:02,4,5,1,真辣鸡
24635,1237,吴为进,2016-05-02 12:44:56,4,5,1,呵呵\n\n
25469,1237,吴为进,2016-05-21 08:58:31,4,5,1,应该是智障吧
25488,1237,吴为进,2016-06-29 03:53:34,4,5,1,没什么意思\n\n
25619,1237,吴为进,2016-05-29 12:41:00,6,11,5,没有点过名 请放心逃课 这智障天天拖堂到九点 不退亏一年啊
26410,1237,吴为进,2016-06-18 05:25:13,14,16,2,真心没法听，考前全靠自己看书复习，讲道理这门课没啥有用的知识，还必修，学校这是一门课开了四十年还沾沾自喜自以为有文化传统？
28707,1237,吴为进,2016-06-28 12:42:00,2,2,0,。一样式
28865,1237,吴为进,2016-06-29 01:06:59,6,7,1,差差差
28896,1237,吴为进,2016-06-29 03:00:06,6,8,2,拖堂，两节课的时间楞生生拖过三节课，还有奇怪的读书报告，是补作业的好去处
28919,1237,吴为进,2016-06-29 03:27:48,4,5,1,给分烂
28920,1237,吴为进,2016-06-29 03:32:11,5,5,0,给分好低
28921,1237,吴为进,2016-06-29 03:32:50,7,9,2,不给1分的都托
28925,1237,吴为进,2016-06-29 03:39:46,4,5,1,傻逼中的大傻逼
28927,1237,吴为进,2016-06-29 03:40:45,-4,3,7,还行，一般不听课
28933,1237,吴为进,2016-06-29 03:48:57,3,3,0,垃圾怎么没有负分，击杀，去屎吧
28940,1237,吴为进,2016-06-29 03:59:16,9,10,1,垃圾得要死，也佩服他能瞎逼逼三节课。
28944,1237,吴为进,2016-06-29 15:55:27,18,23,5,这老师绝逼有毒 劝大家选上的赶紧退 认真的说我们班作业比其他多事儿多下课晚 每次上课我都来作业都暗示交考试都写出了不给高分给个评论分总可以吧特么的这给的这么点分什么玩意儿
28979,1237,吴为进,2016-06-29 05:03:05,-16,4,20,虽然上课挺无聊的 但感觉给分还可以吧，上4⃣️了，不过哪门课的给分都是看人的啦，再说行测就一学分，不要太在意
28986,1237,吴为进,2016-06-29 05:14:16,4,4,0,真不知道这样的课单独开一门有什么意义
28987,1237,吴为进,2016-06-29 05:14:39,19,21,2,建议学习帝完善查老师功能：评分添加0分选项。
29081,1237,吴为进,2016-06-29 08:14:47,5,5,0,就他妈一分，讲课无聊事也多就算了，给的什么分
29139,1237,吴为进,2016-06-29 09:37:07,7,8,1,建议学习帝完善功能，增加零分选项。
29183,1237,吴为进,2016-06-29 10:48:09,4,5,1,坑比 事情多 给分又差
29223,1237,吴为进,2016-06-29 12:40:37,7,9,2,我从未遇到事情这么多给分还这么低的老师。全年级唯一要写读书报告就算了，看到分数的一瞬间boom，学弟学妹不要方退了找别的老师签条子吧 为了你们的绩点和平时时间考虑
29231,1237,吴为进,2016-06-29 12:56:32,-5,0,5,没感觉
29287,1237,吴为进,2016-06-29 14:21:03,5,5,0,事情超多……而且拖堂能拖很久。不知道他在讲些什么，给分也超低。
29478,1237,吴为进,2016-06-30 00:50:11,8,9,1,只能说，一个学期没有翘过课，突击点名也在，写了读书报告，认真答卷，结果给分，呵呵。。。真爱生命远离绩杀
29659,1237,吴为进,2016-06-30 06:49:59,0,2,2,恶心！\n\n
29700,1237,吴为进,2016-06-30 08:08:15,4,4,0,巨大的坑
29711,1237,吴为进,2016-06-30 08:16:01,3,4,1,真的有零分我绝逼给零分∠(ᐛ」∠)＿
29750,1237,吴为进,2019-09-20 06:58:02,2,7,5,考得差不要怨老师给分低，自己卷面什么情况自己又不是不知道
30001,1237,吴为进,2016-09-17 14:26:00,4,5,1,上课没营养也就算了，给分及其没道理。被预置到他的能换赶紧换吧～
30340,1237,吴为进,2016-07-01 10:21:11,-3,1,4,还好
30395,1237,吴为进,2016-07-01 13:09:18,4,5,1,真的特别恶心的一个老师 只会瞎bb给分坑还直男癌倾向严重 憋选 简直是老年大学调过来的水平
