评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
16362,3548,史龙鳞,2016-01-30 12:27:14,3,11,8,吔
16364,3548,史龙鳞,2016-01-18 03:53:10,10,24,14,吔屎吧
17318,3548,史龙鳞,2016-01-20 04:27:57,6,14,8,呵呵屎哥哥
21671,3548,史龙鳞,2016-02-29 14:00:52,21,42,21,不能打零分么？
22313,3548,史龙鳞,2016-03-03 12:26:04,-14,7,21,史哥哥逼事儿特别少，呵呵
22324,3548,史龙鳞,2016-03-03 15:08:58,7,13,6,不能理解，b事多
25576,3548,史龙鳞,2016-05-26 09:08:34,0,2,2,………………
26486,3548,史龙鳞,2016-06-19 03:18:17,2,4,2,哎，哎，哎，哎，哎，哎
26572,3548,史龙鳞,2016-06-20 07:01:13,-1,4,5,我也是呵呵 一拳
27117,3548,史龙鳞,2016-06-23 04:52:34,1,4,3,呵呵哒\n\n
28091,3548,史龙鳞,2016-06-28 08:05:50,0,3,3,很厉害
32969,3548,史龙鳞,2016-09-05 07:25:15,0,3,3,恶心啊
32987,3548,史龙鳞,2016-09-10 04:15:59,0,1,1,哎呦卧槽
33013,3548,史龙鳞,2016-09-10 05:09:43,-19,9,28,龙哥太惨了，给他补一补
33041,3548,史龙鳞,2016-09-10 12:39:15,2,11,9,龙哥太惨补+1s
33063,3548,史龙鳞,2016-09-11 12:00:24,-8,6,14,上课(军训)不咋地，但人确实好，平常很关心同学。
33067,3548,史龙鳞,2016-09-11 13:18:44,-6,8,14,龙哥还是对我们很好的，平时会关心我的生活
33142,3548,史龙鳞,2016-09-14 01:34:06,0,0,0,233
33334,3548,史龙鳞,2016-09-18 10:36:48,0,1,1,.......
33358,3548,史龙鳞,2016-09-19 00:49:01,2,4,2,哈哈哈哈哈哈哈哈哈
33745,3548,史龙鳞,2016-09-21 10:09:35,7,9,2,哈哈哈给龙哥续一秒
36550,3548,史龙鳞,2017-07-17 13:17:59,4,7,3,一句话最形象，他就是个垃圾！
39850,3548,史龙鳞,2016-12-28 03:58:04,4,4,0,没有0分真是个错误
48241,3548,史龙鳞,2017-03-01 11:30:57,-2,1,3,。。。
57913,3548,史龙鳞,2017-07-17 13:17:35,-18,11,29,虽然很严、但人格魅力超棒！很喜欢的老师！
59509,3548,史龙鳞,2017-09-22 02:48:57,1,3,2,呵呵了
61234,3548,史龙鳞,2017-11-13 00:28:49,7,12,5,屎龙鳞
160462,3548,史龙鳞,2022-09-23 04:54:54,0,0,0,同意楼上。
166870,3548,史龙鳞,2023-01-14 04:16:08,2,2,0,思修有大课的形式，老师上课的时间不长。但是感觉老师还是很好的，助教小姐姐也很nice～
166920,3548,史龙鳞,2023-01-14 08:27:35,2,2,0,上课是大班形式，人挺随和的，不怎么点名。但给分挺一般的。
167016,3548,史龙鳞,2023-01-14 15:50:53,5,5,0,不点名，老师人很好，课也挺好，但是事情不少，给分也一般般
167794,3548,史龙鳞,2023-01-19 05:49:43,5,6,1,上课是大班形式 人挺好的 就是给分比较一般 88-4.2真的就差了一分QAQ
187571,3548,史龙鳞,2024-01-16 15:10:42,0,2,2,啊？上史老师的思政课，老师人超级好，会站在同学们角度看问题，为什么评分这么低，不应该呀？必须10分！
198569,3548,史龙鳞,2024-09-10 03:44:09,0,1,1,拖堂。
199207,3548,史龙鳞,2024-09-19 05:16:51,0,0,0,拖堂。。不要选他的种地。。种地活又多又烦的，不去还要扣平时分，也不会提前商量一下大家有没有时间直接就定时间
204584,3548,史龙鳞,2024-11-27 02:14:21,0,0,0,上了他的德法大课。耐心而平和的老师，愿意跟学生谈心，尝试紧跟时代潮流，去讲学生感兴趣的话题。
212382,3548,史龙鳞,2025-01-14 03:16:03,0,0,0,。。。
212461,3548,史龙鳞,2025-01-14 04:48:09,0,0,0,不知道分为啥这么低。道法不点名，讲课其实还可以没那么无聊，老师人也挺好的，给分不错。楼下说种地累应该是选题导致的，选别的课题其实蛮轻松的。
212691,3548,史龙鳞,2025-01-14 13:20:45,0,0,0,老师很风趣幽默，人很好，课是大课的形式，实际上没有多少节是史老师上的，总体挺不错的。
