评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
23760,1769,郑能干,2016-04-15 02:20:12,6,8,2,能够巧妙地避开人工智能，而把这门课完全上成概率论，也是佩服得不行
24326,1769,郑能干,2016-04-29 12:06:59,3,6,3,给分挺好的，谢谢老师
76325,1769,郑能干,2018-04-03 04:07:04,4,5,1,垃圾。
81695,1769,郑能干,2018-07-06 02:26:19,1,1,0,慎选zszs
82110,1769,郑能干,2018-07-07 06:47:56,-2,0,2,总体来说挺好的，人也不错，给分也挺好。就是上课有些听不懂。
82321,1769,郑能干,2018-07-08 01:30:48,0,0,0,大程特别多而且难，上课听不懂，给分还可以。
110202,1769,郑能干,2019-06-24 11:42:45,0,0,0,无聊透顶
116197,1769,郑能干,2019-09-06 03:07:54,2,2,0,应该是还没有上课经验的缘故吧，加上AI不是很好讲。重心偏向于演算和推导，给讲成了数学课。不注重概念，他那边推算的时候其实我都不知道那些个符号什么意思，基本上就没听懂。但是态度是没有问题的，上他的课可以确定ab剪枝那些重点是反反复复讲，一定要大家都搞懂了才放心。作业一开始多，后面看到别的班没那么多作业就调整了。\n\n助教期末搞错考试范围也是很醉。\n\n然而AI就是很难，别的班也有听不懂的，所以也不能算巨坑吧，就统计机器学习那里会有高能，不是上课认真能解决的，其他的认真听还是没问题的。
167469,1769,郑能干,2023-01-16 13:59:13,1,1,0,我是谁，我在哪里，我在上什么课
197855,1769,郑能干,2024-08-16 06:00:26,3,3,0,听前辈一句劝，别来读研，除非你想跳楼
204157,1769,郑能干,2024-11-24 23:33:54,2,2,0,老师的权威不容置疑，学生的态度一定要摆正。不然会来一句“不要用这种态度和我说话”
204172,1769,郑能干,2024-11-25 02:21:25,1,1,0,这家伙能有这么高分，简直不敢想象。
216283,1769,郑能干,2025-03-13 02:03:28,1,2,1,这种出生也配当老师，纯粹的骗子加流氓，不要指望他搞什么学术，全是骗子话术，及其擅长伪装；对学生就是他妈的流氓，毫无责任感，经常PUA的一句话不要用这种态度和我说话，谁都比你辛苦，我压力更大。。。。迄今为止见过的最流氓的、最无耻、最利己的教授。当他的学生，除非你想跳楼
217903,1769,郑能干,2025-04-23 01:54:34,1,1,0,世界上有一种人，当什么不好，非要当老师，给学生带来的只有灾难；积什么都愿意，就是不愿意积德，掀开光鲜的高校外衣，脑子里全是封建奴棣主的思维。\n\n这种导师集齐了自私、无耻、虚伪、势利、卑劣于一身，良心不会痛吗
218085,1769,郑能干,2025-04-20 15:13:33,0,0,0,申博找他不靠谱！！！\n\n申博找他不靠谱！！！\n\n申博找他不靠谱！！！
13141,3094,王跃明,2015-12-25 03:03:53,11,14,3,业界良心，老师人特别好
21033,3094,王跃明,2016-02-12 15:10:49,5,5,0,人挺好的，讲课声音有点小
51872,3094,王跃明,2017-06-13 05:07:50,3,4,1,还没上过课，首评给10分鼓励一下
52183,3094,王跃明,2017-06-15 14:28:45,2,2,0,人很好
68409,3094,王跃明,2018-01-23 06:58:39,5,6,1,真的不敢相信自己的分数。。浓浓师生情～
68565,3094,王跃明,2018-01-23 11:14:01,7,7,0,平时上课轻松易懂，课后只要认真复习一下，课后题刷了，期末没问题，给分真的好，大程不用太鹅颈，差不多做一下就行
68669,3094,王跃明,2018-01-23 14:57:22,8,8,0,老师满分好评啊！给分太好了，讲得也特别仔细，多希望能读老师研究生。
68711,3094,王跃明,2018-01-23 15:53:39,6,6,0,给分好，数逻基本条理还是讲的清晰的，上课认真听课后稍微复习一下期末还是很轻松的。
71301,3094,王跃明,2018-01-28 09:06:40,3,3,0,大赞老师
87601,3094,王跃明,2018-10-08 06:00:19,3,5,2,老师好帅啊！性格超可爱！
89546,3094,王跃明,2018-11-19 12:44:01,0,1,1,sqs班表示被yummy老师带着做quiz太幸福了……老师好帅！
93882,3094,王跃明,2019-01-14 06:56:12,21,22,1,对不起我是王跃明的舔狗，谁说他不好就是跟我作对！王跃明我爱你我要给你生猴子！
98210,3094,王跃明,2019-01-23 07:46:25,1,1,0,呜呜呜虽然被卡了但给分还是炒鸡无敌好啊啊啊我爆哭QAQ
99824,3094,王跃明,2019-01-25 08:05:10,4,6,2,其实是非常随意不太负责的老师。但作业不用交，小测作业题，考前会透题，期末给分好，所以评分极高~相比其他老师还是不错的。。
117364,3094,王跃明,2019-09-23 10:50:16,2,3,1,啥都不说，帅！我男神！（第一次以颜值给一个老师打满分）
118174,3094,王跃明,2019-10-22 04:08:03,-1,3,4,给王老师打个十分！但实验课我真吐了 王老师没时间讲至少换个不这么次的 我真吐了
122094,3094,王跃明,2020-02-12 14:27:51,2,3,1,人是比较好比较关心学生的，但是自我感觉他的课件重点不够突出，讲课也有点讲到哪算哪。另一方面是考核方式执行得不够好，说不收作业用小测代替结果小测又是互改还直接登上成绩，虽说最后给分还不错但这个过程让人心态很糟糕了。
122141,3094,王跃明,2020-02-17 01:45:30,0,2,2,人帅给分巨好
126451,3094,王跃明,2020-09-27 07:33:49,0,0,0,人帅讲的清楚明白，外延拓展丰富，人生经验到科研基础，课外推荐学习，努力方向指导。来了不亏，我爱了
141354,3094,王跃明,2021-09-30 11:06:09,11,13,2,虽然不应该在王老师的查老师评论里讲这个，但数逻的实验课体验实在是太差了，坐在后排的同学什么也看不见，实验课的老师讲话冗长没重点，下午的班每次都要拖到晚课做实验的同学来上课，感觉像在浪费生命
141855,3094,王跃明,2021-10-28 04:40:35,1,2,1,ym老师一伯分🥵🥵🥵
141856,3094,王跃明,2021-10-28 01:53:51,1,2,1,我是wym老师的舔狗🥵🥵🥵
141857,3094,王跃明,2021-10-28 01:53:51,2,2,0,我是wym老师的舔狗🥵🥵🥵
148717,3094,王跃明,2022-01-13 09:42:04,0,0,0,人帅不点名，虽然上课佛系，但是讲的清晰，而且外延拓展颇多，绩点不高是我的问题
149544,3094,王跃明,2022-01-16 02:22:31,0,0,0,人很帅，上课简直是保姆级教学，重难点会说“没听懂我们再来讲一遍”，当然他讲得清楚不清楚就见仁见智了\n\n给分很好～
150933,3094,王跃明,2022-02-21 06:52:00,0,0,0,wym老师🤤
164243,3094,王跃明,2022-12-19 17:28:14,1,1,0,说实话讲的很一般，好在事情特别少，作业不用交，小测题是作业题。\n\n上课非常随意，有点有气无力，经常提前下课。\n\n管的松这一点的对有些人是好处，有些人是坏处。\n\n实验课这学期是hqj，讲的飞快不预习的话很难顶，前期内容和课程无关，好在ppt完善（相对隔壁马德的助教）找他和验收都很有收获。
165517,3094,王跃明,2023-01-07 17:32:54,1,1,0,好老师！真的帅！
167941,3094,王跃明,2023-01-20 14:35:50,2,2,0,真的求是，呜呜呜
185889,3094,王跃明,2024-01-05 12:15:32,11,11,0,老师啊，下学期咱招个助教吧
189089,3094,王跃明,2024-01-21 15:47:27,7,7,0,考试前：我们大作业验收截止到考试之后一周\n\n1.11：还没交大作业的同学抓紧时间啊\n\n1.17：没交大程的赶紧啊\n\n1.19：还有11位同学没交啊，明天再不交就录入成绩了\n\n1.21：上面名单里要是有人要交大作业的，赶紧来告诉我\n\n\n\n课讲的好不好且不论，老师人确实挺好的，他是真的不想挂学生
189131,3094,王跃明,2024-01-22 05:35:38,4,4,0,ddl所有老师里最晚，平时事情真的少，最后给分也非常好，真大爹!!!
200446,3094,王跃明,2024-10-17 05:29:12,1,1,0,老师人很好，全班翘课翘到4个人实在忍不住了点了一次名，最后也没有记。
137234,5820,张韶岷,2021-07-02 12:59:19,12,12,0,浙大三年遇到过的给分最好的老师。
147216,5820,张韶岷,2022-01-09 06:10:40,3,3,0,给分高得离谱。。
160310,5820,张韶岷,2022-09-18 13:44:25,2,2,0,超级nice的老师
166606,5820,张韶岷,2023-01-13 03:43:14,5,5,0,人好，超级温柔，为学生着想，学识渊博
184228,5820,张韶岷,2023-12-13 11:25:30,3,3,0,每次下课都有掌声的一位老师
185936,5820,张韶岷,2024-01-06 07:14:55,4,4,0,生仪学院为数不多的讲课好的老师了，尽管课比较枯燥，但不怪老师，是课程本身内容的问题
186979,5820,张韶岷,2024-01-14 04:02:48,7,7,0,诊断学课程本来很恶心，但是遇上了宝藏老师zsm，认真听的同学收获满满，想水过去的同学也不会被为难（小测有题库，期末与题库、小测、作业题重合度很高）
189118,5820,张韶岷,2024-01-22 03:39:30,5,5,0,上课讲得好，期末选择题90%出自小测和题库，给分逆天的高
198790,5820,张韶岷,2024-09-11 16:00:43,0,0,0,讲课清楚，风格有趣，待人温柔。
198969,5820,张韶岷,2024-09-13 12:52:27,0,0,0,看上去人就很好！讲的也不错！
200057,5820,张韶岷,2024-10-12 02:57:31,0,0,0,神中神
213268,5820,张韶岷,2025-01-16 14:20:17,1,1,0,今年临医概分数普遍不是很高，后来的大家一定要注意考试的复习和平时作业。病例分析作业（至少本学期）的分数都不是很高，反映到平时分就会扣除挺多的。虽然成绩普遍没有太高，但是这不妨碍zsm老师是bme大三上遇到的极好的老师。
213286,5820,张韶岷,2025-01-17 00:08:20,1,1,0,老师人很好，但今年绩杀。\n\n平时全开卷可上网的小测，期中考错多少扣多少，病例分析也只给80%-90%的分，自己写也好抄去年答案也好都扣，只有一次我看助教去年智云讲解没被扣，但太严苛了。而小测期中考老师又不反对开科技，但又没明确支持开科技，那老实的同学会吃大亏。至少两个人出现了总评低于期末的情况，平时分扣掉十几分总评。\n\n老师讲课很细致，答疑很耐心，我自己还算注重一点平时分，也扣了不少，因此大家还是要注意平时分，该查查，否则甚至你平时会写不完。
217324,5820,张韶岷,2025-04-08 12:42:19,0,0,0,我是跨专业选修张老师课的，他备课很认真，ppt内容也会与时俱进，可以感受到他在他研究的领域内很资深，为人也很随和，好老师！
139024,6219,许科帝,2021-07-12 08:14:47,0,0,0,工程生理学。老师上课不错，耐心负责，会按时下课，不足是课太难了，大家绩点都不好
152584,6219,许科帝,2022-04-15 07:52:00,1,1,0,许老师讲课很认真，会耐心回答同学们的疑问，课程内容虽然难，但是努力也能拿到高分。
155335,6219,许科帝,2022-06-11 05:34:14,1,1,0,老师讲课真的很认真，不说了去预习了
157271,6219,许科帝,2022-06-22 17:33:49,8,8,0,不点名，平时还是建议认真听听课的，我院少有的讲课认真的好老师，想拿高分的话平时多背背吧，今年期末选择题80%小测原题，小测还是得考前看看。
157276,6219,许科帝,2022-06-22 23:13:34,2,5,3,老师课讲的很好，期末大多数题目小测原题。考前背了三五天，小测题目也认真去背了 预估应该是4.5-4.8，最后86/4.2，可能还是我太菜了吧
172119,6219,许科帝,2023-07-01 23:45:13,6,6,0,许老师水平很高，而且从来不点名；\n\n找的代课老师讲课一言难尽，催眠而且讲不清楚\n\n————————————————\n\n出分了再评价一下，答得依托答辩（背的全忘了），但依然能给我捞到3.9，神捞
175061,6219,许科帝,2023-06-21 10:20:31,4,5,1,老师讲的是真的好！\n\n\n\n可惜对于记性不好的人来说这门课的考试简直是煎熬，希望能及格
175809,6219,许科帝,2023-06-26 23:31:36,5,5,0,讲课特别热情，也和当下比较前沿的研究成果相结合\n\n但是这课有点一言难尽，书本内容实在是太多了，考多少考多细往往只能意会，考试题和作业重合度过高，考前基于作业复习一下也足以应付考试了，为了剩下几道作业没有的题，要花多少精力学，感觉性价比很低
177118,6219,许科帝,2023-07-01 17:48:16,4,4,0,讲课水平和发量成反比的一位老师，强者的发型
184325,6219,许科帝,2023-12-17 07:02:26,5,5,0,工程生理98同学前来还愿\n\n许老师讲的真的很清楚，而且是自家学长有种莫名的亲近感~\n\n考试之前看看小测、回顾回顾智云就可以啦，考的都是讲的内容~
194750,6219,许科帝,2024-06-25 08:44:48,1,1,0,对课不对人。许老师非常好，非常有理想，在最后一节课给我们讲前沿的脑机技术，因为有zhy和ljq的衬托，许老师讲课简直是我大二春夏最有趣的一门。\n\n\n\n但是工程生理学作为阉割版的生理学…也不能说完全没用。希望课改能删掉大学生物学吧。
195037,6219,许科帝,2024-06-26 12:54:37,2,2,0,人很好的老师，工程生理学在专业课里感觉算不错的，内容对生物医学工程本身也是有一些用的（可能仪器用不太上）。
196577,6219,许科帝,2024-07-04 06:18:40,1,1,0,这位是真正的神中神\n\n（但是课间不休息导致听课有点累hhh）
199456,6219,许科帝,2024-09-24 02:55:41,2,2,0,真正的神中神
199483,6219,许科帝,2024-09-24 11:13:19,1,1,0,老师讲的很好\n\n然后他会吐槽定量生理学的课和教材hhh
199834,6219,许科帝,2024-10-01 07:37:53,3,3,0,对教学热心\n\n虽然定量很杂，但老师试图让我们学到一点有用的。
204751,6219,许科帝,2024-11-27 15:28:41,2,2,0,老师不错
222082,6219,许科帝,2025-06-29 12:42:19,0,0,0,工生给分不错 不点名
