评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
245,113,吴勇敏,2015-03-14 17:50:55,45,57,12,很有气质，讲课很清楚。
46790,113,吴勇敏,2017-09-16 13:07:20,-10,4,14,无语了
47278,113,吴勇敏,2017-12-17 22:58:51,26,26,0,老师讲课讲的很好啊 特别清楚有条理
60059,113,吴勇敏,2017-10-09 04:36:17,0,6,6,谁说不点名，我特么刚刚被点了，很绝望。
68845,113,吴勇敏,2018-01-24 03:30:25,9,13,4,保险法：一般是闭卷\n\n题型：单选；多选；简答；论述；2个案例\n\n建议复习：1.全面复习法条；2.课件（最好平时有笔记的那种）
70275,113,吴勇敏,2018-01-26 10:33:25,7,9,2,老师讲的很好，也认真复习了，然后给分跪了。
70322,113,吴勇敏,2018-01-26 12:37:35,12,14,2,哇  给分感觉挺低的吧   我感觉保险法是我复习的最好的一门了    考下来的感觉也还行  但是分数不高? ?☹️ 懵\n\n\n\n不过吧  老师课讲得挺好的
70452,113,吴勇敏,2018-01-26 15:50:43,5,8,3,老师讲课很好处理实务也很机智。但我没看完法条呜呜呜呜呜呜呜呜呜呜呜呜呜下一届的宝宝记得要看保险公司的法条，虽然老师没有讲这部分，但是他要考啊fine，还是很喜欢老师的，收获很大！推荐的一门选修专业课，上课不水考试不水。
85282,113,吴勇敏,2018-07-16 18:04:31,-2,3,5,给分迷
87671,113,吴勇敏,2018-10-10 01:31:26,4,6,2,老师很棒 上课时民法思维得到锻炼
102269,113,吴勇敏,2019-01-31 15:47:03,10,13,3,气度不凡，偏实务型老师的完美诠释
104115,113,吴勇敏,2019-03-12 08:35:08,7,7,0,吴老师讲课思路清晰，逻辑性强，能学到东西
117474,113,吴勇敏,2019-09-25 01:15:34,2,3,1,上课思路很清晰版
132566,113,吴勇敏,2021-02-02 09:54:47,2,5,3,老师给分很nice的！
133406,113,吴勇敏,2021-02-27 08:22:33,-2,1,3,老师给分好迷 认真听记了 emmm慎选吧
134779,113,吴勇敏,2021-04-15 00:10:37,-2,2,4,给分很迷……慎选……
149860,113,吴勇敏,2022-01-17 10:17:44,5,8,3,保险法。总体来说，讲课还不错，但可能是由于PPT太简略，部分内容，比如近因原则，听得云里雾里，建议老师再丰富、美化一下PPT。考试偏难，几乎就是民法考试的难度，给分略微有点迷，听说往届还有1.5的，作为个性课可能给分不是太好。没有点名和变相点名，一学期上下来压力不大。
150478,113,吴勇敏,2022-01-26 05:37:05,-1,2,3,给分不好
151827,113,吴勇敏,2022-03-17 02:45:46,5,7,2,打call
154807,113,吴勇敏,2022-06-05 14:37:42,37,40,3,经济法\n\n第一节课感觉老师讲课好无聊 语速好慢 我好困，后来发现讲的真他娘的不错，很多模糊的问题一语中的，学到了很多东西👍🏻。老师语速慢，用话筒，不点名，推荐智云2倍速回放，效率这不就上来了。平常作业一篇2000+的文献综述，不知道期末怎么考，给分怎样，但给老师打十分。\n\nbtw感觉老师长得有点像习大大
155290,113,吴勇敏,2022-06-10 08:28:12,12,14,2,回过头发现老师讲课内容非常顺溜，非常无废话，一气呵成成竹在胸
155496,113,吴勇敏,2022-06-13 14:20:49,-5,1,6,楼上夸人方式有点特别
161018,113,吴勇敏,2022-10-24 01:26:38,-7,1,8,哈哈哈哈
167196,113,吴勇敏,2023-01-15 05:13:25,-6,1,7,给分着迷
168252,113,吴勇敏,2023-02-06 14:56:24,17,19,2,绩杀，这一点无可否认\n\n但是如果你想真的学到东西，而不仅仅在乎那点分数，冲就完事了\n\n相比于有些年轻老师，吴老师是有点真东西的
176261,113,吴勇敏,2023-06-28 07:35:12,5,8,3,老师很好，从来不点名，上课讲的内容也很清晰，很有老教师娓娓道来的风采，就是实在是有点绩杀……看到成绩真的很心碎……
178774,113,吴勇敏,2023-07-22 07:28:03,-25,1,26,很烂很挫
183619,113,吴勇敏,2023-11-28 02:44:17,15,16,1,云山苍苍，江水泱泱，先生之风，山高水长
190038,113,吴勇敏,2024-02-13 02:44:11,7,9,2,授课清晰，逻辑严密
191008,113,吴勇敏,2024-03-28 01:31:02,6,7,1,最喜欢的老师之一，必须满分
197542,113,吴勇敏,2024-07-18 08:01:31,5,6,1,我ZJU法学院讲课最清晰老师之一，10分
211843,113,吴勇敏,2025-01-12 16:22:48,-2,1,3,上过他的法律诊所，讲课水平比起其他的老师可以说高下立判了。只是这样的老师怎么不常讲课，是忙着赚钱去了吗？
47,119,沈志坤,2015-03-14 15:31:47,9,21,12,神老师！偶像
1369,119,沈志坤,2015-03-22 01:15:45,187,197,10,一直在炫富，从未被超越
2301,119,沈志坤,2015-04-18 11:06:11,31,38,7,很棒的老师！一分钟不想开小差！
2574,119,沈志坤,2015-07-14 05:56:40,49,53,4,沈志坤脑残粉路过。。。
4107,119,沈志坤,2015-06-17 17:36:03,5,9,4,炒股大师
4344,119,沈志坤,2015-06-19 07:53:23,1,5,4,爽
4353,119,沈志坤,2015-06-19 10:08:18,40,48,8,上他的课大部分时间都在讲股票和人生，但总体上还算有趣。
4740,119,沈志坤,2015-06-27 04:46:27,7,9,2,股票和人生\n\n
5797,119,沈志坤,2015-07-09 11:44:43,1,3,2,有钱任性\n\n
5812,119,沈志坤,2015-07-09 13:19:28,1,4,3,很棒！
5876,119,沈志坤,2015-07-09 17:36:17,1,4,3,很棒的老师
6071,119,沈志坤,2015-07-10 15:32:06,19,24,5,风趣幽默……但爱炫富！
6755,119,沈志坤,2016-06-27 06:19:48,12,31,19,给分差，关于经济法方面的知识讲的很少
6886,119,沈志坤,2015-07-29 03:10:29,16,21,5,上课倒挺有意思，不过经济法木讲什么东西。适合辅修的同学上
12467,119,沈志坤,2015-12-23 10:54:31,0,3,3,很风趣.
14720,119,沈志坤,2016-01-08 12:37:34,1,4,3,聊股票，聊人生
22529,119,沈志坤,2016-03-07 11:50:57,0,3,3,满分
22535,119,沈志坤,2016-03-07 12:58:50,0,2,2,挺有趣
22536,119,沈志坤,2016-03-07 13:22:28,6,12,6,不是炫富，是奢华的低调┐（─__─）┌
22537,119,沈志坤,2016-03-07 13:53:17,1,4,3,奢华的低调，从未被超越←_←
22764,119,沈志坤,2016-03-11 01:35:52,1,4,3,一直在低调中炫富，从未被超越
25387,119,沈志坤,2016-05-16 15:16:37,1,4,3,真见识
25823,119,沈志坤,2016-06-10 02:25:39,6,10,4,一个励志而有趣的老师，课后会答疑到很晚，旁听也是极好的
26565,119,沈志坤,2016-06-20 06:33:17,1,4,3,超级棒
26815,119,沈志坤,2016-06-21 07:21:28,3,5,2,真的非常好的老师！真的是为学生考虑！最后一节课的鸡汤喝的有点泪目！
27645,119,沈志坤,2016-06-27 06:20:56,-2,1,3,很棒的哟
27776,119,沈志坤,2016-06-27 13:21:45,-2,0,2,很有魅力 形象生动 课后答疑都很有耐心答到很晚 偶尔会开「沈志坤人生感悟小课堂」哈哈哈
28161,119,沈志坤,2016-06-28 08:11:14,28,32,4,好清新脱俗不做作的炫富婊\n\n跟外面那些妖艳白莲花一点都不一样呢
28373,119,沈志坤,2016-06-28 08:42:07,-1,2,3,认识沈老师 我觉得很值得
28547,119,沈志坤,2016-06-28 10:01:55,-3,0,3,好好好
28578,119,沈志坤,2016-06-28 10:35:10,0,4,4,不论是在生活上还是在工作上都从未被超越的人，希望有一天自己能赶上并超越他。
29303,119,沈志坤,2018-09-26 03:36:28,5,9,4,事实证明只要期末那个点名在，期末考试找对了答案，平时上课不做课堂展示也有概率拿高分。爱沈老师
29466,119,沈志坤,2016-06-30 00:28:00,0,3,3,听了两个学期，一直觉得是个演讲大师。
