评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
74871,4177,赖普清,2018-03-06 07:15:28,-4,4,8,好老师!给分好，平时没有论文，只有一篇读书报告和小组读书报告展示。讲课也不错。
75188,4177,赖普清,2018-03-08 02:26:11,5,9,4,上课无聊，给分还不行，老师你想干什么
75609,4177,赖普清,2018-03-14 04:15:30,1,6,5,为什么没有0分
75994,4177,赖普清,2018-03-31 00:23:22,0,7,7,只有我觉得老师挺好的吗。。你们是没听过另外几个老师的微经，老师的已经很不错了啊
76153,4177,赖普清,2018-03-28 04:09:55,1,7,6,照着ppt讲，没什么逻辑性
78856,4177,赖普清,2018-05-16 00:50:49,8,11,3,真的适合讲味精吗？上课也太容易什么催眠了，还数学不行
79270,4177,赖普清,2018-05-29 12:14:19,0,0,0,想起了高中物理老师
80228,4177,赖普清,2018-06-22 06:14:33,0,3,3,期末考范围比李建琴班大了一倍（我也头一次知道还有这种操作）
83000,4177,赖普清,2018-07-09 12:31:01,5,7,2,老师还是很可爱的\n\n上课也还行 虽然我没在认真听\n\n然后给分真的看期末考 靠自己了哈哈哈\n\n因为味精本来也有一定难度，所以均绩不会很高\n\n然后不用写论文，只要小组读书报告最后两节课展示，平时作业也不多\n\n
83002,4177,赖普清,2018-07-09 12:34:30,-15,0,15,上课挺无聊的，得靠自己自学。\n\n复习了一个月4.2，海星吧。
83003,4177,赖普清,2018-07-09 12:39:24,3,4,1,谢谢老师不挂之恩
83115,4177,赖普清,2018-07-09 17:13:36,4,6,2,催眠能力绝对数一数二的
83128,4177,赖普清,2018-07-09 21:26:34,-14,4,18,微经还是挺轻松的，复习了两天4.8。。，老师萌萌哒，上课催眠不催眠我不知道(因为后面的课和nba总决赛时间都碰上了实在听不了)，不过就我前半学期听上去还是讲的不错的。
83136,4177,赖普清,2018-07-09 22:34:41,6,6,0,客观说，讲课确实很无聊，也很催眠，重点不突出，所以课下还得自己看书做题下功夫。哪门课是不需要下功夫就能轻松高分呢？高标准就需要严要求。不过小组作业给分不错。
83848,4177,赖普清,2018-07-11 10:09:14,33,34,1,讲课确实一般，平时作业量也不多，期末全靠自学。还临时加了一次期中考？还好我校长信箱走一波举报成功了也取消了。
92934,4177,赖普清,2019-01-06 02:15:09,0,0,0,还不错
104061,4177,赖普清,2019-03-11 07:08:56,-1,0,1,讲课比较无聊，语句不连贯，数学水平捉急。\n\n老师人还是不错的，也没那么多事。
104131,4177,赖普清,2019-07-04 02:13:52,0,2,2,感觉分高不是学的怎么样的问题 主要是题太简单了 理工科学生也可以上这门课刷绩点 老师人还挺好的 事挺少
112240,4177,赖普清,2019-07-03 23:57:22,1,4,3,哈哈哈哈  第一门4.8的课\n\n感觉成绩和努力是成正比的吧\n\n\n\n不能指望老师喂给你呀 \n\n又不是高中那样\n\n\n\n不过不得不说 基本靠自学\n\n\n\n老师讲的挺快的 后面就跟不上了\n\n不过比其他班某些老师要好吧\n\n\n\n平时又没有什么事 不就一点作业 一个读书报告？讲课还凑合 \n\n\n\n会自学选选会有好成绩的\n\n
112292,4177,赖普清,2019-07-04 01:03:13,1,2,1,还可以
112314,4177,赖普清,2019-07-04 01:26:49,4,6,2,给分好好啊啊啊 老师人也挺帅
112330,4177,赖普清,2019-07-04 01:52:25,4,4,0,给分蛮好的，没那么绩杀。
112332,4177,赖普清,2019-07-04 01:56:21,-6,0,6,不点名 也就布置作业和一篇读书报告 事儿少\n\n上课偶尔把自己说混 认真听了几次课后听不懂 果断放弃\n\n然后一个长学期没去上过课 期末5天看完书写完课后习题刷了两套往年卷子 4.8  课后习题很重要\n\n这个老师是考试决定一切
112405,4177,赖普清,2019-07-04 04:19:51,1,1,0,给分不错
113587,4177,赖普清,2019-07-07 00:35:51,2,3,1,刷绩点的过分了啊，几年题目简单而已
115321,4177,赖普清,2019-07-18 13:21:52,1,3,2,事挺少，老师呆萌，虽说上课比较催眠不过只要看懂书考试就问题不大。
117019,4177,赖普清,2019-09-18 11:00:03,2,3,1,老师nice又可爱，给分不错。讲课也蛮好的，味精本来就有点点催眠
117297,4177,赖普清,2019-09-22 16:56:17,0,1,1,给分挺好 事不多 讲课比较无聊不过可以靠自习。至少我一个学期没去上过课，作业也是托别人带过去的，考前复习一波绩点还可以
124237,4177,赖普清,2020-06-27 22:59:16,0,2,2,给分棒，事情少，讲课有趣
138458,4177,赖普清,2021-07-09 09:37:57,0,0,0,老师讲得很好啊，ppt里也有许多额外补充，给分也不错啊
155181,4177,赖普清,2022-06-09 06:36:20,0,0,0,。。。。
161508,4177,赖普清,2022-11-08 02:59:56,0,0,0,还可以吧，可能我自己对味精比较感兴趣，虽然老师讲的无聊，但是听的很认真，最后分数也不错
165523,4177,赖普清,2023-01-08 02:37:12,0,0,0,事挺少的 平时只有作业 可能因为疫情原因这个学期甚至没有小测\n\n讲课一般般（甚至有点容易困\n\n给分主要就是看期末吧
167701,4177,赖普清,2023-01-18 12:56:13,-2,0,2,讲课一般，给分还不错
167904,4177,赖普清,2023-01-20 05:00:52,0,0,0,讲课一般般，平时事情少，给分主要看期末
188798,4177,赖普清,2024-01-20 03:45:11,1,2,1,老师挺好的，而且老师表情好丰富，每次老师笑我也想笑不知道为什么。平时分就是作业+签到，很容易拿到，卷面给分不清楚捞不捞，应该还行吧。
188823,4177,赖普清,2024-01-20 05:46:00,3,4,1,给分好难评。。。我就特别不理解为什么平时作业就算做全对也只给98 99分 真一点不调分啊
199524,4177,赖普清,2024-09-25 02:45:00,0,0,0,新制度经济学，大四的课了怎么还是节节点名，搞人心态\n\n这学期班上只有十几个人，基本上都是外专业的，经济系的没几个\n\n然后也不好好讲课了，放飞自我，一直叭叭叭讲什么AI发展、创业故事之类的
200165,4177,赖普清,2024-10-14 09:09:16,2,3,1,老师，你讲题怎么比我写题还混乱，我本来就写不出来写不明白，你一讲我脑子就炸了。老师非常喜欢让厉害的同学上去写题，然后再非常混乱的评价一遍，非常没有逻辑，这样讲题智云也看不清，我简直要崩溃了老师
210829,4177,赖普清,2025-01-10 04:45:33,1,1,0,坐标微经甲，老师没有点过名，课堂比较轻松就是有点太松弛了让我想睡觉（）讲的例子还是比较有意思的，但讲计算题思路还是比较混乱，可能需要花大功夫课外自己补天\n\n作业不多，老师萌萌的
210868,4177,赖普清,2025-01-10 05:43:24,1,1,0,事少分高，老师人很好！
213795,4177,赖普清,2025-01-20 03:21:14,0,0,0,老师虽然PPT上说点名但一次都没点过，而且基本没听过最后4.5对我个人来说是非常好的成绩了(而且是在期末很难的情况下可以说老师是非常捞了)，而且微经这门课赖老师讲得不是很好建议自学，当然给分还是很不错的。上课的时间做好不要做前排很容易被提问或者让你上去板书，本人有幸上去过一次真的尬死了。
