评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
121327,80,刘海江,2019-12-19 12:55:04,35,45,10,上刘老师的课真的能学到东西的，就是作业有点多真的忙不过来了
37069,420,李莉,2016-11-17 08:26:50,1,4,3,感官的差劲??
58117,420,李莉,2017-08-02 04:06:14,5,6,1,太啰嗦
66750,420,李莉,2018-01-19 00:05:00,7,9,2,上课有点混乱
87822,420,李莉,2018-10-15 05:36:48,-12,1,13,完美的老师，别问我怎么知道的，我也是乱说的
100940,420,李莉,2019-01-27 07:13:01,-4,2,6,挺好的呀
101414,420,李莉,2019-01-28 07:10:16,7,9,2,老师人不错，但是作业和考试毫无关联，复习很困难，
101420,420,李莉,2019-01-28 07:23:03,9,10,1,作业跟上课内容有关系??是学软件课还是tmd专业课啊。
110843,420,李莉,2019-06-28 10:42:14,6,7,1,奉劝学弟学妹别选她的课，特别是要保研的各位，浪费时间，给分很差。
110844,420,李莉,2019-06-28 10:44:45,-2,3,5,还不错，专业课给分一般，航道工程学不错
110945,420,李莉,2019-06-28 16:17:29,7,7,0,每个字都是理解的，连成一句话不知道想说什么
111033,420,李莉,2019-06-29 08:46:57,-4,1,5,还不错
153093,420,李莉,2022-04-25 10:43:49,0,0,0,上课无聊
168501,420,李莉,2023-02-19 03:01:21,16,16,0,笑里藏刀
173411,420,李莉,2023-05-23 13:10:22,2,2,0,布置都什么吊毛作业
174481,420,李莉,2023-06-13 02:54:52,4,4,0,尼玛就离谱，叫我们查中英文文献各10篇，最后就写一个1000字作业，问的问题真的牛马，我要是依靠我自己的能力可以把铁山港航道整治的各个问题弄明白，我还来听你上课？
174686,420,李莉,2023-06-15 14:21:01,1,1,0,别选她，谁选谁后悔！
190328,420,李莉,2024-02-28 05:54:23,1,1,0,建议任何跟她有关的别选
191214,420,李莉,2024-04-12 05:29:21,2,3,1,上课讲的内容与作业不符合，作业有套idea的嫌疑。其次从其他接触的方面来看，是一个会让做本科毕设的人做额外的事情，不把学生当人且极度会pua的人，跟各位劝诫一句，慎选。（以上是我身边人的经历）
191743,420,李莉,2024-04-29 12:01:49,0,0,0,好尖利的笑声
211145,420,李莉,2025-01-11 01:47:52,0,0,0,一坨狗屎
20817,446,叶瑛,2016-02-01 05:13:48,-5,1,6,必修课，没法躲……
