评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
175989,9319,Koichi Hattori,2023-06-27 11:02:20,-1,1,2,Koichi老师讲课挺认真，还写了一份讲义，就是不太听得懂\n\n老师对于量子力学的理解应该是很透彻的，就是最后大家的final pre给分都很一般\n\n不过认真听老师讲课应该收获还是会很大的
183731,9319,Koichi Hattori,2023-11-29 10:26:37,14,15,1,抗日精神永存好吧。量子力学II平时分扣了2.1分，这小日子有本事期末一个展示给我们整个寝室都打了40分，最后总评73分（期末占60％）。最后去钉钉和他对线，问他为什么给我们整个寝室打40分，他说他最后提的那个问题我们没答上来，展示的PPT和汇报还是做的蛮认真的。不是大哥，就你那一口流利的日式英语，quantum mechanics念成哐当么堪尼克斯，谁能听得懂你在问什么。这一门往年所有人都90+的水课，硬生生给他挂了两个同学，我问他为什么要给我们打这么低的分数，他说你不要认为给你打40分就是不及格，你看看你的总评不是70+吗，you can take it as 60+，is it good for you？\n\n\n\nOK，fine. I'm good， and f**k you.
190393,9319,Koichi Hattori,2024-02-29 14:58:14,0,1,1,主要是来补充一下点名的信息，每节课都点名，使用签到码的方式\n\n然后目前看来，有一个讲义写的不错，口音比其他日本老师强但是上课我还是听不懂
197698,9319,Koichi Hattori,2024-07-31 14:26:42,-1,0,1,讲义很好，课很好。就是给分有点差
184491,9320,Norimi Yokozaki,2023-12-20 20:50:35,0,0,0,国际友人上岗不用考语言吗，真的听不懂啊。。。
187497,9320,Norimi Yokozaki,2024-01-16 11:14:45,0,1,1,量子力学Ⅱ，这门课的内容基本上属于量子力学Ⅰ的基础延拓，包含了量子计算，量子多体，量子场论和规范场论等方面的入门知识。老师的备课还是挺用心的，最起码ppt做的很好而且挑选的内容也对初学者比较友善，上课也是用黑板推式子而不是只念ppt。老师本人是日本人并且态度也挺好，钉钉群里的问题会主动回复。\n\n唯一的缺点是英语口语还是有点难绷，日式英语也能理解但是讲的还有点慢。只能说当堂听课效率不太高，很容易走神。
168116,9321,曹超,2023-01-28 15:14:56,-10,5,15,懂得都懂
168469,9321,曹超,2023-02-17 11:32:06,6,7,1,什么懂得都懂，我怎么没懂
169670,9321,曹超,2023-02-27 10:22:09,3,7,4,普物二给分很不好
169674,9321,曹超,2023-02-28 12:04:34,-1,8,9,懂了，原来讲得烂给分也烂……
169727,9321,曹超,2023-02-27 14:07:41,-1,3,4,上课笑嘻嘻，给分。。。
169736,9321,曹超,2023-02-27 15:08:04,15,17,2,巨随和，问啥都会好好回答，那些骂老师想想上课在干嘛
169795,9321,曹超,2023-02-28 02:23:19,6,7,1,我觉得老师很好
170203,9321,曹超,2023-03-02 03:34:53,8,8,0,对没有普物基础的确实不太友好，特别是很多积分计算特别耗时间，我认识的物竞生也被绕昏了（晕厥）\n\n老师讲课水平说不上烂，至少说清楚了公式的应用跟麦克斯韦方程是怎么回事，教室气氛也不错，希望来看的同学不要被低分吓跑了
170291,9321,曹超,2023-03-02 13:40:47,4,5,1,非常和蔼，热心解答同学的问题。虽然上课有很多推导容易使人迷糊哈哈哈。（期中考电磁学酱紫难？比期末难多了！）
186631,9321,曹超,2024-01-12 08:26:44,6,6,0,曹老师人很和蔼，讲课也蛮清楚的，板书也写的很好，就是字小了点
188570,9321,曹超,2024-01-19 09:20:59,2,3,1,老师很友善，讲课也能听懂。但给分确实不好，而且分数莫名其妙
188802,9321,曹超,2024-01-20 04:21:50,3,4,1,期中四十多，期末总分拉到了70，cc和llk你们是我的神
189073,9321,曹超,2024-01-21 14:54:08,2,3,1,曹超老师真的有在用心教课，每个公式都会细致地推导一遍。普物学不懂是我的问题，老师是好样的！最后老师是真的大爹降临！哥们期中四十多期末只会抄公式愣是给了70分，真的捞😭😭
191013,9321,曹超,2024-03-28 02:34:47,0,1,1,人很好
193839,9321,曹超,2024-06-20 06:09:57,5,5,0,第一个没有物理课的一学期呀，想起来普物就来评价一下  个人感觉曹老师讲课还好，人很和蔼的，个人觉得人挺不错的，另外会有一些小测试，就是比较基础的题目，可以翻看笔记 我普物一学得很糟糕，大学以来最低的绩点，然后很认真地学了二，结果还不错 捞不捞不是很清楚，但我觉得还是捞了一些的可能（）期末考试的题目还是跟上课推导、作业这种挺紧密关联的
212837,9321,曹超,2025-01-15 04:34:18,-1,0,1,。。。
212859,9321,曹超,2025-01-15 05:30:05,4,4,0,很好很用心的老师，这一届给分好像普遍不错？
212891,9321,曹超,2025-01-15 07:35:11,0,0,0,cc这学期给分很好！！
214078,9321,曹超,2025-01-23 12:20:06,1,2,1,以我自己的绩点来看，给分完全没有达到【很好】的程度，而且建议大家如果不是物竞选手，尽量还是不要选cc/llk的普物二（H）了，，一个学期要学电磁学，光学，原子物理，量子力学，而且你还不能是只搞懂概念，你还得会做题，直接就是达到了物理学专业一个学年好几门课叠加的难度；再加上英文出卷，期末考试的监考老师不是授课老师，单词没法问，字典查不出，更是难受至极。总之就是快跑啊！！
171304,9322,郭红丽,2023-03-21 08:14:17,5,6,1,大物实验霍尔法，老师给分挺好的，也乐于解答问题，但是语速巨巨巨快说话也听不太清，对本物理小白不太友好(｡í _ ì｡)建议选的uus做好充分预习，老师还是很好的
171400,9322,郭红丽,2023-03-23 10:49:31,2,2,0,我评价的是普物实验这门课。很可爱的老师，看的出来对物理很有热情，对同学也相当友善。唯一的不足就是语速很快，思维比较跳跃。给了9分
171410,9322,郭红丽,2023-03-23 15:33:38,0,0,0,语速超快 但是简明扼要 很喜欢
171554,9322,郭红丽,2023-03-28 13:20:54,0,0,0,温柔给分好的老师
172285,9322,郭红丽,2023-04-24 08:42:19,0,0,0,心善人美的好老师。能选她实验就选吧。
172442,9322,郭红丽,2023-04-27 03:01:26,1,1,0,她好温柔，我哭死
178041,9322,郭红丽,2023-07-06 10:43:15,0,1,1,普物实验给分还行，但是我觉得更加认真的两个报告分数没有另一个不太工整的高有点点怪qwq
194585,9322,郭红丽,2024-06-24 12:47:08,0,0,0,不好评价
206453,9322,郭红丽,2024-12-15 07:59:37,0,0,0,普朗克常数，给分为啥这么低😡😡😡
217416,9322,郭红丽,2025-04-10 03:46:45,0,0,0,讲话一定要带一个anyway吗
169473,9323,汤衍浩,2023-03-13 02:49:27,0,5,5,NO，
169984,9323,汤衍浩,2023-03-01 01:44:39,14,18,4,新老师，有一点点紧张捏，上课节奏有点快，简单的知识点和难的知识点同样的速度，刚开始上课可能不能很准确地表达出自己的意思
170326,9323,汤衍浩,2023-03-03 01:50:38,1,4,3,上课太快了，说话声音又太小了，容易💤 ，麻烦讲慢一点
170807,9323,汤衍浩,2023-03-10 03:19:32,-1,6,7,老师讲课一言难尽，感觉他在很努力认清ppt上的字，呃..这个..呃..呃..OK..呃..就是..呃..那么..呃....，建议快跑
170810,9323,汤衍浩,2023-03-10 03:26:36,-1,5,6,讲课水，随机点名
