评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
579,566,沈宏,2015-03-15 06:00:36,10,18,8,求是 分化卷子难、偏
4287,566,沈宏,2015-06-18 14:58:43,4,5,1,分化不点名的
4440,566,沈宏,2015-06-23 06:12:41,22,25,3,普化老师人好，讲的详细
11981,566,沈宏,2015-12-21 12:23:27,9,9,0,讲的很仔细很有条理 人很温柔\n\n特别喜欢
14388,566,沈宏,2016-01-06 17:00:08,13,23,10,千万别选现代分离分析，千万别选现代分离分析，千万别选现代分离分析，三遍了.\n\n说好的开卷考试，ppt不给带，笔记不给带，只允许五张A4纸
14424,566,沈宏,2016-01-07 03:29:32,30,32,2,普通化学讲的真心好
17064,566,沈宏,2016-01-19 14:08:10,9,10,1,普化上的超好
17730,566,沈宏,2016-01-20 20:08:19,21,21,0,普化讲得很好，每次的“谢谢大家认真听讲”是必备结束语~
19122,566,沈宏,2016-01-23 10:01:18,3,5,2,老师上课很棒，而且不点名，不过不要选现代分离分析！
20041,566,沈宏,2016-01-26 02:55:05,5,5,0,好老师，普化教的很好！！！
21578,566,沈宏,2016-02-29 08:32:54,5,5,0,普化讲的不错，几乎面面俱到，平时看书忽略的上课会讲到。只要认真听，分数不会低。
21763,566,沈宏,2016-03-01 04:29:32,1,1,0,老师讲得很细 人很好
23901,566,沈宏,2016-04-20 12:14:21,29,30,1,“谢谢大家认真听讲”。惭愧啊！
26618,566,沈宏,2016-06-20 11:37:40,7,8,1,老师讲课超级耐心，而且很温和，听他的课不容易走神，很有收获的。
38957,566,沈宏,2016-12-20 03:52:07,4,4,0,普化讲的超级好！人也超级好！
45154,566,沈宏,2017-01-19 05:06:50,4,4,0,有思想，博学，教课认真负责，非常为同学考虑，难得的好老师
47353,566,沈宏,2017-01-25 10:59:12,12,12,0,老师人挺好，给分不水，选分析化学的人复习时多看看仪器和原理的知识点，计算考的少。
47742,566,沈宏,2017-02-22 21:54:08,1,4,3,大一寝室3个人一起上分化，课还没结全跨了大类。。。
49200,566,沈宏,2017-03-29 06:57:40,2,2,0,普化超赞
52566,566,沈宏,2017-06-21 06:28:15,2,3,1,老师人很好 上课也耐心  但是重点不突出  比较容易困...\n\n
61050,566,沈宏,2017-11-07 12:32:41,6,7,1,老师人挺好的 每次下课都说 谢谢同学们认真听讲 挺惭愧的...
63960,566,沈宏,2017-12-20 06:02:22,9,9,0,真心想好好教学的老师，不给10分对不起良心
74422,566,沈宏,2018-02-21 05:39:36,8,8,0,普化讲得真心赞，讲得清楚，耐心，将难以理解的科目变得易于理解。
75432,566,沈宏,2018-03-12 01:45:37,1,1,0,普化讲的真心好
77232,566,沈宏,2018-05-04 05:01:47,2,2,0,老师人超好，上了他的仪器分析。感觉上课很有意思，可能是我太菜了hh，成绩一般。老师是个好老师，超级棒
77277,566,沈宏,2018-05-04 09:41:10,4,4,0,仪器分析讲得很清楚很好\n\n
77492,566,沈宏,2018-05-06 04:09:52,2,2,0,人很好
77570,566,沈宏,2018-05-06 14:30:27,3,3,0,老师真的超级好，建议大家选他，课堂内容很丰富，讲的很详细，老师很温柔
89820,566,沈宏,2018-11-21 02:33:28,0,0,0,666
93028,566,沈宏,2019-01-07 03:51:00,2,10,8,为什么要在期末考试前一周让我们至少找出分化课本上的10个错误？如果一本课本有这么多的错误，那这本书也太失败了吧？
94101,566,沈宏,2019-01-15 07:46:02,2,2,0,明人不说暗话，老铁666
95797,566,沈宏,2019-01-20 05:24:28,2,2,0,老师温柔，有些些啰嗦，然而我还是学不会
97945,566,沈宏,2019-01-25 11:27:14,3,3,0,老师人超棒！
97961,566,沈宏,2019-01-23 02:45:20,1,1,0,老师人很好，很细心。
99900,566,沈宏,2019-01-25 09:20:31,1,1,0,呵呵呵呵
99987,566,沈宏,2019-01-25 11:50:31,5,5,0,论一张A4纸如何救命（褒义）
100000,566,沈宏,2019-01-25 12:17:09,-38,1,39,老师真的很棒\n\n但是期末绩杀 只有4.2
100015,566,沈宏,2019-01-25 12:43:25,-30,5,35,感谢老师半开卷，试卷上要考的都写了，虽说最后也只有4.8，但老师真的超好啦！
100020,566,沈宏,2019-01-25 12:48:15,-25,5,30,虽然被卡绩了，只有4.5。但是还是感谢老师，沈老师教得不错。
100291,566,沈宏,2019-01-26 02:13:57,0,1,1,每次上课提早半小时到 有一次教师们都没开?\n\n总想着比老师早到一回 却总是失败\n\n期末考试分析化学复习了整整五天（导致C程无力补天）所幸结果不错 努力有收获
100308,566,沈宏,2019-01-26 02:43:21,2,2,0,老师好有礼貌啊，而且很儒雅
100436,566,沈宏,2019-01-26 06:30:49,2,2,0,超喜欢沈老师，虽然预置老师不是沈老师，但还是慕名来听沈老师的分析化学，收获很大。老师讲课清晰，答疑耐心，有些答疑不到位的地方会晚上查资料第二天重新给你讲解一遍，人很儒雅，每节课后都会说“感谢大家认真听讲”。喜欢~
100437,566,沈宏,2019-01-26 06:31:03,2,2,0,老师讲课清晰，答疑耐心，而且人超级nice。每节课下课都会说“谢谢同学们认真听讲”，超儒雅呀
100553,566,沈宏,2019-01-26 09:40:26,0,0,0,老师真的很贴心， 备课讲课很认真，回答问题很细致，十分十分♥
100756,566,沈宏,2019-01-26 17:23:31,0,1,1,老师真的太好了TT 备课太用心了，考试划重点认真听分化就有指望了 感谢老师让我分化上4
100808,566,沈宏,2019-01-27 01:02:10,3,3,0,超级棒的老师
110003,566,沈宏,2019-07-01 22:29:51,6,8,2,助教很垃圾，，平时分极低，作业b，c档一大把。老师上课有条理，讲的也很清楚，就是没有重点，很容易走神。最后，绩杀哦！认认真真复习了一个礼拜，感觉发挥的不错，大题有一道刚好做到了，2.4，历史最低。。
111500,566,沈宏,2019-07-01 23:19:26,5,6,1,这个绩点，感觉不会再爱了，明明自己学的还可以，平时小测也在班级中游水平，结果出来后1.8，什么鬼，?再见
111514,566,沈宏,2019-07-02 00:18:56,4,4,0,老师人很好，讲课也很有条理，但是真的是绩杀啊<(ToT)>
111520,566,沈宏,2019-07-02 03:11:13,11,13,2,woc，，，这个什么辣鸡猪脚，，平时群里有人问问题一点都不回答，，作业随随便便改，随便一下就是b，c档，没见过这么不负责任的助教，您咋不把给个e啊，e显得您多厉害啊~~~不过老师人是好的，绩点不好看，也不能怪老师，沈老师平时上课讲的很细致，回答问题也很细心，只是分析化学这门课太难了，而且期末占比80％，确实是考的不好，给老师10分！
111559,566,沈宏,2019-07-02 03:10:13,2,3,1,老师9分 助教0分，认真复习了一个多星期，考试感觉也不错 3.0
111565,566,沈宏,2019-07-02 03:34:02,2,3,1,老师上课上得很好，每次下课都会说谢谢同学们认真听讲，说实话，是个挺好的老师，但是试卷出的实在恶心，理科硬生生考成文科，绩点实在不敢恭维。此课慎选，除非你把正本书背下来，才有可能的高分
