评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
8353,11,陈烨,2015-09-19 05:29:17,0,4,4,炒鸡好
24233,11,陈烨,2016-10-21 12:49:41,5,13,8,老师超帅！声音巨好听！给分又好！秒变迷妹啊啊啊啊啊啊\n\n
24234,11,陈烨,2016-04-28 15:59:51,2,5,3,给分很好\n\n
24253,11,陈烨,2016-04-29 01:42:49,2,5,3,给分超好！！！基本高中知识（适合刷分）老师人也很nice
50291,11,陈烨,2017-05-02 07:53:34,0,6,6,该老师吓打分
50461,11,陈烨,2017-05-03 04:52:48,-1,2,3,认真听会很有收获，但不听也没有什么.除了专业知识，老师也会讲一些有趣的故事.
50942,11,陈烨,2017-05-09 13:54:07,-2,4,6,给分高不解释。
78101,11,陈烨,2018-05-09 10:20:47,-3,2,5,长得帅给分好
78548,11,陈烨,2018-05-13 01:49:04,-4,3,7,老师人帅声音好听！给分巨好！上课很轻松，没有任何硬性要求，只有一篇课程小论文和一个ppt，没有考试！哇竟然满了，开心！
86981,11,陈烨,2018-09-20 00:55:42,-4,1,5,超级温柔的老师，上课也很有意思
106810,11,陈烨,2019-04-29 23:58:39,-5,1,6,很棒！
135089,11,陈烨,2021-04-30 02:52:05,-7,1,8,估计全员4.8吧
140597,11,陈烨,2021-09-14 06:10:23,0,4,4,老师很温柔人很好
172898,11,陈烨,2023-05-09 12:50:57,0,0,0,23年春学期细胞工程。老师人很好，给分很好，考的都是上课讲过的/书上有的，大部分是浙江省生物选修三的拓展加深内容，如果以前学得好考试可以不用花很多时间复习。考试形式是选择、名词解释和论述题。
192005,11,陈烨,2024-05-07 09:06:17,0,0,0,24春学期上课，最后纸质签名一次，画思考题重点，平时上课像科普，给分与期末答题关系很大，需要了解老师讲的东西，不挂人，但高分也没那么容易的
200493,11,陈烨,2024-10-17 15:37:37,4,5,1,哒哒哒，我们班主任，人帅，脾气好，有同学当面开大说联系不上班主任，当场抱歉回复，同时开会也是随和，很好的老师
205442,11,陈烨,2024-12-06 10:15:44,4,4,0,班主任，人巨好，无脑冲！！！
218157,11,陈烨,2025-04-24 00:30:47,2,2,0,细胞工程考试有点黑化了，范围比较广，需要前置知识。但是老师讲课确实非常耐心有趣，期末考完也在捞捞，就我个人感觉还是很捞的，两次签到的情况下平时分也基本给满。如果对前置知识掌握的比较好还是很推荐的。
218377,11,陈烨,2025-04-23 04:07:07,-1,1,2,老师好像黑化了，细胞工程别选！！\n\n“我们这个课程，最后总评80分以下同学都需要深刻反省一下自己的学习态度”\n\n“70分以下的同学，自己明白，说实在话是配不起求是学子这个称号了”\n\n\n\n今年卷子纯考素养灵活得离谱……
218520,11,陈烨,2025-04-24 06:53:01,2,2,0,老师黑化了。。。。。感觉人很好，但是考试好像没怎么捞
50926,38,莫肖蓉,2017-05-09 06:37:02,2,2,0,很好的呀！
87503,38,莫肖蓉,2018-09-30 03:10:49,0,3,3,讲课很乱，没有主线，ppt就是课本内容，上课听不懂看书吧
88582,38,莫肖蓉,2018-11-02 03:13:40,0,0,0,Horrible
91116,38,莫肖蓉,2018-11-30 11:39:23,1,1,0,老师的课挺有意思的
102081,38,莫肖蓉,2019-01-30 10:51:34,20,24,4,我永远怀念张三基因
125195,38,莫肖蓉,2020-09-03 10:37:40,5,5,0,www，给了我4.8，谢谢老师
125250,38,莫肖蓉,2020-09-04 13:43:29,-12,6,18,老师给所有人都4.8吗？？
194063,38,莫肖蓉,2024-06-21 20:17:51,0,0,0,求过求过求过
201940,38,莫肖蓉,2024-11-07 13:46:32,2,2,0,给分一般
98099,47,程磊,2019-01-23 05:19:16,31,33,2,老师我听不懂你在说什么呜呜呜
170445,47,程磊,2023-03-05 04:15:43,10,10,0,和常杰有的一拼了哈哈哈哈
170512,47,程磊,2023-03-06 03:55:17,11,13,2,sb老师不愿再多说，啥问题都是已读不回，给分超级烂讲课让人昏昏欲睡，确实和常杰有的一拼了
170513,47,程磊,2023-03-06 03:58:11,8,8,0,真的很无语，一分送上，谁来救救生态学子（哭
170579,47,程磊,2023-03-07 01:52:26,6,6,0,不愿多说（悲伤）必修课没办法，只能奉劝各位千万不要迟到吧
181364,47,程磊,2023-10-16 03:23:13,2,2,0,上课听不太懂，每节课点名，上课提问有点无厘头和不知所云
181697,47,程磊,2023-10-28 09:43:15,2,2,0,纯纯的sb老师\n\n讲课讲得一坨屎，事儿还巨多，上课提问不知所云
