评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
128386,5733,朱永群,2020-12-22 02:57:32,-4,3,7,荣获第十六届“中国青年科技奖”\n\nhttps://mp.weixin.qq.com/s/5tkBq97UBGba5HHIFnffhQ
154042,5739,黄俊,2022-05-20 05:06:07,-9,3,12,很nice的老师
181710,5739,黄俊,2023-10-29 11:41:50,8,8,0,生物化学，上的和他的使一样臭
184488,5739,黄俊,2023-12-20 16:35:13,13,13,0,只能说，生物化学赶紧跑，本人根本不来上课，找了两个PI来上，根本就一点也不会上课，对着PPT就是念，一学期妄想讲完两大厚本的内容。饿了找使吃都不至于这么着急吧？或者换个重点清晰的老师？还tm全是重点，学不到任何东西，我看你的头长得像个重点，这种教学的货色就别舔着脸上课了，收拾东西，滚蛋
184984,5739,黄俊,2023-12-25 04:28:03,7,7,0,生物化学赶紧避雷，逃
186992,5739,黄俊,2024-01-14 04:56:08,8,8,0,复习生物化学复习到想死，乱讲一通，乱考一通。能换老师就换吧，千万别来，强基班就配了这样一个老师？
189301,5739,黄俊,2024-01-23 03:33:46,8,8,0,6，，，
189302,5739,黄俊,2024-01-23 03:39:48,6,6,0,烂到极致，蚌埠住了
189344,5739,黄俊,2024-01-23 09:40:01,5,5,0,66666
189464,5739,黄俊,2024-01-24 12:53:14,8,8,0,这位更是yituo，上课频繁点名，考试重点不划，期末给分极低
189474,5739,黄俊,2024-01-24 14:46:34,7,7,0,请避雷\n\n黄俊（茹衡/陆华松）老师的生化/生物化学！！[吐血]\n\n标的是黄俊实际上是后面两位上课\n\n早八基本每节课都点名 讲得烂 出题偏 给分史 五毒俱全
189487,5739,黄俊,2024-01-25 01:52:33,5,5,0,💩\n\n至少写三个字？\n\n💩💩💩
189606,5739,黄俊,2024-01-25 17:10:02,4,4,0,生化讲的挺好的😇，下次别讲了
122006,5794,王立铭,2020-01-30 14:33:11,6,6,0,看到了王教授对于科研的理解 也看到了王教授对于学术界乱象的批判
122891,5794,王立铭,2020-04-17 04:28:44,9,10,1,恍若天人
122892,5794,王立铭,2020-04-17 05:38:57,7,8,1,不多说了，给老师一百分都不为过！
122893,5794,王立铭,2020-04-17 05:41:00,5,5,0,大金主冲冲冲！
122894,5794,王立铭,2020-04-17 05:43:40,4,4,0,棒棒棒！
122895,5794,王立铭,2020-04-17 05:49:29,7,7,0,真的是叹为观止！思路清晰，讲课幽默，学识渊博，还请众多大佬前来助阵！报了就是赚了，选上就是福气！
122896,5794,王立铭,2020-04-17 06:08:47,2,3,1,好好好
122897,5794,王立铭,2020-04-17 06:56:42,4,4,0,生命现象的基本原理：\n\n\n\n我学过的课中课程资源最丰富（好像是因为分配经费多）的一门，会有一年的“得到”会员，赠送的付费课程。\n\n蹭课的同学比选课的同学都多。。。\n\n老师总想着带大家吃肉喝啤酒。。。\n\n\n\n（个人认为）这是通识选修难度很大的一节课（毕竟是通识核心。有哥们知道百万立方的情况吗？不要被吓得不敢选了orz）\n\n我们是第一届，一周两次课，每次3节。\n\n每次会布置2-3篇英文原文文献阅读，（每篇discussion及其之前的正文部分2000-3000词左右，没细数），及配套的课堂总结（也就半面）。\n\n后面会有几次大作业\n\n（一次带PPT的presentation（会配套一篇词数更多的文献），presentation配套的书面报告，还要创作科普文章，课外书读书报告3-5面）。\n\n而且大一、大二、生物专业三方面学生一起上课，可能会存在竞争。\n\n\n\n因此我想建议报这门课的同学，也许你应该具备一下几个条件之一，如果你具备上一两条的话，在这门课中你也许会负担更少、收获更多：\n\n1.大二学生\n\n2.过六级（按照大二学生的水平，电脑翻译论文的效果十分有限）\n\n3.修过概率论与数理统计（实际上对于实验本身这并不重要）\n\n4.修过分子生物学或能记得高中生物学知识。\n\n5.真正喜欢生物学，对前沿课题有好奇心（老师在第一天就说这点很重要）。
123423,5794,王立铭,2020-06-08 16:29:41,0,1,1,英语要求有点高，每节课前都要阅读相关英文论文，需要英文功底，或者下个翻译机看机译。通核课送的东西好多，八本英文原版生物书籍，得到会员，课程。
133990,5794,王立铭,2021-03-11 09:43:08,4,4,0,金主大人每节课给我们送吃送喝
135669,5794,王立铭,2021-05-18 13:44:41,5,5,0,“以生物学家的思维看待世界”\n\n希望其他学科也有这样提纲挈领的通识科普课！
135780,5794,王立铭,2021-05-25 10:08:33,1,1,0,真的太好了不知道该怎么表达感谢的心情了\n\n不只是在上课，也是在讲很多人生的哲理。是真正的搞学问的大师开的课程！
135784,5794,王立铭,2021-05-25 16:03:23,0,0,0,虽然作业有点点多\n\n但是真正能学到东西\n\n且很为学生着想的老师\n\n尽管生物科学有其特殊性\n\n但如许多评分所讲\n\n老师不是在讲知识\n\n而是在传递思想\n\n增进我们的学识\n\n庆幸大学生涯有过这样一位老师\n\nrespect
136174,5794,王立铭,2021-06-12 01:56:09,0,0,0,力荐生原课！上课包午餐（披萨）包零食，还送了一大堆书，给分也超好，上课内容也有趣。
152429,6109,沈立,2022-04-18 02:33:46,9,11,2,一直念ppt，而且没念熟，声音比较催眠，但又不敢在后排摸鱼/补天，毕竟他下课前会叫一堆人总结上课的内容，建议zju取消类似水课，多开设一些对学生真正有意义的课程，这样的水课既折磨老师又折磨学生
161506,6109,沈立,2022-11-08 02:51:58,1,1,0,声音好听，但是催眠，遭不住
140849,6136,林世贤,2021-09-17 01:44:10,5,9,4,老师人超好！认真负责，喜欢。
140850,6136,林世贤,2021-09-17 01:45:47,2,5,3,黄俊老师的生化其实是林世贤老师和杨兵老师代课\n\n还是很有趣的\n\n（只要你比较闲）
160252,6136,林世贤,2022-09-16 01:28:10,1,1,0,高情商：认真负责
160744,6136,林世贤,2022-10-09 02:01:00,1,4,3,大离谱，小测在考什么鬼啊，上课啥也不讲，讲课很虚无，不推荐，事情贼多，强基的大家避雷吧。\n\n还没到期末，给分不清楚。
161415,6136,林世贤,2022-11-07 00:20:07,0,1,1,离大谱。\n\n考试全英文。
182145,6136,林世贤,2023-11-10 14:52:34,0,1,1,老师很有水平，生化就该这么讲，说考试英文的那位，学生物怎么能排斥英语呢？
160348,6275,宋海,2022-09-20 02:43:39,0,1,1,老师人很好，发言时候被提问回答不上来，还帮我解释_(:з」∠)_
177384,6275,宋海,2023-07-03 05:53:10,0,0,0,谢谢老师捞捞我的发育生物学（哭）看到试卷真的差点眼泪掉下来，从上课到复习到考试没觉得自己离挂科这么近过，好在最后没有挂呜呜呜
197283,6275,宋海,2024-07-10 08:39:19,0,0,0,大生。一次大分享，一次小分享，三份思维导图和期末考。事情不算特别多，老师要求也没有很高，最后4.5还是蛮满意的！
198720,6275,宋海,2024-09-11 06:06:00,0,0,0,给分不好
221373,6275,宋海,2025-06-23 06:31:15,0,0,0,给分震撼一整年。从上课形式、课件内容、考核形式到给分居然有全方面完蛋的六边形战士，发育生物学由7-8个老师拼盘上课，一人一节，期末卷子也是一个老师出一题，考核标准为40%论文+60%期末考，论文是针对老师发给每个学生的论文（一般来自CNS等期刊）写读后感，实在是想了一晚上没想通居然给分是将近挂科的水平，复习了一个月，4年的历年题都过了一遍，给出了我整个大学的最低分。希望学院开设课程的时候真的为学生考虑考虑，就我所知别的老师开设的发育至少讲课内容逻辑很连贯，能够让学生在一学期内初步了解发育的研究内容、方法等，也能让对发育方向有兴趣的生科/医学同学有一个初步了解。这样的拼盘课讲课毫不连贯，每位老师自己研究的是什么，就讲什么，讲课内容也是非常冗杂、难以找到重点，有三位老师的PPT页数在150-200页，我私以为生物专业的课程是为了让学生能够初步而比较全面地去了解某个方面，作为未来科研规划的基石，而不是一味追求老师的多样性和科研成果展示。就是因为在学院几年的本科体验给我带来的痛苦和疑惑实在是太多，所以选择了离开这个学院，不过还是希望学院越来越好。
221710,6275,宋海,2025-06-25 10:53:53,0,0,0,大生不赖，不用画思维导图了，期末前一晚上开始背名词解释，喜提4.8
125341,6305,祝赛勇,2020-09-07 05:22:55,-4,1,5,是大大说
202152,6417,何向伟,2024-11-10 05:33:20,0,1,1,中文夹英文，也从来不解释啥意思，你装nm呢
180682,6757,茹衡,2023-09-25 01:17:57,1,4,3,有点点难评。读ppt类人群，但相对某有机老师来说还是清晰很多的
181709,6757,茹衡,2023-10-29 11:41:08,5,6,1,就是一个飞舞
184894,6757,茹衡,2023-12-24 05:58:37,3,3,0,茹老师，把你自己讲的课当成一坨屎，喂给你自己你都不愿意吃啊
189315,6757,茹衡,2024-01-23 06:33:02,4,4,0,😋😋😋
189488,6757,茹衡,2024-01-25 01:53:35,3,3,0,麻烦再增进一下讲课水平好吗\n\n服了
189535,6757,茹衡,2024-01-25 09:26:56,1,1,0,请避雷\n\n黄俊（茹衡/陆华松）老师的生化/生物化学！！[吐血]\n\n标的是黄俊实际上是后面两位上课\n\n早八基本每节课都点名 讲得烂 出题偏 给分史 五毒俱全
189605,6757,茹衡,2024-01-25 17:08:47,0,0,0,PPT reader中read最难听的那个
177060,7003,阎芙洁,2023-07-01 11:29:48,2,2,0,上课很认真很耐心，会叫人起来回答上节课的知识点，作业是一次分享一篇论文还有实验课，稍微有点多，总体来说还不错的上课体验
179820,7003,阎芙洁,2023-09-20 01:49:04,2,2,0,nice！
205096,7003,阎芙洁,2024-12-01 10:56:15,4,5,1,事情太多了，我不明白两学分的课为什么又要小组pre又要写论文又要打辩论。我上的史纲马原的课只要三千字，为什么两学分的课要四千到五千字？
209891,7003,阎芙洁,2025-01-07 10:28:27,1,1,0,首先老师人很好，给的分我个人觉得比较合理~但是不知道是课程要求还是什么原因，作为通识课事真的有点多来着🥺
210289,7003,阎芙洁,2025-01-08 17:38:44,4,4,0,8分吧，上课事情非常多，首先分小组五人选一个课题进行pre，期末考核的论文就是以此为主题的4000-5000字论文。然后就是打辩论赛（i人地狱），但是输赢都会有小礼品，而且老师会提出一些意见。其实课堂是非常有趣且老师真的在认真教授知识的，也让我感受到通识课的魅力。但是事情实在过多了。好在期末论文疑似不查ai率，用chatgpt生成稍微修改了一下最后得分4.5，给分还是不错的。前期不点名，后期会现场点名（可以第二节课来补签，有人通知即可）。一般如果不缺勤和所有工作都完成给分好像都是4.5，缺勤/请假好像是4.2，辩论打得很好的应该能得4.8？（这个不确认，因为没有认识的得了4.8）总体比较适合希望真正去学习通识课的uu，课题还是非常有趣的，阎老师本人也是女神级别的
210855,7003,阎芙洁,2025-01-10 05:34:28,0,0,0,挺好的老师，很温柔，给分也不错
217403,7003,阎芙洁,2025-04-09 15:54:32,0,0,0,阎老师应该算生工食品难得的好老师了。阎老师有时候好像会自己做实验，对学生也很好，只是组里经费好少，感觉穷穷的。食品生物技术作业和考核主要是一篇comments+文献汇报+实验报告，工作量不大。实验课集中在一个周末上。老师结课还给学生送了小礼物。还没出分，希望老师能给一个好分数~
217484,7003,阎芙洁,2025-04-11 04:51:20,0,0,0,又想到一些东西，重新来评价一下。我猜阎老师会看查老师。\n\n阎老师本科和博士都是浙大生工食品毕业的，博后在浙大生研院，是完完全全的“本土”老师。阎老师在食品生物技术课上说她之前本科也上过这个课，好像也没学到什么，现在变成了她来上这个课，又重新学一遍。可以看出来阎老师努力在让这个课堂变得有趣吸引人，讲了很多她自己的经历，放一些视频，提问复习，让大家参与课堂。但是大家好像听课的也不多😂可能是因为这门课是个性选修，甚至都不是专业选修。\n\n关于课程任务：\n\n文献汇报：我觉得这个还挺好的，大家都很认真的去看了前沿的研究（一般都是CNS的文章），平均一个人能汇报40分钟（老师对时长没有要求，是学生自己准备的东西就很多）。还有提问互动环节，还算轻松愉快，回答不上来老师也不会说什么，会帮忙一起看看，老师可能也看不懂一些细节。\n\n实验：我觉得这部分有点为了实验而实验。大家都有点迷糊，很多都是助教做的。实验方案写的也不是很清楚，加上大家上课不怎么听，很多步骤其实都不知道是在干什么。pcr实验感觉没有什么意义（？），就是为了大家体验一下实验的感觉，可能是考虑到实验时间的问题吧。建议老师可以实验那一周课上再稍微讲一下实验原理什么的，大家印象会深刻一点。\n\ncomments：让大家了解这个文体吧，之前没有写过，我反正是ai+人工改了一下。
