评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
126308,5,夏灵,2020-09-22 06:07:25,8,10,2,挂科源泉
126521,5,夏灵,2020-09-29 06:03:53,5,6,1,离谱，就离谱
126523,5,夏灵,2020-09-29 06:34:34,5,6,1,快逃！
131179,5,夏灵,2021-01-26 11:39:23,4,5,1,就nm离谱
160606,5,夏灵,2022-09-28 01:59:28,17,18,1,听了三节课，唯一掌握的知识就是伦琴发现了x射线。。。
160741,5,夏灵,2022-10-08 14:45:59,7,7,0,什么垃圾啊 课讲不清楚 还老是点名？ 怎么好意思啊
165599,5,夏灵,2023-01-09 01:28:53,3,3,0,垃圾课，讲课垃圾。。。
170292,5,夏灵,2023-03-02 13:45:29,1,1,0,上完自己的部分之后基本没啥存在感，今天才知道成像课有过这个老师
171911,5,夏灵,2023-04-12 10:23:34,4,5,1,讲课相当烂，根本讲不明白，成像算是我大三上学期的痛了，除了hhj教的磁共振和pet其他都没学懂
180394,5,夏灵,2023-09-21 11:10:36,6,6,0,催眠，不会讲课
180395,5,夏灵,2023-09-21 11:12:45,4,4,0,上课坐牢
181853,5,夏灵,2023-11-02 11:01:07,37,39,2,自打上课以来一直听见教室里有蚊子的嗡嗡声，找了半天没找见蚊子在哪，最后在讲台上发现了xialing
181886,5,夏灵,2023-11-03 12:23:45,8,8,0,提前下课会不会是某种自知之明。。。
182409,5,夏灵,2023-11-15 15:52:24,4,4,0,明天又要去听他咳嗽了
182491,5,夏灵,2023-11-16 12:34:48,5,5,0,就趁我不在的时候点名，好在这b负责的部分总算结束了，好走不送
182625,5,夏灵,2023-11-18 12:11:48,10,10,0,刻、嗯咳咳、嗯、咳
183071,5,夏灵,2023-11-22 04:23:27,19,20,1,医影丁真，鉴定为：纯纯的烂课
183260,5,夏灵,2023-11-23 08:26:23,6,6,0,上课跟机器人一样只读ppt，完全不对过程进行分析，早点退休好吧
184027,5,夏灵,2023-12-06 13:26:30,10,11,1,传说有一个印度人，用CT检查，发现有一个肿瘤，卖房去新加坡切除肿瘤，结果发现是蟑螂
186013,5,夏灵,2024-01-07 14:35:59,6,6,0,如果你因为有他的课而来看他的查老师，那么恭喜你没得选啦，你接下来将会收获一段狗屎一样的上课体验和复习体验
