评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
16404,12,沈生荣,2016-01-18 04:59:00,7,8,1,呵呵.
16562,12,沈生荣,2016-01-18 11:21:39,9,10,1,其实课上得还不错，但是说好了给每个人都上八十，我直接一个79是怎么回事？
16585,12,沈生荣,2016-01-18 12:29:05,2,3,1,呵呵。
18004,12,沈生荣,2016-01-21 05:49:36,1,2,1,呵呵.
37985,12,沈生荣,2016-11-22 15:47:51,0,5,5,老师特别牛逼，上课扯各种在美国在德国在fda的经历等等，经历很丰富，讲的知识也很实用，据说不点名无考试只要最后上交一次作业就可以了……\n\n他说他的愿望是，你们人人都满分。
41128,12,沈生荣,2017-01-19 11:18:28,0,4,4,怎么说呢。。。老师人很好，要求很低，听起来很轻松也比较有用。但助教感觉没和老师沟通好，几节课老师去美国了，助教代课，感觉和老师的要求完全不一致，包括最后的作业。。。
44015,12,沈生荣,2017-01-17 08:08:41,2,3,1,老师还是挺好的，但是真的说好的80呢，为什么直接压在79了啊
44025,12,沈生荣,2017-01-17 08:21:58,5,6,1,什么鬼啊！！！第一节课说什么 我希望人人都过，人人都有个好成绩！！结果呢！！！你给我75分！！！3.0！！！绩点刷刷刷刷就给拉下去了好不好！！！
44035,12,沈生荣,2017-01-17 08:33:32,6,7,1,老师人挺好的，知道的东西也多，上课也轻松。但我只给及格分，因为这个助教实在是太烂了！老师本来说好的期末论文随便写没格式要求还特别强调别写太多，结果最后是助教改，论文都交上去了才提一些奇奇怪怪的要求......最后几次课老师去美国出差，都是助教上，迷醉，感觉助教只会念ppt，提一些无聊的问题（比如WTO是什么你知道吗？尴尬的问十分钟），英文发音简直比印度英语还让人崩溃：破fài（重音竟然在这儿）克特、噢热哥nāition等等等等，最后给分也差，请大家擦亮眼睛：千万不要被查老师上这个均绩蒙蔽了眼睛！！助教我给零分！！！
48525,12,沈生荣,2017-03-06 13:57:00,0,0,0,可以的\n\n
49589,12,沈生荣,2017-04-19 12:40:08,0,0,0,喜欢老师会讲很多有用的东西
49591,12,沈生荣,2017-04-19 12:54:23,0,0,0,很和善的老师
49676,12,沈生荣,2017-04-23 10:01:00,3,3,0,略水，念ppt之余讲些个人经历，刷绩点可以考虑。最后期末论文不宜学术化。
50283,12,沈生荣,2017-05-02 06:51:20,0,0,0,呵呵、骗人说给高分，上了贼船，还说什么自己很讲信用，辣鸡\n\n
50821,12,沈生荣,2017-05-06 02:04:08,1,2,1,这学期应该是老师自己给的分?绩点好高……大大大水课…最后的论文居然变成了展示一下直接给分
50835,12,沈生荣,2019-07-31 00:22:44,0,1,1,老师讲的还是挺好的，感觉春学期老师貌似亲力亲为给分，没见过助教。每节课都不点名，最后一节课展大概示下自己的文章的大略方向就行。不过虽然不点名，在最后一节课当你展示完把论文递给老师时，老师会判断你眼熟与否给平时分的
4495,97,刘东红,2015-06-24 02:55:52,2,4,2,讲课还好的，还算清晰，还会有一些有关企业的故事。就是ppt太难看了
34488,97,刘东红,2016-10-12 02:17:12,0,1,1,希望能认真备课…
114777,97,刘东红,2019-07-11 14:23:36,-2,0,2,很棒棒哟
145857,97,刘东红,2022-01-03 11:32:35,2,5,3,不懂得体谅学生，也算我们学院特色了。讲课符合学院水平，没有重点，一个不可多得的完美的浙大精英教师呢
145933,97,刘东红,2022-01-04 12:39:32,-2,3,5,同样是专业课，要么背海量知识点拿高分，要么舔老师拿高分，我宁愿选择后者【强】
