评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
685,6,应群民,2015-03-15 11:57:47,12,15,3,挺好的，就是有时候讲得太快，听不懂
2771,6,应群民,2015-05-07 05:46:35,5,9,4,上课挺有收获的，老师人不错，给分也超好。
2943,6,应群民,2015-05-11 11:38:56,5,6,1,一种考5分可以过的体验\n\n\n\n
7575,6,应群民,2015-09-15 05:14:25,31,34,3,笑容很赞！
8480,6,应群民,2018-01-18 16:06:29,4,4,0,老师人挺好的
13099,6,应群民,2015-12-25 01:03:01,24,26,2,绝对好老师，虽然这课算是通识里的奇葩……难的一笔
16009,6,应群民,2016-01-17 03:21:33,1,2,1,绝对好老师，和蔼可亲而且讲课好玩。
16013,6,应群民,2016-01-17 04:00:12,7,10,3,老师人很好，上课挺有趣的。电工电子学概论有两章内容真是难的一比，但其实考试内容还是比较简单的，开卷考试，考前看看书，得分还是会很高的。
16107,6,应群民,2016-01-17 08:17:13,14,15,1,通识新低
16538,6,应群民,2016-01-18 10:32:24,6,7,1,电工学概论这门通识太难了。。。。。所以说考不好也没办法了。但是考试其实不算特别难，老实人很好，讲得也好，ppt做的也很仔细，就是这门课分数有点低了。。
16539,6,应群民,2016-01-18 10:35:29,2,2,0,老师讲的很不错，人也好，ppt做的也好，但是电工学概论这门通识太难了。。。所以给分不很高
16738,6,应群民,2016-01-19 01:27:33,1,3,2,电工电子概论确实有点难，当时选了第二周就后悔了，不过好好学真的能学到好多知识，老师讲的也挺好的，平时作业要好好做。考试前会给大家看看以前的卷子，题目都差不多。
21926,6,应群民,2016-03-01 23:53:58,1,1,0,电工电子学概论大坑
29220,6,应群民,2016-06-29 12:29:09,1,1,0,好老师！！！！！！！
30495,6,应群民,2016-07-01 17:56:33,1,1,0,挺和蔼的
32985,6,应群民,2016-09-09 07:59:54,2,3,1,和蔼可亲的老师，不过电工电子学太难了经常听不懂。给分还不错，考前刷了几天夜最后还是上4了。
33216,6,应群民,2017-01-17 23:49:48,1,6,5,这老师我是真服了，小组的时候每次成绩都是9.5，后面自己做的也差不到哪去，最后给了一个班里80%的分。。我实验报告真的认真写了好吗……可能是我用的蓝黑墨水钢笔而老师喜欢黑色中性笔吧……
40606,6,应群民,2017-01-04 09:15:20,1,1,0,没上过理论课听不懂
41668,6,应群民,2017-01-12 10:23:05,2,2,0,电工电子工程训练 前几节课实验挺好玩 后来的上机啥啥的太难了吧
43955,6,应群民,2017-01-17 07:03:40,1,1,0,好老师，讲课真的稳
51434,6,应群民,2017-06-05 11:42:48,2,3,1,当初没看清课程名称就选到了电工电子工程训练，当时是想选电工电子学的。老师教的不错，人也很好，有耐心，但是这堂课真的不轻松
52978,6,应群民,2017-06-24 09:57:53,1,1,0,讲得很好，也很和蔼
55736,6,应群民,2017-07-02 09:53:04,0,4,4,给分神特么差，说不考的内容考了一堆，本来是计算的课偏偏被搞成硬背的课，太差咯
56140,6,应群民,2017-07-03 06:44:05,1,2,1,应用电子学这门课真的是醉了，不过老师还是非常不错的
58120,6,应群民,2017-08-02 05:06:46,0,1,1,不错的，讲得还可以
59303,6,应群民,2017-09-20 15:14:34,1,1,0,老师给分很好，人也很温柔很细致!很好的老师!
63443,6,应群民,2017-12-04 07:12:51,4,4,0,听课挺懵逼的，不过主要不看听课，实验的时候线路接好（线要接的漂亮），实验报告写好，给分还是不错的。
