评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
336,423,何俊杰,2015-03-15 00:59:45,64,75,11,讲课非常生动有趣 听他的课绝对不会无聊 不会想玩手机写作业 很赞的老师 心态很年轻 风趣幽默
1117,423,何俊杰,2015-03-21 16:12:41,31,34,3,我最喜欢的老师，或朋友。
1313,423,何俊杰,2015-03-21 23:45:28,26,29,3,往来古今的历史在他嘴里就好像他昨天刚看着发生一样。经常侃些小八卦，xxx和xxx肿么了，幽默风趣，绝对睡不着，不畏教条，带你看另一面的近代史
1480,423,何俊杰,2015-03-22 07:04:30,5,6,1,八卦幽默能和学生做朋友的老师，赞！
1599,423,何俊杰,2015-03-23 01:13:25,10,11,1,特别好的老师，赞一个
1648,423,何俊杰,2015-03-23 05:31:45,2,3,1,好老师，作业也不多
1735,423,何俊杰,2015-03-24 01:11:15,4,6,2,很好的老师
1927,423,何俊杰,2015-03-26 08:49:24,8,11,3,棒棒哒，真棒，good，给分超级无敌棒
2157,423,何俊杰,2015-04-03 04:05:54,23,26,3,作业少，给分不错，没分组，不提问
2356,423,何俊杰,2015-04-27 07:05:44,8,11,3,来我大俊杰陶冶思想 (*'▽'*)♪\n\n
2387,423,何俊杰,2015-04-28 04:32:09,46,50,4,何俊杰老师真的超级男神！听他的课三节课一下子就过去了。他不仅仅是讲历史，还在无形之中将许多人生tips传授给学生
2576,423,何俊杰,2015-05-04 14:40:53,22,24,2,好朋友
2899,423,何俊杰,2015-05-10 16:35:29,7,8,1,听他的课会觉得时间过得很快，很风趣
2902,423,何俊杰,2015-05-10 17:42:58,0,5,5,上课不错，绩点一般
3749,423,何俊杰,2015-06-17 03:17:30,6,7,1,老师超级棒，给你剖析历史中你不知道的那些事
4461,423,何俊杰,2015-06-23 09:10:14,2,3,1,良心
4478,423,何俊杰,2015-06-23 11:38:46,2,3,1,好
5456,423,何俊杰,2015-07-07 15:49:12,5,6,1,讲课幽默又能学到很多东西，可以改变你的人生的好老师，
5548,423,何俊杰,2015-07-08 07:36:07,20,22,2,还原历史的真相，容易被封杀的那种神人
5942,423,何俊杰,2015-07-10 03:22:09,5,6,1,讲课好有意思!本来像写作业也被吸引过去了!!
6344,423,何俊杰,2015-07-13 05:56:38,5,7,2,推荐
7425,423,何俊杰,2015-09-14 10:42:54,5,6,1,爱
16584,423,何俊杰,2016-01-18 12:28:51,10,10,0,何小师男神\n\n
18967,423,何俊杰,2016-01-23 00:56:05,5,5,0,渊博、知性、睿智、平易、逗比~
