评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
87960,4019,王珏,2018-11-16 11:02:09,35,35,0,老处女 奇葩
99141,4019,王珏,2019-01-24 10:17:37,32,32,0,一言难尽
123113,4019,王珏,2020-05-10 12:18:20,29,29,0,奇葩的一批
123142,4019,王珏,2020-05-12 15:51:12,27,27,0,不知道该怎么说
82166,4923,陈凯旋,2018-07-07 09:58:18,0,0,0,。。。。。
88324,4923,陈凯旋,2018-10-28 12:09:14,0,1,1,讲课水平不错，很生动，就是会拖课，听到后面有点吃力
110039,4923,陈凯旋,2019-06-21 13:51:19,1,1,0,………
112272,4923,陈凯旋,2019-07-04 00:33:15,0,0,0,我菜爆了
160837,4923,陈凯旋,2022-10-16 12:48:22,1,1,0,压堂时间太久
176133,4923,陈凯旋,2023-06-28 02:25:02,2,2,0,拖堂太久了
176134,4923,陈凯旋,2023-06-28 03:14:37,9,11,2,妈的，傻卵一个
176136,4923,陈凯旋,2023-06-28 02:35:50,9,10,1,你妈了个臭逼，给分超差
176137,4923,陈凯旋,2023-06-28 02:37:19,5,5,0,给分确实不好，选课的时候能换择换
176146,4923,陈凯旋,2023-06-28 03:00:24,4,5,1,醉了，，，真心是醉了，，能跑的话快跑吧
176152,4923,陈凯旋,2023-06-28 03:32:03,2,3,1,妈的，傻卵一个
176153,4923,陈凯旋,2023-06-28 03:19:13,-3,1,4,有点拖堂，但是讲的好给分也好
176164,4923,陈凯旋,2023-06-28 03:36:21,6,6,0,讲课还可以 但是绩杀 快逃
176170,4923,陈凯旋,2023-06-28 03:39:22,4,4,0,形策给分有点磕碜
176212,4923,陈凯旋,2023-06-28 05:22:37,2,2,0,拖堂，分低
176213,4923,陈凯旋,2023-06-28 05:22:15,1,1,0,。。。。。
176214,4923,陈凯旋,2023-06-28 05:24:05,2,2,0,绩点很爆炸
176231,4923,陈凯旋,2023-06-28 06:29:41,1,1,0,给分？
176253,4923,陈凯旋,2023-06-28 07:20:06,1,1,0,一般。
176335,4923,陈凯旋,2023-06-28 12:22:20,-2,0,2,老师确实给分不是很好，但是骂老师也不好吧。。。
176356,4923,陈凯旋,2023-06-29 11:19:04,4,4,0,我日你大爷你个老逼登子
176361,4923,陈凯旋,2023-06-28 14:25:30,1,1,0,你是个什么东西，给这么差的分😅
176400,4923,陈凯旋,2023-06-28 17:09:13,0,0,0,真不行
176598,4923,陈凯旋,2023-06-29 11:23:43,0,0,0,老不死的我他妈辛苦了一年你给我这么点分？你个为老不尊的东西
176730,4923,陈凯旋,2023-06-30 02:36:58,1,1,0,爱拖堂给分又差的老东西
176732,4923,陈凯旋,2023-06-30 07:54:41,1,1,0,。。。。。。狗日的
177799,4923,陈凯旋,2023-07-05 06:09:21,0,0,0,为什么没有0分。。。。。。
178462,4923,陈凯旋,2023-07-12 04:57:38,0,0,0,快逃！！！！！！！
178527,4923,陈凯旋,2023-07-13 12:34:38,0,0,0,。。。。。。
178738,4923,陈凯旋,2023-07-21 05:55:35,0,0,0,。。。。。。
180752,4923,陈凯旋,2023-09-25 18:25:31,0,0,0,给分差
