评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
6831,2948,余逊达,2015-07-23 11:14:40,-3,7,10,美国政治前几节关于美国宪法的内容讲的还不错，后面的章节准备不充分，有点照本宣科的意思，逻辑不是很明晰，有点昏。
10253,2948,余逊达,2015-11-17 19:02:51,7,7,0,醍醐灌顶
30615,2948,余逊达,2016-07-02 05:08:25,8,9,1,讲课真的很棒
46736,2948,余逊达,2017-01-22 08:51:49,17,30,13,余老师去年刚当上浙江大学社科学部主任，可以是浙大社科的掌门人。上课非常强调一种宏观视野，我觉得他理论部分讲得很好，给了我很大启迪。考试是全英文的，重在理解而不是死记硬背，最后我绩点也不错。唯一不足的是考试时纪律太差，这么多人上厕所是什么鬼。
46786,2948,余逊达,2017-01-22 10:12:05,-1,2,3,还好吧
49271,2948,余逊达,2017-04-01 02:49:26,3,5,2,非常非常喜欢余老师，是个很有人格魅力对学生很好的老师。工作经验丰富，见识广。上课风格自由畅所欲言～受益匪浅
51967,2948,余逊达,2017-06-14 03:18:45,5,5,0,良心老师，感觉还是能学到很多东西的
76747,2948,余逊达,2018-04-20 08:52:16,6,6,0,进浙大后最崇拜的老师！学术功底真的很深厚！上他的课受益匪浅！
80841,2948,余逊达,2018-07-02 03:07:31,-2,4,6,事情少不点名考试很轻松水水就拿4.5，强烈推荐！
86040,2948,余逊达,2018-08-28 16:09:21,0,0,0,最棒的老师
87366,2948,余逊达,2018-09-27 12:30:55,0,0,0,获益匪浅，醍醐灌顶\n\n
100707,2948,余逊达,2019-01-26 15:10:19,1,1,0,听老师上课是一种享受，受益匪浅
102131,2948,余逊达,2019-01-30 14:52:48,6,6,0,我觉得老师真的是对教学非常有热情的人，学识渊博，喜欢把我们称为“你们这些小朋友”，给分也不错哟，如果是真的想要学习干货知识推荐余老师
103019,2948,余逊达,2019-02-25 11:49:03,4,6,2,说真的…我上学期退了国际政治经济学，这个学期又选了老师的美国政府的课。IPE是真的难，弃修的外系朋友不少，慎重吧。但是余老师讲的太好了以至于我这学期就忘了上学期的苦水又选了…
110541,2948,余逊达,2019-06-27 10:27:26,-1,5,6,口若悬河，但学术能力一般，所以才被某教授在课上公开嘲讽
132346,2948,余逊达,2021-02-01 03:35:13,0,1,1,我上大学以来见过的学术水平最高的老师之一
132347,2948,余逊达,2021-02-01 03:35:10,0,1,1,我上大学以来见过的学术水平最高的老师之一
43919,3290,何文炯,2017-01-17 06:24:19,-4,7,11,老师真的非常棒！非常朴实亲切，但是又很有智慧，认识非常独到！有这样的好老师中国一定会更好！
45697,3290,何文炯,2017-01-20 02:55:26,-4,6,10,博学广文，开拓思潮
67404,3290,何文炯,2018-01-21 06:19:51,4,22,18,超级nice何老师，“我是国家培养的人，我一定要追求真理，为国家建设出力，以前我没地位，说话不好使，现在有点地位了，我一定要说真话，做出努力。”
67427,3290,何文炯,2018-01-21 07:32:29,41,61,20,一个能说服灵隐寺买生育保险的老师
77971,3290,何文炯,2018-05-09 04:14:46,-7,7,14,知识渊博、胸怀天下、知人疾苦、品德高尚！
77974,3290,何文炯,2018-05-09 04:18:40,-7,6,13,谦虚的老师，给人感觉很舒服
77975,3290,何文炯,2018-05-09 04:19:13,-8,2,10,非常实在，学识渊博的老师。
77976,3290,何文炯,2018-05-09 04:31:40,-7,9,16,最敬佩的一位老师，有知识分子的风骨和实干教育的精神。当年老师还不招博士，没能投入老师门下是我求学生涯最大的遗憾。
77977,3290,何文炯,2018-05-09 04:21:20,-11,1,12,醍醐灌顶，治学严谨\n\n
77978,3290,何文炯,2018-05-09 04:21:23,-3,8,11,何老师擅长用简洁的话语、清晰的逻辑来解释学术问题，功力深厚。还有，记得听老师的话，多生孩子！
77979,3290,何文炯,2018-05-09 04:22:46,-8,1,9,严肃 专业 认真
77980,3290,何文炯,2018-05-09 04:25:03,-8,2,10,知识渊博，上课风趣，收货很多。而且，特别关心学生
77981,3290,何文炯,2018-05-09 04:25:06,-8,2,10,认真负责 专业度很高
77982,3290,何文炯,2018-05-09 04:25:37,-7,1,8,严肃认真，会让学生准备课时上去讲解
77983,3290,何文炯,2018-05-09 04:25:59,-7,3,10,何老师讲话风趣幽默，擅长于使用举例的方法将复杂的问题简单化，也经常在讲课中融入数学和哲学的思想。
77984,3290,何文炯,2018-05-09 04:26:25,-7,0,7,抓重点，有意思
77985,3290,何文炯,2018-05-09 04:27:03,-9,1,10,从忐忑紧张，到舒适自然，最后到如获至宝。这就是何老师精算课的魅力！
77986,3290,何文炯,2018-05-09 04:27:05,-7,4,11,贼棒！收获非常多，还可以听中国社会保障学会的大牛们开会٩( 'ω' )و
77987,3290,何文炯,2018-05-09 04:29:04,-7,3,10,用故事讲明学理
77988,3290,何文炯,2018-05-09 04:29:10,-7,0,7,特别好的老师。知识渊博，听他的课受益匪浅。
77989,3290,何文炯,2018-05-09 04:30:02,-7,0,7,老师讲课很有深度 能学到很多东西
77990,3290,何文炯,2018-05-09 04:33:34,-7,4,11,大学生涯中最喜欢的老师top3～幽默风趣，可以学到很多～
77991,3290,何文炯,2018-05-09 04:31:05,-7,0,7,很棒的老师
77992,3290,何文炯,2018-05-09 04:31:02,-7,0,7,紧张期待又害怕，老师讲课很幽默，同时对同学们都要求也很高！
77993,3290,何文炯,2018-05-09 04:31:20,-7,0,7,一个字值
77994,3290,何文炯,2018-05-09 04:31:41,-7,0,7,神经高度紧张，不敢开小差，怕错过重点
77995,3290,何文炯,2018-05-09 04:31:45,-6,0,6,老师很亲切，乐于和学生交流
77996,3290,何文炯,2018-05-09 04:32:03,-8,0,8,会纠结公式字母写的完不完美的男神！
77997,3290,何文炯,2018-05-09 04:32:53,-7,0,7,获得了社会保障的全新打开方式，知识点穿插小故事，非常棒！
77998,3290,何文炯,2018-05-09 04:34:45,-7,0,7,风趣幽默的一位老师
77999,3290,何文炯,2018-05-09 04:34:58,-7,2,9,Ting听何老师的课真的要高度集中，前期预习必备啊
78000,3290,何文炯,2018-05-09 04:36:54,-7,0,7,如沐春风。
78001,3290,何文炯,2018-05-09 04:36:57,-7,0,7,事物繁多却永远神采奕奕，专注学术也不落教书育人！很荣幸能成为何老师的学生，何老师在前面快步行走，我们在后面一路小跑的情形至今都印象深刻～
78002,3290,何文炯,2018-05-09 04:38:32,-7,0,7,何老师带我重新理解了保险这个行业 消除了我对这个行业的偏见
78004,3290,何文炯,2018-05-09 04:41:38,-7,2,9,何老师说：要多生几个啊，至少生两个，为国家做贡献。
78005,3290,何文炯,2018-05-09 04:43:52,-8,0,8,没有感觉到学习精算学的痛苦，教学水平可见极高
78006,3290,何文炯,2018-05-09 15:59:43,-6,0,6,高山仰止，景行行止
78008,3290,何文炯,2018-05-09 04:47:36,-7,0,7,父亲一样的老师，谢谢何老师的培育教导
78010,3290,何文炯,2018-05-09 04:49:33,-7,0,7,nice，情商高
78011,3290,何文炯,2018-05-09 04:52:44,-6,0,6,讲课幽默，又能深入浅出。
78014,3290,何文炯,2018-05-09 04:56:20,-6,0,6,感觉老师很有想法 听他的课受益很多
78016,3290,何文炯,2018-05-09 04:59:13,-6,0,6,教学认真 做事细致 待人亲切 当之无愧的好老师
78017,3290,何文炯,2018-05-09 05:01:08,-6,0,6,特别有学识的一位老师
78018,3290,何文炯,2018-05-09 05:02:54,-6,0,6,很不错
78020,3290,何文炯,2018-05-09 05:05:26,-6,0,6,醍醐灌顶\n\n理解本质
