评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
36460,3538,谢崇波,2016-11-14 02:37:17,0,0,0,垃圾老师
128913,5675,苗晓晔,2020-12-26 17:16:58,6,14,8,找导师的时候和她交流过，感觉还行，没上过课
137480,5675,苗晓晔,2021-07-04 11:22:30,2,2,0,不点名但是会小测~老师人很可爱，讲得比较详细，但实验资料给的实在是太老了（sqlserver版本都大大不一样），没有详细的实验要求，只有一份0x届的实验报告QAQ\n\n趁没出分前来评价一下，出分了就不一定是现在这个心态了hhh
137868,5675,苗晓晔,2021-07-06 12:28:33,2,4,2,出分警告，给分还是很不错的，很开心啊哈哈哈哈，就是上课有点像翻译PPT的机器人，不是特别听得懂，我都是自学的QAQ，不排除是我太容易走神的可能性。老师人很好，我在钉钉上问她问题都会很耐心地回复，我说“谢谢”，还会回个“不客气！”。爱她!
137884,5675,苗晓晔,2021-07-06 13:02:32,3,3,0,数据库刚出分，来写一个评论。\n\n苗晓晔老师人还是很不错的，有问题问会认真地解答。不过讲课真的讲的挺差的，基本就是一直在朗诵ppt，最后还是需要期末自己自学补一补\n\n数据库本身就是一门事情特别多的课，但是苗老师班的每周作业放的期限都很长，以及五个lab也没有强制要求的ddl，只要能在考试前交上就可以，这点对比其他班可以说是压力小了不少。\n\n（当然你要是全部事情都堆在最后你最后还是炸裂\n\n最后的给分就我了解给分给的还是不错的？
137885,5675,苗晓晔,2021-07-06 13:03:12,2,2,0,emmm老师人不错，在期末还会提醒同学们补交作业尽量拿平时分\n\n但上课基本就是翻译ppt 会有5-6次小测 占总评10分，测的基本是当堂和上堂课的内容
137886,5675,苗晓晔,2021-07-06 13:14:42,0,2,2,老师超好！！！捞得很努力😂长得也很可爱～～助教也很好hhhh
137887,5675,苗晓晔,2021-07-06 13:04:18,0,1,1,苗老师人非常好，考试之前给了所有作业补交的权限，是尽心想给大家分的老师（我们也养成了按时喝水的好习惯
137894,5675,苗晓晔,2021-07-06 13:25:18,1,1,0,苗老师人真的很好，别的班好多都是期中就要求上交图书管理系统的实验，苗老师班是在期末；平时作业给的时间也很长，基本有两周；期末的时候老师会开放作业补交的通道，真的是很想给我们分的老师。\n\n课上会有5-6次小测，从结果上看应该没有完全按照小测的分数给分，感觉相当于点名？\n\n不过讲的确实不太好，就是把ppt翻译了一遍念出来，很容易犯困，补天建议听孙建伶老师的课。
137904,5675,苗晓晔,2021-07-06 13:59:33,4,4,0,苗老师上课确实没有什么经验，但是回答问题比较热心。\n\n但是苗老师的授课水平真的还有很大的提升空间。上她的课的时候一定要对着书看，然后课前预习，课后复习。\n\n关于给分的话，可能苗老师的给分不能使所有人满意，但是一定是严格的。
152521,5675,苗晓晔,2022-04-14 02:50:22,0,1,1,苗老师上课基本就是翻译PPT，不过老师人很好，给分也挺好，不过课还是要自学
154170,5675,苗晓晔,2022-06-27 07:53:28,4,4,0,讲的一般，但给分很厚道，这老师能处～
158149,5675,苗晓晔,2022-07-04 00:12:44,5,6,1,老师给分非常不错，平时分只要努力基本可以给满。\n\n不定期会有quiz，所以每周上完课之后记得复习相关的知识，quiz的题目大部分都是历年卷上的内容，好好复习都可以拿满。\n\n对于期末考试，今年进行了改革，将以往的cost计算放到了前面，以往的许多八股题也不出了，添加了一些新的题型（比如证明2pl不是冲突可串行化的必要条件，计算lsm树的相关查询和重建代价等），不好说难度是升了还是降了，但是总的来说难度适中。\n\n对于minisql，我的建议是一定要找靠谱的队友，我有个队友纯纯摆烂，导致我一个人几乎做了整个project，考试周前还在debug，压力相当大，也挤占了不少可以用来复习的时间，不过验收的要求相对较低，基本功能完成了就可以拿到高分。明年minisql的框架据说要大修，要求支持事务和并发，有能力的同学可以早点开始做（寒假(X），一定一定要找好队友！lab5图书管理系统一定要去验收，平时分可以加分的。\n\n可以看出苗老师是很想上好这门硬课的，班上也有可以适应老师教学，全程认真听课的同学。不过我我一般是课后去听听孙建怜老师的录播，虽然用的是旧版的ppt，但是讲的还是相对系统和清晰。\n\n考前如果有时间，一定要看看其他老师最后一节复习课的智云课堂录播，有老师会在这一节课暗示考点的（
158150,5675,苗晓晔,2022-06-27 08:07:21,0,1,1,出分来评，数据库还是那个折磨王，但老师给分还是不错的
158210,5675,苗晓晔,2022-06-27 13:25:16,0,0,0,你是！我的神！
158516,5675,苗晓晔,2022-06-30 02:31:49,2,2,0,数据库系统，总体满意。老师上课会有一点无聊，但是重要内容都会讲到，耐心听会学到很多东西。小测比较多但是每次都会讲解，对最后期末很有帮助。助教都非常负责，给分不错。推荐！
175852,5675,苗晓晔,2023-06-27 03:26:31,2,3,1,苗老师给分真的太好了 真神！\n\n平时分只要好好做肯定会很好\n\n平时作业还有前四个lab交了就是满分！\n\n实验5图书管理系统和minisql只要去验收了就给100\n\n实验五验收了还可以加一分bonus\n\n主要就是小测要小心，小测不会提前通知，不定期会有五次（平时分主要这里会扣）\n\n不过上课可能有点催眠，虽然能很明显感受到老师已经很努力地想上好这门课了\n\n总之选了巨赚！出分出乎意料地好
176216,5675,苗晓晔,2023-06-28 05:25:18,4,4,0,给分已经相当好了，主要注意一下平时小测不通知
176386,5675,苗晓晔,2023-06-28 16:04:49,0,1,1,讲课上比较难以集中注意力去听，但实际上很重要的东西苗老师都会自己特意去提，如果有幸听到会很有帮助。平时分上比较一板一眼，如果想要拿满需要在实验加分上下点功夫。minisql本身完成度高可能并不能给你带来平时分优势，关注加分项才是更重要的。
190118,5675,苗晓晔,2024-02-22 14:05:34,0,1,1,苗老师给分超好！
192652,5675,苗晓晔,2024-05-27 03:08:03,4,4,0,每次听完她的课都是会的仍然会，不会的仍然不会，不知所云，不建议听她讲课
192723,5675,苗晓晔,2024-05-29 10:24:30,9,11,2,这学期的助教gg太好了，是我上大学以来遇到的最好的助教，对问题的解答也十分耐心，强推！！！
194859,5675,苗晓晔,2024-06-25 17:44:19,13,14,1,这学期助教是目前遇到最负责的助教了，平时分啥的也都很好，不过老师上课感觉主要就是翻译PPT。最后给分，，只能说被煞笔期末干碎了
195234,5675,苗晓晔,2024-06-27 11:01:38,12,13,1,xwh助教太神了！！！！\n\n至于苗老师，中规中矩，PPT朗读机，作用是方便课上预习了解一下相关概念。真要学会还得是下课听sjl智云
196907,5675,苗晓晔,2024-07-06 01:09:33,8,9,1,平时就是：点名+本学期5次不通知小测\n\n上课就是官网ppt朗读，确实有点催眠\n\n但这学期xwh和另外两个助教真的神中神，不管是实验答疑还是验收到最后给分都绝了
197569,5675,苗晓晔,2024-07-19 12:44:16,3,3,0,PPT翻译
198237,5675,苗晓晔,2024-09-05 15:05:24,6,6,0,上课似乎是教材配套PPT\n\n本学期点名11次，不定期小测\n\n助教gg人超好，解答问题很耐心，期末也很捞
217312,5675,苗晓晔,2025-04-08 08:16:37,1,2,1,非常一般。
217313,5675,苗晓晔,2025-04-08 08:19:31,1,2,1,依托。
218117,5675,苗晓晔,2025-04-21 08:35:16,0,0,0,无语(¯―¯٥)
221107,5675,苗晓晔,2025-06-21 09:19:01,1,1,0,多次小测，周围人给分一般，助教挺好
221120,5675,苗晓晔,2025-06-21 10:35:55,-6,1,7,老师太好了吧毫不吝啬平时分\n\n美美收获满绩~\n\n上课会随机叫人起来回答问题（但貌似从来没有叫过第一排和最后一排的）\n\n小测有4次，难度适宜，挺有用的
221181,5675,苗晓晔,2025-06-21 22:53:14,0,0,0,平时分给的应该挺好的，最后成绩出来没有预期的好估计是因为期末都是填空题没法捞，而且可能是我复习的不够充分吧；老师上课从来不听，考前建议过一遍ppt
210462,5867,林俊宏,2025-01-09 07:59:54,6,6,0,林老师讲课有点听不大明白，教学经验不足。
212813,5867,林俊宏,2025-01-15 03:20:26,1,1,0,汕头大学优秀校友，欢迎师哥常回汕大看看
214095,5867,林俊宏,2025-01-24 02:12:02,3,3,0,老师口音很有意思，但是讲课听不太懂，而且出分真的好慢啊
206365,5936,蒋杭进,2024-12-14 14:45:37,1,1,0,、、、
164765,7842,徐仁军,2022-12-25 16:43:14,11,14,3,快跑！
168172,7842,徐仁军,2023-01-31 09:32:09,7,10,3,别查了，快跑！
171776,7842,徐仁军,2023-04-05 02:28:15,8,9,1,辣鸡玩意，渣导一个！
175220,7842,徐仁军,2023-06-22 13:05:07,7,9,2,xsr自己的女硕士生，快跑！
159386,8026,Andre Python,2022-07-15 13:56:59,5,6,1,approachable，knowledgeable，trapped in science and teaching.
