评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
271,9,郑刚,2015-03-14 23:50:25,10,15,5,郑老师课听起来很舒服，有很多新东西，为人也很平和，体验感好。大家都很喜欢。
377,9,郑刚,2015-03-15 01:39:25,0,1,1,倍爽。郑老师不愧是时贪腐的大牛！
51594,9,郑刚,2017-06-07 11:04:11,7,7,0,。。。。。
61110,9,郑刚,2017-11-08 13:38:57,42,62,20,老师讲课讲的很好，案例鲜活， 分析有趣，课堂体验不错，而且老师会带我们玩一些创新游戏，比如棉花糖挑战。更重要的是，这门课可以打开你的视野，甚至从创新创业，让你产生你的梦想。无论是大几的学生，我都推荐这门课。
62110,9,郑刚,2017-11-27 05:23:10,3,8,5,老师真的超级好！讲了很多例子，听起来很有趣，就是事情略多……管理课的通病？给分很好，一下子把坑爹的创业基础拉下四的绩点拉了回去
62741,9,郑刚,2017-11-26 23:06:35,3,8,5,老师人不错，给分也还行……
62817,9,郑刚,2017-11-27 05:21:00,-3,0,3,超棒的老师
62840,9,郑刚,2017-11-27 06:27:39,1,2,1,老师很好，给分也不错\n\n
62850,9,郑刚,2017-11-27 11:25:13,14,20,6,老师人很好，灰常亲切，创管上课比较生动，例子多不会很重概念。事情也少，有小组活动和一篇创业案例分析。目前上过的压力最小的课(ﾉಥ益ಥ)。给分也不玄学，认真做绩点不会低的。
62895,9,郑刚,2017-11-27 09:43:21,0,1,1,上课很有趣！给分很好！赞！
62897,9,郑刚,2017-11-27 09:47:54,2,6,4,给分很好，一直靠着组里的大佬所以也不觉得事情很多。虽然一直听课比较水，网上讨论也没怎么做，但绩点还是很满意，推荐
63074,9,郑刚,2017-11-28 07:18:00,3,7,4,很好的老师 努力让自己的课不变成一门水课 所以很生动有趣 平时还会水群解答我们的问题 付出了一定会有回报的那种
63102,9,郑刚,2017-11-28 09:23:29,1,3,2,老师人真的超级好，而且最后还会记住大多数同学的名字，事情很少，给分很好，最重要的是还可以没有任何压力地学到很多东西！
63761,9,郑刚,2017-12-14 06:18:23,-2,12,14,老师很用心，但是作业很多，真的很多。最后被正态，绩点很低，表示很难过啊！每节课都有去听，线上线下作业都认真做了，只是上课发言不多，最后就被正态
64346,9,郑刚,2017-12-22 15:34:49,2,3,1,给分很好，上的是创新管理。\n\n课程很生动，蛮多具体案例，不过，小组展示要尽快有个构思比较好。
64552,9,郑刚,2017-12-25 06:45:07,-2,2,4,老师真的超好，非常亲切，还经常请一些大佬来给我们演讲。感觉选上这门课自己就瞬间升华了，见识了很多以前不会见识到的东西。而且虽然我上课没怎么发言过，有时候上课也不是很认真，但绩点还是很不错滴。推荐推荐！
76892,9,郑刚,2018-04-25 12:19:05,0,5,5,平心而论。课的出发点是好的，郑老师的案例很多资源很多，课上大佬也很多。但是总是觉得缺少一些干货，感觉收获不大。郑老师的讲课水平给9分过了，8分还行。
78440,9,郑刚,2018-05-12 00:22:37,3,6,3,人好分高干货多
78449,9,郑刚,2018-05-12 02:48:52,-4,2,6,老师真的超级nice！课上案例多课下实践调研也很有意思 真的有一门课会去激发你创业的热情啊 推荐！！！！
88921,9,郑刚,2018-11-12 10:33:50,2,6,4,我学的创新管理，感觉能学到很多，创新能力也更是提升了太多，能将这门课的理论运用到实际中，虽然不知道会给多少分，但提前给帅老师给10分，不能再多了。
89382,9,郑刚,2018-11-19 01:47:15,3,5,2,干货多 人好 可爱可爱
90334,9,郑刚,2018-11-23 07:30:53,2,4,2,超级棒！通过作业学到了ps哈哈哈哈哈哈哈哈 给分很棒 正态不低于79
91266,9,郑刚,2018-12-04 12:43:40,0,3,3,老师人真的不错了，能努力给高都给你高分，前期上课理论加案例吧，后面小组出产品为主。课程压力不大，毕竟理论不考试，上课多发言，小组产品好好做，个人作业好好做相信分不会太低
91321,9,郑刚,2018-12-05 16:36:53,14,20,6,老师的课讲的真是很好，老师人很好也很仔细。第一次上课就给我们发了专属桌签；老师担任了许多家企业的顾问，所以呈现的案例非常鲜活；老师还录了慕课，随时补充上课讲不到或者来不讲的知识点；小组作业比较damanding（涉及3次展示：第一次必须展示至少三个idea，第二次展示商业模式画布，第三次成果展示），但是真的能收获很多（而且有真正的投资人来参与评审，评审通过“小组展示”直接获得40分满分）；最后评分的时候老师说我们都很优秀，所以把大家的评分都打得很高（但是万恶的正态通不过！！！），老师还多次去和教务处协商，最后不得不调整分数（然而保证受委屈的同学写推荐信之类的会优先考虑），最后还给全体同学发了红包（还把所有课程资料传上来了），真的超级超级喜欢这个老师！！！
92449,9,郑刚,2018-12-29 04:08:16,-6,1,7,郑刚老师人也太好了趴
92701,9,郑刚,2019-01-04 00:53:45,0,3,3,从没见过这么好的老师！给分都是往高了给！而且干货多！专门花了一次查询老师的机会来给他打个十分。没啥创新的点子都给了我4.2，喜极而泣
93664,9,郑刚,2019-01-11 08:46:12,-1,2,3,老师真的好棒，不但人好，讲课幽默，而且确实能学到东西收获很多，把理论和实践相结合，确实了解到了如何创新创业，还请企业家进课堂，有趣生动，创新管理和管理学理论上有很多想通点，但是比管理学实用了好多倍。老师给分尽量不让大家被正态，让大家勇于尝试。太喜欢这个老师了
95458,9,郑刚,2019-01-19 12:18:00,0,1,1,挺好的一门课吧 但也不见得所有人都听了\n\n我没有付出太多 对自己的分数也没有异议\n\n身边挺多人绩点很高～选小组的时候选靠谱点的
97236,9,郑刚,2019-01-22 00:59:01,1,3,2,给郑刚老师打call啊啊啊啊！每次上课都是正装出席、很尊重我们，讲起课来有一种跟各大企业家打交道的感觉、上课真的是一点压力没有，因为老师ppt的课太完美了、全听他讲就ojbk，各种案例呀什么的都挺好玩，其他评论里也说了作业的事，小组齐心协力就完全没压力、上课记得多多发言哦！总结下来就是老师人帅、可爱、善良、给分好！！
101193,9,郑刚,2019-01-28 01:47:51,-3,9,12,给分就是玄学没有一个统一的考核标准 认认真真上了半学期还是3.3 老师以一己之力将我的GPA从4.5拉到4.4
117946,9,郑刚,2019-10-16 12:08:33,0,2,2,棒棒棒
119500,9,郑刚,2019-11-13 05:58:33,-4,1,5,很好的
119671,9,郑刚,2019-11-14 23:32:33,-2,0,2,老师的课真的爱了，讲的超好，而且给分超棒！！！
119724,9,郑刚,2019-11-15 03:41:06,0,1,1,十分可 可以学到很多东西给分又好
119729,9,郑刚,2019-11-15 03:56:30,1,2,1,超赞，感觉自己学会了很多创业知识，我只想说，刚哥? ? 。
122739,9,郑刚,2020-03-27 10:56:30,-1,0,1,老师授课方式非常好，理论和实践相结合，实践不是一般的什么小组展示，而是真的深入企业去调查研究访谈，还有课堂游戏，虽然只有8节课，但是令人印象深刻。
123021,9,郑刚,2020-05-01 02:00:39,0,1,1,老师太棒了！讲课运用很多例子，很生动。每节课后的小组作业巩固上课讲的内容，也不多，还会每组都点评。小组作业只要用心做了得分都很高。而且是我见过最体谅同学的老师之一了，哪里发言次数多算哪里的分，即使自己统计核对起来很麻烦。
123024,9,郑刚,2020-05-01 06:59:53,0,1,1,老师人很好，很体谅学生的，但课程内容和mooc有一部分是重复的，不过也有新内容，还是能学到不少东西的。给分其实也挺好的，按照要求来就可以的，小组作业的话，其实我们小组作业并不是特别好（班级投票里蛮低的），但老师打分挺好的。现在觉得老师应该更注重过程，并不是完全看大家对作品的投票的，按照每次作业的要求一步步改进，应该不会差的。
130041,9,郑刚,2021-01-15 12:27:42,13,26,13,选了紫金创享，形式主义太强，每节课必数字点名/GPS点名，每节课后要在平台提交50－200字的感想，同时还要上慕课，慕课上还有一组期末考题，老师说十分钟就可以做完，好家伙十分钟搜都搜不完....最后大作业是一篇3000+论文或者自己组队进行创业展示（小组合作有多烦就不必说了吧）。打到这里，我都差点忘了这只是一门公素课。更别说它的上课时间一般都是周五晚上了，成功切割你的周末，逢假必补....本来想打0分，但是想想老师请那么多嘉宾还是很辛苦的，2分给老师的辛勤和嘉宾，但不能再多了。
140043,9,郑刚,2021-08-24 02:22:33,-12,4,16,郑强老师非常负责，给分也超级高！推荐选择
161707,9,郑刚,2022-11-15 14:58:58,3,5,2,给分不是特别好
170231,9,郑刚,2023-03-02 05:43:00,0,2,2,给分还行吧，一般般
175185,9,郑刚,2023-06-22 07:54:59,3,6,3,吹爆刚哥！！yyds！！！！都给我选爆！
175199,9,郑刚,2023-06-22 09:22:39,4,4,0,每节课上课时数字点名，说是迟到了扣分不过迟到了找他补签也给过\n\n给分还行\n\n上课比较有趣，课堂氛围也很好，小组大作业（创业点子秀）会请专业投资人来，不过投资人也就看个乐，点评的也比较水，以鼓励为主，但大家是真的很卷……\n\n唯一一点就是周日晚上十一点公布周一早上展示的任务，并且要求7点多提交ppt，这个确实难顶……不过大家也反映过意见了，老师应该会改进
182039,9,郑刚,2023-11-08 15:27:07,-1,1,2,郑老师课讲得很好，MOOC上也很好，不过会点名，事也不多
182040,9,郑刚,2023-11-08 15:27:07,-1,1,2,郑老师课讲得很好，MOOC上也很好，不过会点名，事也不多
182235,9,郑刚,2023-11-13 05:23:24,2,3,1,很好的课，任务不多但上课很有趣，就是学的时间短，小组任务可能比较赶，组长做PPT到凌晨一点半，感谢组长带飞
183011,9,郑刚,2023-11-21 12:11:51,5,5,0,小组大作业demanding，相当看队友或者组长的能力。还有SPOC一定要好好做！给分比较求是
184210,9,郑刚,2023-12-13 05:37:18,-4,2,6,老师人很好给分好～事情不算很少，但是选了不后悔！！
185494,9,郑刚,2023-12-31 03:58:02,-1,1,2,老师真的很好，给分也好。上课能听到很多新东西，建议选
187846,9,郑刚,2024-01-17 14:53:18,1,2,1,创业实践:不是很水的创业课，事情蛮多的，每周都要去管院听讲座，也会参观企业之类的，但是郑老师真的是很用心，也确实能开拓视野；给分主要看小组作业，很大程度看小组里有没有能带飞的佬
193441,9,郑刚,2024-06-11 03:54:36,8,10,2,为什么不可以打零分\n\n事情很多，而且每次做作业的时间很赶\n\n作业要求从不说清楚\n\n你如果发言很多，让老师认识你，他就会觉得你很优秀；如果你在幕后做PPT，老师不认识你，他能告诉你你签上到的课也属于缺勤\n\n总之，我们全组上下来都很痛苦。
193459,9,郑刚,2024-06-11 06:58:31,9,10,1,哥们儿头一次见识到人脸签到
193665,9,郑刚,2024-06-14 14:45:38,3,3,0,还没结课我已经 受不了了 创业实践从0到1 慎选 人脸签到加讲座路演 兄弟们加把劲把评分给我打下来
194274,9,郑刚,2024-06-23 04:57:21,-1,2,3,前面事确实有点多，但是出分后我收回我前面的抱怨。小组展示做的依托，但是最后的得分远超预期，孩子们你们自己看吧。
194621,9,郑刚,2024-06-24 16:00:13,-4,1,5,给分一般，事情倒不算很多
201838,9,郑刚,2024-11-07 01:01:02,-6,1,7,老师真的给分超级好，在上课也会培养团队合作的能力，引导学生创新思维，会根据当前的发展潮流，引导学生思考职业规划，在小组作业中，很开心能与大家共同合作，完成了最终的产品，很高兴在这次课中认识了我的队友们！10分没错！
202061,9,郑刚,2024-11-09 00:54:59,3,6,3,给分垃圾，节节课点名考勤不说，小组作业事情一堆，费尽心力在幕后写PPT走访调查，连3.5都上不了，反而只要在课上有机会就说几句没营养的发言，刷脸，就满绩嘎嘎给，感觉来授课好像就是结识喜欢发言的人似的，无语，避雷。
202146,9,郑刚,2024-11-10 05:01:36,-2,1,3,给分不错，会捞，本来上不了4的，好像是最后个人作业把我的分数调的很高，不过我个人作业也确实是花了很多心血写的，最终4.2了。\n\n唯一遗憾的是自己还是太i了，不发言最终课堂表现分只有基础分，spoc也没有很好去做\n\n老师上课其实还挺有意思的，会讲很多的案例，唯一的问题是内容重复的比较多。不过形式很多样，有玩游戏也有请学长。\n\n老师确实是求是好老师，上创新管理对我自己启发也是蛮大的。
202155,9,郑刚,2024-11-10 05:44:34,6,6,0,创新管理事略多，秋学期下来三次pre，给分也很求是，真的很认真的完成了所有任务甚至课堂表现也尽量争取。。。。4.2。。意难平好吧老师讲课不错
202202,9,郑刚,2024-11-10 16:09:23,0,1,1,我觉得给分还是可以的，也很求是，如果小组作业和个人作业完成的好的话，大概率是没问题，本人上课从来没有过发言，但是前面两项做得好，最后4.5分 还是比较满意的，老师讲课也很有意思啊
202713,9,郑刚,2024-11-14 03:08:00,-2,1,3,讲课真的很有意思，虽然事情确实很多，但是4.5很满意。就是spoc考试没考好，不然感觉可以冲一下4.8（哭
