评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
100396,4724,陈璞,2019-01-26 05:06:18,0,0,0,给分很迷
107506,4724,陈璞,2019-05-06 04:13:19,0,0,0,嘤嘤嘤
132594,4724,陈璞,2021-02-02 13:54:42,1,1,0,思修是什么sb课程
140889,4724,陈璞,2021-09-17 08:06:30,5,6,1,给爷爬
153721,4724,陈璞,2022-05-09 09:14:25,13,16,3,呵呵呵，什么给分
153722,4724,陈璞,2022-05-09 09:14:51,11,12,1,确实，给分拉胯
220482,4724,陈璞,2025-06-18 06:54:57,0,0,0,形策给高一点儿吧
220616,4724,陈璞,2025-06-19 02:25:55,0,0,0,助教人很好；每次都可以补签\n\n不过你也不能指望这课学到什么对吧\n\n我期末考应该挺差的，选择题就错了五道、感觉还是捞了一点的吧
122281,7804,张士良,2020-02-22 08:05:02,4,7,3,形势与政策，讲课一般，激情有；非常和蔼；但是总觉得他面对学生有点紧张，声音有点抖；总体没问题
125881,7804,张士良,2020-09-15 08:56:33,9,14,5,平时认认真真写各种作业，考试至少也写满了，结果3.3，就这？77分，真的不配我花在这门课上的时间。当然我也没办法，毕竟我也不知道我是怎样拿到这个分的，也只能在查老师上打个3分了
125898,7804,张士良,2020-09-15 11:49:15,13,14,1,首先同情楼上的那位姐妹，但是我的情况刚好相反。。。平时也没好好写，上课也没听，期末只背了背书本后面的选择题答案，结果考试还没用上，考试乱写写满，最后总评。。4.8。。。可能我感觉这位老师给分有点乱给。。。大家慎选吧，有点太随机了。。。
138012,7804,张士良,2021-07-07 05:13:07,1,3,2,唯一一门下四的课2.1\n\n我只能给您打个两分\n\n快逃\n\n乱给分
138055,7804,张士良,2021-07-07 08:05:43,3,5,2,大学第一个满绩！除了每节课都有作业别的还不错
138083,7804,张士良,2021-07-07 09:32:58,1,1,0,3.6也就一般般
138115,7804,张士良,2021-07-07 11:13:30,1,1,0,人很随和～不过形策这种课，给分本身就是看缘分。思政课没有一门上4形策能有3.9已经很满足了hhhh
138188,7804,张士良,2021-07-08 00:19:49,1,1,0,给分较乱，人还是不错的
156151,7804,张士良,2022-06-18 03:25:40,0,2,2,感觉讲课语言组织不是很清楚，但是给分还不错，事也少，期末基本没复习，4.5
156152,7804,张士良,2022-06-18 03:25:40,0,0,0,感觉讲课语言组织不是很清楚，但是给分还不错，事也少，期末基本没复习，4.5
194419,7804,张士良,2024-06-23 18:00:51,1,1,0,gpt交的作业，考试也好多题乱写的，最后4.2，马马虎虎吧
