评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
26995,42,洪鑫,2016-12-30 17:36:19,53,63,10,这是我....洪....男....神....
27212,42,洪鑫,2016-06-23 14:28:29,25,27,2,老师真的特别好，性格非常温和，对学生特别耐心
27401,42,洪鑫,2016-06-25 17:54:12,12,14,2,老师人超nice的啊啊啊\n\n
29568,42,洪鑫,2016-06-30 03:48:05,4,6,2,这学期补选上洪老师的课，真幸运！老师特别耐心，上课知识讲得详细透彻！还会拓展！
29574,42,洪鑫,2016-06-30 03:58:18,3,5,2,亲测好评
29576,42,洪鑫,2016-06-30 04:02:42,0,6,6,给分超好！
29599,42,洪鑫,2016-06-30 04:35:03,4,6,2,老师教的好，有耐心
29652,42,洪鑫,2016-06-30 06:36:35,12,18,6,讲课很有效率，不拖泥带水，知识点结构清晰。最后给分贼棒。
29656,42,洪鑫,2016-06-30 06:46:42,0,2,2,挺好的！虽然最后考试一脸蒙逼但分数出乎意料过得去
30450,42,洪鑫,2016-07-01 15:27:36,7,11,4,胖乎乎，人称小胖子。给分太棒，公司金融一定要上他的哦。
52656,42,洪鑫,2017-06-22 03:37:36,2,4,2,老师真的太好了 感人至深
52761,42,洪鑫,2017-06-22 13:36:02,1,2,1,考试前三天，老师答疑到晚上9点直到最后一个同学问完才回家。感人至深!满满好评!
53094,42,洪鑫,2017-06-25 13:29:55,10,11,1,老师很耐心，讲课很细致，还额外安排答疑时间，可以说十分感人了！
56779,42,洪鑫,2017-07-04 15:20:58,0,4,4,在期末考试来的前一周布置大作业，惊喜不惊喜？
56817,42,洪鑫,2017-07-04 16:19:56,-4,5,9,给分好
56824,42,洪鑫,2017-07-04 17:00:36,16,20,4,分数低到要报警了
56916,42,洪鑫,2017-07-05 03:14:28,-3,10,13,老师真的好炸天啊?????\n\n\n\n一学期没怎么听最后有90！
56927,42,洪鑫,2017-07-05 03:35:47,1,4,3,老师人超级好
56960,42,洪鑫,2017-07-05 07:02:54,7,8,1,讲得很好 一开始给了低分 但是老师耐心的反馈的到底错在了哪里 仔细想想可能也是自己学的不够扎实 所以还是非常感谢老师也希望老师的以后一切顺利
56979,42,洪鑫,2017-07-05 05:34:49,2,5,3,超级好的老师，为学生着想，还经常发红包，萌萌哒！大爱！！
