评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
5515,33,陈炯,2017-12-12 15:57:53,24,34,10,一幅官样。垃圾！
7836,33,陈炯,2015-09-15 14:29:40,32,40,8,当官的
10989,33,陈炯,2015-11-23 15:26:10,6,8,2,...
11574,33,陈炯,2015-12-06 10:36:43,6,7,1,“太好听了”
11576,33,陈炯,2015-12-06 10:46:58,6,8,2,...............\n\n\n\n\n\n
24479,33,陈炯,2016-04-30 15:30:53,4,6,2,书记P事多
27769,33,陈炯,2016-06-27 12:31:27,4,9,5,手下的辅导员（大概就是助教一类）上的课，不备课，读ppt还读错，什么都不懂，给分还乱给。虽然从来不点名
28484,33,陈炯,2016-06-28 09:20:14,8,12,4,迷一样给分
29523,33,陈炯,2016-06-30 02:22:24,8,11,3,助教在上面讲课，他自己在下面睡觉
29881,33,陈炯,2016-06-30 12:52:43,13,15,2,助教上课 老师在下面睡觉 助教全程读ppt\n\n上课无聊不来听也没事 不过因为助教只读ppt不会拓展所以下课总是比其他班早
30194,33,陈炯,2017-12-05 11:33:30,6,8,2,助教讲课，从来不点名，没作业，想水的同学可以尽情水，但平时分没有区分度，我还是期待有料，不水的形策。给分还行。
30481,33,陈炯,2016-07-01 16:37:44,3,4,1,秋冬是学院团支书讲课，春夏是蓝田辅导员讲课，都是读PPT的。好处是不点名，下课早，没作业。下年还是不是这样不知道。给分应该和闭卷考试成绩挂钩吧，平时分也不怎么给得了。最后提醒考试真的不要作弊，我们形策考场就有一个同学被抓取消学位了。
35217,33,陈炯,2016-11-06 10:45:31,5,5,0,……上课在下面玩手机，啥都不懂，只会发大兴\n\n
47087,33,陈炯,2017-01-23 15:54:03,18,22,4,超级讨厌这种觉得自己很了不起的老师，我见过官比你大的多的是，要这么嚣张？
51390,33,陈炯,2017-06-04 10:37:38,7,7,0,..........“好老师”一定要选噢（微笑）
51391,33,陈炯,2017-06-04 10:32:30,7,8,1,呵呵呵呵
53267,33,陈炯,2017-06-26 09:21:04,8,10,2,两字，绩杀，而已
53841,33,陈炯,2017-06-28 00:46:13,0,2,2,蛤蛤蛤
53929,33,陈炯,2017-06-28 04:41:41,6,7,1,能不选还是尽量别选了
55769,33,陈炯,2017-07-02 10:52:46,5,7,2,上课可水\n\n讲课一般\n\n给分无敌烂\n\n绩杀
55803,33,陈炯,2017-07-02 11:49:30,-8,1,9,行策课嘛，都是差不多的。至于考试，还是看自己怎么准备吧。
56783,33,陈炯,2017-07-04 15:29:40,6,8,2,绩杀了只恨没有零分 当官的一副自以为是的样子 让人作呕 不配为人师表
59350,33,陈炯,2017-09-21 03:19:32,6,8,2,只恨没有零分
59454,33,陈炯,2017-09-21 12:42:48,4,6,2,垃圾 官僚
59538,33,陈炯,2017-09-22 10:03:04,-2,2,4,
60130,33,陈炯,2017-10-16 15:25:24,4,6,2,很垃圾
60295,33,陈炯,2017-10-17 00:52:32,4,6,2,恶心到无以复加
60489,33,陈炯,2017-10-22 11:21:12,0,4,4,声音抑扬顿挫 吵到我睡觉了\n\n自以为是\n\n洗脑\n\n不听也罢
60850,33,陈炯,2017-10-31 07:59:40,1,3,2,辣鸡县令
61852,33,陈炯,2017-11-21 08:52:22,4,5,1,真是什么阿猫阿狗都配做老师了
63409,33,陈炯,2017-12-03 09:30:01,1,1,0,不敢听，听了半个小时仿佛听了三个小时的校长演讲。。
63416,33,陈炯,2017-12-03 12:02:59,0,4,4,既然你要说的每句话都是ppt上有的，那你还每次对着它用傻逼一样的口音读一个半小时，是脑子有屎吗？上课前还不让戴耳机用电脑？？你要是讲课有意思会这么心虚吗？无敌爆炸nc早点退休早点进棺
63845,33,陈炯,2018-10-21 15:24:27,6,6,0,还好，大家理性。。。
74368,33,陈炯,2018-02-15 12:04:40,3,4,1,大sb
74381,33,陈炯,2018-02-16 06:37:42,4,4,0,当官的bitch
80811,33,陈炯,2018-07-01 09:43:43,4,4,0,只能说就这样，下课比别的老师早
83525,33,陈炯,2018-07-10 13:35:24,6,6,0,感谢助教于杰哥哥抬我们一手
83527,33,陈炯,2018-07-10 13:39:54,3,3,0,考前好好准备 功夫还是不负有心人的\n\n老师给分其实也还行 主要看自己
83571,33,陈炯,2018-07-10 15:28:52,0,0,0,...
83580,33,陈炯,2018-07-10 15:49:54,-3,0,3,说实话 平时一点事情都没有让我们很轻松又慌的一匹 不知道平时分会怎么给 上课不允许用电脑 平时不点名 考试有很多思考题原题 考前好好准备思考题 平时看看新闻了解下时事 选择题也是能做的 这样绩点还是有保证的 个人感觉对于陈炯老师期末考就决定绩点了
83609,33,陈炯,2018-07-10 23:32:18,0,0,0,上课水
83735,33,陈炯,2018-07-11 06:34:16,-1,2,3,没作业不点名 正经上课 感觉也没评论说的那样 给分感觉还不错
83743,33,陈炯,2018-07-11 06:49:39,-6,1,7,平时不点名没作业，相比其他老师轻松太多。绩点主要看期末，认真背背思考题和题库还是ok的，最后分数还不错。
83910,33,陈炯,2018-07-11 13:31:41,1,1,0,思考题都知道写出来了啦，给分为什么这么低，郁闷。。。
