评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
4741,2,李铁风,2015-06-27 05:00:13,5,11,6,你觉得呢-_-#-_-#-_-#
4763,2,李铁风,2015-06-28 03:02:30,9,20,11,没有重点 不知道在干嘛 布置作业也是随机看 极坑\n\n
4777,2,李铁风,2015-06-28 14:35:11,-3,11,14,极坑！最大的问题是还以为自己讲得很好啊。悲哀啊！
10463,2,李铁风,2015-11-19 03:22:37,8,17,9,连期末考的内容都不知道。
23854,2,李铁风,2016-04-19 01:15:05,2,6,4,这么年轻的副教授 有点厉害的
26269,2,李铁风,2016-06-16 12:51:13,4,7,3,期末考搞错了考试内容，导致了低分
31779,2,李铁风,2016-07-05 02:03:28,3,5,2,作业布置得好随意
38540,2,李铁风,2016-12-08 06:05:27,12,18,6,老师人挺热心的，我觉得不错
52104,2,李铁风,2018-03-12 23:25:51,-1,5,6,到考试了还不讲材料力学？考试复习什么\n\n
52838,2,李铁风,2017-06-23 06:58:13,6,11,5,老师很好，会给你讲一些有用的东西，会分享他在浙大的事，平时从不点名，给分也好
53032,2,李铁风,2017-06-25 03:49:55,7,11,4,蛮好的，心里有一套自己想教会大家的东西，考试重点也尽量都告诉大家，以前怎样不知道，就觉得今年的铁风哥肥肠棒。
54983,2,李铁风,2017-06-30 14:14:46,7,10,3,就像一个有经验有套路的老学长。\n\n给风哥点赞
82159,2,李铁风,2018-07-15 04:51:49,1,7,6,大恩大德 没齿难忘 强推 必选
82174,2,李铁风,2018-07-07 10:20:11,11,20,9,上课真一般，基本自学。是个奇葩，他立志不成为像其他老师那样的所谓的PPT player，结果嘛……一学期下来只学到些什么“拉压弯扭、说学逗唱”。考前复习下dota火枪1v5视频的话，过应该没问题?（大作业重要
85030,2,李铁风,2018-07-15 04:54:14,1,5,4,铁风老师浓浓师生情
85031,2,李铁风,2018-07-15 04:55:33,3,8,5,男神老师！哈佛学霸！
85034,2,李铁风,2018-07-15 05:00:41,-1,3,4,还不错
85043,2,李铁风,2018-07-15 05:48:10,1,7,6,给分满分
91609,2,李铁风,2018-12-15 13:07:06,1,5,4,男神老师
94733,2,李铁风,2019-01-18 04:06:21,-1,3,4,可以说是很男神了
104309,2,李铁风,2019-03-17 13:45:06,4,6,2,希望老师能把作业交的方式和小组研讨说清楚一点
110486,2,李铁风,2019-06-27 06:36:50,3,6,3,浙大流传着风哥火枪1v5的传说
114589,2,李铁风,2019-07-10 23:16:11,6,9,3,社会我风哥！每次布置作业都是关于下一节课的内容，导致每次要完成作业必须自学掌握下节课要讲的内容～平时作业思考题就很迷～大作业占比50%，大型人类迷惑行为表演现场～考前复习ppt会像泄题一样的画重点～给分超好不卡绩～
114693,2,李铁风,2019-07-11 04:09:21,-1,4,5,被卡绩了
125989,2,李铁风,2020-09-16 10:22:45,0,4,4,谁能想到平时邮件都不回复的李老师给分那么好呢 考完以及格为目标的我被捞上4.2
125992,2,李铁风,2020-09-16 10:28:12,2,7,5,这给分！有被吓到！高的没道理！李老师就是我干爹！
133735,2,李铁风,2021-03-04 09:58:34,24,36,12,浙江大学航空航天学院交叉力学中心李铁风教授团队联合之江实验室，与合作单位开展跨学科交叉研究，率先提出机电系统软-硬共融的压力适应原理，成功研制了无需耐压外壳的仿生软体智能机器人，首次实现了在万米深海自带能源软体人工肌肉驱控和软体机器人深海自主游动。这种环境自适应的仿生软体机器人和智能系统，将为深海探索科考、环境监测与资源勘探提供解决方案，为复杂环境与任务下机器人及智能系统设计提供新思路。\n\n\n\n登上《自然》封面！浙大团队成功“打卡”马里亚纳海沟\n\nhttps://mp.weixin.qq.com/s/EjP8_aV8nMeUoSCfJZxoxw
141391,2,李铁风,2021-10-05 14:50:13,-2,5,7,是一位好老师
156839,2,李铁风,2022-06-21 05:40:10,7,8,1,上课不讲考试范围内的东西，我学尼玛
157887,2,李铁风,2022-06-25 10:29:39,9,12,3,就凭一学期两次早八都一声不吭放我们鸽子，其中一次课还没补没解释原因来看，我真不敢打高分。最后一次课讲大作业要求，考试发现有一块知识点没讲......
173372,2,李铁风,2023-05-22 03:38:57,2,4,2,李教授科研实力很强，成果大家有目共睹。李老师口才也很好，讲得小故事很有意思。但总觉得上课还是得踏踏实实来上。如果李老师上的是某些通识课，尤其是面向低年级、甚至中学生，我认为效果应该会不错。\n\n本学期是杨老师和李老师一起带的课，李老师出差或有重要的事情，就有杨老师来上。杨老师更年轻，可能没有李老师那么多的台上经验也没有很好的口才，但至少踏踏实实一个知识点一个知识点说清楚了、考试重点与形式也给同学们提了。\n\n李老师给分如何，不太清楚，还没经历那个阶段。不过我还是觉得能让学生在课堂上学到东西的老师才是好老师。\n\n虽然第一节课很惊喜，带着挺多的兴致来听李老师的课。但从实际教学效果来看，真的没办法给李老师高分。
220108,2,李铁风,2025-06-15 04:00:54,2,2,0,请千万要注意材料力学老师有一章不讲，需要自己看一下（考前前一天晚上才发现那章也考，别的班都有讲，虽然这次考试没考到哈哈
13990,26,朱林利,2016-01-03 11:33:18,14,16,2,挺好的，听详细。
13993,26,朱林利,2016-01-03 11:36:54,14,14,0,很严格的老师，给分不错！
14225,26,朱林利,2016-01-05 13:15:56,9,9,0,大师级人物，不仅可以学到知识，还有一段人生。
14648,26,朱林利,2016-01-08 05:29:50,6,6,0,老师挺好的
14756,26,朱林利,2016-01-08 16:50:49,5,5,0,拥有哲学的老师
14795,26,朱林利,2016-01-09 09:08:08,4,4,0,难得的好老师！
15158,26,朱林利,2016-01-12 08:54:23,3,3,0,严谨，专业，求是
15685,26,朱林利,2016-01-16 06:22:42,3,3,0,严谨专注
26971,26,朱林利,2016-06-22 02:59:47,2,4,2,沉醉于自己的世界，并不关心考试。
27911,26,朱林利,2016-06-28 04:42:15,3,3,0,给分真不错，我考下来觉得都要挂了结果还上了80，满意
28551,26,朱林利,2016-06-28 10:04:10,3,4,1,作业和上课进度永远不同步
30098,26,朱林利,2016-07-01 02:24:56,0,0,0,讲的还可以，但是感觉给分比较随意，低分会拉到80左右，有的感觉考的不错的也会被拉到80左右
32984,26,朱林利,2016-09-09 07:56:15,-5,1,6,每天上课先照着名单提问半节课。讲课一般，不过PPT做的很好。半开卷的考试，考前把PPT上的公式都抄下来，最后竟然满绩了。
51829,26,朱林利,2018-04-27 13:50:50,-8,3,11,变态神经病
52397,26,朱林利,2017-06-19 15:03:53,6,6,0,随堂点名，两节课有三十分钟都在提问，ppt做的不错，但课经常讲着讲着就把他自己给绕进去的...
53932,26,朱林利,2017-06-28 05:10:49,1,1,0,很关心同学。给分很不错
56043,26,朱林利,2017-07-03 03:29:47,3,3,0,朱林利老师再次印证了工力系老师都是大神这一普遍定律，上课讲得很好，课前抽同学们回顾上一堂课内容虽然有些同学不喜欢但我觉得还好，毕竟老师也是为了我们更好地巩固。给老师发邮件问问题或者微信群里老师都会回复。考试写错正则方程是我没学好，唉～愧对老师给的高分
72730,26,朱林利,2018-01-31 03:52:38,1,1,0,很负责的老师，人也超级好，会给我们讲故事讲自己的经历！ppt做的也很良心！
98192,26,朱林利,2019-01-23 07:26:40,3,3,0,老师很好是我太菜了
147165,26,朱林利,2022-01-09 03:07:08,2,2,0,老师上课会点人起来回答问题或者回扣上一堂课内容，但是点了人没来也无所谓，PPT做的非常好，其实只看PPT复习就行了，zll我的男神
152306,26,朱林利,2022-04-02 11:34:51,1,1,0,我是kuozizheng，朱老师对学生特别好
183583,26,朱林利,2023-11-27 12:53:53,2,2,0,塑性力学好好好
