评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
91100,3842,王子澍,2018-11-30 02:11:38,0,4,4,哦我真的无法忍受和他相处还有说他长得帅的朋友们你们是认真的吗吗吗吗
135512,5989,苏腾,2021-05-12 09:20:55,11,18,7,苏老师好人啊
159790,5989,苏腾,2022-08-31 02:58:40,12,12,0,苏老师好老师
198803,5989,苏腾,2024-09-12 00:07:06,8,8,0,很好的
198932,5989,苏腾,2024-09-13 05:22:56,7,7,0,幽默风趣
208364,5989,苏腾,2025-01-04 01:23:45,6,6,0,案例分析 很有意思
211314,5989,苏腾,2025-01-11 07:41:06,5,5,0,事少人好，任务轻，男神爱你…预置的课，甚好甚好！幽默风趣，听听也挺有意思的。点名都会提前告知，好好好
211823,5989,苏腾,2025-01-12 15:17:04,4,4,0,人好事少！点名会提前告知，而且一些案例听听确实还挺有意思的
212282,5989,苏腾,2025-01-14 00:28:52,5,5,0,非常好的老师，上课很有趣，点名也都会提前通知，而且都是特意在两节课中间点来等迟到的同学。对大作业的要求也很低，很容易就可以完成。
213757,5989,苏腾,2025-01-19 13:12:26,2,2,0,男神！！！大量案例很有意思，收获满满，给分还很厚道哈哈😄
214520,5989,苏腾,2025-02-11 04:34:48,2,2,0,点赞点赞！！！
214741,5989,苏腾,2025-02-17 07:37:33,2,2,0,伟大的好老师，还有新年红包
214774,5989,苏腾,2025-02-18 00:54:32,1,3,2,苏老师老温柔了，会在课上分享他的经历，会在大家分享完ppt之后送书，会新年在群里发红包。\n\n确实会点名，但是会提前在群里通知，豪人豪人
139964,8373,赵晨,2021-08-22 14:35:28,0,2,2,上过c++和大数据概论，首先课堂作业多，基本每节课都有测试或小项目，写文档写测试报告，这些项目都是网上copy别人的经验（有一次找到厦门大学的），有时候会缺乏必要的关键信息或指导，导致坑很多，而且踩过去后也没有多少意义。其次给分也低，上课看人数点名，给分也很严格，美名其曰为了学生好，上课基本念PPT，一上午的课，自己讲一个小时就溜回办公室。
140442,9203,郭爽,2021-09-11 14:38:16,10,13,3,好人啊！！！
140557,9203,郭爽,2021-09-13 16:45:33,4,5,1,郭指导，最好的指导员！！\n\n基本所有人都是那一档最低分，第一次公示分数后，还两次调高大家分数\n\n大爱郭爽！吹爆！！
140587,9203,郭爽,2021-09-14 05:16:28,2,2,0,宝藏老师，给分真的好↖(^ω^)↗
140944,9203,郭爽,2021-09-18 05:54:13,1,1,0,很负责！
140946,9203,郭爽,2021-09-18 06:08:41,2,2,0,可爱、负责。
140970,9203,郭爽,2021-09-18 15:30:59,2,2,0,郭老师很认真负责，热心解答我们的疑惑，给分也很好
210694,10000,陆挺,2025-01-10 00:40:09,1,1,0,查老师上的第10000个老师处打卡
217544,10000,陆挺,2025-04-12 21:41:22,0,0,0,N=110有三个同中子素钨-184，铼-185，锇-186，第三个核素的半衰期是2.0*10^15年
