评论id,老师id,老师姓名,发表时间,点赞减去点踩数量,点赞量,点踩量,内容
13112,419,许磊,2015-12-25 02:10:59,1,3,2,棒\n\n棒棒
14946,419,许磊,2016-01-11 07:23:19,1,2,1,简直不要不要的\n\n\n\n
15550,419,许磊,2016-01-15 09:14:28,-1,0,1,。。。\n\n
18525,419,许磊,2016-01-22 01:59:32,1,1,0,666
22424,419,许磊,2016-03-05 07:33:46,0,2,2,壮哉我大国防，哈哈哈哈\n\n
35342,419,许磊,2016-11-08 17:46:14,0,0,0,磊哥一等一的好
38762,419,许磊,2016-12-18 10:05:15,0,1,1,选培办最好的干事，没有之一
39333,419,许磊,2016-12-22 06:10:36,1,2,1,很棒棒
39574,419,许磊,2016-12-25 10:45:12,-8,1,9,国防建设课就没上过，最后考试五个人四个分数不及格，拉绩点，好伤心啊
40427,419,许磊,2017-01-03 08:40:03,-1,1,2,没见过老师
48969,419,许磊,2017-03-20 01:10:38,23,26,3,智障姚蔚，给分太随意
77112,419,许磊,2018-05-02 08:21:44,4,4,0,老师从来没有假见过，听说一年前离开了浙大，但是他的课从来没有离开过?
85479,419,许磊,2018-07-18 08:56:34,1,1,0,垃圾垃圾。。。
